Date,Open,High,Low,Close,Volume,OpenInt
20151202,32.575,34.725,32.575,34.41,35925,0
20151203,35.682,35.682,33.101,33.141,9483,0
20151204,33.131,33.708,33.131,33.221,7778,0
20151207,32.974,33.962,32.974,33.698,20669,0
20151208,33.65,34.41,32.252,32.262,9947,0
20151209,31.528,31.685,31.274,31.373,13201,0
20151210,31.147,31.147,30.296,30.503,15655,0
20151211,29.077,30.21,29.077,29.399,31003,0
20151214,29.319,29.799,27.414,27.629,76942,0
20151215,28.352,29.222,28.342,28.342,24044,0
20151216,28.4,29.594,28.4,29.369,16065,0
20151217,30.493,30.697,29.789,30.062,34175,0
20151218,30.082,30.325,29.691,29.877,45328,0
20151221,29.916,31.001,29.867,30.374,12587,0
20151222,30.394,31.127,30.296,30.552,12860,0
20151223,29.897,30.384,29.534,29.711,8286,0
20151224,29.222,30.013,29.222,29.867,3655,0
20151228,29.651,30.259,29.428,29.554,5166,0
20151229,29.428,30.058,29.428,29.808,5768,0
20151230,29.766,30.483,28.801,29.808,16546,0
20151231,29.329,30.238,28.821,29.808,18218,0
20160104,29.309,29.319,28.449,28.791,10643,0
20160105,29.554,29.7,29.028,29.419,37522,0
20160106,29.143,29.524,28.558,29.329,8662,0
20160107,28.909,29.443,28.635,29.057,31389,0
20160108,29.143,29.711,28.449,29.017,28761,0
20160111,29.149,29.149,28.439,28.705,13108,0
20160112,28.761,29.379,28.761,29.202,14313,0
20160113,29.172,29.661,27.462,28.097,19307,0
20160114,28.097,29.104,28.097,28.371,12353,0
20160115,27.688,28.166,26.876,27.462,28161,0
20160119,27.502,28.303,26.427,26.671,15757,0
20160120,26.094,26.68,25.469,25.871,32579,0
20160121,25.831,26.925,25.831,26.505,10680,0
20160122,27.023,27.228,25.702,26.368,25592,0
20160125,25.911,26.113,25.911,25.948,8419,0
20160126,25.177,26.445,24.94,25.929,20127,0
20160127,25.712,26.015,25.282,25.43,11489,0
20160128,25.712,26.103,25.39,25.977,3958,0
20160129,25.851,27.043,25.851,26.465,20294,0
20160201,27.162,27.248,25.692,25.801,11227,0
20160202,25.742,25.742,25.4,25.459,13901,0
20160203,25.732,25.752,24.94,25.253,26422,0
20160204,25.206,25.861,24.677,25.009,8273,0
20160205,24.727,25.4,24.727,24.727,19024,0
20160208,24.825,25.801,24.825,25.302,55752,0
20160209,25.157,26.054,24.266,24.92,31940,0
20160210,24.901,25.41,24.11,24.92,39004,0
20160211,24.511,26.7,24.511,26.271,13555,0
20160212,26.417,26.719,25.603,26.388,64115,0
20160216,26.388,26.827,25.489,26.535,54898,0
20160217,26.545,28.246,26.545,27.561,24279,0
20160218,27.942,28.429,27.462,27.59,15841,0
20160219,27.688,27.784,26.485,27.395,25041,0
20160222,27.532,28.791,27.131,27.375,18538,0
20160223,27.472,28.088,27.355,27.355,24450,0
20160224,27.365,27.609,27.023,27.218,10234,0
20160225,27.395,27.405,26.866,26.993,13492,0
20160226,27.121,27.775,26.73,26.955,9437,0
20160229,27.365,27.98,26.71,26.71,13266,0
20160301,26.808,28.147,26.808,27.062,21057,0
20160302,27.364,27.365,26.886,26.955,9979,0
20160303,27.267,27.609,26.984,27.228,12139,0
20160304,27.262,27.609,26.92,27.14,11371,0
20160307,27.482,27.784,27.16,27.257,24446,0
20160308,27.228,27.552,26.876,26.993,9369,0
20160309,27.062,27.316,26.535,26.613,15107,0
20160310,27.365,27.365,26.632,26.74,12495,0
20160311,27.003,27.746,26.74,27.638,13913,0
20160314,27.189,28.097,27.189,27.874,22977,0
20160315,27.756,27.834,27.131,27.306,14915,0
20160316,27.326,27.427,26.827,27.189,8579,0
20160317,27.326,27.658,27.267,27.277,9660,0
20160318,27.542,27.716,27.443,27.532,25295,0
20160321,27.542,27.688,27.345,27.532,6762,0
20160322,27.131,27.492,27.131,27.472,4183,0
20160323,27.355,27.561,26.896,26.984,10932,0
20160324,27.499,27.532,26.993,27.013,5464,0
20160328,27.072,27.414,27.072,27.257,6234,0
20160329,27.14,27.365,26.906,27.257,58106,0
20160330,27.581,27.854,27.345,27.599,19873,0
20160331,27.385,27.775,27.385,27.385,19268,0
20160401,27.121,27.658,26.955,27.599,17151,0
20160404,27.952,28.313,27.609,27.874,26576,0
20160405,28,28,27.462,27.854,15536,0
20160406,27.952,28.44,27.854,27.864,8595,0
20160407,27.864,28.363,27.581,28.039,12919,0
20160408,28.186,28.186,27.864,28.097,14596,0
20160411,28.342,29.466,28.342,29.309,72557,0
20160412,29.329,30.003,29.329,29.534,37588,0
20160413,29.808,30.042,29.584,30.023,39759,0
20160414,29.945,30.032,29.534,29.641,22488,0
20160415,29.621,29.991,29.603,29.808,19881,0
20160418,29.779,30.18,29.544,29.731,23219,0
20160419,29.721,29.867,29.339,29.505,25464,0
20160420,29.359,30.101,29.143,29.838,65265,0
20160421,29.848,29.848,29.299,29.651,15091,0
20160422,29.613,29.701,29.448,29.651,20301,0
20160425,29.808,29.808,29.319,29.574,15554,0
20160426,29.641,29.935,29.495,29.907,13782,0
20160427,29.456,29.711,29.319,29.359,21382,0
20160428,29.359,29.505,29.319,29.319,16414,0
20160429,29.438,30.012,29.319,29.779,17531,0
20160502,30.072,30.072,29.349,29.613,19512,0
20160503,29.505,29.974,29.505,29.534,17009,0
20160504,29.505,30.072,29.505,29.799,11518,0
20160505,29.731,29.808,29.505,29.731,14976,0
20160506,29.711,29.897,29.529,29.603,14232,0
20160509,29.564,29.799,29.515,29.574,15528,0
20160510,29.721,30.003,29.505,29.759,27608,0
20160511,29.621,29.769,29.534,29.544,17032,0
20160512,29.544,29.897,29.544,29.613,55015,0
20160513,30.19,30.19,29.505,29.621,26153,0
20160516,29.731,30.18,29.681,29.769,16111,0
20160517,29.954,29.954,29.359,29.495,42478,0
20160518,29.369,29.554,29.027,29.485,12415,0
20160519,29.389,29.389,28.987,29.212,20936,0
20160520,29.182,29.544,29.182,29.428,10673,0
20160523,29.319,29.534,29.172,29.309,7220,0
20160524,29.319,29.759,29.252,29.448,21018,0
20160525,29.349,29.661,29.329,29.379,21807,0
20160526,29.379,29.594,29.28,29.28,12518,0
20160527,29.28,29.554,29.27,29.309,33190,0
20160531,29.222,29.716,29.222,29.27,17170,0
20160601,29.134,29.409,29.134,29.212,12553,0
20160602,29.143,29.27,28.558,29.057,14758,0
20160603,29.007,29.134,28.655,28.889,31043,0
20160606,28.984,29.339,28.899,29.037,30409,0
20160607,29.087,29.534,29.087,29.379,20210,0
20160608,29.292,29.641,29.153,29.534,23927,0
20160609,29.495,29.515,29.017,29.017,27398,0
20160610,28.977,29.458,28.83,28.84,22739,0
20160613,28.77,28.958,27.673,27.948,40009,0
20160614,27.986,28.674,27.84,28.447,33038,0
20160615,28.507,28.938,27.996,28.408,31257,0
20160616,28.282,28.87,28.153,28.321,36489,0
20160617,28.408,29.203,28.408,28.83,41237,0
20160620,29.017,29.42,28.674,28.86,40181,0
20160621,28.948,28.948,28.447,28.79,33449,0
20160622,28.79,29.032,28.723,28.83,15641,0
20160623,28.87,29.31,28.8,29.203,22887,0
20160624,28.546,28.919,27.948,28.919,298367,0
20160627,28.615,28.615,27.527,27.702,45472,0
20160628,27.85,27.85,27.394,27.517,28263,0
20160629,27.653,28.113,27.3,27.653,17796,0
20160630,27.722,28.321,27.556,28.124,24737,0
20160701,28.045,28.928,27.958,28.743,14334,0
20160705,28.546,29.124,28.437,28.694,24852,0
20160706,28.595,28.86,28.437,28.507,19193,0
20160707,28.526,28.585,27.958,28.408,29703,0
20160708,28.427,28.893,28.369,28.694,38662,0
20160711,29.037,29.37,28.845,29.35,33407,0
20160712,29.517,30.194,29.32,29.977,29356,0
20160713,30.016,30.31,29.703,29.9,28682,0
20160714,30.095,30.095,29.526,29.88,18619,0
20160715,29.987,30.164,29.653,29.693,18145,0
20160718,28.85,29.762,28.85,29.643,20052,0
20160719,29.673,30.036,29.31,29.762,22837,0
20160720,29.948,30.503,29.648,29.811,15500,0
20160721,29.87,30.214,29.38,29.4,15546,0
20160722,29.517,29.517,29.271,29.42,8289,0
20160725,29.32,29.39,28.743,28.78,14030,0
20160726,28.909,29.087,28.76,28.919,8410,0
20160727,28.977,29.38,28.781,29.027,21990,0
20160728,29.096,29.41,28.967,29.281,8698,0
20160729,29.143,29.36,29.087,29.31,17815,0
20160801,29.233,29.34,29.124,29.223,9924,0
20160802,29.153,29.31,29.077,29.114,8251,0
20160803,29.051,29.104,28.82,28.88,4924,0
20160804,28.84,29.429,28.84,29.233,40663,0
20160805,29.3,30.587,29.213,30.517,19159,0
20160808,30.478,30.9,30.379,30.458,14571,0
20160809,30.418,30.418,29.743,29.841,11919,0
20160810,29.772,30.066,29.429,29.87,8047,0
20160811,29.851,29.996,29.223,29.673,9808,0
20160812,29.762,30.234,29.762,30.006,10260,0
20160815,30.105,30.89,30.105,30.683,11307,0
20160816,30.517,31.037,30.517,31.008,16376,0
20160817,31.027,31.159,30.742,31.104,8734,0
20160818,31.018,31.214,30.713,30.89,13071,0
20160819,30.861,31.243,30.732,30.861,33893,0
20160822,30.771,31.301,30.771,31.204,11473,0
20160823,31.291,31.576,31.037,31.174,9664,0
20160824,31.381,31.381,30.89,30.968,38514,0
20160825,31.085,31.281,30.91,30.978,10466,0
20160826,31.164,31.381,30.91,31.381,11795,0
20160829,31.381,32.335,31.381,31.947,9808,0
20160830,32.007,32.233,31.87,32.166,12928,0
20160831,32.057,32.439,31.88,32.263,17131,0
20160901,32.429,32.587,32.41,32.41,11950,0
20160902,32.633,33.498,32.186,33.498,10647,0
20160906,33.389,33.438,33.255,33.37,12938,0
20160907,33.389,33.396,32.703,32.862,24900,0
20160908,32.782,32.932,32.653,32.812,10966,0
20160909,32.633,32.852,32.31,32.36,22226,0
20160912,32.38,32.733,32.146,32.499,24444,0
20160913,32.253,32.733,32.057,32.31,22602,0
20160914,32.223,32.832,32.223,32.499,15081,0
20160915,32.509,32.912,32.509,32.703,7929,0
20160916,32.782,32.842,31.817,32.439,59907,0
20160919,32.4,32.852,32.195,32.792,10265,0
20160920,32.683,33.293,32.479,33.185,19740,0
20160921,33.322,33.538,33.264,33.438,15678,0
20160922,33.578,34.009,33.578,34.009,16933,0
20160923,33.821,34.439,33.821,33.94,14307,0
20160926,33.881,34.115,33.508,33.742,10271,0
20160927,33.685,34.312,33.312,33.989,7094,0
20160928,34.154,34.577,33.881,34.292,16248,0
20160929,34.204,34.577,33.969,34.115,16158,0
20160930,34.164,34.827,33.786,34.772,33630,0
20161003,34.772,35.155,34.538,34.802,12499,0
20161004,34.958,35.263,34.125,34.273,25198,0
20161005,34.322,34.518,34.145,34.372,32219,0
20161006,34.302,34.586,34.214,34.459,13579,0
20161007,34.322,34.528,33.93,34.254,15199,0
20161010,34.263,34.812,33.831,34.244,13869,0
20161011,34.038,34.038,33.302,33.448,28644,0
20161012,33.588,33.969,33.428,33.733,34959,0
20161013,33.588,34.14,33.558,33.723,17242,0
20161014,33.911,34.685,33.911,34.204,13062,0
20161017,34.125,34.419,33.979,34.273,10185,0
20161018,34.567,35.254,34.322,34.715,12843,0
20161019,34.911,35.058,34.567,34.763,22734,0
20161020,34.812,34.886,34.322,34.322,35434,0
20161021,34.076,34.076,33.733,33.881,6764,0
20161024,33.979,34.273,33.685,33.881,3660,0
20161025,33.93,34.273,33.538,33.538,7444,0
20161026,33.538,33.733,33.389,33.488,7506,0
20161027,33.588,33.781,33.195,33.293,46883,0
20161028,32.996,33.195,32.996,33.195,2362,0
20161031,33.195,33.438,33.145,33.293,24836,0
20161101,33.34,34.076,32.605,32.605,12010,0
20161102,32.802,32.802,32.36,32.559,9004,0
20161103,32.459,32.902,32.459,32.653,12462,0
20161104,32.653,32.949,32.166,32.459,26076,0
20161107,32.802,33.636,32.559,33.195,16343,0
20161108,33.195,33.685,32.703,32.752,20682,0
20161109,33.145,33.709,32.902,33.438,29173,0
20161110,33.588,33.636,32.852,33.34,46139,0
20161111,33.34,33.661,33.34,33.588,46798,0
20161114,33.733,34.273,33.685,34.029,34679,0
20161115,33.93,33.979,33.636,33.685,23244,0
20161116,33.293,33.93,33.245,33.588,29781,0
20161117,33.588,34.029,33.17,33.588,51972,0
20161118,33.438,33.588,32.852,33.34,47050,0
20161121,33.34,33.733,33.195,33.389,48120,0
20161122,33.245,33.389,33.145,33.389,38756,0
20161123,33.438,33.438,32.949,33.245,37156,0
20161125,33.293,33.588,33.245,33.293,11947,0
20161128,33.195,33.389,33.046,33.195,22046,0
20161129,33.488,33.488,32.852,32.949,29912,0
20161130,32.996,33.293,32.996,33.195,22323,0
20161201,33.195,33.34,32.902,33.095,24150,0
20161202,33.195,33.34,32.559,32.996,18940,0
20161205,32.949,33.538,32.949,33.095,37469,0
20161206,33.245,33.588,32.996,33.34,42423,0
20161207,33.293,34.029,33.25,33.881,49802,0
20161208,33.831,35.058,33.538,33.881,51640,0
20161209,33.93,33.93,33.245,33.34,28224,0
20161212,33.34,33.438,33.195,33.293,17485,0
20161213,33.389,33.831,33.195,33.293,32219,0
20161214,33.538,33.538,32.996,33.046,14929,0
20161215,33.095,33.488,33.095,33.145,27905,0
20161216,33.293,33.438,32.902,33.145,46551,0
20161219,33.34,33.34,32.852,33.046,16945,0
20161220,33.245,33.293,32.703,33.095,24469,0
20161221,33.046,33.245,32.852,32.902,9221,0
20161222,32.949,33.046,31.92,32.017,919008,0
20161223,32.067,32.703,31.624,32.36,17508,0
20161227,32.559,33.34,32.509,33.095,23515,0
20161228,33.145,33.245,32.509,33.046,22842,0
20161229,32.996,33.046,32.752,33.046,14553,0
20161230,33.095,33.095,32.166,32.214,20824,0
20170103,32.605,33.095,32.116,33.046,43074,0
20170104,33.195,33.389,32.949,33.34,71199,0
20170105,33.245,33.438,32.902,33.34,16948,0
20170106,33.389,33.438,32.996,33.245,19984,0
20170109,33.245,33.352,32.801,33.095,12812,0
20170110,32.557,33.932,31.669,33.833,29669,0
20170111,32.948,33.734,32.948,33.489,15328,0
20170112,33.095,33.539,32.557,33.34,19120,0
20170113,33.389,34.177,33.389,33.734,18570,0
20170117,33.783,33.833,33.195,33.539,24091,0
20170118,33.783,33.981,33.245,33.439,13228,0
20170119,33.389,34.128,32.995,33.685,17583,0
20170120,33.637,33.783,33.293,33.783,10233,0
20170123,33.637,33.932,33.389,33.833,11602,0
20170124,33.734,34.669,33.734,34.522,14065,0
20170125,35.063,35.161,34.232,35.063,26009,0
20170126,34.963,35.112,34.867,34.916,14803,0
20170127,35.112,35.161,34.423,34.619,7870,0
20170130,34.325,34.375,33.883,34.276,16088,0
20170131,34.227,34.619,33.981,34.619,13966,0
20170201,34.619,35.652,34.619,35.456,22300,0
20170202,35.308,35.352,34.916,35.063,13789,0
20170203,35.013,36.095,35.013,36.095,7939,0
20170206,35.899,36.336,35.555,35.701,21152,0
20170207,35.604,35.997,35.506,35.652,9312,0
20170208,35.604,35.801,35.112,35.407,10681,0
20170209,35.52,35.52,35.216,35.506,8262,0
20170210,35.604,35.701,35.357,35.652,22223,0
20170213,35.751,36.291,35.751,36.194,17086,0
20170214,36.095,37.079,35.555,37.029,34594,0
20170215,36.785,37.129,36.785,37.129,11181,0
20170216,36.538,37.129,36.316,36.834,13936,0
20170217,36.882,37.324,36.391,36.931,14745,0
20170221,37.129,37.571,37.079,37.571,10567,0
20170222,37.373,37.423,37.029,37.373,16202,0
20170223,37.423,37.867,37.079,37.867,11617,0
20170224,37.668,37.717,37.129,37.373,5857,0
20170227,37.275,37.963,37.079,37.523,21622,0
20170228,37.423,37.473,36.538,36.685,19654,0
20170301,37.179,37.963,36.882,37.817,12730,0
20170302,37.62,37.62,36.834,37.079,9274,0
20170303,36.979,37.179,35.948,36.834,23712,0
20170306,36.44,38.211,36.44,38.062,22671,0
20170307,37.916,38.062,37.179,37.423,21706,0
20170308,37.571,37.668,36.979,37.423,14675,0
20170309,37.324,37.523,36.979,37.473,14687,0
20170310,37.643,37.668,37.373,37.62,12484,0
20170313,37.742,37.817,37.423,37.62,16460,0
20170314,37.767,38.235,37.079,37.473,24725,0
20170315,36.538,38.382,36.538,38.161,24349,0
20170316,38.161,38.702,37.767,38.604,26976,0
20170317,38.604,38.604,37.423,37.523,95708,0
20170320,37.916,37.916,37.227,37.275,10412,0
20170321,37.473,37.473,36.735,36.882,25222,0
20170322,36.834,37.129,36.587,36.685,22230,0
20170323,36.685,37.079,36.391,36.391,9644,0
20170324,36.685,36.931,35.85,36.046,9917,0
20170327,35.701,36.538,35.604,36.341,6566,0
20170328,36.341,36.391,36.095,36.194,10511,0
20170329,36.145,36.194,35.948,36.046,6352,0
20170330,35.997,36.046,35.801,35.948,14286,0
20170331,35.899,36.095,35.555,35.555,20180,0
20170403,35.701,35.701,35.308,35.357,9470,0
20170404,35.357,35.357,34.079,34.227,10845,0
20170405,34.325,34.748,33.685,33.833,13114,0
20170406,33.768,33.956,33.439,33.539,32264,0
20170407,34.079,34.079,33.589,33.833,37936,0
20170410,33.883,34.227,33.783,34.177,27061,0
20170411,34.128,34.817,34.128,34.619,25438,0
20170412,34.669,35.456,33.685,33.685,92626,0
20170413,33.833,33.833,33.145,33.145,47810,0
20170417,33.293,33.439,32.995,33.195,31208,0
20170418,33.095,33.489,33.095,33.34,27177,0
20170419,33.389,33.883,33.389,33.685,24019,0
20170420,33.833,33.883,33.439,33.833,20373,0
20170421,33.883,33.981,33.195,33.293,16725,0
20170424,33.734,33.783,33.389,33.539,14828,0
20170425,33.734,34.276,33.637,33.981,14779,0
20170426,34.325,34.669,33.981,33.981,12453,0
20170427,33.981,33.981,33.293,33.34,13417,0
20170428,33.34,33.489,33.045,33.095,15520,0
20170501,33.095,33.489,33.095,33.293,36871,0
20170502,33.293,33.539,33.293,33.34,14988,0
20170503,33.195,33.195,32.948,32.995,14311,0
20170504,33.045,33.095,32.26,32.801,23535,0
20170505,32.801,32.948,32.382,32.557,25100,0
20170508,32.604,32.851,32.407,32.557,21504,0
20170509,32.557,33.34,32.557,32.901,38253,0
20170510,32.851,33.195,32.801,33.095,18846,0
20170511,32.995,33.489,32.948,33.195,29523,0
20170512,33.245,33.681,33.145,33.34,24369,0
20170515,33.389,34.031,33.293,34.031,8055,0
20170516,34.128,34.128,33.589,33.932,10175,0
20170517,33.489,33.489,33.293,33.389,15407,0
20170518,33.095,33.539,33.095,33.34,14184,0
20170519,33.389,33.883,33.34,33.489,12901,0
20170522,33.539,33.783,33.439,33.637,11772,0
20170523,33.685,34.276,33.293,33.589,14926,0
20170524,33.637,33.685,33.489,33.589,8525,0
20170525,33.637,34.079,33.245,33.293,12270,0
20170526,33.293,34.031,33.293,33.637,12831,0
20170530,33.637,33.833,33.293,33.489,18031,0
20170531,33.34,33.539,33.34,33.34,11546,0
20170601,33.489,33.783,33.34,33.489,11001,0
20170602,33.637,34.031,33.439,33.539,17069,0
20170605,33.637,33.783,33.389,33.389,12999,0
20170606,33.293,33.734,33.245,33.734,11358,0
20170607,33.734,33.734,33.389,33.539,12022,0
20170608,33.539,34.031,33.439,33.539,16002,0
20170609,33.734,34.177,33.489,33.685,17295,0
20170612,33.685,34.276,33.685,34.227,12507,0
20170613,34.276,34.522,34.031,34.031,16434,0
20170614,33.932,34.325,33.932,34.177,20761,0
