Date,Open,High,Low,Close,Volume,OpenInt
20181102,27.598,28.362,27.023,28.362,9907667,0
20181105,28.183,29.851,27.867,28.917,1977851,0
20181106,28.997,29.286,28.125,28.125,1897156,0
20181107,28.242,30.139,27.37,29.276,1652240,0
20181108,29.286,34.662,29.067,32.691,2738816,0
20181109,32.651,33.271,31.321,32.343,1404375,0
20181112,32.363,32.363,29.831,30.09,590644,0
20181113,30.954,31.371,30.279,30.656,861045,0
20181114,30.309,31.61,30.09,30.626,772211,0
20181115,30.09,31.51,30.09,31.101,532941,0
20181116,31.57,31.57,30.497,31.072,587432,0
20181119,31.072,32.016,29.881,30.08,343085,0
20181120,29.663,29.782,28.252,29.385,535151,0
20181121,29.504,29.723,28.502,28.581,133219,0
20181123,28.532,28.571,27.38,27.598,143248,0
20181126,28.212,28.651,26.784,26.983,450034,0
20181127,27.33,28.05,26.784,27.617,321941,0
20181128,27.449,27.797,26.566,27.647,402759,0
20181129,27.717,28.057,25.812,26.08,385597,0
20181130,25.822,27.439,25.822,27.141,431898,0
20181203,27.797,29.603,27.081,29.117,489754,0
20181204,28.907,29.176,26.566,26.626,342162,0
20181206,26.197,27.171,26.013,26.327,461838,0
20181207,27.817,28.601,26.109,26.138,399066,0
20181210,25.672,26.247,24.819,24.937,522835,0
20181211,25.334,25.464,23.795,23.795,420991,0
20181212,23.905,24.461,23.232,24.331,653787,0
20181213,24.759,24.967,24.306,24.59,550461,0
20181214,24.421,24.987,24.035,24.193,537243,0
20181217,24.125,24.134,23.479,23.577,545485,0
20181218,23.627,24.045,22.943,23.1,473413,0
20181219,23.07,23.975,22.824,22.953,656110,0
20181220,22.903,24.51,22.774,24.282,702621,0
20181221,24.252,24.52,23.459,24.311,1206276,0
20181224,24.311,24.65,24.223,24.52,182230,0
20181226,24.451,25.812,24.451,25.532,224222,0
20181227,25.294,26.287,24.203,26.267,484979,0
20181228,26.347,27.673,26.188,27.251,227953,0
20181231,27.419,27.956,26.715,27.488,209413,0
20190102,27.281,28.065,26.376,28.055,336949,0
20190103,27.847,28.392,27.757,28.075,311855,0
20190104,28.292,29.137,28.183,28.8,224638,0
20190107,28.79,30.289,28.422,30.229,728853,0
20190108,30.566,30.775,29.773,30,602595,0
20190109,29.95,29.95,29.007,29.037,200139,0
20190110,28.897,29.336,28.312,28.502,135568,0
20190111,28.232,29.147,28.045,29.067,193799,0
20190114,29.027,30.082,29.027,29.495,146042,0
20190115,29.436,29.704,28.133,29.406,211064,0
20190116,29.226,29.852,29.077,29.495,231139,0
20190117,29.246,29.704,29.196,29.614,263579,0
20190118,29.644,30.072,29.236,29.644,461898,0
20190122,29.196,29.446,28.59,28.839,345734,0
20190123,29.007,29.077,28.023,28.511,168170,0
20190124,28.501,29.087,28.481,28.839,269770,0
20190125,28.977,29.456,28.62,29.186,257175,0
20190128,28.819,28.907,28.211,28.371,286178,0
20190129,28.511,29.316,28.431,28.957,138326,0
20190130,29.127,29.515,28.063,28.897,148794,0
20190131,28.809,29.744,28.77,29.266,292855,0
20190201,29.226,29.485,28.6,28.839,96936,0
20190204,28.78,29.366,28.541,29.336,133587,0
20190205,29.446,29.929,28.839,29.465,229794,0
20190206,29.356,29.485,28.91,29.196,210217,0
20190207,29.196,29.729,28.957,29.256,210622,0
20190208,29.246,29.545,28.79,29.366,94126,0
20190211,29.326,29.485,29.146,29.436,146000,0
20190212,29.575,31.405,29.495,29.764,463385,0
20190213,29.644,30.291,28.351,29.585,261788,0
20190214,29.525,30.409,29.426,30.221,283609,0
20190215,30.331,31.425,30.077,31.285,376695,0
20190219,31.145,32.319,30.629,31.415,323425,0
20190220,31.474,32.2,31.195,32.031,415618,0
20190221,31.951,31.999,30.937,31.345,267309,0
20190222,31.395,31.604,30.787,30.827,222573,0
20190225,30.997,31.464,30.852,31.245,317682,0
20190226,31.305,32.051,30.787,31.375,180612,0
20190227,31.315,31.752,31.135,31.712,146668,0
20190228,33.461,34.794,32.627,33.304,488637,0
20190301,33.424,34.198,32.617,33.741,315743,0
20190304,33.971,34.73,33.511,34.687,363890,0
20190305,34.804,34.954,34.06,34.457,353567,0
20190306,34.577,34.607,33.951,34.01,177320,0
20190307,33.931,34.089,32.875,33.015,402947,0
20190308,32.875,33.751,32.091,33.531,121325,0
20190311,33.461,34.098,33.384,33.911,134191,0
20190312,33.981,34.437,33.424,33.741,117102,0
20190313,33.841,34.138,32.747,32.767,374833,0
20190314,32.767,33.08,31.524,31.921,317722,0
20190315,32.14,32.697,31.375,31.752,1040141,0
20190318,31.494,32.101,31.275,31.345,366739,0
20190319,31.325,31.514,29.664,29.792,514190,0
20190320,29.832,30.48,28.75,29.724,452188,0
20190321,29.604,30.231,29.565,29.575,540972,0
