Date,Open,High,Low,Close,Volume,OpenInt
20050225,15.274,15.382,15.132,15.26,33324,0
20050228,15.216,15.274,15.052,15.132,71397,0
20050301,15.094,15.733,15.094,15.624,86879,0
20050302,15.624,15.648,15.489,15.624,38347,0
20050303,15.624,15.748,15.524,15.748,41835,0
20050304,15.778,15.848,15.741,15.813,31935,0
20050307,15.813,15.918,15.702,15.727,42115,0
20050308,15.727,15.918,15.563,15.813,43090,0
20050309,15.813,15.882,15.617,15.789,57871,0
20050310,15.848,15.918,15.633,15.741,109890,0
20050311,15.741,15.839,15.71,15.833,362996,0
20050314,15.839,15.918,15.778,15.918,27195,0
20050315,15.89,15.977,15.778,15.783,69445,0
20050316,15.783,15.882,15.778,15.813,200815,0
20050317,15.848,15.966,15.827,15.948,15899,0
20050318,15.973,15.973,15.741,15.741,102359,0
20050321,15.741,15.848,15.489,15.596,156607,0
20050322,15.671,15.819,15.483,15.483,200953,0
20050323,15.454,15.454,14.821,14.844,100823,0
20050324,14.987,15.116,14.714,14.808,80885,0
20050328,14.88,14.944,14.38,14.394,47136,0
20050329,14.486,14.7,14.38,14.665,59271,0
20050330,14.665,14.987,14.572,14.914,30264,0
20050331,14.953,15.152,14.821,15.058,43649,0
20050401,15.058,15.633,14.645,15.454,73632,0
20050404,15.489,15.489,14.907,15.058,22170,0
20050405,15.058,15.274,14.987,15.166,18685,0
20050406,15.238,15.382,15.238,15.382,11571,0
20050407,15.202,15.346,15.132,15.138,10876,0
20050408,15.202,15.202,14.953,14.953,7807,0
20050411,14.987,15.022,14.55,14.558,17014,0
20050412,14.665,15.022,14.558,14.96,17293,0
20050413,14.914,14.914,14.7,14.7,9901,0
20050414,14.7,14.736,14.38,14.386,18825,0
20050415,14.386,14.386,13.768,13.776,23427,0
20050418,13.776,14.091,13.776,14.084,14645,0
20050419,14.163,14.521,14.163,14.521,10177,0
20050420,14.521,14.521,13.653,13.697,128995,0
20050421,13.768,13.975,13.704,13.889,19242,0
20050422,13.947,13.998,13.762,13.998,20360,0
20050425,13.983,14.213,13.983,14.199,98172,0
20050426,14.272,14.558,14.091,14.558,40441,0
20050427,14.521,14.972,14.366,14.893,17992,0
20050428,14.808,15.274,14.736,15.132,75582,0
20050429,15.202,15.202,14.987,15.047,37652,0
20050502,15.132,15.202,15.058,15.202,83534,0
20050503,15.202,15.216,15.101,15.108,14222,0
20050504,15.108,15.108,14.987,15.047,44908,0
20050505,14.987,15.022,14.914,14.953,24262,0
20050506,14.953,14.953,14.7,14.773,29702,0
20050509,14.779,14.88,14.779,14.88,17850,0
20050510,14.844,14.914,14.808,14.914,150051,0
20050511,14.914,14.914,14.736,14.873,20500,0
20050512,14.873,14.907,14.859,14.859,16875,0
20050513,14.844,14.914,14.786,14.786,35843,0
20050516,14.808,14.972,14.808,14.88,41279,0
20050517,14.592,14.808,14.521,14.7,13383,0
20050518,14.773,14.808,14.736,14.767,64846,0
20050519,14.773,14.786,14.721,14.758,58989,0
20050520,14.736,14.808,14.628,14.808,121461,0
20050523,14.88,15.411,14.88,15.231,26774,0
20050524,14.914,15.058,14.914,15.015,11718,0
20050525,14.972,14.972,14.451,14.665,23563,0
20050526,14.7,14.7,14.451,14.55,86464,0
20050527,14.558,14.7,14.558,14.7,2652,0
20050531,14.706,14.773,14.628,14.7,25659,0
