Date,Open,High,Low,Close,Volume,OpenInt
20191121,2,2.25,2,2.25,27220,0
20191122,2.25,2.25,2.14,2.25,39925,0
20191125,2.25,2.66,2.15,2.57,222262,0
20191126,2.57,2.5701,2.45,2.45,13600,0
20191127,2.45,2.5,2.45,2.5,812315,0
20191129,2.45,2.45,2.01,2.33,113672,0
20191202,2.32,2.3681,2.32,2.35,8900,0
20191203,2.44,2.5,2.4,2.4,20255,0
20191204,2.36,2.36,2.35,2.35,1588,0
20191205,2.47,2.5,2.416,2.42,126320,0
20191206,2.5,2.5,2.4578,2.47,26322,0
20191209,2.5,2.67,2.47,2.5,134450,0
20191210,2.49,2.52,2.49,2.52,12800,0
20191211,2.69,2.69,2.69,2.69,1601,0
20191212,2.7,2.7,2.7,2.7,5000,0
20191213,2.7,2.7,2.65,2.65,67326,0
20191216,2.81,2.85,2.8,2.85,21200,0
20191217,2.9,3.07,2.86,3.02,72600,0
20191218,2.85,3,2.8144,2.95,217500,0
20191219,2.98,3,2.95,2.95,35966,0
20191220,2.9228,3.07,2.9228,3,14750,0
20191223,2.9,2.9,2.8901,2.9,3500,0
20191226,2.89,2.89,2.84,2.85,5093,0
20191230,2.9,2.98,2.89,2.98,5800,0
20191231,2.75,2.95,2.73,2.95,22871,0
20200102,2.94,2.95,2.93,2.94,29100,0
20200103,2.86,2.9,2.86,2.9,900,0
20200106,2.94,2.94,2.94,2.94,200,0
20200108,2.85,3.3,2.85,2.86,26502,0
20200109,2.89,2.89,2.89,2.89,1113,0
20200114,2.8422,2.9038,2.8,2.8588,7444,0
20200115,2.75,2.8,2.75,2.75,6670,0
20200116,2.87,2.87,2.87,2.87,100,0
20200117,2.932,2.932,2.932,2.932,1180,0
20200122,2.8,2.8,2.8,2.8,1000,0
20200123,2.86,2.89,2.78,2.89,3500,0
