Date,Open,High,Low,Close,Volume,OpenInt
20170428,24.9,24.949,24.9,24.9,30025,0
20170501,24.949,24.998,24.88,24.949,109169,0
20170502,24.949,24.949,24.9,24.939,16156,0
20170503,24.88,24.969,24.88,24.949,64064,0
20170504,24.998,24.998,24.949,24.969,57630,0
20170505,25.032,25.963,25.032,25.244,70922,0
20170508,25.293,25.293,25.224,25.293,29117,0
20170509,25.254,25.254,25.234,25.234,30726,0
20170510,25.222,25.244,25.173,25.175,37900,0
20170511,25.195,25.234,25.195,25.205,12091,0
20170512,25.195,25.274,25.165,25.274,10953,0
20170515,25.343,25.343,25.195,25.195,6198,0
20170516,25.215,25.244,25.136,25.175,64521,0
20170517,25.175,25.343,25.146,25.146,9922,0
20170518,25.195,25.244,24.998,25.072,32845,0
20170519,25.146,25.193,25.097,25.175,5792,0
20170522,25.146,25.146,25.106,25.116,26785,0
20170523,25.136,25.146,25.082,25.097,14794,0
20170524,25.047,25.097,25.047,25.047,91985,0
20170525,25.215,25.215,25.057,25.116,2032,0
20170526,25.097,25.274,24.998,25.097,11614,0
20170530,25.195,25.195,25.097,25.175,13732,0
20170531,25.146,25.224,25.097,25.146,22064,0
20170601,25.195,25.244,25.195,25.244,508,0
20170602,25.441,25.441,25.274,25.274,203,0
20170605,25.293,25.303,25.284,25.284,1524,0
20170606,25.323,25.323,25.146,25.205,227804,0
20170607,25.195,25.244,25.087,25.087,108720,0
20170608,25.057,25.234,25.047,25.047,108082,0
20170609,25.057,25.146,25.047,25.097,49788,0
20170612,25.146,25.215,25.146,25.191,1931,0
20170614,25.303,25.303,25.185,25.185,565,0
20170615,25.669,25.669,25.195,25.205,5995,0
20170616,25.333,25.333,25.333,25.333,920,0
20170619,25.392,25.392,25.382,25.392,4979,0
20170620,25.392,25.392,25.234,25.234,5182,0
20170622,25.372,25.372,25.136,25.165,2642,0
20170623,25.146,25.146,25.146,25.146,19997,0
20170626,25.392,25.451,25.343,25.402,40973,0
20170627,25.392,25.44,25.368,25.368,8199,0
20170628,25.48,26,25.3,25.4,29206,0
20170629,25.37,25.4,25.37,25.38,20300,0
20170630,25.5157,25.5157,25.5157,25.5157,195,0
20170705,25.4,25.4799,25.4,25.42,14345,0
20170706,25.4,25.45,25.4,25.44,14760,0
20170707,25.4,25.62,25.4,25.62,14387,0
20170711,25.39,25.54,25.38,25.5,4600,0
20170712,25.5,25.61,25.5,25.6,3900,0
20170713,25.6,25.6156,25.6,25.6,5136,0
20170714,25.62,25.68,25.61,25.65,7000,0
20170717,25.65,25.7018,25.65,25.65,2500,0
20170718,25.6,25.68,25.6,25.68,6000,0
20170719,25.65,25.65,25.65,25.65,900,0
20170720,25.65,25.77,25.65,25.7,58061,0
20170721,25.68,25.8104,25.68,25.8104,52285,0
20170724,26.101,26.101,25.651,25.651,200,0
20170727,25.7699,25.7699,25.7,25.7,290,0
20170803,25.73,25.74,25.6265,25.6265,6274,0
20170804,25.75,25.75,25.65,25.65,1300,0
20170807,25.76,26.26,25.61,26,10820,0
20170808,26.33,26.35,26.22,26.35,4038,0
20170809,26.14,26.14,25.9515,25.9515,1576,0
20170810,25.87,25.87,25.87,25.87,700,0
20170811,25.8,25.9,25.8,25.9,3500,0
20170814,25.9,26.829,25.9,26.0611,2000,0
20170815,26.25,26.29,25.64,25.9799,335350,0
20170816,26,26,25.87,25.9,49380,0
20170817,26.04,26.04,25.84,25.87,3650,0
20170818,25.8,25.9,25.6415,25.7,18125,0
20170821,25.88,25.88,25.7,25.85,4526,0
20170822,25.621,25.84,25.62,25.67,22700,0
20170823,25.69,25.79,25.69,25.72,14225,0
20170824,25.8,25.8,25.71,25.72,8237,0
20170825,25.7472,25.83,25.73,25.74,63276,0
