Date,Open,High,Low,Close,Volume,OpenInt
20191114,24.89,24.93,24.84,24.91,259219,0
20191115,24.89,24.93,24.87,24.89,206633,0
20191118,24.9,24.95,24.9,24.94,240687,0
20191119,24.94,25.05,24.89,24.99,840077,0
20191120,25.02,25.1,24.9889,25.06,330877,0
20191121,25.02,25.08,25.02,25.04,217702,0
20191122,25.05,25.05,25.02,25.05,63287,0
20191125,25.04,25.12,25.04,25.08,450236,0
20191126,25.09,25.13,25.08,25.1,480235,0
20191127,25.08,25.2,25.08,25.15,425091,0
20191129,25.16,25.38,25.1,25.1,1443133,0
20191202,25.11,25.13,24.92,25.1,209404,0
20191203,25,25.09,24.95,25.02,144905,0
20191204,25.04,25.07,25.03,25.04,118918,0
20191205,25.04,25.09,25,25.03,179727,0
20191206,25.03,25.071,25,25.03,70730,0
20191209,25.04,25.1195,25.04,25.06,98758,0
20191210,25.08,25.11,25.0686,25.07,149712,0
20191211,25.06,25.14,25.05,25.11,174763,0
20191212,25.12,25.14,25.1,25.12,120998,0
20191213,25.14,25.242,25.12,25.22,91070,0
20191216,25.22,25.28,25.1979,25.26,89962,0
20191217,25.28,25.34,25.26,25.3,82384,0
20191218,25.3,25.49,25.28,25.47,147926,0
20191219,25.39,25.49,25.37,25.49,96590,0
20191220,25.49,25.6,25.42,25.55,158774,0
20191223,25.59,25.73,25.55,25.66,71385,0
20191224,25.61,25.67,25.47,25.5944,66964,0
20191226,25.57,25.63,25.44,25.44,125688,0
20191227,25.41,25.63,25.41,25.55,52285,0
20191230,25.35,25.35,25.25,25.32,157263,0
20191231,25.32,25.39,25.2857,25.32,68519,0
20200102,25.37,25.75,25.33,25.7387,96847,0
20200103,25.68,25.955,25.6482,25.84,99764,0
20200106,25.85,25.8837,25.715,25.8464,131128,0
20200107,25.8,25.847,25.7,25.8,99635,0
20200108,25.84,25.94,25.76,25.9,73283,0
20200109,25.9,25.9,25.79,25.85,68798,0
20200110,25.9,25.94,25.851,25.9,40133,0
20200113,25.82,25.94,25.82,25.9,62634,0
20200114,25.91,25.94,25.82,25.82,107276,0
20200115,25.86,25.86,25.7301,25.82,62393,0
20200116,25.8,25.89,25.71,25.83,85383,0
20200117,25.88,25.99,25.83,25.99,88280,0
20200121,25.9,25.99,25.8543,25.93,24608,0
20200122,25.98,25.98,25.88,25.96,57349,0
20200123,25.96,25.99,25.86,25.89,154549,0
