Date,Open,High,Low,Close,Volume,OpenInt
20070125,16.509,16.509,16.509,16.509,0,0
20070126,16.524,17.003,16.509,16.915,1805876,0
20070129,16.915,17.187,16.83,17.013,1187245,0
20070130,17.172,17.252,17.013,17.06,1016863,0
20070131,17.07,17.172,16.915,17.117,675654,0
20070201,17.221,17.311,17.117,17.252,828111,0
20070202,17.272,17.283,17.147,17.252,669678,0
20070205,17.272,17.311,17.088,17.163,568044,0
20070206,17.235,17.235,17.1,17.211,572135,0
20070207,17.172,17.265,17.163,17.252,457267,0
20070208,17.283,17.311,17.211,17.252,359491,0
20070209,17.244,17.272,17.128,17.211,323187,0
20070212,16.933,17.003,16.624,16.758,1158563,0
20070213,16.787,16.82,16.683,16.732,766334,0
20070214,16.787,16.994,16.758,16.862,724898,0
20070215,16.988,17.187,16.923,17.124,1507511,0
20070216,17.156,17.235,17.117,17.235,1039468,0
20070220,17.244,17.244,17.124,17.147,1057503,0
20070221,17.128,17.211,17.078,17.108,1130921,0
20070222,17.108,17.163,17.053,17.053,1105637,0
20070223,17.117,17.156,17.013,17.156,685720,0
20070226,17.147,17.235,17.078,17.156,787475,0
20070227,17.1,17.138,16.585,16.902,1133387,0
20070228,16.902,17.147,16.722,17.07,1027643,0
20070301,16.713,17.013,16.624,16.881,950907,0
20070302,16.891,16.933,16.713,16.748,764408,0
20070305,16.668,16.693,16.108,16.517,1468407,0
20070306,16.54,16.693,16.54,16.693,849306,0
20070307,16.693,16.873,16.683,16.82,700355,0
20070308,16.944,17.013,16.842,17.013,638414,0
20070309,16.97,17.117,16.891,17.046,624599,0
20070312,17.053,17.124,17.003,17.124,721674,0
20070313,17.07,17.163,16.915,16.933,817101,0
20070314,16.933,17.06,16.787,17.017,645907,0
20070315,16.854,16.873,16.683,16.787,575880,0
20070316,16.787,16.817,16.676,16.817,602116,0
20070319,16.817,16.933,16.817,16.91,589000,0
20070320,16.915,16.933,16.862,16.91,502813,0
20070321,16.988,16.988,16.862,16.915,541695,0
20070322,16.915,16.962,16.881,16.923,582433,0
20070323,17.053,17.088,16.944,17.037,719676,0
20070326,17.017,17.078,16.862,17.029,792980,0
20070327,16.873,17.078,16.873,17.078,901999,0
20070328,17.013,17.124,16.933,17.053,572250,0
20070329,17.06,17.124,17.037,17.124,443210,0
20070330,17.088,17.211,17.06,17.172,457732,0
20070402,17.187,17.272,17.138,17.265,409484,0
20070403,17.252,17.328,17.221,17.319,800828,0
20070404,17.328,17.386,17.265,17.328,634315,0
20070405,17.283,17.525,17.283,17.48,616283,0
20070409,17.729,17.738,17.574,17.704,1116043,0
20070410,17.72,17.72,17.619,17.646,938538,0
20070411,17.688,17.729,17.557,17.595,897081,0
20070412,17.609,17.738,17.574,17.712,811716,0
20070413,17.814,18.042,17.704,17.839,956100,0
20070416,17.908,17.995,17.872,17.965,1107163,0
20070417,17.965,18.042,17.908,17.918,1069101,0
20070418,17.956,18.052,17.925,18.029,1062887,0
20070419,17.771,17.824,17.603,17.699,1154463,0
20070420,17.738,17.771,17.636,17.72,781858,0
20070423,17.668,17.746,17.501,17.574,1005156,0
20070424,17.531,17.646,17.48,17.595,832562,0
20070425,17.704,17.824,17.609,17.789,823780,0
20070426,17.753,17.839,17.704,17.746,722137,0
20070427,17.746,17.814,17.699,17.78,641811,0
20070430,17.839,17.918,17.771,17.807,780797,0
20070501,17.814,17.925,17.789,17.925,663941,0
20070502,17.925,18.029,17.908,17.974,720729,0
20070503,18.015,18.023,17.95,17.995,616870,0
20070504,17.995,18.015,17.863,17.918,603525,0
20070507,17.918,18.015,17.908,17.985,631272,0
20070508,17.974,18.002,17.753,17.974,753168,0
20070509,17.965,18.015,17.925,17.985,598838,0
20070510,17.95,17.974,17.798,17.956,926113,0
20070511,17.95,18.002,17.884,18.002,576003,0
20070514,17.995,18.015,17.943,17.995,668741,0
20070515,17.985,17.995,17.833,17.903,732793,0
20070516,17.903,17.965,17.833,17.965,636306,0
20070517,17.903,17.903,17.603,17.668,881507,0
20070518,17.651,17.657,17.48,17.636,790525,0
20070521,17.595,17.651,17.414,17.603,825065,0
20070522,17.574,17.626,17.386,17.518,794156,0
20070523,17.439,17.525,17.283,17.328,923078,0
20070524,17.311,17.414,16.873,17.037,986663,0
20070525,17.211,17.311,17.078,17.272,629753,0
20070529,17.319,17.47,17.265,17.461,602228,0
