Date,Open,High,Low,Close,Volume,OpenInt
20190205,20.229,20.358,20.18,20.281,112104,0
20190206,20.269,20.282,20.061,20.219,45853,0
20190207,20.041,20.071,19.755,19.923,58921,0
20190208,19.755,19.962,19.706,19.943,19090,0
20190211,20.12,20.189,20.012,20.032,89458,0
20190212,20.18,20.328,20.15,20.323,25203,0
20190213,20.358,20.456,20.318,20.318,24258,0
20190214,20.229,20.367,20.15,20.328,14039,0
20190215,20.407,20.407,20.29,20.364,11995,0
20190219,20.367,20.575,20.367,20.516,99502,0
20190220,20.496,20.559,20.348,20.357,9500,0
20190221,20.367,20.367,20.199,20.253,10156,0
20190222,20.525,20.799,20.525,20.799,62735,0
20190225,21.039,21.138,20.936,20.946,55105,0
20190226,20.901,20.901,20.713,20.833,31838,0
20190227,20.723,20.98,20.674,20.96,25877,0
20190228,20.822,21.029,20.792,20.95,52334,0
20190301,21.128,21.128,20.854,20.949,29889,0
20190304,21.059,21.079,20.496,20.69,21460,0
20190305,20.743,20.89,20.614,20.832,9522,0
20190306,20.891,20.891,20.674,20.69,17844,0
20190307,20.683,20.683,20.348,20.399,23029,0
20190308,20.071,20.285,19.913,20.285,26421,0
20190311,20.634,20.861,20.631,20.831,10010,0
20190312,20.842,20.929,20.78,20.873,23207,0
20190313,20.95,21.148,20.95,21.061,19227,0
20190314,20.96,21.039,20.96,20.982,30924,0
20190315,21.029,21.143,21.009,21.064,13464,0
20190318,21.237,21.312,21.108,21.237,73269,0
20190319,21.306,21.335,21.187,21.256,66934,0
20190320,21.237,21.296,20.95,21.167,32210,0
20190321,21.029,21.493,20.998,21.473,24651,0
20190322,21.375,21.405,20.901,20.906,32424,0
20190325,20.842,20.95,20.713,20.883,24781,0
20190326,21.128,21.175,20.916,21.011,19666,0
20190327,21.084,21.108,20.743,20.922,37085,0
20190328,21.019,21.136,20.92,21.101,28997,0
20190329,21.197,21.312,21.187,21.295,25044,0
20190401,21.414,21.573,21.345,21.573,30050,0
20190402,21.582,21.582,21.464,21.548,32716,0
20190403,21.75,21.933,21.75,21.792,26646,0
20190404,21.81,21.81,21.513,21.617,22739,0
20190405,21.79,21.898,21.79,21.858,24148,0
20190408,21.879,21.968,21.769,21.958,28167,0
20190409,21.968,21.987,21.847,21.847,17564,0
20190410,21.908,22.017,21.893,22.012,14702,0
