Date,Open,High,Low,Close,Volume,OpenInt
20181001,24.4,24.5299,24.31,24.35,42760,0
20181002,24.27,24.53,24.27,24.49,43450,0
20181003,24.4815,24.49,24.15,24.24,62449,0
20181004,24.24,24.24,23.89,24.08,33097,0
20181005,24.09,24.24,23.91,23.95,60140,0
20181008,23.8,23.9289,23.62,23.65,31745,0
20181009,23.6968,23.88,23.66,23.85,25239,0
20181010,23.84,23.84,23.35,23.4814,77267,0
20181011,23.64,23.64,23.47,23.6,29463,0
20181012,23.56,23.96,23.56,23.8,36127,0
20181015,23.9699,24.1562,23.95,24.055,117128,0
20181016,24.15,24.2,24.0124,24.08,12875,0
20181017,24.07,24.22,24,24.01,18240,0
20181018,24.15,24.15,24.04,24.0626,17906,0
20181019,24.19,24.19,23.71,23.71,72251,0
20181022,23.71,23.88,23.65,23.88,41792,0
20181023,23.8699,24.17,23.7729,24.085,38601,0
20181024,23.9641,24.13,23.9641,24.08,3785,0
20181025,24.08,24.19,24,24.14,26500,0
20181026,24.15,24.2,23.81,24,17367,0
20181029,24.15,24.15,24.03,24.1125,14968,0
20181030,24.05,24.05,23.99,24.03,27650,0
20181031,24.124,24.124,24,24.03,31302,0
20181101,24.01,24.11,23.9975,24,48601,0
20181102,24,24.075,23.76,23.91,100897,0
20181105,23.91,23.99,23.8298,23.99,9725,0
20181106,24.03,24.04,23.901,24,13398,0
20181107,24,24.1546,23.95,24.02,31163,0
20181108,24.1,24.1,23.96,24.01,2518,0
20181109,24.01,24.02,23.99,24.0005,10680,0
20181112,23.91,24.16,23.91,24.15,5802,0
20181113,24.169,24.18,23.86,24.036,24919,0
20181114,24.09,24.09,23.91,23.91,4345,0
20181115,23.84,23.99,23.791,23.9,14132,0
20181116,23.95,24.2297,23.9,24.0971,18407,0
20181119,24.01,24.1,23.78,23.93,23770,0
20181120,24.19,24.19,23.8501,24,10404,0
20181121,24.1,24.12,23.85,24.12,16273,0
20181123,24.12,24.2199,24.12,24.2199,3209,0
20181126,24.22,24.2499,23.8501,23.985,33095,0
20181127,24.25,24.25,24.116,24.1682,3243,0
20181128,24.04,24.23,23.91,24.1999,12654,0
20181129,24.15,24.25,24.0792,24.25,4224,0
20181130,23.9,23.9,23.7499,23.8,5032,0
20181203,24,24,23.75,23.8096,8327,0
20181204,23.9,24.25,23.9,24.072,23531,0
20181206,23.56,23.7999,23.17,23.41,13574,0
20181207,23.41,23.698,23.41,23.68,13138,0
20181210,23.679,23.68,23.679,23.68,1168,0
20181211,23.57,23.7,23.34,23.7,15666,0
20181212,23.43,23.89,23.35,23.89,22425,0
20181213,23.41,24.25,23.41,24.25,19015,0
20181214,24.15,24.5,23.8,24.5,17956,0
20181217,24.57,24.57,24,24.39,6257,0
20181218,24.25,24.34,24.1,24.34,9327,0
20181219,24.1414,24.38,23.85,23.949,7578,0
20181220,23.95,24.2,23.25,24.08,10960,0
20181221,24.24,24.24,23.3567,23.3567,1694,0
20181224,23.4322,23.4322,23.4322,23.4322,446,0
20181226,23.2965,24.2399,23.2965,24.2399,3345,0
20181227,24.0132,24.2,23.89,24.2,8989,0
20181228,24.2,24.2,23.7631,23.77,1771,0
20181231,24.2,24.4,23.9,24.32,7249,0
20190102,24.35,25,24.35,24.8,2532,0
20190103,25,25.02,24.28,24.6575,7205,0
20190104,24.3,25,24.3,24.89,5188,0
20190107,24.7399,24.7399,24.65,24.7088,1637,0
20190108,24.8,24.8,24.63,24.75,7278,0
20190109,24.5706,24.8,24.5706,24.675,4458,0
20190110,24.5872,24.68,24.5872,24.68,4444,0
20190111,24.62,24.79,24.5601,24.79,6619,0
20190114,24.7293,24.7293,24.7293,24.7293,1488,0
20190115,24.7599,24.79,24.55,24.58,8508,0
20190116,24.64,24.64,24.29,24.515,30779,0
20190117,24.51,24.79,24.388,24.79,8775,0
20190118,24.8,25,24.75,25,9676,0
20190122,25.05,25.05,24.36,24.46,14500,0
20190123,24.7166,24.7166,24.7166,24.7166,517,0
20190124,24.6894,24.6894,24.5,24.5,1737,0
20190125,24.85,24.85,24.76,24.76,32229,0
20190128,24.66,24.78,24.66,24.76,18122,0
20190129,24.83,24.9,24.8,24.861,10179,0
20190130,24.74,25.29,24.685,24.96,33448,0
20190131,25.642,26.37,25,25.83,348677,0
20190201,25.83,25.99,25.38,25.72,70084,0
20190204,25.45,25.5,25.45,25.5,676,0
20190205,25.42,25.55,25.42,25.55,1493,0
20190206,25.1478,25.15,25.1478,25.149,1678,0
20190207,25.08,25.19,25.049,25.19,3383,0
20190208,25.12,25.15,25.0697,25.135,13230,0
20190211,25.43,25.43,25.275,25.39,833,0
20190212,25.35,25.36,25.15,25.15,4368,0
20190213,25.34,25.4,25.15,25.2014,2169,0
20190214,25.151,25.151,25.0423,25.145,13543,0
20190215,25.15,25.2,25.1266,25.2,5025,0
20190219,25.1999,25.2,25.06,25.18,5028,0
20190220,25.09,25.28,25.09,25.28,7074,0
20190221,25.38,25.45,25.2001,25.345,22461,0
20190222,25.31,25.45,25.31,25.45,11400,0
20190225,25.45,25.4934,25.44,25.492,4033,0
20190226,25.58,25.6331,25.515,25.6331,5277,0
20190227,25.47,25.6672,25.47,25.63,19308,0
20190228,25.43,25.43,25.32,25.32,442,0
20190301,25.31,25.52,25.31,25.52,4535,0
20190304,25.5,25.5,25.2,25.258,24216,0
20190305,25.27,25.45,25.27,25.45,5460,0
20190306,25.4,25.4,25.31,25.4,5752,0
20190307,25.31,25.46,25.13,25.46,5392,0
20190308,25.15,25.33,25.15,25.29,3255,0
20190311,25.31,25.31,25.16,25.231,4003,0
20190312,25.31,25.31,25.2907,25.31,1818,0
20190313,25.3692,25.44,25.3692,25.43,1500,0
20190314,25.4112,25.44,25.33,25.44,2999,0
20190315,25.3,25.5,25.213,25.5,2714,0
20190318,25.38,25.4355,25.35,25.4355,5513,0
20190319,25.3119,25.39,25.25,25.263,10857,0
20190320,25.27,25.39,25.27,25.36,13861,0
20190321,25.3899,25.39,25.32,25.32,4312,0
20190322,25.221,25.34,25.221,25.34,1919,0
20190325,25.25,25.27,25.05,25.185,19756,0
20190326,25.2362,25.4,25.15,25.15,16859,0
20190327,25.24,25.3,25.19,25.1992,8510,0
20190328,25.26,25.26,25.1501,25.215,1218,0
20190329,25.3232,25.43,25.17,25.43,4171,0
20190401,25.85,25.85,25.4,25.57,11599,0
20190402,25.38,25.5,25.3,25.435,3717,0
20190403,25.38,25.59,25.36,25.53,4501,0
20190404,25.36,25.53,25.36,25.47,3711,0
20190405,25.4,25.52,25.4,25.49,2900,0
20190408,25.56,25.56,25.41,25.49,5877,0
20190409,25.4,25.46,25.3961,25.43,5725,0
20190410,25.49,25.56,25.49,25.55,5271,0
20190411,25.54,25.55,25.5198,25.55,2591,0
20190412,25.55,25.59,25.55,25.56,2198,0
20190415,25.59,25.59,25.45,25.495,8008,0
20190416,25.65,25.74,25.62,25.65,8351,0
20190417,25.67,25.74,25.52,25.52,2049,0
20190418,25.5801,25.6068,25.58,25.6,2767,0
20190422,25.676,25.676,25.47,25.48,2319,0
20190423,25.5727,25.7,25.5727,25.7,5319,0
20190424,25.6207,25.6207,25.58,25.61,1159,0
20190425,25.6857,25.73,25.65,25.65,2601,0
20190426,25.65,25.65,25.58,25.6,2591,0
20190429,25.74,25.8,25.74,25.8,4853,0
20190430,25.79,25.94,25.79,25.94,4124,0
20190501,25.69,25.95,25.69,25.8524,6242,0
20190502,25.84,25.93,25.77,25.8244,2901,0
20190503,25.82,25.9262,25.82,25.9262,1127,0
20190507,25.79,25.8178,25.7,25.75,91687,0
20190509,25.81,25.83,25.7015,25.7015,3900,0
20190510,25.7923,25.8071,25.73,25.7923,2603,0
20190513,25.75,25.75,25.69,25.69,934,0
20190514,25.92,25.92,25.69,25.79,6378,0
20190515,25.91,25.93,25.7633,25.7633,2645,0
20190516,25.805,25.98,25.805,25.98,1637,0
20190517,25.78,25.78,25.78,25.78,455,0
20190520,25.88,25.88,25.8036,25.8066,2980,0
20190521,25.79,25.89,25.79,25.8899,3036,0
20190522,25.8116,25.8116,25.8116,25.8116,614,0
20190523,25.76,25.77,25.68,25.76,6191,0
20190528,25.77,25.8177,25.77,25.78,3147,0
20190529,25.77,25.85,25.76,25.85,3930,0
20190530,25.85,25.97,25.77,25.97,8728,0
20190531,25.49,25.93,25.49,25.93,6527,0
20190603,25.99,26,25.8,25.8,6250,0
20190604,25.94,25.99,25.94,25.95,1833,0
20190605,25.89,25.99,25.8202,25.99,3804,0
20190606,25.99,25.99,25.97,25.99,1623,0
20190607,25.97,25.99,25.96,25.98,2205,0
20190610,25.98,26,25.9513,25.96,1838,0
20190611,25.979,26,25.9525,25.9525,4041,0
20190612,25.901,26,25.901,25.92,1715,0
20190613,25.88,26,25.88,25.97,2525,0
20190614,26,26,25.96,25.96,1116,0
20190617,26,26.145,25.97,26.14,6891,0
20190618,26.21,26.2521,26.01,26.15,6008,0
20190619,26.13,26.19,26.04,26.11,3564,0
20190620,26.29,26.29,26.2583,26.26,665,0
20190621,26.25,26.25,26.25,26.25,1083,0
20190624,25.94,26.36,25.94,26.3,7107,0
20190625,26.31,26.35,26.17,26.17,3732,0
20190626,26.355,26.38,26.17,26.17,2103,0
20190627,26.17,26.2,25.93,25.98,12467,0
20190628,25.93,25.93,25.37,25.42,68207,0
20190701,25.61,25.62,25.46,25.58,17811,0
20190702,25.52,25.71,25.5,25.68,9575,0
20190703,25.7,25.7487,25.69,25.71,8555,0
20190705,25.6627,25.71,25.6339,25.71,10479,0
20190708,25.66,25.75,25.6433,25.705,1783,0
20190709,25.68,25.72,25.68,25.69,6736,0
20190710,25.75,25.75,25.69,25.69,3948,0
20190711,25.73,25.79,25.7,25.71,11028,0
20190712,25.75,25.79,25.75,25.75,1205,0
20190715,25.78,25.78,25.74,25.77,6185,0
20190716,25.778,25.8358,25.75,25.8358,14303,0
20190717,25.85,25.89,25.85,25.89,7276,0
20190718,25.9,26.03,25.83,25.99,20604,0
20190719,25.9273,26.02,25.9273,26.02,1774,0
20190722,26,26.01,25.98,25.98,9333,0
20190723,26.01,26.0514,26,26,9841,0
20190724,26.06,26.15,26.06,26.1415,3105,0
20190725,26.1403,26.17,26.01,26.01,6066,0
20190726,26.1,26.24,26.1,26.14,11189,0
20190729,26.1876,27.66,26.1876,26.84,20666,0
20190730,26.44,26.79,26.35,26.59,4720,0
20190731,26.8,26.91,26.67,26.91,16756,0
20190801,26.73,26.81,26.55,26.7,3746,0
20190802,26.7899,26.92,26.78,26.86,2615,0
20190805,26.859,26.86,26.5,26.5,3621,0
20190806,26.5,26.84,26.46,26.49,5512,0
20190807,26.6182,26.6182,26.6182,26.6182,1181,0
20190808,26.71,26.71,26.71,26.71,1808,0
20190812,26.5894,26.5894,26.5894,26.5894,487,0
20190813,26.5,26.75,26.5,26.73,3977,0
20190814,26.66,26.76,26.6,26.74,2969,0
20190815,26.61,26.86,26.61,26.74,7047,0
20190816,26.9,26.9,26.8991,26.8991,2817,0
20190819,26.9,26.9739,26.75,26.8432,4583,0
20190821,26.746,27.02,26.746,27.02,3000,0
20190822,26.97,26.97,26.88,26.9,3524,0
20190823,26.7919,26.7919,26.7919,26.7919,607,0
20190826,26.9,26.9,26.8,26.8597,3172,0
20190827,26.81,26.9559,26.81,26.9559,5684,0
20190828,26.9,27.07,26.84,27.07,7749,0
20190829,26.92,27.06,26.91,26.93,9050,0
20190830,26.7,27,26.7,27,11048,0
20190903,26.91,26.91,26.9,26.9,980,0
20190904,26.83,27.09,26.83,27.09,3627,0
20190905,26.95,26.95,26.906,26.91,2460,0
20190906,27.0188,27.0188,27.0188,27.0188,1015,0
20190909,26.95,26.95,26.9,26.91,1846,0
20190910,26.91,26.91,26.86,26.87,1811,0
20190911,26.62,26.6944,26.56,26.6944,1234,0
20190912,26.81,26.81,26.81,26.81,221,0
20190913,26.6732,26.6732,26.3144,26.4571,12601,0
20190916,26.33,26.54,26.33,26.53,4865,0
20190918,26.37,26.4295,26.35,26.427,3341,0
20190919,26.44,26.51,26.41,26.4651,6168,0
20190920,26.43,26.43,26.41,26.43,871,0
20190923,26.44,26.5,26.42,26.5,2812,0
20190924,26.51,26.62,26.51,26.52,2264,0
20190925,26.52,26.65,26.52,26.63,10548,0
20190926,26.7033,26.75,26.6,26.65,15724,0
20190927,26.73,26.75,26.56,26.75,7124,0
20190930,26.7,26.7,26.25,26.3,64433,0
20191001,26.37,26.408,26.3,26.38,5849,0
20191002,26.14,26.24,26.11,26.24,8131,0
20191003,26.2,26.26,26.15,26.26,5997,0
20191004,26.15,26.36,26.15,26.29,10574,0
20191007,26.3,26.3,26.2,26.2,9458,0
20191008,26.2115,26.27,26.125,26.26,10260,0
20191009,26.26,26.35,26.2,26.205,7678,0
20191010,26.3525,26.4521,26.21,26.41,13645,0
20191011,26.45,26.63,26.45,26.63,5222,0
20191014,26.66,26.72,26.64,26.71,4445,0
20191015,26.6679,26.72,26.6679,26.72,1404,0
20191016,26.6,26.75,26.6,26.75,8031,0
20191017,26.83,26.83,26.61,26.67,1685,0
20191018,26.65,26.66,26.53,26.53,3881,0
20191021,26.5988,26.5988,26.55,26.55,2525,0
20191022,26.64,26.64,26.44,26.44,395034,0
20191023,26.6,26.7,26.5376,26.67,4826,0
20191024,26.66,26.66,26.52,26.6,12174,0
20191025,26.55,26.6299,26.55,26.5953,2301,0
20191028,26.62,26.62,26.5498,26.6195,6481,0
20191029,26.63,26.76,26.565,26.72,12087,0
20191030,26.76,26.85,26.7139,26.83,5686,0
20191031,26.75,27.06,26.651,27.04,15627,0
20191101,27.2,27.2,26.96,27.04,1825,0
20191104,27.15,27.45,27.15,27.35,4293,0
