Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.628,11.886,11.618,11.797,161456,0
20050228,11.761,11.966,11.733,11.932,156313,0
20050301,11.94,12.012,11.886,11.956,165707,0
20050302,11.966,12.058,11.857,11.984,165481,0
20050303,11.984,12.058,11.895,12.039,136411,0
20050304,12.012,12.163,11.993,12.154,112932,0
20050307,12.172,12.431,12.172,12.415,183819,0
20050308,12.397,12.503,12.299,12.326,198355,0
20050309,12.299,12.334,12.207,12.243,119192,0
20050310,12.226,12.235,12.075,12.075,171298,0
20050311,12.1,12.163,12.049,12.126,123663,0
20050314,12.075,12.538,12.075,12.503,245986,0
20050315,12.564,12.95,12.519,12.528,311504,0
20050316,12.484,12.574,12.475,12.512,247550,0
20050317,12.503,12.684,12.503,12.684,101748,0
20050318,12.691,12.709,12.308,12.308,294291,0
20050321,12.326,12.781,12.326,12.781,149604,0
20050322,12.519,12.602,12.28,12.343,184939,0
20050323,12.326,12.361,12.154,12.179,99288,0
20050324,12.075,12.448,12.075,12.343,123663,0
20050328,12.343,12.387,12.172,12.207,167719,0
20050329,12.179,12.207,12.012,12.039,157881,0
20050330,12.049,12.163,12.049,12.163,93251,0
20050331,12.118,12.154,12.049,12.154,217587,0
20050401,12.154,12.179,11.975,12.075,309272,0
20050404,12.075,12.135,11.956,12.092,121430,0
20050405,12.058,12.1,11.984,12.012,160559,0
20050406,12.031,12.092,11.94,11.94,158326,0
20050407,11.914,12.049,11.895,12.049,48973,0
20050408,12.012,12.031,11.743,11.752,97500,0
20050411,11.752,11.779,11.628,11.716,108011,0
20050412,11.674,11.867,11.545,11.849,94371,0
20050413,11.876,11.876,11.526,11.535,64854,0
20050414,11.58,11.716,11.377,11.377,140881,0
20050415,11.377,11.475,11.314,11.405,187842,0
20050418,11.448,12.012,11.432,11.993,246656,0
20050419,11.966,12.039,11.822,11.993,139316,0
20050420,12.039,12.039,11.733,11.743,137973,0
20050421,12.135,13.183,12.118,12.941,500695,0
20050422,12.789,13.36,12.754,13.102,455076,0
20050425,13.37,13.923,13.325,13.923,490854,0
20050426,13.923,14.041,13.672,13.856,501140,0
20050427,13.637,13.848,13.443,13.69,238382,0
20050428,13.601,13.611,13.05,13.131,209536,0
20050429,13.2,13.272,12.771,12.86,331410,0
20050502,12.878,13.518,12.878,13.452,466255,0
20050503,13.452,13.508,13.235,13.308,149831,0
20050504,13.388,14.068,13.333,14.068,297645,0
20050505,13.864,13.872,13.388,13.518,222504,0
20050506,13.728,13.822,13.567,13.672,77816,0
20050509,13.699,13.848,13.62,13.822,118744,0
20050510,13.728,13.756,13.425,13.425,82293,0
