Date,Open,High,Low,Close,Volume,OpenInt
20150130,25.22,25.33,25.21,25.31,1229281,0
20150202,25.3,25.33,25.29,25.31,954907,0
20150203,25.34,25.46,25.3,25.3,1110524,0
20150204,25.35,25.37,25.3,25.31,1238239,0
20150205,25.33,25.33,25.21,25.27,2377263,0
20150206,25.23,25.27,25.15,25.17,1062708,0
20150209,25.2,25.23,25.17,25.18,424085,0
20150210,25.2,25.25,25.17,25.21,501793,0
20150211,25.23,25.29,25.22,25.26,438031,0
20150212,25.3,25.34,25.27,25.31,432837,0
20150213,25.33,25.38,25.33,25.33,404508,0
20150217,25.36,25.36,25.18,25.2,769260,0
20150218,25.24,25.28,25.14,25.2,692122,0
20150219,25.23,25.25,25.18,25.19,412607,0
20150220,25.22,25.3,25.2,25.22,756223,0
20150223,25.3,25.31,25.22,25.3,273864,0
20150224,25.31,25.4,25.28,25.37,554516,0
20150225,25.41,25.59,25.4,25.54,816913,0
20150226,25.58,25.65,25.54,25.64,416305,0
20150227,25.65,25.65,25.49,25.52,1159674,0
20150302,25.55,25.56,25.48,25.48,257991,0
20150303,25.53,25.57,25.47,25.54,305437,0
20150304,25.58,25.61,25.49,25.53,883063,0
20150305,25.58,25.58,25.51,25.54,249926,0
20150306,25.47,25.47,25.16,25.17,933833,0
20150309,25.2,25.27,25.08,25.15,749522,0
20150310,25.16,25.22,25.101,25.19,338923,0
20150311,25.22,25.32,25.2,25.22,358307,0
20150312,25.26,25.3,25.12,25.24,466507,0
20150313,25.24,26.26,25.17,25.25,281016,0
20150316,25.29,25.4,25.28,25.33,237535,0
20150317,25.4,25.4,25.3,25.35,342015,0
20150318,25.38,25.58,25.32,25.57,483386,0
20150319,25.58,25.6,25.51,25.54,216037,0
20150320,25.6,25.74,25.59,25.7,199843,0
20150323,25.73,25.8,25.71,25.77,240160,0
20150324,25.79,25.85,25.73,25.82,694168,0
20150325,25.78,25.85,25.77,25.82,224254,0
20150326,25.8,25.82,25.72,25.73,202550,0
20150327,25.8,25.84,25.76,25.8,299821,0
20150330,25.46,25.57,25.42,25.5,514472,0
20150331,25.51,25.69,25.48,25.58,459277,0
20150401,25.62,25.64,25.58,25.63,166353,0
20150402,25.64,25.7,25.59,25.69,216237,0
20150406,25.74,25.77,25.69,25.75,367529,0
20150407,25.77,25.88,25.76,25.86,270983,0
20150408,25.83,25.89,25.83,25.87,225589,0
20150409,25.87,26.481,25.82,25.89,163456,0
20150410,25.9,25.95,25.86,25.94,152264,0
20150413,25.92,25.95,25.86,25.9,166341,0
20150414,25.93,25.93,25.83,25.88,227670,0
20150415,25.92,26.02,25.91,25.94,485665,0
20150416,25.96,26.08,25.96,26.05,395968,0
20150417,26,26.14,25.75,26.02,3501737,0
20150420,25.99,26.1,25.97,26.04,436495,0
20150421,26.02,26.06,25.93,25.99,323943,0
20150422,26,26,25.86,25.88,170624,0
20150423,25.93,26,25.83,25.93,304336,0
20150424,25.96,26.04,25.93,26.035,182180,0
20150427,26.04,26.04,25.96,26,128621,0
20150428,26,26,25.93,26,136308,0
20150429,25.93,25.96,25.83,25.86,390410,0
20150430,25.84,25.85,25.58,25.8,395763,0
20150501,25.81,25.81,25.65,25.7,214514,0
20150504,25.71,25.73,25.66,25.67,182243,0
20150505,25.68,25.7,25.42,25.5,353492,0
20150506,25.54,25.54,25.12,25.25,367471,0
20150507,25.3,25.481,25.26,25.38,220689,0
20150508,25.46,25.66,25.46,25.52,238185,0
20150511,25.54,25.54,25.16,25.32,205710,0
20150512,25.24,25.43,25.169,25.34,409073,0
20150513,25.4,25.54,25.37,25.5,180809,0
20150514,25.53,25.58,25.5,25.54,164228,0
20150515,25.6,25.65,25.55,25.65,189446,0
20150518,25.6,25.65,25.5,25.64,153605,0
20150519,25.6,25.63,25.55,25.62,152981,0
20150520,25.62,25.75,25.6,25.75,112639,0
20150521,25.77,25.85,25.69,25.72,178670,0
20150522,25.76,25.78,25.7,25.78,146230,0
20150526,25.79,25.82,25.711,25.81,108233,0
20150527,25.78,25.94,25.78,25.92,174782,0
20150528,25.87,25.87,25.69,25.75,323742,0
20150529,25.72,25.83,25.72,25.8,124124,0
20150601,25.83,25.87,25.73,25.84,123244,0
20150602,25.78,25.9,25.73,25.9,531702,0
20150603,25.84,25.84,25.69,25.72,157472,0
20150604,25.77,25.8,25.72,25.77,88600,0
20150605,25.7,25.76,25.66,25.66,127172,0
20150608,25.72,25.738,25.65,25.69,67777,0
20150609,25.65,25.69,25.571,25.64,90891,0
20150610,25.61,25.66,25.55,25.57,124957,0
20150611,25.62,25.66,25.52,25.53,103565,0
20150612,25.58,25.58,25.431,25.47,124341,0
20150615,25.5,25.6,25.46,25.57,88668,0
20150616,25.59,25.65,25.575,25.65,78138,0
20150617,25.58,25.7,25.56,25.6,110375,0
20150618,25.66,25.68,25.52,25.55,76210,0
20150619,25.61,25.64,25.53,25.63,49928,0
20150622,25.65,25.65,25.57,25.62,35131,0
20150623,25.62,25.62,25.58,25.6,92670,0
20150624,25.65,25.7,25.55,25.69,102078,0
20150625,25.7,25.7,25.51,25.55,83603,0
20150626,25.55,25.64,25.52,25.62,60364,0
20150629,25.2,25.21,25.1,25.15,105163,0
20150630,25.15,25.3,25.11,25.23,150789,0
20150701,25.29,25.35,25.25,25.34,90167,0
20150702,25.39,25.753,25.335,25.42,63367,0
20150706,25.4,25.44,25.31,25.33,59148,0
20150707,25.28,25.43,25.28,25.35,132824,0
20150708,25.41,25.46,25.345,25.4,43708,0
20150709,25.38,25.45,25.35,25.36,98667,0
20150710,25.37,25.47,25.36,25.42,57450,0
20150713,25.45,25.49,25.43,25.47,109057,0
20150714,25.5,25.56,25.44,25.56,73896,0
20150715,25.52,25.73,25.52,25.67,162658,0
20150716,25.69,25.81,25.67,25.8,126429,0
20150717,25.92,25.92,25.771,25.87,104952,0
20150720,25.88,25.93,25.86,25.89,54885,0
20150721,25.92,25.92,25.78,25.79,119908,0
20150722,25.86,25.86,25.7,25.718,195728,0
20150723,25.76,25.8,25.72,25.78,88447,0
20150724,25.8,25.83,25.76,25.81,137397,0
20150727,25.84,25.89,25.78,25.8,172667,0
20150728,25.84,25.87,25.81,25.84,74113,0
20150729,25.88,25.88,25.78,25.81,89779,0
20150730,25.8,26.21,25.79,25.83,88167,0
20150731,25.84,25.9,25.84,25.88,63624,0
20150803,25.9,26.05,25.88,26.01,67998,0
20150804,26.05,26.05,25.94,25.95,192276,0
20150805,26.02,26.02,25.9,25.93,105997,0
20150806,25.96,25.99,25.86,25.89,89824,0
20150807,25.87,25.94,25.85,25.926,66722,0
20150810,25.933,26.01,25.93,25.99,118311,0
20150811,26.01,26.01,25.91,26,74968,0
20150812,25.94,25.95,25.87,25.901,249998,0
20150813,25.95,25.96,25.89,25.93,38394,0
20150814,25.96,26.01,25.93,26.01,46048,0
20150817,26.02,26.02,25.89,25.89,58910,0
20150818,25.95,25.96,25.83,25.85,94261,0
20150819,25.91,25.91,25.75,25.8,75526,0
20150820,25.83,25.85,25.72,25.73,68854,0
20150821,25.73,25.8,25.69,25.72,85040,0
20150824,25.49,25.54,25.19,25.23,169719,0
20150825,25.48,25.48,25.33,25.37,116123,0
20150826,25.44,25.48,25.28,25.34,128352,0
20150827,25.38,25.53,25.38,25.5,177524,0
20150828,25.54,25.66,25.5,25.58,64477,0
20150831,25.598,25.76,25.53,25.68,51379,0
20150901,25.65,25.69,25.57,25.65,54554,0
20150902,25.76,25.77,25.51,25.62,276020,0
20150903,25.59,25.65,25.5,25.5,81847,0
20150904,25.5,25.58,25.5,25.53,66890,0
20150908,25.64,25.64,25.45,25.5,110236,0
20150909,25.52,25.55,25.45,25.48,84954,0
20150910,25.53,25.62,25.49,25.52,60747,0
20150911,25.55,25.643,25.52,25.59,59395,0
20150914,25.58,25.647,25.57,25.59,42042,0
20150915,25.64,25.69,25.55,25.59,71238,0
