Date,Open,High,Low,Close,Volume,OpenInt
20170406,24.369,24.418,24.347,24.393,1708,0
20170407,24.388,24.388,24.388,24.388,1736,0
20170410,24.388,24.388,24.369,24.369,619,0
20170411,24.408,24.514,24.408,24.486,4368,0
20170412,24.505,24.514,24.505,24.514,904,0
20170413,24.951,24.951,24.631,24.64,1320,0
20170417,24.679,24.776,24.621,24.621,1216,0
20170418,24.476,24.476,24.311,24.311,10573,0
20170419,24.34,24.34,24.34,24.34,104,0
20170420,24.143,24.146,24.04,24.04,3718,0
20170424,24.699,24.699,23.816,23.904,5639,0
20170425,23.972,23.972,23.972,23.972,206,0
20170426,23.934,23.997,23.934,23.997,1420,0
20170427,23.841,23.846,23.841,23.846,209,0
20170428,23.904,23.904,23.904,23.904,115,0
20170501,23.633,24.456,23.633,24.456,2273,0
20170502,23.865,23.865,23.836,23.836,5369,0
20170503,23.643,23.673,23.623,23.623,8674,0
20170504,23.313,23.313,23.211,23.211,2142,0
20170505,22.917,22.917,22.917,22.917,1269,0
20170509,23.245,23.245,23.245,23.245,134,0
20170510,23.323,23.469,23.295,23.459,5163,0
20170512,23.565,24.224,23.565,23.585,525,0
20170515,23.74,23.74,23.653,23.653,411,0
20170516,23.643,23.643,23.595,23.595,238,0
20170517,23.721,23.749,23.721,23.749,637,0
20170522,24.099,24.099,24.099,24.099,154,0
20170523,24.186,24.186,24.068,24.068,1420,0
20170525,23.779,23.779,23.721,23.721,55903,0
20170530,23.721,23.721,23.527,23.527,827,0
20170531,23.721,23.721,23.401,23.429,11256,0
20170601,23.371,23.371,23.329,23.335,412,0
20170602,23.303,23.323,23.303,23.323,301,0
20170606,25.638,25.638,23.343,23.362,1484,0
20170613,23.051,23.129,23.051,23.129,51726,0
20170614,23.169,23.169,22.867,22.867,206,0
20170620,22.655,22.715,22.655,22.715,320,0
20170622,22.538,22.567,22.538,22.567,993,0
20170623,22.52,22.548,22.52,22.548,310,0
20170630,23.391,23.391,23.391,23.391,206,0
20170703,23.416,23.416,23.416,23.416,310,0
20170707,23.247,23.247,23.177,23.177,1050,0
20170711,23.507,23.507,23.507,23.507,739,0
20170712,23.527,23.527,23.527,23.527,206,0
20170713,23.312,23.332,23.312,23.321,827,0
20170717,23.453,23.453,23.453,23.453,206,0
20170718,23.623,23.701,23.555,23.575,2959,0
20170719,23.673,23.673,23.673,23.673,206,0
20170721,23.682,23.682,23.547,23.555,827,0
20170725,23.565,23.565,23.565,23.565,827,0
20170726,23.643,23.673,23.605,23.673,362,0
20170727,23.865,23.865,23.865,23.865,827,0
20170728,23.972,23.982,23.972,23.982,206,0
20170801,23.721,23.721,23.691,23.699,938,0
20170804,23.663,23.663,23.663,23.663,516,0
20170807,23.537,23.769,23.537,23.663,967,0
20170808,23.874,23.874,23.846,23.846,6612,0
20170810,23.749,23.759,23.746,23.746,3119,0
20170811,23.71,23.846,23.701,23.799,6695,0
20170817,23.449,23.449,23.449,23.449,104,0
20170818,23.585,23.681,23.585,23.681,310,0
20170821,25.182,25.182,23.605,23.623,2526,0
20170822,23.614,23.623,23.612,23.612,1164,0
20170825,23.673,23.691,23.673,23.691,206,0
20170828,24.204,24.204,23.585,23.711,6108,0
20170830,23.69,23.69,23.69,23.69,206,0
20170831,23.865,24.05,23.865,24.05,2607,0
20170907,24.214,24.418,24.214,24.418,2972,0
20170908,26.152,26.152,24.121,24.136,4724,0
20170914,24.253,24.253,24.253,24.253,104,0
20170919,24.13,24.13,24.13,24.13,126,0
20170920,24.276,24.276,24.276,24.276,6205,0
20170926,24.124,24.127,24.124,24.126,310,0
20170929,24.02,24.02,24.02,24.02,464,0
20171002,23.759,23.831,23.759,23.831,301,0
20171006,23.846,23.865,23.846,23.865,2387,0
20171010,24.136,24.136,24.136,24.136,6400,0
20171012,24.117,24.117,24.117,24.117,1138,0
20171017,24.36,24.408,24.36,24.36,619,0
20171025,24.989,24.989,24.437,24.486,4016,0
20171106,25.096,25.096,25.096,25.096,104,0
20171107,25.086,25.086,25.086,25.086,931,0
20171115,24.534,24.544,24.534,24.544,243,0
20171117,24.572,24.572,24.572,24.572,2064,0
20171127,24.873,24.873,24.873,24.873,1862,0
20171128,24.757,24.757,24.757,24.757,104,0
20171204,24.592,24.592,24.592,24.592,145,0
20171205,24.486,24.486,24.486,24.486,126,0
20171211,24.166,24.166,24.166,24.166,681,0
20171212,23.973,23.973,23.973,23.973,206,0
20171213,23.972,23.991,23.972,23.977,310,0
20171214,24.088,24.088,24.088,24.088,104,0
20171219,24.278,24.278,24.278,24.278,129,0
20171222,24.59,24.59,24.578,24.578,310,0
20171226,24.794,24.881,24.755,24.881,681,0
20171227,24.958,24.958,24.958,24.958,129,0
20180102,25.298,25.303,25.278,25.303,1233,0
20180103,25.308,25.348,25.278,25.348,410,0
20180104,25.443,25.443,25.443,25.443,262,0
20180105,25.453,25.453,25.152,25.269,4740,0
20180108,25.201,25.201,25.173,25.173,1880,0
20180109,25.152,25.152,25.152,25.152,134,0
20180111,25.336,25.336,25.327,25.336,4927,0
20180112,25.782,25.782,25.491,25.491,780,0
20180116,25.395,25.395,25.317,25.392,6349,0
20180117,25.414,25.414,25.414,25.414,464,0
20180118,25.516,25.516,25.395,25.462,7180,0
20180119,25.521,25.521,25.456,25.462,1664,0
20180122,25.501,25.559,25.501,25.559,1974,0
20180123,25.559,25.617,25.54,25.617,2012,0
20180124,25.849,25.849,25.849,25.849,350,0
20180125,25.947,25.957,25.782,25.782,2763,0
20180126,25.908,25.986,25.908,25.986,1370,0
20180129,25.976,25.976,25.86,25.91,5439,0
20180130,25.976,25.976,25.773,25.831,3062,0
20180131,25.773,25.801,25.743,25.801,2299,0
20180201,25.763,25.763,25.763,25.763,490,0
20180202,25.598,25.69,25.598,25.627,1754,0
20180205,25.55,25.55,25.409,25.443,2932,0
20180206,25.433,25.443,25.419,25.433,7213,0
20180207,25.433,25.433,25.194,25.194,1902,0
20180208,25.104,25.104,25.104,25.104,198,0
20180209,24.92,24.92,24.696,24.78,7401,0
20180212,24.949,24.968,24.92,24.929,21778,0
20180213,24.988,25.075,24.988,25.075,2192,0
20180214,25.637,25.647,24.852,24.988,5013,0
20180215,25.395,25.395,25.395,25.395,1124,0
20180216,25.462,25.472,25.462,25.462,13530,0
20180220,25.424,25.501,25.424,25.424,692,0
20180222,25.467,25.608,25.467,25.579,3413,0
20180226,25.779,25.779,25.744,25.744,1537,0
20180227,25.695,25.695,25.589,25.589,206,0
20180301,25.433,25.433,25.307,25.307,408,0
20180302,25.521,25.521,25.521,25.521,362,0
20180305,25.666,25.666,25.666,25.666,419,0
20180306,25.753,25.753,25.753,25.753,104,0
20180307,25.49,25.491,25.472,25.472,4525,0
20180308,25.346,25.346,25.346,25.346,104,0
20180309,25.462,25.462,25.458,25.458,578,0
20180312,25.433,25.433,25.433,25.433,362,0
