Date,Open,High,Low,Close,Volume,OpenInt
20180502,1224.98,1224.98,1115,1120.06,3058,0
20180503,1100.02,1100.02,980,985.01,4158,0
20180504,961,1019,961,1005,579,0
20180507,985,1001.05,964.7,997.6,1939,0
20180508,1000,1006.74,985,987.8,916,0
20180509,1056.91,1056.91,1004.44,1004.44,293,0
20180510,1010,1010,985.01,985.01,303,0
20180511,1007.9,1007.9,970.01,1000.78,390,0
20180514,980,992.2,950.12,950.12,560,0
20180515,951.21,975,950.5,968,810,0
20180516,969.89,999.5,955.52,998.89,377,0
20180517,1015,1045,1015,1020.08,246,0
20180518,1020.12,1035,995,995,313,0
20180521,1020,1035,990.53,990.53,961,0
20180522,995.25,1048.55,995.25,1014,496,0
20180523,1025,1044.72,1020.67,1034.81,406,0
20180524,1034,1034,1023.51,1023.51,233,0
20180525,1029.87,1055.43,1008.02,1018.1,349,0
20180529,1020,1020,1019.26,1019.49,147,0
20180530,1026,1054,1010.5,1023.08,469,0
20180531,1050.75,1089.07,1028.77,1070,891,0
20180601,1056,1060,1031.01,1031.01,242,0
20180604,1036.79,1036.79,961,981.07,842,0
20180605,982,1005.79,967.06,993.75,917,0
20180606,1020,1020,997.88,997.88,175,0
20180607,1019.5,1019.5,995,995,239,0
20180608,995,1003.04,975.15,995.34,1658,0
20180611,996,997.185,995.34,997,1460,0
20180612,977.35,985,964.06,970,4500,0
20180613,975,986,970,971.07,1080,0
20180614,973,981,968,979.03,654,0
20180615,979.1,985.77,979.1,980.14,916,0
20180618,999,1000,984.51,997.61,757,0
20180619,990,990,970.03,973.01,515,0
20180620,977.3,995,950.52,959,907,0
20180621,950,961.38,949,955.07,403,0
20180622,957.57,991.75,957.57,967.15,1625,0
20180625,954.6,978,952,952.14,791,0
20180626,960,1005,960,962.1,433,0
20180627,964.55,989.99,955.76,989.99,254,0
20180628,987.49,990,942.58,942.58,987,0
20180629,945.08,960,940.001,950,675,0
20180702,938.3,960,938.3,938.7,350,0
20180703,941.2,985,941.2,963.55,194,0
20180705,980.38,980.38,971.1,971.1,84,0
20180706,980,1006.1,980,995,296,0
20180709,989.64,1013.53,965,965,389,0
20180710,985,1020,957.75,988.42,325,0
20180711,955.75,985,955.75,978.4,348,0
20180712,977.25,988,967.11,988,141,0
20180713,962.35,982.987,953.79,960,152,0
20180716,972.075,972.075,963,963,184,0
20180717,984.8,989.98,977.8,977.8,168,0
20180718,965.52,988.99,965.52,986.47,406,0
20180719,973.7,981.75,973.7,979,258,0
20180720,989.99,989.99,973.79,973.79,431,0
20180723,969,980,969,980,184,0
20180724,980,985,935,983.99,578,0
20180725,979,986.5,967.2,986.5,835,0
20180726,977.7,989.98,977.7,987,273,0
20180727,989.99,989.99,978,978,181,0
20180730,979,983.5,979,980,141,0
20180731,985,985,977.42,977.42,70,0
20180801,976.05,985,975,985,295,0
20180802,984.98,984.98,947.45,947.45,440,0
20180803,954,979.98,944,979.98,248,0
20180806,980,980,956.1,956.1,478,0
20180807,961.283,964,961.28,964,98,0
20180808,966,966,957.6,957.6,128,0
20180809,970,970,955.15,955.15,123,0
20180810,975,975,951.2,951.2,151,0
20180813,970.36,970.36,960.6,968.41,363,0
20180814,985.87,985.87,985,985.01,239,0
20180815,983.5,983.5,975,975,319,0
20180816,989.99,989.99,966,966,123,0
20180817,989.99,989.99,965.01,970.07,88,0
20180820,989.99,990,966.15,990,138,0
20180821,976.36,985,963.88,963.88,299,0
20180822,990,990,956.11,956.11,353,0
20180823,974.97,974.99,964.8,974.99,191,0
20180824,960.2,960.2,960.2,960.2,57,0
20180827,980,980,954.5,954.5,309,0
20180828,947.67,963.94,945,945,278,0
20180829,966.46,966.46,946,950,229,0
20180830,945.35,960.05,945.01,960.05,189,0
20180831,958.12,958.12,958.12,958.12,69,0
20180904,966.4,980,955,976.07,273,0
20180905,950.4,959.79,942,946,303,0
20180906,968.8,968.8,936,936.1,295,0
20180907,963,963,935,935,369,0
20180910,935.03,935.03,901,907.55,925,0
20180911,930,930,918,918,232,0
20180912,925.42,925.42,925.42,925.42,181,0
20180913,921.15,922.52,903.85,903.85,177,0
20180914,902,924,902,906.2,445,0
20180917,915.08,927,915,915,228,0
20180918,928.05,947.74,909.15,910.01,730,0
20180919,916.2,921.25,907.11,921.25,590,0
20180920,918.8,938.64,912.3,925,529,0
20180921,932.15,939.43,920,930.49,1550,0
20180924,907.5,926.7,907.5,923.64,570,0
20180925,915,929,911.35,924.01,609,0
20180926,927,927,927,927,90,0
20180927,908,927.5,908,911.3,279,0
20180928,917.1,922,917.1,922,135,0
20181001,914,914,912.6,912.6,73,0
20181002,920.47,920.47,906.07,906.07,172,0
20181003,906.093,918.89,906.093,909,160,0
20181004,906.15,906.15,896.21,896.21,176,0
20181005,895.36,906.9,895.359,906.9,199,0
20181008,906.4,906.5,905.89,906.5,144,0
20181009,900,906.45,900,906.45,131,0
20181010,881.21,907,861.07,901.42,420,0
20181011,903.9,903.9,903.9,903.9,50,0
20181012,904,908,904,908,139,0
20181015,885.32,900.9,882,885.3,138,0
20181016,900,905,900,905,90,0
20181017,886,886,886,886,67,0
20181018,875,875,840.4,865,320,0
20181019,835.6,890,835.6,857.74,104,0
20181022,860,860,850.56,850.56,88,0
20181023,836.07,836.07,832.06,832.06,106,0
20181024,830.23,832.05,802.16,802.16,586,0
20181025,807.21,807.21,807.21,807.21,67,0
20181026,802,802,750,782,309,0
20181029,753.8,755.25,717.25,739.45,338,0
20181030,743.03,743.03,730,730,95,0
20181031,759.4,759.4,749.99,750,564,0
20181101,750.46,769.5,750.46,769.5,337,0
20181102,768.8,779.9,765.05,779.9,159,0
20181105,797.14,804,779.9,804,201,0
20181106,784.997,785,780,780,98,0
20181107,777,789,777,789,221,0
20181108,791.5,805,783,783,87,0
20181109,778,815,778,815,61,0
20181112,786.905,791.98,780.08,780.08,221,0
20181113,781,790.02,761.05,790.01,607,0
20181114,769.75,775,754.5,757.06,216,0
20181115,748,757,748,752,294,0
20181116,748.003,752,748.003,752,487,0
20181119,750,770,750,757.95,249,0
20181120,750,758.65,742.55,750,490,0
20181121,750.05,755,750.05,755,125,0
20181123,750,750,750,750,139,0
20181126,748.98,750,723.11,735.55,308,0
20181127,721.1,746.425,721.1,729.45,197,0
20181128,730.57,735,730.09,730.14,278,0
20181129,719.352,725,710,725,1287,0
20181130,722,722,698.75,698.75,1168,0
20181203,715.1,720,698.05,710,1281,0
20181204,717.62,732.556,710.88,716,887,0
20181206,735,747.21,723.3,730.49,604,0
20181207,700.64,721.66,700.64,721.66,86,0
20181210,708.3,708.3,697,697,186,0
20181211,700.05,700.05,695,696.25,419,0
20181212,700.59,710.453,700.59,709.5,849,0
20181213,701.343,708.671,689.321,705,1374,0
20181214,698.05,730.049,698.05,730,537,0
20181217,740,742.5,728.49,735.05,333,0
20181218,730,730,725,728.87,194,0
20181219,720,720,720,720,90,0
20181220,717.212,717.212,705,705,596,0
20181221,702,703.65,649.03,657.08,1062,0
20181224,649.995,650,610.13,635,451,0
20181226,637.49,637.49,620.5,631.76,500,0
20181227,620.39,640.5,610,640.5,256,0
20181228,640,640,606.405,610.04,412,0
20181231,630,630,571.46,587.67,1686,0
20190102,599.99,634.5,595.83,634.5,759,0
20190103,607,623.2,600.99,623.2,107,0
20190104,675,675,635.56,635.56,112,0
20190107,654.243,680,624.43,624.43,202,0
20190108,628.75,628.75,626,626,111,0
20190109,650,650,650,650,47,0
20190110,650,650,650,650,52,0
20190111,632.55,632.55,610,625.15,481,0
20190114,649.7,649.7,610,620.35,628,0
20190115,633.32,633.32,625,625,121,0
20190116,636.8,636.8,636.8,636.8,25,0
20190117,609.85,620,600,609.95,211,0
20190118,627,627,602,602,439,0
20190122,610,615.612,610,610,274,0
20190123,625,625,610,622,320,0
20190124,610,624.5,610,622,148,0
20190125,622.22,627,622,625.2,282,0
20190128,649.45,649.45,649.45,649.45,69,0
20190130,650,687,650,660.04,184,0
20190131,660,660,650.01,650.01,82,0
20190201,650.02,650.02,650.02,650.02,49,0
20190204,655.169,666.98,650.02,650.4,182,0
20190205,674.68,674.85,650.06,673.95,253,0
20190206,651.05,674.95,651,662,222,0
20190208,647.51,647.51,645.62,645.62,89,0
20190211,666.95,666.95,646.05,646.05,155,0
20190212,664.5,664.5,658.62,658.62,84,0
20190213,679.99,679.99,679.99,679.99,25,0
20190214,667.5,667.5,667.5,667.5,37,0
20190215,690,690,673.57,673.57,127,0
20190219,673.56,682.01,671.614,675.16,579,0
20190220,705.98,705.98,684.8,684.8,60,0
20190221,680.5,700.95,680.1,680.1,103,0
20190222,695,719.23,689.01,719.23,192,0
20190225,703.97,734.5,703.47,718.79,117,0
20190226,715,715,715,715,40,0
20190227,711,711,699.641,699.641,147,0
20190228,699.1,705.386,699,699,306,0
20190301,702.495,702.495,700,700,107,0
20190304,683.1,699.5,681.71,699.5,266,0
20190306,680.5,684.7,679,684.7,411,0
20190307,680,680,665,665,211,0
20190308,656.3,669.1,655.1,655.14,174,0
20190311,667.7,667.7,666,666,68,0
20190312,686.489,686.489,670.5,670.5,81,0
20190313,684.94,710,684.94,693.75,391,0
20190314,695,702.9,689.62,689.62,156,0
20190315,700,713.3,684.24,684.24,856,0
20190318,691.25,714.99,691.25,706.26,133,0
20190319,703.416,738.7,703.416,721.7,155,0
20190320,718.01,718.05,718.01,718.05,112,0
20190321,718,727.99,718,718,170,0
20190322,718,718.003,706.1,706.1,201,0
20190325,710.05,710.05,710.05,710.05,50,0
20190326,739.5,739.5,735,735,384,0
20190327,734.987,742.5,734.987,742.5,253,0
20190328,730.22,743.4,730.22,738.02,110,0
20190329,736.17,745,735.43,735.43,232,0
20190401,733.6,749.59,733.59,749.59,124,0
20190402,740.25,741.186,735.03,735.03,142,0
20190404,740,740,740,740,31,0
20190405,740.01,743,739,739,215,0
20190408,740.214,740.214,740.214,740.214,67,0
20190409,739,739,739,739,60,0
20190410,742.5,743,742.5,743,118,0
20190411,740,740,739.01,739.01,89,0
20190415,748.98,767.316,748.98,756.9,160,0
20190416,756.906,760.26,756.906,760.26,50,0
20190417,762.5,766.95,762.5,766.95,138,0
20190418,765.03,775,762.544,774.97,230,0
20190422,752.19,787,752.19,787,257,0
20190423,769,778,754.34,773.8,536,0
20190424,777.52,790.96,776.25,790.96,96,0
20190425,790,817,790,817,314,0
20190426,785,793.75,781.85,786.75,710,0
20190429,775.05,775.35,753.63,758.1,481,0
20190430,749,749,728.502,737,372,0
20190501,727,740.997,714,716.11,368,0
20190502,709.55,709.55,686.82,689,191,0
20190503,684,684,667.65,667.65,111,0
20190506,665,665,608.15,608.15,267,0
20190507,610.31,615,600,600,224,0
20190508,600,600,599.01,599.01,134,0
20190509,609.5,609.5,609.5,609.5,67,0
20190510,614.5,614.5,614.5,614.5,42,0
20190513,600,600,547,547,479,0
20190514,558.02,558.02,557.52,558,223,0
20190515,559,569.51,559,559.01,98,0
20190516,552.25,561.6,552.25,561.6,103,0
20190517,563.003,569.89,541.2,541.2,133,0
20190520,540,541.759,540,541.759,379,0
20190521,568.85,573,555.62,573,603,0
20190522,587.066,589,567.7,589,1320,0
20190523,589,589,550,550,400,0
20190524,555,557,555,557,269,0
20190528,561.381,561.381,545,545,120,0
20190529,534.14,534.14,520,520,182,0
20190530,513,521.01,510.15,517,151,0
20190531,500,500,481.01,489.5,525,0
20190603,476.36,533.98,476.36,530.01,773,0
20190604,570,600.97,557.45,584.03,488,0
20190605,615.41,619.73,600.05,619.73,1279,0
20190606,615,629.24,615,615.11,465,0
20190607,589.27,630,589.27,625,341,0
20190610,617.25,633.15,590.83,610,1716,0
20190611,587,600,575.31,585.27,852,0
20190612,584.64,610,581.48,599.96,799,0
20190613,610,642.49,571,640.12,2297,0
20190614,636.1,664.37,635,650.11,662,0
20190617,638,643.3,617.96,617.96,1118,0
20190618,614,614,581.3,583.1,450,0
20190619,568.18,568.18,537.1,564.3,600,0
20190620,572.8,599.95,557.4,599.95,397,0
20190621,603,603,573.61,584,470,0
20190624,572,572,530.55,546.92,736,0
20190625,529.95,542.69,518.84,542.69,915,0
20190626,549.3,563.957,530,540.12,348,0
20190627,537,560.35,529.22,541.04,1019,0
20190628,542,562.98,529.44,530.52,12284,0
20190701,555,555,515.01,516.02,642,0
20190702,538,538,494.4,516.01,506,0
20190703,543,543,508.01,508.01,441,0
20190705,507.26,522.37,500.25,517.28,101,0
20190708,506.65,529,506.65,515.78,171,0
20190709,529,534,516.01,516.2,498,0
20190710,533.6,538,519.585,537.997,202,0
20190711,539.13,539.13,524.997,525,104,0
20190712,544.95,544.95,518.79,520.75,195,0
20190715,518.11,522.01,518,518,36,0
20190716,520,523,510.8,510.8,118,0
20190717,510,512,504.49,507.01,258,0
20190718,508,515,499,515,253,0
20190719,512,512,512,512,110,0
20190723,496.6,496.6,492.42,492.42,67,0
20190724,500,500,495.5,495.5,93,0
20190725,487.02,499,470.2,470.2,555,0
20190726,470.201,470.201,462.01,462.01,259,0
20190729,465,471,459.5,459.5,269,0
20190730,457,463.5,457,461.5,296,0
20190731,465.02,469.792,457,457,287,0
20190801,464.95,468.92,445,445,314,0
20190802,458.35,479.56,450.7,475,175,0
20190806,485,490,480,480,70,0
20190807,495.02,495.02,495.02,495.02,61,0
20190808,515,535.38,509.88,521,505,0
20190809,521.201,527.57,518,527.57,433,0
20190812,524.45,524.45,517.595,517.595,59,0
20190813,529.8,530,508.2,519.97,130,0
20190814,503.151,505,497,500.724,494,0
20190815,501,501,499.74,501,342,0
20190816,501.5,506.99,499.98,499.98,305,0
20190819,500,505,500,500,85,0
20190820,491,495.67,481.52,495.67,213,0
20190821,495.67,495.67,486,486,71,0
20190822,486.51,486.54,470.51,470.51,461,0
20190823,467,467,445.5,448,152,0
20190826,460.93,460.93,450.33,452,195,0
20190827,471.27,471.27,426.52,451,927,0
20190828,459.83,462.24,451.01,451.01,70,0
20190829,462,462,443.51,443.51,890,0
20190830,450.997,451.01,439.76,439.76,255,0
20190903,465,465,446.27,457.12,139,0
20190904,456.89,468,455.12,455.12,156,0
20190905,465.69,471,460.15,460.15,94,0
20190906,475.747,485.55,475.747,485.55,74,0
20190909,481.38,525.94,481.38,525.94,527,0
20190910,539.98,542.62,509.71,542.61,253,0
20190911,544.95,575,544.95,557.7,720,0
20190912,560,571.4,546.477,558.94,240,0
20190913,553.533,553.533,537.95,538.15,343,0
20190916,553.28,568.3,553.28,557.448,199,0
20190917,552,567,545,567,169,0
20190918,568.95,568.95,568.95,568.95,182,0
20190919,574,590.225,568.78,579.24,855,0
20190920,561.66,561.66,561.66,561.66,531,0
20190923,555.5,566.95,555,566.95,458,0
20190924,546.5,546.5,543.58,543.58,141,0
20190925,545,575.19,545,560,138,0
20190926,556.66,566.77,541.02,566.77,143,0
20190927,555,560,555,558,69,0
20190930,543.527,561.18,543.527,561.18,64,0
20191001,545,545,545,545,13,0
20191002,535,535,529.74,529.74,186,0
20191003,527.5,527.5,515.41,515.41,242,0
20191004,530,530,515.39,522,86,0
20191007,522,525.5,511,511,197,0
20191008,511,511,473,473,1086,0
20191009,497,497,450,450,825,0
20191010,459.58,459.58,447,447,78,0
20191011,459,462,430.5,430.5,321,0
20191014,440,440,414.43,414.43,131,0
20191015,417,418.51,409.2,409.2,341,0
20191016,421.91,422.3,409.1,422.3,278,0
20191017,425,436.34,423.02,423.02,333,0
