Date,Open,High,Low,Close,Volume,OpenInt
20170504,20,20.25,17,17.5,3942470,0
20170505,17.5,18.44,17.2101,17.91,702282,0
20170508,17.99,19.4,17.97,19.4,351789,0
20170509,19.75,20,19.45,19.85,230650,0
20170510,19.93,21.87,19.16,21.87,304647,0
20170511,21.87,22.7,21.26,21.9,327029,0
20170512,21.91,22.1999,21.43,21.59,70224,0
20170515,21.51,22.32,21.51,21.97,89654,0
20170516,21.9,22.99,21.88,22.85,127943,0
20170517,22.49,23.13,21.75,22.09,251967,0
20170518,21.76,22.5,21.5101,22.42,83742,0
20170519,22.47,23.059,21.65,22.02,241725,0
20170522,22.01,22.2499,20.561,20.9,233495,0
20170523,20.97,22.15,20.655,21.94,160314,0
20170524,22.03,22.03,21.6601,21.84,90401,0
20170525,21.85,23.45,21.6101,22.97,202979,0
20170526,23.19,25.2,22.79,23.79,219668,0
20170530,24.57,25.87,23.71,24.09,802015,0
20170531,24.29,25.4,24.11,25.21,242946,0
20170601,25.46,26.28,24.78,24.89,215178,0
20170602,25.09,25.35,24.01,24.51,187614,0
20170605,24.56,24.81,24.1496,24.75,129315,0
20170606,24.73,24.99,21.67,22.22,308695,0
20170607,22.08,22.618,21.82,22.01,98923,0
20170608,21.84,22.31,21.8301,21.99,40359,0
20170609,21.85,21.99,20.9,21.5,107669,0
20170612,21.74,21.9,21,21.57,232914,0
20170613,21.66,22.835,21.25,22.68,112403,0
20170614,22.64,23.74,22.13,23.52,249450,0
20170615,23.34,23.3968,22.3867,23.08,256196,0
20170616,22.93,25.8,22.76,25.58,606671,0
20170619,25.7,26.87,25.31,25.63,365625,0
20170620,25.5,26.265,25.36,25.58,217612,0
20170621,25.47,26.98,25.14,26.8,259575,0
20170622,26.93,28.34,24.92,25.46,273412,0
20170623,25.55,25.76,24.58,25.33,1293094,0
20170626,25.3,25.6304,24.76,25.01,241714,0
20170627,24.9,25.46,24.9,25.06,104932,0
20170628,25.15,25.33,24.76,24.79,76471,0
20170629,24.65,25.22,24.33,25.13,65856,0
20170630,25.06,25.42,24.59,25,209851,0
20170703,25.18,26.1,25.12,26.01,24069,0
20170705,25.77,26.64,25.04,25.51,48854,0
20170706,25.6,25.6,24.53,24.66,64177,0
20170707,24.81,25,23.53,24.01,160228,0
20170710,23.91,24.65,23.03,24,118604,0
20170711,23.96,24.505,23.015,23.83,160785,0
20170712,23.92,25.17,23.45,24.6,165233,0
20170713,24.56,25.02,24.0578,24.4,93075,0
20170714,24.52,25.27,24.0501,24.73,94721,0
20170717,24.66,25.215,24.38,25.03,51163,0
20170718,24.93,25.32,23.58,24.91,82465,0
20170719,24.87,25,24.22,24.74,39971,0
20170720,24.8,25,24.08,24.33,74101,0
20170721,24.8,25.25,24.1301,24.88,94165,0
20170724,24.77,25.95,24.25,25.79,58390,0
20170725,25.91,26.27,25.31,26.23,86064,0
20170726,26.45,26.45,25.421,26.12,127476,0
20170727,26.07,26.07,24.56,25.25,47552,0
20170728,25.19,25.75,25.1101,25.61,13410,0
20170731,25.61,26.14,25.07,25.76,46008,0
20170801,25.61,25.845,24.47,25.34,59523,0
20170802,25.15,25.78,23.475,23.63,74360,0
20170803,23.81,24.25,23.14,23.54,44002,0
20170804,23.54,23.71,23.01,23.58,22309,0
20170807,23.77,24.14,23.28,23.98,45162,0
20170808,24,24.58,23.77,24.24,74837,0
20170809,24.17,24.4,23.925,24.18,34290,0
20170810,24.07,24.43,23.1872,23.62,61483,0
20170811,23.57,24.6,23.57,24.4,69526,0
20170814,24.22,24.55,22.951,24.41,303584,0
20170815,24.41,25.41,24.33,24.59,172946,0
20170816,24.6,25.96,24.52,25.64,139980,0
20170817,25.58,26.25,25.05,25.59,156896,0
20170818,25.31,28.79,25.2,28.52,188569,0
20170821,28.73,30.74,28.73,30.33,277628,0
20170822,30.61,34,30.32,33.5,219269,0
20170823,33.37,33.7,32.29,33.02,156481,0
20170824,33.34,34.63,32.8629,34.2,144196,0
20170825,34.1,34.53,33.55,34.24,69177,0
