Date,Open,High,Low,Close,Volume,OpenInt
20191017,15.5,17.25,15.15,16.5,8884782,0
20191018,16.12,16.99,15.805,16.35,1219282,0
20191021,16.41,17.47,16.25,16.68,949199,0
20191022,16.62,16.7005,15.65,16,2064928,0
20191023,15.98,16.7,15.73,16.25,4250696,0
20191024,16.25,16.4,15.98,16.3,450716,0
20191025,16.27,16.75,16.1154,16.3,363085,0
20191028,16.45,16.83,16.3,16.68,291062,0
20191029,16.68,17.43,16.68,17.26,500242,0
20191030,17.26,17.839,17.07,17.41,467501,0
20191031,17.4,17.84,16.984,17.47,630930,0
20191101,17.47,18.49,17.439,17.99,905469,0
20191104,18.09,18.71,17.93,18.4,475508,0
20191105,18.45,18.73,17.51,17.77,697050,0
20191106,17.62,17.87,17.01,17.39,353208,0
20191107,17.36,18.1,17.21,17.95,288977,0
20191108,17.9,18.385,17.71,18.25,243140,0
20191111,18.35,19.22,18.35,18.94,797426,0
20191112,19.05,19.211,18.64,18.65,743957,0
20191113,18.69,19.22,18.5,19.22,547493,0
20191114,19.3,19.75,18.76,19.26,314264,0
20191115,19.26,19.4355,18.88,19.08,183600,0
20191118,18.96,19.41,18.91,19.24,300711,0
20191119,19.22,19.54,18.68,19.4,716775,0
20191120,19.37,19.7,19.26,19.31,436309,0
20191121,19.28,19.563,18.79,18.87,441976,0
20191122,18.72,20.9,18.65,20.37,651970,0
20191125,20.75,20.75,20.06,20.1,312268,0
20191126,20.14,20.56,19.93,20.04,2192506,0
20191127,20.04,20.24,19.99,20.09,253009,0
20191129,20.1,20.26,20.01,20.03,84777,0
20191202,20.1,20.535,19.96,20.23,698948,0
20191203,20.2,20.48,20.02,20.25,525377,0
20191204,20.28,20.9,20.28,20.8,744996,0
20191205,20.75,21.2591,20.45,20.77,392846,0
20191206,20.96,21.07,20.56,21,367394,0
20191209,21.08,21.3393,20.72,21.24,1357104,0
20191210,21.22,21.485,20.61,21,454989,0
20191211,21.13,21.3,20.71,21,309089,0
20191212,20.97,21.3,20.53,20.87,296433,0
20191213,20.93,21.5,20.9,21.41,672416,0
20191216,21.6,21.72,21.36,21.55,728611,0
20191217,21.82,21.88,21.46,21.6,815367,0
20191218,21.7,21.9994,21.27,21.78,800869,0
20191219,21.87,22.83,21.683,22.6,1494833,0
20191220,22.82,22.99,22.02,22.12,6791056,0
20191223,22.39,23.36,22.36,23,753571,0
20191224,23,23.27,23,23.14,310474,0
20191226,23.16,24.03,23.11,23.82,373305,0
20191227,23.93,24.03,22.81,22.99,352533,0
20191230,22.96,23.14,22.14,22.41,332875,0
20191231,22.32,22.47,21.26,21.29,542235,0
20200102,21.35,21.445,20.05,20.32,684509,0
20200103,20.12,20.42,19.845,20.34,402457,0
20200106,20.33,21.09,20.33,21.04,324491,0
20200107,21.03,22.07,20.8426,21.97,338555,0
20200108,21.97,22.41,21.97,22.21,406667,0
20200109,22.25,22.36,21.36,21.41,595163,0
20200110,21.38,21.38,20.48,20.63,863493,0
20200113,20.58,20.915,20.43,20.53,650984,0
20200114,20.56,21.67,20.09,21.65,624119,0
20200115,21.57,23.15,21.5626,22.45,481513,0
20200116,22.53,22.7082,21.81,22.45,339099,0
20200117,22.5,22.63,21.87,22.56,319409,0
20200121,22.53,23.174,22.255,22.95,344605,0
20200122,22.98,23.35,22.64,22.78,215653,0
20200123,22.97,24.03,22.91,23.4,368174,0
