Date,Open,High,Low,Close,Volume,OpenInt
20050225,47.787,48.492,47.162,48.492,592382,0
20050228,48.492,48.949,47.348,47.894,696755,0
20050301,47.894,48.597,47.621,48.569,490052,0
20050302,48.667,49.097,48.218,48.883,678950,0
20050303,49.254,49.3,48.235,48.813,955239,0
20050304,49.157,49.157,48.463,48.726,458636,0
20050307,49.731,53.113,49.607,52.547,1846109,0
20050308,52.547,52.577,51.061,51.521,827634,0
20050309,51.403,51.403,50.162,50.826,822210,0
20050310,50.826,51.109,50.035,50.826,795504,0
20050311,51.129,52.242,51.129,51.803,950224,0
20050314,52.048,52.616,51.961,52.381,542035,0
20050315,53.945,57.315,53.699,56.094,2256654,0
20050316,56.104,56.104,54.727,54.968,1009881,0
20050317,54.919,56.485,54.873,56.191,843700,0
20050318,56.191,56.191,54.968,55.468,1295480,0
20050321,55.351,55.351,52.869,53.699,1326077,0
20050322,53.846,54.053,53.269,53.796,1024923,0
20050323,53.796,53.796,51.892,52.224,1189468,0
20050324,52.671,53.739,52.636,53.113,436432,0
20050328,53.123,53.349,52.184,52.45,564138,0
20050329,52.291,53.299,50.915,51.158,626455,0
20050330,50.816,52.252,50.767,51.502,910725,0
20050331,51.452,51.607,50.836,50.964,554621,0
20050401,51.452,52.281,51.452,52.174,552983,0
20050404,52.281,52.498,51.071,52.02,425481,0
20050405,51.912,52.645,51.902,52.381,315787,0
20050406,52.577,53.749,52.577,53.407,667286,0
20050407,54.968,55.458,54.139,54.968,1014077,0
20050408,55.215,55.85,54.236,54.384,528014,0
20050411,54.384,55.215,53.885,54.765,556667,0
20050412,54.737,55.497,53.983,55.361,605478,0
20050413,55.701,57.901,55.195,55.556,1204613,0
20050414,55.751,55.86,52.721,53.141,763781,0
20050415,52.948,53.456,51.227,51.521,914409,0
20050418,50.816,51.794,49.107,50.905,985323,0
20050419,52.271,53.141,51.188,51.892,591153,0
20050420,51.892,51.892,48.949,49.469,1045391,0
20050421,50.445,51.432,49.369,50.896,797855,0
20050422,50.896,51.052,46.663,47.338,1370590,0
20050425,48.617,51.002,48.001,50.239,1459616,0
20050426,53.161,56.133,52.547,55.302,3041617,0
20050427,53.749,54.236,52.547,52.662,1683921,0
20050428,52.671,53.249,51.012,51.677,1067186,0
20050429,51.892,52.527,50.387,51.578,967311,0
20050502,51.482,52.281,50.328,51.168,741574,0
20050503,50.406,51.345,49.987,50.534,552064,0
20050504,51.306,53.856,51.207,53.19,1254139,0
20050505,53.19,53.905,52.469,53.329,786293,0
20050506,53.749,54.043,52.938,53.249,456080,0
20050509,53.309,53.993,52.547,53.973,700440,0
20050510,53.749,53.796,51.931,52.106,560453,0
20050511,52.232,52.81,50.836,52.626,628605,0
20050512,52.43,52.626,50.915,51.158,740962,0
20050513,51.158,51.442,49.349,50.504,990338,0
20050516,50.465,51.745,50.299,51.627,607628,0
20050517,51.403,51.715,50.816,51.597,544900,0
20050518,51.892,54.187,51.695,53.895,1276244,0
20050519,53.895,54.481,53.485,54.236,730217,0
20050520,54.197,54.236,53.505,53.836,527812,0
20050523,54.082,54.481,53.065,54.217,728172,0
20050524,53.729,54.13,52.889,53.259,575087,0
20050525,53.016,53.103,51.853,51.99,701769,0
20050526,51.99,52.626,51.99,52.469,665340,0
20050527,52.281,52.908,52.281,52.517,416580,0
20050531,52.517,52.869,51.597,51.657,865191,0
20050601,51.794,53.426,51.55,53.046,1275116,0
20050602,53.2,54.727,52.928,54.57,923515,0
20050603,55.156,55.701,53.983,54.295,918912,0
20050606,54.55,54.58,53.582,54.236,552064,0
20050607,54.384,55.458,54.003,54.102,552472,0
20050608,54.102,54.618,53.171,53.259,392429,0
20050609,53.016,54.452,52.547,54.442,458022,0
20050610,54.843,55.038,53.495,53.993,478590,0
20050613,54.043,54.168,53.319,53.639,249682,0
20050614,53.749,54.638,53.456,54.315,715173,0
20050615,54.56,54.677,53.259,53.866,534973,0
20050616,53.796,53.846,53.407,53.796,479104,0
20050617,53.796,53.945,52.869,53.269,833160,0
20050620,52.78,53.259,52.662,52.928,449733,0
20050621,52.701,52.75,51.168,51.745,1177497,0
20050622,51.794,52.281,51.412,52.01,499261,0
20050623,51.813,52.252,49.469,50.221,732980,0
