Date,Open,High,Low,Close,Volume,OpenInt
20100823,7.645,7.6793,7.645,7.6793,993,0
20100824,7.9479,8.0183,7.7853,7.9542,1817,0
20100825,8.1311,8.1311,7.7788,7.9759,1845,0
20100826,8.0321,8.2079,7.8558,8.2079,966,0
20100827,8.3846,8.6311,8.3846,8.624,1135,0
20100830,8.5609,8.7789,8.5389,8.7726,6217,0
20100831,8.6033,8.6033,8.5942,8.5942,426,0
20100901,8.7726,8.7726,8.6105,8.6311,1704,0
20100902,8.8068,8.8068,8.6033,8.715,2556,0
20100903,8.5389,8.5468,8.5389,8.5468,426,0
20100907,8.6592,8.6592,8.6592,8.6592,141,0
20100908,8.4552,8.4552,8.279,8.279,1135,0
20100909,8.6311,8.6311,8.279,8.4331,1845,0
20100910,8.5468,8.5468,8.3846,8.3846,569,0
20100913,8.4331,8.5327,8.4331,8.5327,569,0
20100914,8.8762,8.8762,8.6033,8.624,1987,0
20100915,8.7726,8.8852,8.3623,8.3623,2697,0
20100916,8.6592,8.7294,8.2362,8.715,2556,0
20100924,8.4269,8.4269,8.314,8.314,3597,0
20100929,8.4552,8.4552,8.4552,8.4552,710,0
20100930,8.3846,8.4048,8.3846,8.4048,426,0
20101001,8.5672,8.5744,8.3706,8.3706,1704,0
20101004,8.6654,8.6654,8.5879,8.6384,1158,0
20101005,8.8917,8.9132,8.8347,8.8347,3259,0
20101012,9.062,9.0819,9.062,9.0819,851,0
20101015,9.2932,9.2999,9.2932,9.2999,4464,0
20101018,9.2932,9.3067,9.1389,9.2932,2281,0
20101019,9.2932,9.2932,9.2932,9.2932,284,0
20101021,9.0458,9.0962,9.0325,9.0686,1278,0
20101022,8.9479,9.1455,8.9479,8.9618,2975,0
20101025,9.1247,9.1522,9.1038,9.1038,1132,0
20101026,9.2015,9.2295,9.1948,9.216,4406,0
20101027,9.2806,9.632,9.0819,9.0819,2769,0
20101028,9.2932,9.2932,9.1247,9.1247,5820,0
20101029,9.2015,9.2652,9.1588,9.1588,11549,0
20101101,9.2295,9.2874,9.1389,9.1588,10828,0
20101102,9.1803,9.1948,9.1588,9.1736,9369,0
20101103,9.243,9.2932,9.243,9.2574,4038,0
20101104,9.2999,9.434,9.2932,9.434,28479,0
20101105,9.2574,9.2574,9.0819,9.0819,1418,0
20101108,9.3691,9.3691,9.1247,9.1247,1704,0
20101110,9.1038,9.2517,9.1038,9.2517,851,0
20101111,8.991,8.991,8.8141,8.8141,710,0
20101116,8.6654,8.6654,8.4552,8.5468,30657,0
20101117,8.7294,8.7294,8.7294,8.7294,284,0
20101118,8.8762,8.975,8.8762,8.975,371,0
20101123,8.8284,8.8284,8.6592,8.6592,284,0
20101124,8.8068,9.4478,8.8068,9.3838,1418,0
20101126,9.2372,9.2372,9.2372,9.2372,284,0
20101129,9.0895,9.0895,8.7925,8.9412,1789,0
20101130,8.9057,8.9272,8.9057,8.9272,426,0
20101202,9.1038,9.1038,9.1038,9.1038,569,0
20101203,9.2806,9.4557,9.2806,9.2806,894,0
20101206,9.518,9.518,9.518,9.518,141,0
20101207,9.709,9.709,9.3211,9.3211,1271,0
20101208,9.1455,9.1455,9.1455,9.1455,426,0
20101209,8.9975,9.062,8.7861,8.8852,4767,0
20101210,8.7573,8.7573,8.7501,8.7501,1793,0
20101213,8.8347,9.1038,8.8347,9.1038,1617,0
20101215,9.1313,9.1313,9.1313,9.1313,851,0
20101216,9.2228,9.2574,9.2015,9.2574,2229,0
20101220,9.2999,9.602,9.2999,9.602,2980,0
20101221,9.1247,9.1247,9.1247,9.1247,596,0
20101222,8.8636,8.8636,8.6952,8.6952,1845,0
20101227,8.6446,8.6446,8.6311,8.6311,569,0
20101228,8.7573,8.8708,8.7367,8.8708,710,0
20101230,8.9132,8.9132,8.7644,8.7644,951,0
20110103,8.8991,8.9412,8.8991,8.9412,426,0
20110104,9.117,9.1389,9.117,9.1389,426,0
20110105,9.0543,9.0543,9.0543,9.0543,2130,0
20110107,9.062,9.062,9.0458,9.062,1418,0
20110112,9.2295,9.2295,9.2295,9.2295,569,0
20110113,9.3691,9.3691,9.3691,9.3691,569,0
20110114,9.3423,9.3423,9.2999,9.2999,710,0
