Date,Open,High,Low,Close,Volume,OpenInt
20180926,25,25.09,24.9954,25.08,211951,0
20180927,25.1,25.14,25.05,25.12,317949,0
20180928,25.14,25.21,25.1,25.11,205892,0
20181001,25.12,25.16,24.95,25.01,125886,0
20181002,24.92,25.14,24.92,25.1,90700,0
20181003,25.09,25.14,24.9405,25.05,129134,0
20181004,24.99,25.05,24.85,25.05,66753,0
20181005,24.93,25.05,24.93,25.01,46115,0
20181008,25.01,25.0499,24.73,24.86,172600,0
20181009,24.85,24.98,24.85,24.97,26194,0
20181010,25.03,25.08,24.95,25.01,64964,0
20181011,25,25.01,24.93,24.995,75699,0
20181012,25.02,25.02,24.985,25.01,36505,0
20181015,25.03,25.06,24.915,25.01,273307,0
20181016,25.01,25.08,25,25,57646,0
20181017,25.04,25.06,24.995,25.01,55464,0
20181018,24.89,25,24.88,24.97,68108,0
20181019,25.01,25.25,24.87,25.24,1319109,0
20181022,25.02,25.11,24.94,25.0175,43009,0
20181023,25,25.03,24.99,24.99,11524,0
20181024,25,25.03,24.96,24.99,51318,0
20181025,25,25.12,24.9577,25.09,147139,0
20181026,25.07,25.15,25.06,25.15,27859,0
20181029,25.1,25.25,25.06,25.15,42345,0
20181030,25.08,25.25,25.08,25.1,46937,0
20181031,25.155,25.64,25.13,25.64,233614,0
20181101,25.54,25.54,25.16,25.16,74355,0
20181102,25.2099,25.3,25.18,25.3,20300,0
20181105,25.3,25.37,25.19,25.2,33943,0
20181106,25.2,25.3063,25.2,25.2,35410,0
20181107,25.2675,25.2991,25.2,25.25,71490,0
20181108,25.26,25.29,25.25,25.29,16973,0
20181109,25.3,25.37,25.29,25.35,51400,0
20181112,25.35,25.49,25.25,25.3,18252,0
20181113,25.27,25.35,25.25,25.35,46336,0
20181114,25.3,25.34,25.23,25.34,30772,0
20181115,25.224,25.27,25.16,25.26,147002,0
20181116,25.23,25.32,25.18,25.3,206897,0
20181119,25.32,25.32,25.11,25.24,23648,0
20181120,25.3,25.32,25.07,25.28,162499,0
20181121,25.28,25.28,25.1,25.16,88603,0
20181123,25.1,25.18,25.09,25.15,140524,0
20181126,25.14,25.37,25.1092,25.25,13946,0
20181127,25.13,25.28,25.13,25.24,55199,0
20181128,25.35,25.35,25.1,25.25,95227,0
20181129,24.9,25.13,24.76,24.83,25372,0
20181130,24.95,24.97,24.52,24.8001,48993,0
20181203,24.96,25,24.58,24.82,29008,0
20181204,24.74,24.92,24.58,24.78,47314,0
20181206,24.93,24.93,24.33,24.93,59739,0
20181207,24.95,24.95,24.77,24.8799,19457,0
20181210,24.92,24.92,24.5,24.88,34465,0
20181211,24.77,24.92,24.71,24.85,139600,0
20181212,24.77,24.9,24.56,24.56,17826,0
20181213,24.6,24.6644,24.32,24.5,117265,0
20181214,24.5001,24.65,24.36,24.62,23792,0
20181217,24.5,24.66,24.5,24.6,28444,0
20181218,24.62,24.66,24.1492,24.55,47330,0
20181219,25.46,25.46,24.37,24.64,19277,0
20181220,24.57,24.57,24.15,24.43,53494,0
20181221,24.06,24.3499,24.0301,24.2,142977,0
20181224,24.0063,24.15,23.5,24.15,26960,0
20181226,24.1557,24.31,23.9885,24.31,26938,0
20181227,24.14,24.49,23.94,24.42,43156,0
20181228,24.7,24.7,24.225,24.38,53480,0
20181231,24.52,24.57,24.32,24.52,19858,0
20190102,24.52,24.66,24.26,24.5,65173,0
20190103,24.49,24.5987,24.4182,24.49,12991,0
20190104,24.45,24.64,24.45,24.64,19982,0
20190107,25.43,25.43,24.5993,24.85,17087,0
20190108,24.85,25.05,24.8099,24.99,17507,0
20190109,25.0001,25.01,24.9,24.93,18162,0
20190110,24.9781,24.9781,24.8,24.87,13374,0
20190111,24.96,25.09,24.88,24.88,6149,0
20190114,24.9,24.92,24.86,24.92,3974,0
20190115,24.933,24.933,24.45,24.47,55822,0
20190116,24.45,24.58,24.36,24.388,28484,0
20190117,24.39,24.5,24.37,24.4,6356,0
20190118,24.4204,24.74,24.4,24.74,29003,0
20190122,24.7245,24.765,24.4865,24.62,40833,0
20190123,24.68,24.75,24.57,24.68,13878,0
20190124,24.58,24.74,24.55,24.7,16093,0
20190125,24.7,24.8,24.7,24.75,25020,0
20190128,24.75,24.8199,24.75,24.77,39939,0
20190129,24.8,24.82,24.7483,24.7699,8550,0
20190130,24.7787,24.842,24.65,24.77,21637,0
20190131,24.6,24.9,24.6,24.82,28144,0
20190201,24.87,24.9,24.7101,24.9,10038,0
