Date,Open,High,Low,Close,Volume,OpenInt
20190725,23.891,24.209,23.757,23.759,19352,0
20190726,23.762,23.97,23.75,23.891,12531,0
20190729,23.931,24,23.288,23.573,13253,0
20190730,23.424,23.86,23.404,23.752,17658,0
20190731,23.801,24.039,23.548,23.66,22279,0
20190801,23.652,23.652,23.205,23.235,15315,0
20190802,23.652,24.428,23.652,24.428,14989,0
20190805,24.209,24.209,23.791,23.972,11812,0
20190806,24.825,24.825,24.169,24.445,7860,0
20190807,24.378,24.466,24.081,24.421,5157,0
20190808,24.666,24.692,24.375,24.599,73614,0
20190809,24.676,24.745,24.219,24.249,7775,0
20190812,24.139,24.139,23.881,23.964,10511,0
20190813,24.07,24.777,24.07,24.776,37495,0
20190814,24.328,24.328,23.471,23.677,26280,0
20190815,23.473,23.473,22.152,22.299,20802,0
20190816,22.539,22.877,22.519,22.799,7317,0
20190819,23.245,23.245,22.615,22.642,6606,0
20190820,22.569,22.818,22.513,22.646,4555,0
20190821,22.847,22.847,22.41,22.496,8994,0
20190822,22.369,22.369,21.899,21.899,6092,0
20190823,21.863,21.876,21.247,21.304,5296,0
20190826,21.496,21.496,21.009,21.123,5155,0
20190827,21.147,21.147,20.145,20.18,7716,0
20190828,20.065,20.666,19.76,20.666,7435,0
20190829,20.949,20.982,20.669,20.669,8244,0
20190830,20.76,20.85,20.4,20.465,6577,0
20190903,20.363,20.816,20.313,20.816,3762,0
20190904,20.81,20.909,20.591,20.817,8261,0
20190905,21.068,21.605,21.035,21.571,24689,0
20190906,21.665,22.24,21.575,22.03,22523,0
20190909,22.251,22.349,21.525,21.525,12732,0
20190910,21.526,21.855,21.212,21.855,20557,0
20190911,22.021,22.092,21.953,21.953,4884,0
20190912,21.648,21.754,21.476,21.482,22032,0
20190913,21.537,21.654,21.407,21.641,4319,0
20190916,21.526,21.526,21.225,21.225,2257,0
20190917,21.287,21.287,20.89,21.007,6589,0
20190918,20.87,20.899,20.552,20.784,4254,0
20190919,20.88,20.88,20.304,20.321,6796,0
20190920,20.373,20.373,20.085,20.153,7731,0
20190923,20.204,20.309,19.955,19.956,3777,0
20190924,20.005,20.005,19.1,19.187,18501,0
20190925,19.18,19.18,18.566,19.001,15957,0
20190926,19.21,19.21,18.763,18.928,4910,0
20190927,18.892,18.962,18.388,18.447,7686,0
20190930,18.197,18.197,17.706,17.875,9661,0
20191001,17.819,17.822,17.083,17.165,20013,0
20191002,17.083,17.486,16.388,17.238,10320,0
20191003,17.506,17.858,17.262,17.858,8599,0
20191004,18.177,18.177,17.851,17.851,8722,0
20191007,17.719,17.767,17.424,17.424,2868,0
20191008,17.014,17.222,16.987,17.089,4850,0
20191009,17.272,17.272,17.032,17.032,1177,0
20191010,16.954,16.954,15.863,15.871,15848,0
20191011,16.07,16.398,15.901,15.92,4300,0
20191014,15.781,15.861,15.652,15.828,5773,0
20191015,16.04,16.636,16.04,16.512,16974,0
20191016,16.527,16.576,16.268,16.304,1498,0
20191017,16.496,16.841,16.496,16.841,6203,0
20191018,16.636,16.805,16.313,16.496,11011,0
20191021,16.487,16.601,16.219,16.528,6788,0
20191022,16.626,16.626,16.421,16.421,4635,0
20191023,16.358,16.77,16.358,16.77,3169,0
20191024,16.775,16.875,16.666,16.844,4240,0
20191025,16.726,17.014,16.656,16.953,4895,0
20191028,17.034,17.203,16.699,16.699,7716,0
20191029,16.646,16.646,16.076,16.076,2182,0
20191030,16.08,16.179,15.951,15.951,3221,0
20191031,15.901,15.901,15.622,15.786,4140,0
20191101,15.896,15.99,15.861,15.981,3711,0
20191104,16.099,16.099,15.776,15.776,4799,0
20191105,15.814,16.109,15.814,15.932,5857,0
20191106,15.811,15.881,15.671,15.682,3466,0
20191107,15.672,15.722,15.464,15.494,5334,0
20191108,15.523,16.219,15.523,16.219,5416,0
20191111,16.219,16.219,15.649,15.731,3085,0
20191112,15.662,15.662,15.245,15.245,2207,0
20191113,15.235,15.235,14.764,14.764,5359,0
20191114,14.46,14.46,13.873,14.068,13291,0
20191115,13.854,14.051,13.71,13.842,5346,0
20191118,13.534,13.534,13.173,13.173,6988,0
20191119,13.078,13.764,13.078,13.611,9244,0
20191120,13.913,14.291,13.913,14.125,7872,0
20191121,14.46,15.493,14.46,15.135,21163,0
20191122,15.145,15.145,14.467,14.467,4176,0
20191125,14.579,14.758,14.231,14.275,20954,0
20191126,14.032,14.38,14.003,14.15,10494,0
20191127,14.211,14.286,14.18,14.286,6161,0
20191129,14.409,14.41,14.281,14.305,4569,0
20191202,14.37,14.37,13.844,13.903,22248,0
20191203,13.625,13.776,13.535,13.734,8317,0
20191204,13.676,13.75,13.596,13.596,561,0
20191205,13.605,13.616,13.386,13.423,4596,0
20191206,13.416,13.476,13.297,13.317,30127,0
20191209,13.188,13.496,13.188,13.486,38141,0
20191210,13.506,13.506,13.267,13.277,9173,0
20191211,13.357,13.357,13.09,13.111,7647,0
20191212,13.148,13.535,13.148,13.528,5600,0
20191213,13.794,13.824,13.55,13.55,10799,0
20191216,13.555,13.667,13.535,13.535,3677,0
20191217,13.615,13.615,13.25,13.257,3981,0
20191218,13.198,13.198,12.89,12.89,19061,0
20191219,12.929,13.138,12.86,13.078,10601,0
20191220,13.029,13.106,12.919,13.028,4770,0
20191223,12.969,12.969,12.88,12.904,11168,0
20191224,12.89,13.098,12.865,13.08,6785,0
20191226,13.019,13.178,12.895,12.895,8942,0
20191227,12.87,12.939,12.79,12.813,11004,0
20191230,12.9,12.9,12.583,12.6151,14714,0
20191231,12.61,13.3096,12.55,13.3,8533,0
20200102,13.52,13.52,13.1002,13.2179,10869,0
20200103,13.17,13.19,13,13.1,5111,0
20200106,13.01,13.01,12.75,12.7958,5230,0
20200107,12.78,12.78,12.515,12.5373,5720,0
20200108,12.51,12.66,12.321,12.512,8644,0
20200109,12.54,12.7898,12.54,12.7568,4043,0
20200110,12.77,12.77,12.618,12.618,8452,0
20200113,12.6,13.2404,12.4766,13.2404,7058,0
20200114,13.16,13.4362,13.16,13.3714,9094,0
20200115,13.48,14.4786,13.48,14.3291,17584,0
