Date,Open,High,Low,Close,Volume,OpenInt
20171120,18.9,18.9,17.45,18.39,123248,0
20171121,18.17,18.85,17.55,17.71,279678,0
20171122,17,17.81,16.8001,17.68,189248,0
20171124,17.82,18.02,17.67,18.02,112723,0
20171127,17.96,18.44,17.92,18.14,215637,0
20171128,18.5,18.5,18.05,18.45,200898,0
20171129,18.5,18.71,18.26,18.33,221973,0
20171130,18.5,18.5,17.99,18.21,362217,0
20171201,18.1,18.1,17.26,17.71,608379,0
20171204,17.75,17.75,16.16,16.43,1020661,0
20171205,16.52,17.2,16.46,16.9,376423,0
20171206,16.88,16.955,16.54,16.72,256546,0
20171207,16.78,17.02,16.57,16.97,249004,0
20171208,16.9,17.17,16.8,17.12,225200,0
20171211,17.05,17.12,16.86,17.03,185500,0
20171212,17.1,17.3,16.84,16.86,120845,0
20171213,16.67,17.17,16.67,16.84,476254,0
20171214,16.93,16.99,16.58,16.61,360332,0
20171215,16.64,16.99,16.43,16.69,1261628,0
20171218,16.65,17.13,16.61,16.77,176197,0
20171219,17,17,16.45,16.51,197720,0
20171220,16.52,16.77,16.52,16.69,54261,0
20171221,16.77,17.02,16.711,16.92,56387,0
20171222,16.91,17.14,16.67,17.02,142139,0
20171226,17.09,17.26,16.95,17.12,129219,0
20171227,17.09,17.26,16.99,17.1,62831,0
20171228,17.18,17.3,16.96,17.24,91050,0
20171229,17.14,17.25,16.95,17.03,303621,0
20180102,16.99,17.2,16.8,16.96,220366,0
20180103,17.02,17.05,16.88,16.93,179305,0
20180104,17.05,17.235,16.965,17.04,80214,0
20180105,17.07,17.1,16.77,16.94,215504,0
20180108,16.89,17.2,16.8,17.14,236278,0
20180109,17.21,17.225,16.82,16.97,125962,0
20180110,16.83,17.25,16.83,16.92,557584,0
20180111,16.92,17.0948,16.87,16.99,160887,0
20180112,16.91,17.24,16.91,17.1,112746,0
20180116,17.1,17.25,16.72,16.75,114026,0
20180117,17.15,17.76,16.81,17.74,355127,0
20180118,17.7,17.88,17.5,17.83,171537,0
20180119,17.74,18.68,17.74,18.4,214947,0
20180122,18.27,18.5,18.16,18.25,91021,0
20180123,18.13,18.23,17.84,18.02,59658,0
20180124,18.02,18.16,18,18,94219,0
20180125,18.04,18.12,17.69,17.72,97653,0
20180126,17.73,17.75,17.5639,17.68,240448,0
20180129,17.55,17.78,17.43,17.5,124123,0
20180130,17.5,17.61,17.37,17.53,112556,0
20180131,17.55,17.64,17.29,17.41,169136,0
20180201,17.45,18.05,17.34,17.57,169771,0
20180202,17.42,17.45,17.12,17.23,139079,0
20180205,17.06,17.2,16.67,16.68,180912,0
20180206,16.27,17.09,16.25,16.94,281630,0
20180207,16.91,17.25,16.78,17.16,275397,0
20180208,17.11,17.2,16.59,16.68,155946,0
20180209,16.85,17.15,16.42,16.92,193326,0
20180212,16.84,17.21,16.61,17.16,238909,0
20180213,16.97,17.51,16.97,17.48,159762,0
20180214,17.91,17.97,17.91,17.91,186493,0
20180215,17.87,18.025,17.56,17.65,467773,0
20180216,17.68,18.25,17.63,18.19,111314,0
20180220,18.05,18.2,17.75,17.75,104116,0
20180221,17.85,18.21,17.84,17.92,85662,0
20180222,17.93,18.12,17.67,17.7,115885,0
20180223,17.79,17.93,17.57,17.87,67567,0
20180226,17.92,18.25,17.84,18.25,92184,0
20180227,18.28,18.49,18.14,18.19,133356,0
20180228,18.18,18.5,18.18,18.38,248705,0
20180301,18.69,19.29,18.43,18.61,180984,0
20180302,18.45,18.73,18.32,18.65,169430,0
20180305,18.54,19.08,18.54,18.97,91879,0
20180306,18.97,19.19,18.5,18.7,140803,0
20180307,18.57,19.14,18.57,19.07,130535,0
