Date,Open,High,Low,Close,Volume,OpenInt
20160922,25.25,25.29,25.15,25.15,93725,0
20160923,25.2,25.38,25.19,25.34,133348,0
20160926,25.33,25.49,25.21,25.41,170026,0
20160927,25.37,25.55,25.35,25.5,179098,0
20160928,25.47,25.54,25.35,25.35,92895,0
20160929,25.36,25.4699,25.27,25.29,57199,0
20160930,25.32,25.43,25.23,25.35,59633,0
20161003,25.35,25.48,25.31,25.4499,28389,0
20161004,25.4,25.48,25.25,25.34,53205,0
20161005,25.3,25.3599,25.25,25.2672,37525,0
20161006,25.3,25.3,25.16,25.22,45895,0
20161007,25.22,25.33,25.1601,25.27,37273,0
20161010,25.3,25.3,25.2,25.24,37530,0
20161011,25.17,25.2299,25.08,25.1093,92242,0
20161012,25.04,25.2,25,25.17,78776,0
20161013,25.13,25.2299,25,25.15,48756,0
20161014,25.2,25.338,25.1177,25.3,44730,0
20161017,25.29,25.5,25.29,25.4,62548,0
20161018,25.7,25.7,25.36,25.51,70215,0
20161019,25.7,25.7,25.41,25.55,40382,0
20161020,25.471,25.59,25.41,25.5,32127,0
20161021,25.5,25.7,25.24,25.6,33715,0
20161024,25.62,25.65,25.5,25.62,24689,0
20161025,25.51,25.61,25.49,25.6,27428,0
20161026,25.62,25.69,25.52,25.67,11425,0
20161027,25.69,25.7,25.41,25.49,18205,0
20161028,25.41,25.63,25.26,25.35,14564,0
20161031,25.66,25.66,25.28,25.55,22762,0
20161101,25.48,25.4999,25.26,25.33,15370,0
20161102,25.3713,25.3713,24.98,25.1,20354,0
20161103,25.24,25.24,25.045,25.23,10894,0
20161104,25.1365,25.25,25.085,25.2,11320,0
20161107,25.25,25.39,25.155,25.31,8086,0
20161108,25.2999,25.3,25.1377,25.3,10355,0
20161109,25.19,25.19,24,24.939,39159,0
20161110,24.959,24.96,24.61,24.66,59647,0
20161111,24.55,24.6,24,24.2601,14020,0
20161114,24.31,24.355,23.221,23.221,39714,0
20161115,23.65,24.51,23.65,24.3,34699,0
20161116,24.51,24.97,24.45,24.8,28138,0
20161117,24.81,24.96,24.6,24.93,30866,0
20161118,24.9299,24.9299,24.5,24.5022,19516,0
20161121,24.75,24.75,24.51,24.69,15035,0
20161122,24.75,24.8132,24.55,24.7,13890,0
20161123,24.7,24.84,24.49,24.84,19077,0
20161125,24.75,24.8,24.5,24.6101,5080,0
20161128,24.49,24.7999,24.49,24.65,17503,0
20161129,24.65,24.7,24.5,24.6798,22417,0
20161130,24.67,24.67,23.85,24.24,14579,0
20161201,24.05,24.55,24.01,24.55,15521,0
20161202,24.481,24.55,24.4,24.4896,2051,0
20161205,24.453,24.69,24.351,24.49,11278,0
20161206,24.56,24.69,24.56,24.6699,8251,0
20161207,24.6886,24.85,24.551,24.56,13111,0
20161208,24.7036,24.9,24.65,24.848,9788,0
20161209,24.85,24.85,24.55,24.7536,7810,0
20161212,24.8,24.8,24.672,24.7783,5645,0
20161213,24.673,24.728,24.5501,24.627,5977,0
20161214,24.695,24.75,24.6499,24.7,9378,0
20161215,24.82,24.82,24.505,24.511,10592,0
20161216,24.68,24.7,24.5,24.565,14183,0
20161219,24.55,24.68,24.55,24.6,10771,0
20161220,24.6399,24.7987,24.615,24.7987,9947,0
20161221,24.7,24.8,24.6813,24.741,12105,0
20161222,24.78,24.86,24.71,24.7389,14503,0
20161223,24.85,24.99,24.8,24.8,13374,0
20161227,24.7999,24.9,24.755,24.9,8205,0
20161228,24.9,24.9,24.65,24.65,14780,0
20161229,24.54,24.75,24.54,24.6693,8210,0
20161230,24.7,25,24.651,25,15593,0
20170103,25,25.1499,24.9,25.1499,9723,0
20170104,25.0506,25.16,24.9,25.05,6700,0
20170105,25,25.25,25,25.151,6785,0
