Date,Open,High,Low,Close,Volume,OpenInt
19841003,1.825,1.832,1.825,1.825,111112,0
19841004,1.825,1.8741,1.825,1.825,141261,0
19841005,1.832,1.832,1.825,1.825,108525,0
19841008,1.825,1.8458,1.8111,1.825,434967,0
19841009,1.8458,1.8878,1.832,1.8741,2042202,0
19841010,1.8741,1.9016,1.8741,1.8741,359748,0
19841011,1.8878,1.8946,1.8878,1.8946,301178,0
19841012,1.8946,1.9225,1.8946,1.9156,1181165,0
19841015,1.9016,1.9296,1.8946,1.9225,350273,0
19841016,1.9225,1.9433,1.9016,1.9156,250361,0
19841017,1.9016,1.9505,1.8946,1.9296,416309,0
19841018,1.9296,1.9714,1.9296,1.9714,522252,0
19841019,1.9714,2.0063,1.7904,1.9714,612119,0
19841022,1.9575,1.9714,1.9505,1.9505,321848,0
19841023,1.9505,1.9714,1.9433,1.9433,221360,0
19841024,1.9575,1.9575,1.9505,1.9575,188922,0
19841025,1.9575,1.9575,1.9433,1.9433,321848,0
19841026,1.9433,1.9433,1.9156,1.9156,229401,0
19841029,1.9296,1.9433,1.9016,1.9225,239734,0
19841030,1.9156,1.9433,1.9156,1.9433,190063,0
19841031,1.9433,1.9505,1.9296,1.9433,158772,0
19841101,1.9575,2.0202,1.9505,2.0063,629345,0
19841102,2.0063,2.0828,2.0063,2.0202,3232843,0
19841105,2.0202,2.0481,2.0202,2.0481,297729,0
19841106,2.0617,2.0828,2.0551,2.0828,509332,0
19841107,2.0828,2.0828,2.034,2.0481,612119,0
19841108,2.034,2.034,2.0063,2.0202,164799,0
19841109,2.0063,2.034,2.0063,2.0202,170544,0
19841112,2.0063,2.034,2.0063,2.034,755384,0
19841113,2.0202,2.034,2.0202,2.0202,476027,0
19841114,2.0202,2.034,2.0202,2.034,275051,0
19841115,2.034,2.034,2.0202,2.034,272755,0
19841116,2.034,2.034,2.0063,2.0063,1545792,0
19841119,2.0063,2.0202,1.9921,1.9921,946883,0
19841120,2.0063,2.0063,1.9853,2.0063,3043355,0
19841121,2.0063,2.0202,2.0063,2.0063,2762279,0
19841123,1.9991,2.034,1.9991,2.0202,1071779,0
19841126,2.0481,2.0617,2.0202,2.0412,180592,0
19841127,2.0412,2.0617,2.034,2.0481,631924,0
19841128,2.0481,2.0691,2.0481,2.0617,529716,0
19841129,2.0481,2.0617,2.034,2.034,335059,0
19841130,2.034,2.0412,2.0202,2.0412,200692,0
19841203,2.0617,2.0617,2.0202,2.0617,1243180,0
19841204,2.0691,2.0761,2.0481,2.0691,220504,0
19841205,2.0617,2.0617,2.0481,2.0617,93886,0
19841206,2.0481,2.1041,2.034,2.0412,331038,0
19841207,2.0412,2.0412,2.034,2.0412,218207,0
19841210,2.034,2.0412,2.0202,2.034,558711,0
19841211,2.0412,2.0412,2.034,2.034,197245,0
19841212,2.0412,2.0481,2.0202,2.0202,329026,0
19841213,2.0202,2.034,2.0063,2.0202,218207,0
19841214,2.034,2.0691,2.0202,2.0481,491814,0
19841217,2.0481,2.0617,2.0412,2.0617,317831,0
19841218,2.0617,2.1041,2.0617,2.0896,360610,0
19841219,2.0896,2.1176,2.0896,2.0966,391903,0
19841220,2.1041,2.1176,2.0966,2.1176,162501,0
19841221,2.1176,2.1176,2.0481,2.0691,315248,0
19841224,2.0617,2.0761,2.0617,2.0617,80390,0
19841226,2.0691,2.0761,2.0481,2.0617,148148,0
19841227,2.0481,2.0691,2.0481,2.0691,698536,0
19841228,2.0691,2.0896,2.0617,2.0761,271606,0
19841231,2.1041,2.1041,2.0691,2.1041,322135,0
19850102,2.0966,2.1041,2.0761,2.0761,148433,0
19850103,2.0617,2.0896,2.0617,2.0896,543499,0
19850104,2.0691,2.0896,2.0691,2.0761,183752,0
19850107,2.0896,2.1319,2.0761,2.1244,444158,0
19850108,2.1176,2.1244,2.1041,2.1041,587713,0
19850109,2.1041,2.1244,2.1041,2.1176,311225,0
19850110,2.1176,2.1456,2.1176,2.1456,375540,0
19850111,2.1456,2.1526,2.1319,2.1456,596611,0
19850114,2.1319,2.1736,2.1244,2.1526,395348,0
19850115,2.1456,2.1595,2.1456,2.1526,253809,0
19850116,2.1456,2.1595,2.1319,2.1456,229114,0
19850117,2.1319,2.1456,2.1176,2.1456,211314,0
19850118,2.1244,2.1736,2.1244,2.1595,341950,0
19850121,2.1526,2.1736,2.1526,2.1595,233136,0
19850122,2.1595,2.1944,2.1526,2.1873,512485,0
19850123,2.1736,2.1801,2.1595,2.1736,219638,0
19850124,2.1595,2.1595,2.1319,2.1526,233136,0
19850125,2.1319,2.1526,2.1244,2.1319,1723800,0
19850128,2.1244,2.1319,2.0896,2.1041,1006889,0
19850129,2.0966,2.1319,2.0966,2.1319,373814,0
19850130,2.1319,2.1319,2.1244,2.1319,409992,0
19850131,2.1176,2.1244,2.1041,2.1176,207296,0
19850201,2.0966,2.1176,2.0761,2.0966,2084411,0
19850204,2.0966,2.1176,2.0966,2.0966,233422,0
19850205,2.0966,2.1176,2.0761,2.0761,219067,0
19850206,2.0896,2.0966,2.0691,2.0691,205286,0
19850207,2.0896,2.0966,2.0761,2.0966,341662,0
19850208,2.0896,2.1041,2.0896,2.0966,377547,0
19850211,2.0966,2.1176,2.0896,2.0896,465694,0
19850212,2.0896,2.0966,2.0761,2.0761,439851,0
19850213,2.0966,2.1041,2.0896,2.0966,274762,0
19850214,2.1041,2.1041,2.0691,2.0761,547225,0
19850215,2.0896,2.0966,2.0761,2.0966,194949,0
19850219,2.1041,2.1176,2.0966,2.1041,643129,0
19850220,2.0966,2.1041,2.0761,2.1041,1036465,0
19850221,2.0761,2.0966,2.0761,2.0896,146423,0
19850222,2.0966,2.0966,2.0761,2.0896,792422,0
19850225,2.0761,2.0828,2.0481,2.0481,826013,0
19850226,2.0551,2.0617,2.0269,2.0481,282800,0
19850227,2.0551,2.0761,2.0481,2.0551,956933,0
19850228,2.0551,2.0617,2.0481,2.0551,896922,0
19850301,2.0481,2.0761,2.0481,2.0551,1082978,0
19850304,2.0481,2.0551,2.0269,2.034,772040,0
19850305,2.034,2.0481,2.0202,2.0202,359748,0
19850306,2.034,2.0481,2.0202,2.034,126042,0
19850307,2.0269,2.034,2.0063,2.0269,5205284,0
19850308,2.034,2.0481,2.0269,2.034,628487,0
19850311,2.0269,2.0551,2.0269,2.0481,335919,0
19850312,2.0481,2.0551,2.034,2.034,164226,0
19850313,2.034,2.0481,2.0269,2.034,379273,0
19850314,2.034,2.0481,2.0269,2.034,680735,0
19850315,2.034,2.0551,2.034,2.034,784672,0
19850318,2.0481,2.0551,2.0481,2.0551,195813,0
19850319,2.0617,2.0828,2.0551,2.0761,289694,0
19850320,2.0761,2.1107,2.0761,2.0896,602929,0
19850321,2.1107,2.1319,2.0896,2.1319,243757,0
19850322,2.1319,2.1456,2.1107,2.1319,207296,0
19850325,2.1388,2.1388,2.1319,2.1319,230261,0
19850326,2.1176,2.1388,2.1176,2.1388,162792,0
19850327,2.1388,2.1595,2.1388,2.1456,130063,0
19850328,2.1456,2.1595,2.1388,2.1595,94171,0
19850329,2.1595,2.2082,2.1456,2.2082,681883,0
19850401,2.1944,2.2221,2.1873,2.215,400231,0
19850402,2.2221,2.2221,2.1944,2.2082,366639,0
19850403,2.2082,2.2082,2.1873,2.1944,131495,0
19850404,2.2082,2.2364,2.1944,2.2221,877689,0
19850408,2.2082,2.215,2.1736,2.1873,374677,0
19850409,2.1873,2.2082,2.1873,2.1944,295723,0
19850410,2.2082,2.2364,2.2082,2.2221,559289,0
19850411,2.2364,2.2501,2.1944,2.2364,1110539,0
19850412,2.2221,2.2501,2.2221,2.2432,620729,0
19850415,2.2432,2.2501,2.2364,2.2432,151878,0
19850416,2.2364,2.2432,2.2364,2.2432,252944,0
19850417,2.2432,2.2501,2.2364,2.2501,310937,0
19850418,2.2641,2.2708,2.2432,2.2641,691069,0
19850419,2.2708,2.2989,2.2641,2.2779,389610,0
19850422,2.2708,2.2779,2.2501,2.2641,288832,0
19850423,2.2501,2.2779,2.2432,2.2641,490668,0
19850424,2.2501,2.2708,2.2501,2.2641,157049,0
19850425,2.2708,2.2779,2.2641,2.2708,197820,0
19850426,2.2779,2.2918,2.2708,2.2918,312663,0
19850429,2.2779,2.2989,2.2779,2.2779,592592,0
19850430,2.2779,2.2918,2.2641,2.2641,663225,0
19850501,2.2708,2.2779,2.2501,2.2501,144988,0
19850502,2.2432,2.2641,2.2364,2.2432,254093,0
19850503,2.2501,2.2641,2.2432,2.2501,212175,0
19850506,2.2432,2.2641,2.2432,2.2432,454493,0
19850507,2.2432,2.2779,2.2432,2.2708,401663,0
