Date,Open,High,Low,Close,Volume,OpenInt
20120131,13.004,13.227,12.711,12.965,515943,0
20120201,13.1,13.22,12.957,12.981,264338,0
20120202,13.026,13.177,13.026,13.082,140341,0
20120203,13.1,13.166,13.018,13.166,71268,0
20120206,13.041,13.076,13.026,13.072,32123,0
20120207,13.076,13.087,13.018,13.061,67128,0
20120208,13.067,13.076,13.047,13.072,28175,0
20120209,13.061,13.067,12.944,13.018,60405,0
20120210,12.992,13.001,12.928,12.951,51735,0
20120213,12.954,13.076,12.928,13.047,38854,0
20120214,13.03,13.052,12.992,13.001,23324,0
20120215,13.041,13.047,12.968,12.968,17557,0
20120216,12.978,13.203,12.978,13.033,192434,0
20120217,13.052,13.22,13.052,13.22,183791,0
20120221,13.22,13.345,13.203,13.261,99512,0
20120222,13.234,13.357,13.013,13.172,152975,0
20120223,13.172,13.272,13.06,13.112,91987,0
20120224,13.138,13.352,13.087,13.201,97551,0
20120227,13.18,13.18,12.73,13.052,237558,0
20120228,13.03,13.132,12.928,13.1,194361,0
20120229,13.059,13.129,12.933,13.003,153546,0
20120301,13.001,13.128,12.978,13.026,213864,0
20120302,12.698,12.847,12.577,12.763,993402,0
20120305,12.746,12.763,12.682,12.743,249978,0
20120306,12.716,12.763,12.626,12.758,215711,0
20120307,12.75,12.92,12.698,12.776,201486,0
20120308,12.877,12.877,12.716,12.832,175378,0
20120309,12.8,12.858,12.734,12.798,111718,0
20120312,12.803,12.846,12.75,12.846,113025,0
20120313,12.874,12.874,12.772,12.8,161321,0
20120314,12.772,12.772,12.501,12.702,331229,0
20120315,12.709,12.776,12.683,12.715,180761,0
20120316,12.729,12.741,12.574,12.626,119133,0
20120319,12.636,12.741,12.617,12.734,105838,0
20120320,12.741,12.762,12.586,12.762,109116,0
20120321,12.636,12.762,12.577,12.741,222736,0
20120322,12.702,12.75,12.636,12.75,158079,0
20120323,12.745,12.745,12.64,12.745,142516,0
20120326,12.715,12.75,12.63,12.686,110255,0
20120327,12.709,12.84,12.675,12.792,242800,0
20120328,12.741,12.962,12.741,12.859,158202,0
20120329,12.862,12.926,12.762,12.898,119059,0
20120330,12.928,12.933,12.769,12.812,160009,0
20120402,12.787,12.932,12.787,12.854,110774,0
20120403,12.842,12.947,12.842,12.909,127662,0
20120404,12.884,12.955,12.862,12.928,166342,0
20120405,12.955,12.958,12.912,12.916,134856,0
20120409,12.912,12.985,12.891,12.92,71974,0
20120410,12.923,12.936,12.895,12.93,175090,0
20120411,12.955,13.011,12.952,12.988,136892,0
20120412,12.983,13.011,12.943,12.961,72456,0
20120413,12.947,13.029,12.943,13.011,55724,0
20120416,13.011,13.011,12.943,12.977,71437,0
20120417,12.945,13.055,12.859,13.055,126250,0
20120418,13.059,13.07,12.936,13.038,134878,0
20120419,13.045,13.132,12.977,13.038,124223,0
20120420,13.056,13.31,12.977,13.172,211850,0
20120423,13.14,13.221,12.977,13.144,204891,0
20120424,13.151,13.279,13.081,13.18,356157,0
20120425,13.221,13.245,13.151,13.221,156042,0
20120426,13.245,13.298,13.197,13.262,278083,0
20120427,13.285,13.285,13.098,13.116,137476,0
20120430,13.224,13.275,13.167,13.203,102139,0
20120501,13.144,13.201,13.11,13.163,96603,0
20120502,13.14,13.166,13.085,13.111,125080,0
20120503,13.11,13.116,12.982,13.098,126748,0
20120504,13.11,13.22,13.058,13.22,167413,0
20120507,13.197,13.211,13.166,13.191,112512,0
20120508,13.18,13.18,12.765,13.084,310662,0
20120509,13.058,13.075,13.019,13.058,51011,0
20120510,13.055,13.055,13.021,13.032,107024,0
20120511,13.032,13.044,12.975,13.024,130327,0
20120514,13.027,13.044,12.975,13.002,200404,0
20120515,13.015,13.094,12.993,12.993,233324,0
20120516,13.019,13.032,12.951,12.987,147946,0
20120517,12.951,12.998,12.908,12.912,246900,0
20120518,12.874,12.874,12.712,12.739,195493,0
20120521,12.754,12.955,12.705,12.912,151642,0
20120522,12.912,12.951,12.827,12.874,143848,0
20120523,12.874,12.975,12.827,12.941,272754,0
20120524,12.922,12.975,12.854,12.922,147284,0
20120525,12.922,13.019,12.9,13.015,113850,0
20120529,13.024,13.437,13.024,13.139,224115,0
20120530,13.105,13.215,13.105,13.166,92601,0
20120531,13.174,13.259,13.138,13.181,171755,0
20120601,13.132,13.365,13.132,13.233,179207,0
20120604,13.227,13.413,13.136,13.335,223011,0
20120605,13.323,13.43,13.262,13.335,156100,0
20120606,13.326,13.381,13.286,13.34,103874,0
20120607,13.355,13.418,13.326,13.402,100207,0
20120608,13.415,13.456,13.365,13.427,118085,0
20120611,13.397,13.527,13.397,13.521,116933,0
20120612,13.484,13.575,13.446,13.49,212714,0
20120613,13.579,13.579,13.237,13.263,167153,0
20120614,13.579,13.579,13.085,13.212,251969,0
20120615,13.229,13.386,13.192,13.326,195396,0
20120618,13.336,13.415,13.263,13.411,128390,0
20120619,13.402,13.478,13.355,13.459,127818,0
20120620,13.456,13.467,13.365,13.386,143615,0
20120621,13.415,13.521,13.411,13.464,101633,0
20120622,13.446,13.567,13.374,13.405,89301,0
20120625,13.405,13.415,13.316,13.336,111691,0
20120626,13.336,13.495,13.336,13.459,180434,0
20120627,13.397,13.513,13.331,13.513,146248,0
