Date,Open,High,Low,Close,Volume,OpenInt
20181003,26.05,26.05,26.05,26.05,718,0
20181017,26.63,27.11,26.63,27.11,200,0
20181023,26.71,26.71,26.71,26.71,1000,0
20181030,27.85,27.96,27.85,27.96,600,0
20181112,28.1901,28.1901,28.1901,28.1901,100,0
20181210,26.46,26.46,26.46,26.46,1200,0
20181211,26.8038,26.8038,26.8038,26.8038,1200,0
20181212,26.8394,26.8394,26.8394,26.8394,1200,0
20181213,26.9245,26.9245,26.9245,26.9245,1200,0
20181214,27.3915,27.3915,27.3915,27.3915,1200,0
20181217,26.7995,26.7995,26.7995,26.7995,40,0
20181218,26.8298,26.8298,26.8298,26.8298,1200,0
20181219,27.0998,27.0998,27.0998,27.0998,1200,0
20181220,26.2358,26.2358,26.2358,26.2358,81,0
20181221,27.1517,27.1517,27.1517,27.1517,1200,0
20181224,26.3816,26.3816,26.3816,26.3816,51,0
20181226,27.21,27.21,27.21,27.21,1,0
20181227,26.3616,26.3616,26.3616,26.3616,1200,0
20181228,25.9383,25.9383,25.9383,25.9383,4,0
20181231,25.8469,25.8469,25.8469,25.8469,2,0
20190102,26.6552,26.6552,26.6552,26.6552,2,0
20190103,26.4325,26.4325,26.4325,26.4325,3,0
20190104,26.3234,26.3234,26.3234,26.3234,2,0
20190107,25.574,25.574,25.574,25.574,5,0
20190108,25.7722,25.7722,25.7722,25.7722,2,0
20190109,24.9376,24.9376,24.9376,24.9376,2,0
20190110,26.1457,26.1457,26.1457,26.1457,12,0
20190111,26.0437,26.0437,26.0437,26.0437,2,0
20190114,25.68,25.7893,25.66,25.7893,200,0
20190115,26.4513,26.4513,26.4513,26.4513,2,0
20190116,26.7815,26.7815,26.7815,26.7815,45,0
20190117,27.1698,27.1698,27.1698,27.1698,10,0
20190118,27.3935,27.3935,27.3935,27.3935,27,0
20190122,27.585,27.585,27.585,27.585,2,0
20190123,27.305,27.305,27.305,27.305,3,0
20190124,27.5124,27.5124,27.5124,27.5124,6,0
20190125,27.0991,27.0991,27.0991,27.0991,4,0
20190128,27.0242,27.0242,27.0242,27.0242,3,0
20190129,27.364,27.364,27.364,27.364,2,0
20190130,27.31,27.31,27.31,27.31,4,0
20190131,27.3604,27.3604,27.3604,27.3604,4,0
20190201,27.4577,27.4577,27.4577,27.4577,4,0
20190204,27.804,27.804,27.804,27.804,4,0
20190205,27.9911,27.9911,27.9911,27.9911,4,0
20190206,28.2238,28.2238,28.2238,28.2238,4,0
20190207,28.2832,28.2832,28.2832,28.2832,4,0
20190208,28.0557,28.0557,28.0557,28.0557,4,0
20190211,28.5439,28.5439,28.5439,28.5439,4,0
20190212,29.08,29.08,28.7319,28.7319,106,0
20190213,29.1078,29.1078,29.1078,29.1078,6,0
20190214,28.7107,28.7107,28.7107,28.7107,6,0
20190215,28.6563,28.6563,28.6563,28.6563,8,0
20190219,28.39,28.39,28.1993,28.1993,154,0
20190220,28.1906,28.1906,28.1906,28.1906,6,0
20190221,28.2795,28.2795,28.2795,28.2795,6,0
20190222,28.209,28.209,28.209,28.209,11,0
20190225,28.195,28.195,28.195,28.195,11,0
20190226,28.1537,28.1537,28.1537,28.1537,6,0
20190227,28.3275,28.3275,28.3275,28.3275,6,0
20190228,28.0042,28.0042,28.0042,28.0042,1106,0
20190301,28.1551,28.1551,28.1551,28.1551,11,0
20190304,28.0887,28.0887,28.0887,28.0887,6,0
20190305,28.7497,28.7497,28.7497,28.7497,6,0
20190306,28.75,28.7772,28.75,28.7772,1111,0
20190307,29.2299,29.6582,29.175,29.6582,696,0
20190308,29.2213,29.2213,29.2213,29.2213,6,0
20190311,29.5629,29.5629,29.5629,29.5629,6,0
20190312,29.1137,29.1137,29.1137,29.1137,7,0
20190313,28.6547,28.6547,28.6547,28.6547,100,0
20190314,28.8195,28.8195,28.8195,28.8195,183,0
20190315,28.6394,28.6394,28.6394,28.6394,11,0
20190318,28.4502,28.4502,28.4502,28.4502,11,0
20190319,28.2473,28.2473,28.2473,28.2473,11,0
20190320,27.6,27.6,27.367,27.367,1100,0
