Date,Open,High,Low,Close,Volume,OpenInt
19820104,2.71,2.7266,2.6939,2.7186,108611,0
19820105,2.6779,2.7186,2.6451,2.6613,415767,0
19820106,2.6287,2.6613,2.6043,2.6043,267351,0
19820107,2.6128,2.6287,2.5965,2.6128,137362,0
19820108,2.6534,2.6779,2.6128,2.6451,165864,0
19820111,2.6043,2.6287,2.5803,2.5881,165372,0
19820112,2.5965,2.6128,2.5803,2.6043,139078,0
19820113,2.5965,2.6287,2.564,2.564,220171,0
19820114,2.564,2.5881,2.5476,2.5881,77156,0
19820115,2.6043,2.6128,2.5881,2.5881,55286,0
19820118,2.5881,2.6043,2.564,2.564,139819,0
19820119,2.5965,2.6287,2.564,2.5803,270051,0
19820120,2.564,2.5803,2.564,2.564,220911,0
19820121,2.5803,2.6043,2.5395,2.5881,247938,0
19820122,2.5803,2.6043,2.5395,2.564,140799,0
19820125,2.5313,2.5476,2.5068,2.5231,291185,0
19820126,2.5395,2.5476,2.5231,2.5395,82071,0
19820127,2.5476,2.564,2.5231,2.564,126795,0
19820128,2.6043,2.6451,2.564,2.6451,153825,0
19820129,2.7186,2.7835,2.6451,2.6534,587284,0
19820201,2.6043,2.6534,2.564,2.564,484083,0
19820202,2.564,2.5881,2.5395,2.564,168073,0
19820203,2.5395,2.564,2.5068,2.5068,147437,0
19820204,2.5476,2.5881,2.5068,2.5881,389719,0
19820205,2.6043,2.6287,2.5803,2.5803,153579,0
19820208,2.5068,2.564,2.458,2.458,530522,0
19820209,2.4743,2.5068,2.4417,2.4906,267103,0
19820210,2.5231,2.564,2.4826,2.5395,274226,0
19820211,2.5476,2.564,2.5313,2.5313,160954,0
19820212,2.5476,2.564,2.5313,2.564,59714,0
19820216,2.5313,2.5476,2.5068,2.5313,89689,0
19820217,2.5068,2.564,2.4417,2.4417,386529,0
19820218,2.458,2.4743,2.4417,2.4417,678448,0
19820219,2.4173,2.4417,2.3932,2.409,264650,0
19820222,2.4417,2.458,2.409,2.4254,605715,0
19820223,2.4743,2.4906,2.4417,2.458,315759,0
19820224,2.4826,2.5068,2.4661,2.5068,274477,0
19820225,2.5068,2.5068,2.4826,2.4906,176431,0
19820226,2.4906,2.5068,2.4661,2.4743,240075,0
19820301,2.4743,2.4826,2.458,2.4661,219435,0
19820302,2.4826,2.4906,2.4661,2.4661,232213,0
19820303,2.4743,2.4906,2.4417,2.4743,187489,0
19820304,2.4906,2.5313,2.458,2.458,208866,0
19820305,2.4417,2.4743,2.3932,2.4417,264650,0
19820308,2.458,2.4661,2.4417,2.4417,519957,0
19820309,2.458,2.4826,2.4254,2.4661,248922,0
19820310,2.4826,2.5068,2.4417,2.4417,313052,0
19820311,2.4661,2.4906,2.4417,2.4661,298802,0
19820312,2.458,2.4743,2.4254,2.4417,106644,0
19820315,2.4254,2.4417,2.409,2.4173,301751,0
19820316,2.4417,2.458,2.4254,2.4254,134659,0
19820317,2.4173,2.4254,2.3932,2.3932,338858,0
19820318,2.4254,2.4417,2.4173,2.4254,330501,0
19820319,2.4417,2.458,2.4173,2.4173,177416,0
19820322,2.4417,2.4417,2.4173,2.4173,330750,0
19820323,2.4417,2.458,2.4254,2.4417,294873,0
19820324,2.4417,2.4417,2.4173,2.4254,128761,0
19820325,2.409,2.4173,2.3932,2.3932,203952,0
19820326,2.3932,2.409,2.3932,2.3932,336397,0
19820329,2.3766,2.3932,2.3442,2.3605,672550,0
19820330,2.3766,2.3932,2.3605,2.3605,345000,0
19820331,2.3766,2.3932,2.3684,2.3932,227789,0
19820401,2.4417,2.4906,2.3932,2.4826,140799,0
19820402,2.5313,2.5476,2.5068,2.5068,348686,0
19820405,2.4906,2.5068,2.4743,2.4906,105911,0
19820406,2.5068,2.5231,2.4906,2.5068,103698,0
19820407,2.5068,2.5068,2.4906,2.5068,218204,0
19820408,2.5068,2.5231,2.4906,2.5231,293638,0
19820412,2.5068,2.5231,2.4906,2.5068,244498,0
19820413,2.5231,2.5395,2.5068,2.5313,597609,0
19820414,2.5313,2.5395,2.5231,2.5313,242776,0
19820415,2.5965,2.6613,2.5313,2.6451,347702,0
19820416,2.6128,2.6287,2.5881,2.6128,315759,0
19820419,2.6451,2.6779,2.6128,2.6613,375469,0
19820420,2.6287,2.6451,2.6128,2.6128,171514,0
19820421,2.5803,2.5965,2.564,2.5803,156284,0
