Date,Open,High,Low,Close,Volume,OpenInt
20181218,31.5754,31.5754,31.5754,31.5754,20,0
20181219,30.6344,30.6344,30.6344,30.6344,20,0
20181220,29.915,30.1451,29.915,30.1451,507,0
20181221,30.25,30.25,29.8874,29.8874,100,0
20181224,29.1937,29.1937,29.1937,29.1937,20,0
20181226,30.5,30.5,30.5,30.5,20,0
20181227,29.83,30.5796,29.83,30.5796,100,0
20181228,30.43,30.75,30.43,30.6105,1100,0
20181231,30.7552,30.7552,30.7552,30.7552,20,0
20190102,30.5,31.0449,30.5,31.0449,600,0
20190103,30.693,30.693,30.693,30.693,20,0
20190104,31.2252,31.2252,31.2252,31.2252,20,0
20190107,31.665,31.665,31.665,31.665,20,0
20190108,31.64,32.375,31.49,32.375,923,0
20190109,32.43,32.43,32.43,32.43,20,0
20190110,32.6,32.6,32.6,32.6,1,0
20190111,32.745,32.745,32.745,32.745,20,0
20190114,32.715,32.715,32.715,32.715,20,0
20190115,32.635,32.635,32.635,32.635,20,0
20190116,32.945,32.945,32.945,32.945,20,0
20190117,33.265,33.265,33.265,33.265,20,0
20190118,33.86,33.86,33.86,33.86,20,0
20190122,33.4429,33.4429,33.4355,33.4355,762,0
20190123,33.615,33.615,33.615,33.615,20,0
20190124,34,34,34,34,20,0
20190125,34.44,34.44,34.44,34.44,20,0
20190128,34.53,34.53,34.53,34.53,20,0
20190129,34.57,34.57,34.57,34.57,20,0
20190130,34.71,34.71,34.71,34.71,20,0
20190131,34.6893,34.6893,34.6893,34.6893,20,0
20190201,34.6178,34.6178,34.6178,34.6178,20,0
20190204,34.8497,34.8497,34.8497,34.8497,20,0
20190205,34.877,34.877,34.877,34.877,20,0
20190206,34.95,34.95,34.95,34.95,20,0
20190207,34.7172,34.7172,34.7172,34.7172,20,0
20190208,34.42,34.42,34.42,34.42,20,0
20190211,34.5201,34.5201,34.5201,34.5201,20,0
20190212,35.105,35.105,35.105,35.105,20,0
20190213,35.2976,35.2976,35.2976,35.2976,20,0
20190214,35.1569,35.1569,35.1569,35.1569,10,0
20190215,35.535,35.535,35.535,35.535,10,0
20190219,35.795,35.795,35.795,35.795,10,0
20190220,35.99,35.99,35.99,35.99,10,0
20190221,35.8286,35.8286,35.8286,35.8286,10,0
20190222,35.89,35.89,35.89,35.89,10,0
20190225,35.9451,35.9451,35.9451,35.9451,10,0
20190226,35.8241,35.8241,35.8241,35.8241,10,0
20190227,35.805,35.805,35.805,35.805,10,0
20190228,35.645,35.645,35.645,35.645,10,0
20190301,35.775,35.775,35.775,35.775,10,0
20190304,35.445,35.445,35.445,35.445,10,0
20190305,35.57,35.57,35.57,35.57,10,0
20190306,35.21,35.21,35.045,35.045,600,0
20190307,34.41,34.66,34.41,34.485,1000,0
20190308,34.2991,34.2991,34.2991,34.2991,10,0
20190311,34.7,34.7,34.7,34.7,10,0
20190312,34.58,34.58,34.58,34.58,10,0
20190313,34.89,34.89,34.89,34.89,10,0
20190314,34.9,34.9,34.9,34.9,10,0
20190315,35.0186,35.0186,35.0186,35.0186,10,0
20190318,35.2751,35.2751,35.2751,35.2751,10,0
20190319,34.9722,34.981,34.9722,34.981,114,0
