Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.933,15.166,14.855,15.166,608350,0
20050228,15.239,15.61,15.175,15.565,1722080,0
20050301,15.526,15.673,15.326,15.61,1204491,0
20050302,15.369,15.839,15.326,15.693,1418024,0
20050303,15.7,15.803,15.49,15.646,874172,0
20050304,15.724,15.752,15.316,15.428,1635012,0
20050307,15.482,15.584,15.074,15.194,2340340,0
20050308,14.759,15.454,14.759,15.326,4600746,0
20050309,15.26,15.565,15.194,15.444,1529055,0
20050310,15.454,15.655,15.428,15.618,1126863,0
20050311,15.565,15.803,15.396,15.767,1186523,0
20050314,15.724,15.767,15.444,15.627,680449,0
20050315,15.646,15.767,15.584,15.752,1010078,0
20050316,15.752,16.199,15.752,15.878,3341895,0
20050317,15.878,15.922,15.565,15.693,1140455,0
20050318,15.7,15.767,15.353,15.549,1563837,0
20050321,15.549,15.549,15.159,15.437,1405125,0
20050322,15.444,15.627,15.289,15.298,1175466,0
20050323,15.239,15.396,15.134,15.28,1037028,0
20050324,15.326,15.803,15.289,15.734,2184395,0
20050328,15.767,15.887,15.734,15.829,1083324,0
20050329,15.829,15.931,15.724,15.752,1355369,0
20050330,15.76,15.887,15.618,15.724,1685457,0
20050331,15.785,16.002,15.785,15.94,1028044,0
20050401,15.959,16.108,15.508,15.584,2038577,0
20050404,15.61,15.673,15.428,15.61,846989,0
20050405,15.61,15.708,15.549,15.683,1527213,0
20050406,15.716,15.716,15.353,15.353,1319894,0
20050407,15.353,15.361,15.151,15.361,2002191,0
20050408,15.326,15.396,15.057,15.204,1315060,0
20050411,15.204,15.204,14.96,15.091,766136,0
20050412,15.091,15.239,14.898,15.194,757389,0
20050413,15.151,15.194,14.701,14.884,1506477,0
20050414,14.804,15.022,14.343,14.466,1693751,0
20050415,14.431,14.431,13.699,13.833,3042442,0
20050418,13.833,14.422,13.824,13.876,1858220,0
20050419,13.935,14.293,13.824,14.248,1652059,0
20050420,14.343,14.422,14.032,14.04,1203571,0
20050421,14.107,14.631,14.107,14.31,1439680,0
20050422,14.31,14.31,13.718,13.894,1362740,0
20050425,13.935,14.284,13.911,14.205,998329,0
20050426,14.172,14.31,13.849,13.876,968152,0
20050427,13.876,13.885,13.458,13.583,2820156,0
20050428,13.583,13.591,13.264,13.308,1883556,0
20050429,13.354,13.397,12.894,13.354,2016466,0
20050502,13.467,13.529,13.172,13.264,1513157,0
20050503,13.153,13.441,13.153,13.397,2230926,0
20050504,13.363,14.368,13.363,13.952,2777310,0
20050505,13.911,14.127,13.814,13.969,1832649,0
20050506,14.197,14.221,13.935,14.213,1662654,0
20050509,14.498,14.525,14.162,14.474,2078434,0
20050510,14.431,14.639,14.23,14.385,2396313,0
20050511,14.498,14.562,14.197,14.456,2684478,0
20050512,14.385,14.498,14.248,14.359,1739362,0
20050513,14.359,14.525,14.013,14.368,2221940,0
20050516,14.31,14.855,14.248,14.804,2858853,0
20050517,15.734,15.734,15.239,15.565,5023898,0
20050518,15.627,16.065,15.627,15.829,3030692,0
20050519,15.829,15.959,15.673,15.777,1439680,0
20050520,15.785,15.839,15.693,15.794,1097376,0
20050523,15.785,16.002,15.785,15.887,1931929,0
20050524,15.87,15.87,15.646,15.693,1135848,0
20050525,15.734,15.76,15.444,15.49,1417794,0
20050526,15.508,15.724,15.49,15.627,2550418,0
20050527,15.693,15.949,15.627,15.847,1085633,0
20050531,15.734,15.819,15.574,15.708,651195,0
20050601,15.627,15.887,15.591,15.767,950188,0
20050602,15.752,16.142,15.708,15.968,1386929,0
20050603,15.922,15.949,15.646,15.664,763838,0
20050606,15.673,16.018,15.673,15.959,875552,0
20050607,15.968,16.28,15.968,16.018,1131472,0
20050608,16.065,16.065,15.591,15.767,946733,0
20050609,15.724,15.94,15.627,15.777,814050,0
20050610,15.803,15.803,15.549,15.61,703944,0
20050613,15.591,15.878,15.549,15.627,426837,0
20050614,15.627,16.065,15.61,16.065,658338,0
20050615,16.124,16.262,15.905,16.181,1057298,0
20050616,16.217,16.575,16.217,16.515,1747193,0
20050617,16.539,16.575,16.108,16.217,1369423,0
20050620,16.158,16.42,15.986,16.314,675383,0
20050621,16.323,16.34,16.002,16.108,396660,0
20050622,16.167,16.376,15.878,16.34,1275901,0
20050623,16.34,16.964,16.34,16.548,3042905,0
20050624,16.505,16.696,16.226,16.496,4260291,0
20050627,16.496,16.809,16.479,16.705,1751569,0
20050628,16.677,16.818,16.652,16.776,1064898,0
20050629,16.776,16.809,16.644,16.759,766827,0
20050630,16.759,16.914,16.669,16.759,503079,0
20050701,16.802,16.826,16.479,16.759,671004,0
20050705,16.714,17.15,16.669,17.072,859198,0
20050706,17.009,17.15,16.938,17.019,807602,0
20050707,16.888,17.095,16.845,17.063,1067205,0
20050708,17.072,17.538,17.072,17.409,974604,0
20050711,17.364,17.445,17.199,17.383,1427007,0
20050712,17.364,17.547,17.346,17.427,797237,0
20050713,17.445,17.487,17.304,17.364,699336,0
20050714,17.364,17.487,17.13,17.253,1120411,0
20050715,17.206,17.269,16.785,16.99,1690298,0
20050718,16.929,17.009,16.759,16.888,1115344,0
20050719,16.914,17.224,16.87,17.13,1399595,0
20050720,17.055,17.063,16.861,16.929,985428,0
