Date,Open,High,Low,Close,Volume,OpenInt
20181207,17.33,17.52,17.32,17.4856,1100,0
20181210,17.875,17.875,17.875,17.875,40,0
20181211,17.605,17.605,17.605,17.605,40,0
20181212,17.495,17.495,17.495,17.495,40,0
20181213,17.535,17.535,17.535,17.535,40,0
20181214,17.685,17.685,17.685,17.685,40,0
20181217,17.945,17.945,17.945,17.945,40,0
20181218,18.05,18.1191,18.05,18.1191,5200,0
20181219,18.355,18.355,18.355,18.355,40,0
20181220,18.165,18.165,18.165,18.165,22,0
20181221,18.295,18.295,18.295,18.295,40,0
20181224,18.47,18.5268,18.47,18.5268,1000,0
20181226,18.785,18.785,18.785,18.785,40,0
20181227,19.205,19.205,19.205,19.205,30,0
20181228,19.28,19.28,19.28,19.28,40,0
20181231,19.44,19.44,19.44,19.44,40,0
20190102,19.35,19.35,19.35,19.35,4,0
20190103,19.68,20.43,19.68,20.43,7930,0
20190104,19.685,19.685,19.685,19.685,4,0
20190107,19.355,19.355,19.355,19.355,4,0
20190108,19.12,19.12,18.795,18.795,400,0
20190109,18.895,18.895,18.895,18.895,4,0
20190110,18.845,18.845,18.845,18.845,1,0
20190111,18.97,18.97,18.97,18.97,4,0
20190114,18.935,18.935,18.935,18.935,4,0
20190115,18.965,18.965,18.965,18.965,4,0
20190116,18.865,18.865,18.865,18.865,4,0
20190117,18.735,18.735,18.735,18.735,4,0
20190118,18.56,18.56,18.365,18.365,200,0
20190122,18.715,18.715,18.715,18.715,1,0
20190123,18.555,18.555,18.555,18.555,4,0
20190124,18.65,18.775,18.62,18.775,1098,0
20190125,18.565,18.565,18.565,18.565,4,0
20190128,18.675,18.675,18.675,18.675,1,0
20190129,18.775,18.775,18.775,18.775,4,0
20190130,19.075,19.075,19.075,19.075,4,0
20190131,19.56,19.575,19.56,19.575,300,0
20190201,19.0843,19.185,19.0843,19.185,2000,0
20190204,19.015,19.015,19.015,19.015,4,0
20190205,19.0749,19.075,19.0749,19.075,100,0
20190206,19.06,19.06,19.06,19.06,4,0
20190207,19.345,19.345,19.345,19.345,4,0
20190208,19.6006,19.6006,19.545,19.545,104,0
20190211,19.4015,19.4015,19.365,19.365,500,0
20190212,19.255,19.34,19.255,19.255,700,0
20190213,18.955,18.955,18.955,18.955,4,0
20190214,19.245,19.245,19.245,19.245,4,0
20190215,19.09,19.09,19.09,19.09,30,0
20190219,19.33,19.33,19.33,19.33,200,0
20190220,19.38,19.38,19.38,19.38,4,0
20190221,19.305,19.305,19.305,19.305,5,0
20190222,19.43,19.54,19.43,19.54,100,0
20190225,19.465,19.465,19.465,19.465,4,0
20190226,19.79,20,19.715,19.715,2100,0
20190227,19.535,19.535,19.535,19.535,4,0
20190228,19.365,19.365,19.365,19.365,4,0
20190301,19.065,19.065,19.065,19.065,4,0
20190304,19.19,19.19,19.19,19.19,4,0
20190305,19.025,19.025,19.025,19.025,4,0
20190306,19.17,19.17,19.17,19.17,4,0
20190307,19.51,19.51,19.51,19.51,4,0
20190308,19.565,19.565,19.565,19.565,4,0
20190311,19.415,19.415,19.415,19.415,4,0
20190312,19.675,19.675,19.675,19.675,4,0
20190313,19.53,19.685,19.53,19.685,100,0
20190314,19.625,19.625,19.625,19.625,4,0
20190315,19.785,19.785,19.785,19.785,4,0
20190318,19.685,19.685,19.685,19.685,4,0
20190319,19.685,19.685,19.685,19.685,4,0
20190320,19.837,20.175,19.7,20.175,300,0
20190321,20.215,20.215,20.215,20.215,13,0
20190322,20.831,21.25,20.831,21.055,886,0
20190325,21.589,21.825,21.589,21.825,772,0
20190326,21.641,21.641,21.595,21.595,150,0
20190327,22.0592,22.0592,21.925,21.925,131,0
20190328,21.91,21.91,21.5127,21.665,853,0
20190329,21.155,21.155,21.155,21.155,37,0
20190401,20.6414,20.6414,20.635,20.635,203,0
20190402,20.775,20.775,20.775,20.775,53,0
20190403,20.635,20.635,20.635,20.635,53,0
20190404,20.68,20.76,20.625,20.625,600,0
20190405,20.56,20.58,20.56,20.58,350,0
20190408,20.5,20.5,20.5,20.5,4,0
20190409,20.83,20.83,20.7,20.7,100,0
20190410,20.82,20.82,20.82,20.82,53,0
20190411,20.605,20.605,20.605,20.605,246,0
20190412,20.08,20.08,19.86,19.925,586,0
20190415,20.075,20.075,20.075,20.075,53,0
20190416,19.875,19.875,19.875,19.875,53,0
20190417,19.925,19.925,19.925,19.925,53,0
20190418,20.135,20.135,20.135,20.135,53,0
20190422,20.195,20.195,20.195,20.195,53,0
20190423,20.385,20.385,20.385,20.385,53,0
20190424,20.725,20.725,20.725,20.725,53,0
20190425,20.535,20.535,20.535,20.535,10,0
20190426,20.78,20.78,20.78,20.78,53,0
20190429,20.48,20.805,18.44,20.805,300,0
20190430,20.985,20.985,20.985,20.985,53,0
20190501,20.655,20.655,20.655,20.655,53,0
20190502,20.245,20.245,20.245,20.245,53,0
20190503,20.25,20.325,20.25,20.325,500,0
20190506,20.94,20.94,20.74,20.74,400,0
20190507,20.825,20.825,20.825,20.825,53,0
20190508,20.705,20.705,20.705,20.705,53,0
20190509,20.815,20.815,20.815,20.815,53,0
20190510,20.85,20.95,20.85,20.875,300,0
20190513,21.25,21.982,21.25,21.982,300,0
20190514,21.705,21.705,21.705,21.705,53,0
20190515,22,22.1,22,22.05,400,0
20190516,21.835,21.835,21.835,21.835,53,0
20190517,21.895,21.895,21.895,21.895,53,0
20190520,21.75,21.75,21.75,21.75,53,0
20190521,21.49,21.49,21.49,21.49,8,0
20190522,21.73,21.73,21.73,21.73,53,0
20190523,21.98,22.715,21.95,22.715,6660,0
20190524,22.37,22.37,22.37,22.37,18,0
20190528,22.82,22.82,22.82,22.82,53,0
20190529,23.175,23.175,23.175,23.175,53,0
20190530,22.91,23.145,22.91,23.145,200,0
20190531,24.25,24.43,24.25,24.43,142,0
20190603,24.65,25.59,24.65,25.59,1600,0
20190604,25.315,25.315,25.13,25.315,700,0
20190605,25.525,25.525,25.525,25.525,53,0
