Date,Open,High,Low,Close,Volume,OpenInt
20131113,9.601,10.223,9.4603,10.168,12478792,0
20131114,10.055,10.195,9.889,10.172,1500533,0
20131115,9.913,10.268,9.884,10.177,647839,0
20131118,10.168,10.211,10.14,10.195,346319,0
20131119,10.168,10.195,10.145,10.195,479515,0
20131120,10.168,10.307,10.145,10.307,510269,0
20131121,10.324,10.387,10.168,10.364,433960,0
20131122,10.364,10.369,10.195,10.302,290543,0
20131125,10.369,10.369,10.195,10.258,138455,0
20131126,10.278,10.449,10.14,10.307,202728,0
20131127,10.431,10.544,10.276,10.504,901380,0
20131129,10.478,10.647,10.422,10.59,172320,0
20131202,10.595,10.675,10.307,10.675,295149,0
20131203,10.533,11.014,10.533,10.958,325072,0
20131204,11.002,11.07,10.675,10.861,206266,0
20131205,10.838,10.838,10.517,10.76,347907,0
20131206,10.568,11.126,10.562,10.991,272666,0
20131209,11.018,11.297,11.018,11.177,562498,0
20131210,11.014,11.291,10.902,10.996,372165,0
20131211,10.962,11.037,10.799,10.848,382971,0
20131212,10.832,10.986,10.832,10.916,143943,0
20131213,10.877,11.351,10.877,11.07,148546,0
20131216,11.187,11.405,11.018,11.025,135977,0
20131217,11.098,11.251,11.018,11.239,349966,0
20131218,11.025,11.438,11.025,11.346,174752,0
20131219,11.465,11.721,11.201,11.543,166431,0
20131220,11.481,11.894,11.477,11.894,145539,0
20131223,11.996,12.24,11.921,12.24,162359,0
20131224,12.199,12.425,12.199,12.335,140624,0
20131226,12.391,12.828,12.256,12.714,130312,0
20131227,12.718,12.928,12.714,12.806,92247,0
20131230,12.99,13.438,12.695,12.782,122169,0
20131231,12.877,12.967,12.46,12.737,84809,0
20140102,12.572,12.68,12.199,12.335,239119,0
20140103,12.438,12.438,12.313,12.358,66417,0
20140106,12.413,12.538,12.199,12.33,194404,0
20140107,12.296,12.313,11.696,11.964,280632,0
20140108,11.9,12.306,11.755,11.968,159702,0
20140109,11.843,12.036,11.755,11.843,142886,0
20140110,11.827,11.944,11.721,11.866,210694,0
20140113,12.296,12.549,12.113,12.549,196884,0
20140114,12.6,12.709,12.351,12.431,137570,0
20140115,12.398,12.862,12.149,12.149,121282,0
20140116,12.273,12.504,12.146,12.471,92599,0
20140117,12.481,12.704,12.216,12.425,80029,0
20140121,12.408,12.714,12.149,12.335,207152,0
20140122,12.262,12.522,12.142,12.216,110660,0
20140123,12.369,12.453,12.065,12.335,58784,0
20140124,12.149,12.413,12.07,12.273,43307,0
20140127,12.273,12.419,12.086,12.21,49931,0
20140128,12.136,12.425,12.094,12.094,43537,0
20140129,11.968,12.279,11.894,11.949,51344,0
20140130,12.06,12.172,11.921,12.108,38951,0
20140131,11.976,12.158,11.964,12.076,27200,0
20140203,12.048,12.172,11.907,11.949,81480,0
20140204,11.913,12.113,11.894,11.944,71680,0
20140205,11.921,12.142,11.913,12.003,29164,0
20140206,11.992,12.301,11.992,12.301,70834,0
20140207,11.915,12.529,11.915,12.198,46647,0
20140210,12.944,12.95,11.917,12.476,43961,0
20140211,12.055,12.49,12.015,12.169,35595,0
20140212,12.162,12.33,12.044,12.238,40850,0
20140213,12.147,12.186,12.03,12.098,43273,0
20140214,12.023,12.238,11.909,12.238,121293,0
20140218,12.11,12.222,11.885,11.923,110094,0
20140219,11.896,12.483,11.885,12.442,80559,0
20140220,12.358,12.727,11.891,12.193,104750,0
20140221,12.283,12.804,12.243,12.273,55537,0
20140224,12.369,12.817,12.369,12.717,86015,0
20140225,12.717,12.807,12.466,12.551,61227,0
20140226,12.614,12.644,12.273,12.57,41712,0
20140227,12.534,12.807,12.409,12.512,46485,0
20140228,12.471,12.746,12.398,12.42,17145,0
20140303,12.42,12.63,12.42,12.471,66333,0
20140304,12.614,12.801,12.442,12.57,64705,0
20140305,12.551,12.781,12.391,12.576,80046,0
20140306,12.529,12.812,12.519,12.57,81120,0
20140307,12.781,12.812,12.534,12.659,66615,0
20140310,12.625,12.727,12.551,12.63,33229,0
20140311,12.672,12.72,12.546,12.603,39363,0
20140312,12.597,12.727,12.529,12.672,55092,0
20140313,12.659,12.784,12.267,12.301,42528,0
20140314,12.329,12.644,12.329,12.335,38255,0
20140317,12.391,12.717,12.325,12.706,40674,0
20140318,12.686,12.686,12.351,12.432,47799,0
20140319,12.335,12.706,12.301,12.529,51094,0
20140320,12.444,12.609,11.857,12.183,133073,0
20140321,12.243,12.471,12.198,12.391,30070,0
20140324,12.425,12.461,12.301,12.313,13080,0
20140325,12.329,12.517,12.198,12.289,50910,0
20140326,12.261,12.504,12.243,12.42,49874,0
20140327,12.414,12.637,12.406,12.58,56537,0
20140328,12.461,12.727,12.243,12.341,107433,0
20140331,12.409,12.584,12.267,12.341,85015,0
20140401,12.391,12.391,12.233,12.238,8159,0
20140402,12.324,12.692,12.251,12.529,74360,0
20140403,12.529,12.556,12.386,12.471,35641,0
20140404,12.471,12.7,12.471,12.626,34417,0
20140407,12.7,12.7,12.261,12.261,52124,0
20140408,12.283,12.442,11.874,11.938,96008,0
20140409,11.96,12.529,11.96,12.249,62300,0
20140410,12.329,12.512,11.978,12.044,77201,0
20140411,12.243,12.438,12.057,12.114,86196,0
20140414,11.999,12.466,11.96,12.154,84328,0
20140415,12.154,12.154,11.96,12.11,36027,0
20140416,12.154,12.449,12.102,12.273,45834,0
20140417,12.296,12.476,12.193,12.442,31287,0
20140421,12.49,12.49,12.147,12.273,32426,0
20140422,12.379,12.529,12.231,12.499,88327,0
20140423,12.471,12.69,12.329,12.58,36853,0
20140424,12.614,12.756,12.584,12.653,80656,0
20140425,12.614,12.756,12.249,12.398,84026,0
20140428,12.466,12.727,12.261,12.267,62050,0
20140429,12.358,12.58,12.358,12.49,252120,0
20140430,12.449,12.619,12.402,12.42,35896,0
20140501,12.527,13.007,12.522,12.625,44733,0
20140502,12.649,13.03,12.58,12.625,24950,0
20140505,12.672,12.956,12.503,12.631,24221,0
20140506,12.625,12.743,12.545,12.737,21117,0
20140507,12.84,13.438,12.752,12.991,60384,0
20140508,13.123,13.841,13.118,13.143,68769,0
20140509,13.379,13.62,13.118,13.172,50044,0
20140512,13.176,13.176,12.819,12.997,53119,0
20140513,13.575,13.575,13.089,13.315,28113,0
20140514,13.304,13.62,13.205,13.315,23478,0
20140515,13.194,13.554,13.176,13.212,41446,0
20140516,13.205,13.426,13.066,13.205,23240,0
20140519,13.089,13.784,13.089,13.27,51855,0
20140520,13.39,13.39,13.151,13.172,34837,0
20140521,13.263,13.263,12.956,13.072,13151,0
20140522,13.123,13.123,12.527,12.603,118093,0
20140523,12.771,13.309,12.771,12.997,280410,0
20140527,13.136,13.377,12.887,13.256,88549,0
20140528,13.263,14.056,13.217,13.494,187122,0
20140529,13.819,13.826,13.317,13.539,46323,0
20140530,13.554,14.132,13.554,13.918,145105,0
20140602,14.085,14.48,13.726,13.831,71102,0
20140603,13.737,13.9,13.629,13.657,8628,0
20140604,13.663,13.896,13.635,13.704,73963,0
20140605,13.841,13.841,13.615,13.721,77463,0
20140606,13.641,13.798,13.641,13.779,34443,0
20140609,13.9,14.474,13.888,14.213,130620,0
20140610,14.126,14.474,14.056,14.056,66821,0
20140611,13.9,14.322,13.9,14.137,33455,0
20140612,13.757,13.757,13.059,13.2,635918,0
20140613,13.147,13.732,13.03,13.471,4319881,0
20140616,13.309,14.039,13.309,13.925,739200,0
20140617,14.045,14.093,13.559,13.751,322677,0
20140618,13.62,14.045,13.53,14.017,437539,0
20140619,13.87,14.768,13.505,14.635,495290,0
20140620,14.322,14.611,14.033,14.329,274877,0
20140623,14.381,14.596,13.732,13.9,250158,0
20140624,13.819,14.749,13.61,14.241,289510,0
20140625,14.196,14.432,13.726,13.877,138457,0
20140626,14.045,14.48,13.732,14.07,146468,0
20140627,13.981,14.542,13.819,14.451,178301,0
20140630,14.467,14.534,13.962,14.045,152053,0
20140701,14.004,14.299,13.957,14.05,89435,0
20140702,14.05,14.556,14.05,14.48,164891,0
20140703,14.549,14.549,14.448,14.474,95748,0
20140707,14.402,14.48,13.819,14.397,162068,0
20140708,14.392,14.446,13.987,14.132,49547,0
20140709,14.064,14.293,13.9,13.977,87741,0
20140710,13.9,14.049,13.806,13.826,62142,0
20140711,13.806,14.352,13.802,14.246,78512,0
20140714,14.236,14.335,13.831,13.877,69744,0
20140715,13.767,14.137,13.737,13.9,151164,0
20140716,13.94,14.102,13.918,13.935,53206,0
20140717,14.107,14.132,13.667,14.011,121004,0
20140718,13.948,14.474,13.726,14.277,72260,0
20140721,14.213,14.299,13.94,14.19,56045,0
20140722,14.154,14.19,13.841,14.064,97521,0
20140723,13.962,14.446,13.737,14.335,179762,0
20140724,14.254,14.388,14.017,14.246,49145,0
20140725,14.132,14.184,13.957,13.969,37356,0
20140728,14.021,14.121,13.904,14.098,23085,0
20140729,14.113,14.19,13.771,13.841,145911,0
20140730,13.806,14.128,13.669,13.686,76091,0
20140731,13.657,13.692,13.043,13.518,188001,0
20140801,13.339,13.733,13.14,13.639,109516,0
20140804,13.639,14.322,13.339,13.537,90686,0
20140805,13.493,13.648,13.204,13.246,129972,0
20140806,13.18,14.162,13.18,13.561,133494,0
20140807,13.648,13.892,13.346,13.463,126086,0
20140808,13.497,13.72,13.415,13.525,78216,0
20140811,13.605,14.064,13.439,14.038,40670,0
20140812,14.104,14.104,13.634,13.809,98586,0
20140813,13.752,14.085,13.673,13.744,117753,0
20140814,13.753,13.989,13.619,13.649,40098,0
20140815,13.786,14.003,13.68,13.968,56042,0
20140818,13.956,14.099,13.643,13.643,57884,0
20140819,13.737,14.193,13.692,13.989,114122,0
20140820,14.093,14.422,13.952,14.144,184313,0
20140821,14.291,14.446,13.916,13.968,59161,0
20140822,13.916,14.203,13.916,13.975,25243,0
20140825,14.044,14.251,13.916,14.144,33551,0
20140826,14.144,14.298,14.015,14.257,80137,0
