Date,Open,High,Low,Close,Volume,OpenInt
20160527,24.165,24.225,24.155,24.155,2654,0
20160531,24.241,24.241,24.225,24.225,501,0
20160601,24.295,24.295,24.295,24.295,1656,0
20160602,24.295,24.295,24.295,24.295,0,0
20160603,24.292,24.315,24.292,24.315,1946,0
20160606,24.255,24.311,24.255,24.305,1522,0
20160607,24.355,24.361,24.335,24.359,3294,0
20160608,24.373,24.395,24.364,24.38,10686,0
20160609,24.275,24.337,24.275,24.337,936,0
20160610,24.267,24.267,24.195,24.195,3709,0
20160613,24.1,24.105,24.1,24.105,813,0
20160614,24.028,24.085,24.005,24.005,9334,0
20160615,24.105,24.165,24.085,24.125,7756,0
20160616,24.115,24.115,24.086,24.086,587,0
20160617,24.08,24.08,24.08,24.08,200,0
20160620,24.2501,24.35,24.2501,24.35,4446,0
20160621,24.24,24.25,24.2001,24.203,1650,0
20160622,24.2501,24.2501,24.2501,24.2501,142,0
20160623,24.4082,24.42,24.3407,24.3844,729,0
20160624,24.3187,24.3187,24.1301,24.1552,2273,0
20160627,24.02,24.02,23.85,23.88,26456,0
20160628,23.995,24,23.93,23.966,8185,0
20160629,24.1,24.12,24.04,24.1001,3055,0
20160630,24.2089,24.23,24.2089,24.2289,620,0
20160701,24.2289,24.2289,24.2289,24.2289,0,0
20160705,24.11,24.11,24.065,24.065,300,0
20160706,24.04,24.08,24.04,24.08,216657,0
20160707,24.21,24.22,24.2,24.22,340,0
20160708,24.3,24.37,24.3,24.37,10680,0
20160711,24.45,24.5,24.4276,24.49,5308,0
20160712,24.61,24.63,24.61,24.63,5820,0
20160713,24.63,24.63,24.63,24.63,0,0
20160714,24.6,24.628,24.56,24.622,899,0
20160715,24.585,24.6476,24.585,24.6476,1094,0
20160718,24.6367,24.6367,24.6354,24.6354,850,0
20160719,24.7,24.7,24.7,24.7,0,0
20160720,24.6889,24.7151,24.6889,24.7151,400,0
20160721,24.724,24.724,24.72,24.72,1080,0
20160722,24.65,24.664,24.65,24.664,486,0
20160725,24.6928,24.7143,24.67,24.7082,860,0
20160726,24.73,24.735,24.73,24.735,568,0
20160727,24.7287,24.7287,24.5811,24.61,2353,0
20160728,24.68,24.68,24.68,24.68,150,0
20160729,24.677,24.68,24.67,24.68,1058,0
20160801,24.6565,24.66,24.56,24.6,8921,0
20160802,24.52,24.52,24.384,24.384,3150,0
20160803,24.5296,24.54,24.5099,24.54,4812,0
20160804,24.45,24.52,24.45,24.52,234,0
20160805,24.5999,24.5999,24.54,24.56,22617,0
20160808,24.68,24.6838,24.66,24.66,362,0
20160809,24.66,24.66,24.55,24.55,800,0
20160810,24.4316,24.51,24.4316,24.48,1065,0
20160811,24.496,24.496,24.496,24.496,204,0
20160812,24.58,24.5931,24.58,24.5931,400,0
20160815,24.732,24.732,24.732,24.732,400,0
20160816,24.7399,24.7399,24.677,24.677,242,0
20160817,24.69,24.69,24.4901,24.4901,942,0
20160818,24.6273,24.6273,24.6273,24.6273,1000,0
20160819,24.65,24.6673,24.65,24.6673,534,0
20160822,24.6673,24.6673,24.6673,24.6673,0,0
20160823,24.76,24.79,24.7284,24.736,16868,0
20160824,24.74,24.74,24.69,24.69,2998,0
20160825,24.64,24.64,24.64,24.64,0,0
20160826,24.72,24.72,24.72,24.72,330,0
20160829,24.74,24.74,24.74,24.74,0,0
20160830,24.75,24.77,24.74,24.74,7138,0
20160831,24.76,24.76,24.67,24.6931,834,0
20160901,24.75,24.75,24.6,24.67,6150,0
20160902,24.7338,24.7338,24.7338,24.7338,600,0
20160906,24.79,24.79,24.6108,24.6108,839,0
20160907,24.6501,24.7367,24.6501,24.7216,2305,0
20160908,24.74,24.77,24.74,24.77,800,0
20160909,24.7,24.7,24.59,24.59,2050,0
20160912,24.6293,24.6293,24.5936,24.62,13500,0
20160913,24.575,24.575,24.57,24.57,1442,0
20160914,24.459,24.459,24.459,24.459,400,0
20160915,24.459,24.459,24.459,24.459,0,0
20160916,24.459,24.459,24.459,24.459,0,0
20160919,24.68,24.68,24.68,24.68,590,0
20160920,24.6581,24.6598,24.6581,24.6598,295,0
20160921,24.645,24.65,24.6,24.6,1600,0
20160922,24.7101,24.74,24.6901,24.7097,3496,0
20160923,24.7983,24.7983,24.754,24.754,917,0
20160926,24.74,24.74,24.74,24.74,539,0
20160927,24.755,24.76,24.7525,24.76,2000,0
20160928,24.7903,24.7903,24.7903,24.7903,200,0
20160929,24.67,24.7499,24.67,24.7499,1428,0
20160930,24.73,24.8,24.73,24.8,8753,0
20161003,24.76,24.76,24.74,24.74,262,0
20161004,24.57,24.67,24.57,24.61,41560,0
20161005,24.76,24.79,24.74,24.76,1850,0
20161006,24.76,24.76,24.76,24.76,0,0
20161007,24.7673,24.7673,24.7673,24.7673,165,0
20161010,24.77,24.7731,24.75,24.7731,975,0
20161011,24.74,24.74,24.7372,24.7372,500,0
20161012,24.7,24.7,24.7,24.7,812,0
20161013,24.66,24.66,24.6,24.6479,4935,0
20161014,24.6,24.6,24.5963,24.5963,637,0
20161017,24.5963,24.5963,24.5963,24.5963,0,0
20161018,24.687,24.687,24.65,24.65,560,0
20161019,24.65,24.65,24.65,24.65,0,0
20161020,24.65,24.65,24.65,24.65,0,0
20161021,24.65,24.65,24.65,24.65,0,0
20161024,24.77,24.77,24.77,24.77,175,0
20161025,24.632,24.635,24.632,24.635,1015,0
20161026,24.5239,24.64,24.52,24.6157,1105,0
20161027,24.33,24.38,24.33,24.38,236347,0
20161028,24.3901,24.4252,24.3901,24.4252,530,0
20161031,24.37,24.37,24.37,24.37,230,0
20161101,24.66,24.66,24.407,24.42,8560,0
20161102,24.49,24.49,24.38,24.415,3002,0
20161103,24.36,24.4,24.32,24.32,4600,0
20161104,24.35,24.35,24.35,24.35,541,0
20161107,24.21,24.21,24.17,24.17,2345,0
20161108,24.17,24.17,24.17,24.17,269,0
20161109,24.07,24.08,23.97,24.02,2388,0
20161110,24.04,24.182,24.04,24.05,10813,0
20161111,24.22,24.29,24.22,24.29,400,0
20161114,24,24.61,24,24.61,2381,0
20161115,24.53,24.6,24.51,24.51,1326,0
20161116,24.51,24.51,24.51,24.51,0,0
20161117,24.67,24.67,24.61,24.61,648,0
20161118,24.61,24.61,24.61,24.61,0,0
20161121,24.61,24.61,24.61,24.61,555,0
20161122,24.8,24.81,24.8,24.8092,783,0
20161123,24.8175,24.86,24.77,24.77,3247,0
20161125,24.78,24.86,24.78,24.86,2490,0
20161128,24.7,24.8,24.7,24.8,3698,0
20161129,24.8,24.8,24.8,24.8,0,0
20161130,24.6101,24.6101,24.6101,24.6101,1018,0
20161201,24.6101,24.634,24.5443,24.5582,1914,0
20161202,24.54,24.54,24.54,24.54,710,0
20161205,24.59,24.668,24.59,24.668,1042,0
20161206,24.7301,24.755,24.73,24.755,1848,0
20161207,24.854,24.854,24.73,24.73,1615,0
20161208,24.96,25.02,24.446,24.446,4502,0
20161209,24.78,24.952,24.78,24.952,8211,0
20161212,24.952,24.952,24.952,24.952,0,0
20161213,24.8973,24.8973,24.85,24.85,552,0
20161214,24.79,24.79,24.72,24.75,1496,0
20161215,24.82,24.89,24.82,24.89,200000,0
20161216,24.85,24.85,24.84,24.85,20741,0
20161219,24.9324,24.9324,24.84,24.85,1715,0
20161220,24.83,24.83,24.83,24.83,300,0
20161221,24.89,24.9047,24.89,24.9047,800,0
20161222,24.83,24.91,24.83,24.89,20956,0
20161223,24.91,24.91,24.87,24.9,1171,0
20161227,24.9233,24.945,24.9157,24.9157,662,0
20161228,24.9157,24.9157,24.9157,24.9157,0,0
20161229,24.838,24.9,24.838,24.9,400,0
20161230,24.96,24.96,24.93,24.93,1705,0
20170103,24.88,24.88,24.88,24.88,768,0
20170104,24.9,24.9852,24.9,24.9852,848,0
20170105,24.9,24.9374,24.9,24.9374,2202,0
20170106,24.8811,24.8811,24.8811,24.8811,825,0
20170109,24.84,24.895,24.84,24.8881,3230,0
20170110,24.9699,24.986,24.91,24.96,5132,0
20170111,24.946,24.946,24.946,24.946,720,0
20170112,24.89,24.89,24.89,24.89,183,0
20170113,25.0095,25.0095,24.9728,24.9753,1155,0
20170117,25.03,25.03,25,25,1675,0
20170118,24.964,24.964,24.964,24.964,200,0
20170119,24.964,24.964,24.964,24.964,0,0
20170120,24.96,24.969,24.91,24.9559,6305,0
20170123,24.9888,24.9888,24.9888,24.9888,600,0
20170124,25.05,25.05,25.05,25.05,201,0
20170125,25.06,25.1462,25.06,25.105,9500,0
20170126,25.1,25.1,25.0534,25.0534,1100,0
20170127,24.98,24.98,24.93,24.9456,4168,0
20170130,24.89,24.89,24.863,24.863,3568,0
20170131,24.95,24.95,24.91,24.95,2870,0
20170201,24.95,24.95,24.95,24.95,0,0
20170202,24.9499,24.95,24.934,24.934,2650,0
20170203,24.934,24.934,24.934,24.934,0,0
20170206,24.99,24.99,24.99,24.99,795,0
20170207,24.965,24.965,24.92,24.92,593,0
20170208,24.9099,24.9744,24.9099,24.9744,2900,0
20170209,25.07,25.0822,25.04,25.04,1733,0
20170210,25.1,25.1,25.03,25.0646,419,0
20170213,25,25,24.9794,24.9794,1202,0
20170214,24.9699,25.03,24.9699,25.0299,2847,0
20170215,24.9905,24.9905,24.9905,24.9905,325,0
20170216,25.04,25.04,24.935,24.935,702,0
20170217,25.057,25.07,25.0444,25.0444,1940,0
20170221,25.16,25.16,25.16,25.16,164,0
20170222,25.1931,25.1931,25.145,25.145,850,0
20170223,25.11,25.11,25.11,25.11,700,0
20170224,25.15,25.2999,25.15,25.29,2460,0
