Date,Open,High,Low,Close,Volume,OpenInt
20190822,20.052,20.072,20.032,20.072,995,0
20190823,20.112,20.112,19.834,19.834,3014,0
20190826,19.963,20.069,19.963,20.069,5037,0
20190827,20.218,20.218,20.142,20.166,1272,0
20190828,20.221,20.221,20.18,20.18,1232,0
20190829,20.291,20.297,20.258,20.297,1761,0
20190830,20.34,20.34,20.33,20.339,1815,0
20190903,20.568,20.568,20.558,20.568,603,0
20190904,20.628,20.628,20.628,20.628,10,0
20190905,20.449,20.489,20.447,20.46,896,0
20190906,20.364,20.364,20.364,20.364,8,0
20190909,20.181,20.181,20.146,20.155,2015,0
20190910,20.126,20.126,20.126,20.126,20,0
20190911,20.259,20.259,20.259,20.259,51,0
20190912,20.344,20.357,20.314,20.314,399,0
20190913,20.32,20.32,20.26,20.26,275,0
20190916,20.241,20.252,20.241,20.252,101,0
20190917,20.457,20.457,20.457,20.457,8,0
20190918,20.533,20.533,20.533,20.533,8,0
20190919,20.538,20.607,20.538,20.593,1511,0
20190920,20.568,20.655,20.568,20.652,1209,0
20190923,20.678,20.683,20.678,20.683,224,0
20190924,20.876,20.876,20.81,20.81,272,0
20190925,20.797,20.797,20.727,20.794,5850,0
20190926,20.882,20.936,20.882,20.906,1230,0
20190927,20.807,20.837,20.807,20.837,208,0
20190930,20.926,20.926,20.886,20.886,334,0
20191001,20.866,20.866,20.807,20.807,1310,0
20191002,20.628,20.628,20.556,20.556,1990,0
20191003,20.598,20.609,20.598,20.609,302,0
20191004,20.827,20.827,20.827,20.827,101,0
20191007,20.747,20.747,20.747,20.747,201,0
20191008,20.777,20.777,20.588,20.588,2751,0
20191009,20.651,20.651,20.651,20.651,1,0
20191010,20.559,20.606,20.559,20.606,2712,0
20191011,20.549,20.549,20.549,20.549,151,0
20191014,20.608,20.608,20.46,20.46,1947,0
20191015,20.449,20.449,20.4,20.4,397,0
20191016,20.412,20.412,20.412,20.412,4,0
20191017,20.381,20.452,20.381,20.452,1144,0
20191018,20.549,20.549,20.549,20.549,111,0
20191021,20.584,20.584,20.584,20.584,4,0
20191022,20.597,20.597,20.597,20.597,4,0
20191023,20.657,20.688,20.657,20.688,1068,0
20191024,20.727,20.727,20.727,20.727,101,0
20191025,20.549,20.549,20.549,20.549,101,0
20191028,20.608,20.608,20.271,20.271,957,0
20191029,20.241,20.3,20.241,20.3,212,0
20191030,20.449,20.449,20.412,20.412,554,0
20191031,20.519,20.556,20.498,20.556,1326,0
20191101,20.529,20.529,20.509,20.511,1621,0
20191104,20.459,20.459,20.276,20.276,1138,0
20191105,20.171,20.171,20.127,20.127,146,0
20191106,20.181,20.181,20.168,20.17,5532,0
20191107,19.854,19.904,19.854,19.904,645,0
20191108,19.844,19.866,19.844,19.866,951,0
20191111,19.843,19.843,19.843,19.843,32,0
20191112,19.876,19.876,19.858,19.859,1517,0
20191113,20.112,20.112,20.112,20.112,15,0
20191114,20.201,20.201,20.164,20.164,109,0
20191115,20.171,20.222,20.171,20.222,420,0
20191118,20.38,20.4,20.261,20.261,1519,0
20191119,20.34,20.34,20.281,20.281,1468,0
20191120,20.37,20.374,20.37,20.374,141,0
20191121,20.33,20.381,20.33,20.381,428,0
20191122,20.36,20.36,20.36,20.36,30,0
20191125,20.293,20.293,20.271,20.277,1293,0
20191126,20.32,20.346,20.32,20.346,236,0
20191127,20.36,20.368,20.36,20.368,201,0
20191129,20.38,20.38,20.329,20.329,101,0
20191202,20.195,20.195,20.195,20.195,10,0
20191203,20.261,20.261,20.261,20.261,101,0
20191204,20.375,20.375,20.375,20.375,8,0
20191205,20.372,20.372,20.372,20.372,4,0
20191206,20.36,20.36,20.36,20.36,123,0
20191209,20.329,20.329,20.329,20.329,8,0
20191210,20.41,20.41,20.372,20.372,418,0
20191211,20.465,20.465,20.465,20.465,8,0
20191212,20.36,20.36,20.36,20.36,152,0
20191213,20.53,20.53,20.53,20.53,104,0
20191216,20.6199,20.7291,20.6199,20.7291,1346,0
20191217,20.77,20.77,20.77,20.77,100,0
20191218,20.72,20.8768,20.72,20.8768,2600,0
20191219,20.84,20.869,20.84,20.8609,755,0
20191220,21,21,21,21,100,0
20191223,20.8546,20.8546,20.8546,20.8546,8,0
20191224,20.8984,20.8984,20.8984,20.8984,33,0
20191226,20.9335,20.9335,20.9335,20.9335,8,0
20191227,20.942,20.959,20.896,20.9524,4345,0
20191230,20.95,20.95,20.894,20.9382,2542,0
20191231,20.9763,21.0387,20.9467,21.0387,2015,0
20200102,20.73,20.7841,20.73,20.7841,211,0
20200103,20.82,20.85,20.79,20.81,2950,0
20200106,20.78,20.8504,20.78,20.8504,200,0
20200107,20.75,20.802,20.75,20.7945,350,0
20200108,20.7974,20.7974,20.7974,20.7974,10,0
20200109,20.86,20.9031,20.86,20.9031,2093,0
20200110,20.9706,20.9706,20.9706,20.9706,96,0
20200113,21.154,21.154,21.144,21.144,400,0
20200114,21.17,21.194,21.17,21.194,177,0
20200115,21.41,21.489,21.41,21.4723,325,0
20200116,21.6,21.6,21.58,21.5895,400,0
20200117,21.59,21.7024,21.5648,21.7024,2190,0
20200121,21.72,21.8495,21.72,21.8495,948,0
20200122,21.91,21.91,21.89,21.9013,2221,0
20200123,21.96,22.0494,21.94,22.0494,6609,0
