Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.4492,8.6213,8.3955,8.583,251320,0
20050228,8.6856,8.7192,8.4607,8.4729,227298,0
20050301,8.5052,8.7455,8.5052,8.566,200936,0
20050302,8.6493,8.8134,8.5928,8.8015,274162,0
20050303,8.7637,8.794,8.7029,8.7894,238431,0
20050304,8.8382,8.924,8.8208,8.8695,170477,0
20050307,8.8695,8.8695,8.7563,8.7563,169889,0
20050308,8.8382,8.9998,8.8382,8.9867,141183,0
20050309,8.9941,9.0055,8.8382,8.9065,159935,0
20050310,8.9065,8.9434,8.7526,8.7526,150560,0
20050311,8.7663,8.8356,8.7238,8.7739,167545,0
20050314,8.7739,8.8244,8.7526,8.7858,120679,0
20050315,8.8356,8.8936,8.8088,8.8595,169889,0
20050316,8.8936,8.9481,8.8088,8.8088,144702,0
20050317,8.8521,8.9546,8.8356,8.924,251320,0
20050318,8.8761,8.9434,8.8061,8.9065,168720,0
20050321,8.8761,8.9377,8.7663,8.7663,135324,0
20050322,8.8208,8.8549,8.682,8.682,169889,0
20050323,8.6258,8.682,8.4945,8.566,229641,0
20050324,8.5893,8.6142,8.4492,8.5008,178093,0
20050328,8.5008,8.5008,8.3473,8.4572,277680,0
20050329,8.4668,8.5965,8.4668,8.4809,158170,0
20050330,8.5052,8.6142,8.4341,8.5624,150560,0
20050331,8.6576,8.8208,8.6036,8.7894,144113,0
20050401,8.7821,8.7914,8.6693,8.6693,157003,0
20050404,8.6329,8.8475,8.5965,8.7914,128293,0
20050405,8.7914,8.8475,8.7455,8.831,161685,0
20050406,8.8116,8.9138,8.7821,8.9065,145283,0
20050407,8.9009,9.0055,8.8623,8.8936,196250,0
20050408,8.8761,8.8936,8.8356,8.8475,159935,0
20050411,8.8695,8.9111,8.8356,8.8494,220268,0
20050412,8.8429,8.8595,8.7858,8.8134,199768,0
20050413,8.8061,8.8061,8.6784,8.6901,155240,0
20050414,8.6984,8.7894,8.6939,8.7601,256007,0
20050415,8.7775,8.9045,8.7137,8.7137,175162,0
20050418,8.6984,8.7165,8.6329,8.6856,176919,0
20050419,8.7066,8.7491,8.6603,8.7491,137084,0
20050420,8.7066,8.7428,8.5776,8.6142,319856,0
20050421,8.6036,8.7137,8.5697,8.672,143528,0
20050422,8.672,8.7428,8.6576,8.663,166963,0
20050425,8.663,8.7526,8.6194,8.6368,261274,0
20050426,8.6539,8.7165,8.5992,8.6413,132980,0
20050427,8.6576,8.6576,8.5419,8.5517,168130,0
20050428,8.5284,8.6539,8.4668,8.5419,198592,0
20050429,8.583,8.663,8.5491,8.6142,183948,0
20050502,8.6142,8.7238,8.6142,8.6939,92556,0
20050503,8.672,8.7401,8.672,8.7238,136495,0
20050504,8.7238,8.8475,8.7238,8.8208,97834,0
20050505,8.8725,9.044,8.7739,8.7977,346805,0
20050506,8.8281,8.9276,8.8015,8.8963,246048,0
20050509,9.0478,9.1572,8.9631,9.1217,1072058,0
20050510,9.1524,9.234,9.0478,9.1697,562979,0
20050511,9.1313,9.1649,9.0018,9.0637,488576,0
20050512,9.029,9.029,8.9312,8.9715,357936,0
20050513,8.9009,8.9009,8.7238,8.7455,309315,0
