Date,Open,High,Low,Close,Volume,OpenInt
20070327,7.7643,7.7643,7.7643,7.7643,0,0
20070328,7.7643,7.8012,7.3761,7.7643,2189071,0
20070329,7.7643,7.7682,7.7643,7.7643,465788,0
20070330,7.7643,7.7682,7.7643,7.7643,308894,0
20070402,7.7682,7.7682,7.7643,7.7682,196568,0
20070403,7.7682,7.7682,7.7643,7.7643,119277,0
20070404,7.8012,7.9613,7.7643,7.7643,615992,0
20070405,7.7682,7.7818,7.7643,7.7682,190386,0
20070409,7.7978,7.8012,7.7682,7.7682,405769,0
20070410,7.7713,7.8012,7.7713,7.8012,180853,0
20070411,7.7875,7.8407,7.7818,7.8225,303223,0
20070412,7.8358,7.931,7.8178,7.8635,339559,0
20070413,7.8802,7.9212,7.8768,7.9031,246292,0
20070416,7.9179,7.9261,7.8899,7.9031,190904,0
20070417,7.9179,7.9343,7.8358,7.8802,247583,0
20070418,7.8768,7.9343,7.8635,7.885,268963,0
20070419,7.8635,7.9212,7.8604,7.885,216408,0
20070420,7.9179,7.9261,7.8802,7.9179,153032,0
20070423,7.9261,7.9261,7.8989,7.9079,161274,0
20070424,7.9179,7.9179,7.8669,7.9079,229806,0
20070425,7.9105,7.9385,7.8899,7.9261,221300,0
20070426,7.931,7.949,7.9105,7.931,169264,0
20070427,7.9532,7.9695,7.8989,7.9647,171064,0
20070430,7.8284,7.9031,7.7713,7.7945,804316,0
20070501,7.7921,7.7945,7.7643,7.7643,560599,0
20070502,7.7713,7.8135,7.7643,7.7643,587134,0
20070503,7.7682,7.7777,7.7643,7.7643,344450,0
20070504,7.7921,7.7978,7.7643,7.7713,431277,0
20070507,7.7713,7.7978,7.7643,7.7643,361712,0
20070508,7.7682,7.7875,7.7682,7.7875,551069,0
20070509,7.7777,7.7921,7.7777,7.7921,273606,0
20070510,7.7875,7.7921,7.7643,7.7643,476608,0
20070511,7.7682,7.7732,7.7643,7.7643,264074,0
20070514,7.7713,7.7818,7.7682,7.7713,430756,0
20070515,7.7875,7.7945,7.7713,7.7945,284165,0
20070516,7.7921,7.8178,7.7732,7.8135,273853,0
20070517,7.8225,7.8225,7.7682,7.7945,233669,0
20070518,7.8012,7.8178,7.7713,7.7713,222852,0
20070521,7.8012,7.8012,7.7643,7.7643,630162,0
20070522,7.7732,7.8012,7.7643,7.7643,439511,0
20070523,7.7777,7.8225,7.7713,7.7713,255568,0
20070524,7.8258,7.8258,7.7732,7.7777,336721,0
20070525,7.7818,7.8604,7.7713,7.8604,296015,0
20070529,7.8407,7.8407,7.7713,7.8053,350377,0
20070530,7.8053,7.8407,7.7777,7.8225,351918,0
20070531,7.8258,7.8407,7.7875,7.8407,442351,0
20070601,7.8358,7.9647,7.8258,7.9212,638149,0
20070604,7.885,8.1512,7.8563,8.0355,1403046,0
20070605,8.0693,8.0693,7.958,8.0123,685802,0
20070606,8.0072,8.0123,7.8604,7.9951,470948,0
20070607,7.9951,8.0123,7.8604,7.8802,406535,0
20070608,7.885,7.9105,7.8497,7.8537,176225,0
20070611,7.8604,7.9761,7.8497,7.8899,210228,0
20070612,7.8635,7.8635,7.7643,7.7643,279009,0
20070613,7.7643,7.7732,7.7053,7.7643,208160,0
20070614,7.7643,7.7643,7.6152,7.7124,327960,0
20070615,7.7611,7.9212,7.75,7.9212,584304,0
20070618,7.8989,7.9532,7.7164,7.8537,311216,0
20070619,7.8563,7.8669,7.7713,7.8497,284937,0
20070620,7.8635,7.9532,7.8178,7.8635,267929,0
20070621,7.871,7.885,7.8053,7.8407,252992,0
20070622,7.8407,7.8407,7.733,7.8012,229028,0
20070625,7.8135,7.8358,7.671,7.7228,207391,0
20070626,7.8012,7.8284,7.7188,7.7643,252478,0
20070627,7.7643,7.7875,7.6853,7.7732,220528,0
20070628,7.8284,7.8284,7.75,7.7732,252219,0
20070629,7.8012,7.885,7.7818,7.8604,311216,0
20070702,7.885,7.8989,7.8225,7.895,283906,0
20070703,7.8635,7.9343,7.8537,7.9179,211768,0
20070705,7.9179,7.958,7.8802,7.9532,296015,0
20070706,7.931,7.9761,7.9179,7.9423,244748,0
20070709,7.9385,7.9761,7.895,7.958,266129,0
20070710,7.958,7.9647,7.885,7.8989,428432,0
20070711,7.895,7.9613,7.885,7.931,310701,0
20070712,7.7643,7.7643,7.671,7.6853,296277,0
20070713,7.6971,7.7403,7.6193,7.6813,229551,0
20070716,7.6853,7.7188,7.6574,7.6813,237279,0
20070717,7.7164,7.7164,7.6224,7.6272,190644,0
20070718,7.603,7.6303,7.5341,7.5897,238565,0
20070719,7.5032,7.603,7.4954,7.5577,315344,0
20070720,7.5373,7.5732,7.5264,7.5297,169264,0
20070723,7.4986,7.6087,7.4799,7.5614,448526,0
20070724,7.5032,7.5079,7.3389,7.3707,375880,0
20070725,7.3952,7.4877,7.0579,7.2668,402150,0
20070726,7.1339,7.2199,6.6613,7.131,897577,0
20070727,7.317,7.317,7.0305,7.2199,474554,0
