Date,Open,High,Low,Close,Volume,OpenInt
20171110,23.653,23.653,23.638,23.638,212,0
20171113,23.36,23.36,23.353,23.36,2120,0
20171114,23.275,23.331,23.218,23.236,57409,0
20171115,23.153,23.153,23.039,23.067,847,0
20171116,23.321,23.37,23.218,23.37,636,0
20171117,23.417,23.558,23.398,23.558,1681,0
20171120,23.511,23.529,23.426,23.491,1448,0
20171121,23.737,23.983,23.719,23.936,5873,0
20171127,24.002,24.002,23.87,23.87,2060,0
20171207,23.072,23.218,23.062,23.179,6997,0
20171211,23.388,23.463,23.295,23.463,4346,0
20171213,23.633,23.633,23.548,23.548,5724,0
20171214,23.614,23.638,23.473,23.473,20828,0
20171218,23.596,23.719,23.596,23.614,10473,0
20171219,23.604,23.604,23.543,23.548,5301,0
20171221,23.166,23.166,23.166,23.166,10567,0
20171222,23.119,23.144,22.774,22.779,4069,0
20171226,22.864,22.864,22.779,22.779,2736,0
20171227,23.024,23.024,23.007,23.007,7925,0
20171228,23.111,23.111,23.092,23.101,3052,0
20171229,23.387,23.387,23.387,23.387,184,0
20180105,24.19,24.19,24.081,24.142,1877,0
20180108,24.294,24.294,24.294,24.294,106,0
20180109,24.123,24.123,23.991,23.991,659,0
20180111,23.399,23.414,23.3,23.3,5835,0
20180112,24.085,24.085,23.914,23.914,12468,0
20180116,24.529,24.529,24.294,24.294,10838,0
20180117,24.832,24.832,24.832,24.832,31700,0
20180123,24.7,24.862,24.671,24.8,10567,0
20180124,25.41,25.41,25.372,25.382,4201,0
20180125,25.836,25.836,25.551,25.551,2180,0
20180126,25.641,25.644,25.641,25.644,370,0
20180130,25.012,25.05,24.993,25.022,5203,0
20180131,25.135,25.135,25.135,25.135,183,0
20180202,25.135,25.135,25.135,25.135,424,0
20180205,25.022,25.022,24.16,24.653,1260,0
20180208,23.64,23.789,23.64,23.64,603,0
20180209,23.791,23.791,23.791,23.791,438,0
20180212,23.83,23.981,23.83,23.981,5500,0
20180215,24.624,24.624,24.606,24.606,10573,0
20180216,24.786,24.965,24.642,24.842,745,0
20180222,24.519,24.577,24.519,24.577,1666,0
20180226,25.296,25.296,24.294,24.294,2560,0
20180305,23.414,23.678,23.414,23.678,1205,0
20180309,24.374,24.374,24.374,24.374,106,0
20180323,23.545,23.545,23.545,23.545,211,0
20180409,24.699,24.699,24.699,24.699,286,0
20180418,25.561,25.561,25.561,25.561,137,0
20180419,25.003,25.003,25.003,25.003,122,0
20180420,24.293,24.293,24.293,24.293,132,0
20180423,24.246,24.246,24.246,24.246,739,0
20180424,24.028,24.028,24.028,24.028,106,0
20180425,23.707,23.707,23.707,23.707,148,0
20180426,24.094,24.094,24.094,24.094,133,0
20180502,23.738,23.738,23.738,23.738,106,0
20180504,23.044,23.044,23.044,23.044,42267,0
20180507,22.751,22.751,22.751,22.751,545,0
20180511,22.543,22.685,22.543,22.685,634,0
20180514,22.476,22.476,22.476,22.476,106,0
20180515,21.993,22.084,21.993,22.084,401,0
20180517,22.05,22.05,21.974,21.974,3733,0
20180524,21.771,21.776,21.771,21.771,424,0
20180529,21.351,21.351,21.294,21.294,739,0
20180530,21.264,21.264,21.264,21.264,106,0
20180611,21.171,21.171,21.079,21.079,3277,0
20180612,21.227,21.227,21.199,21.199,3171,0
20180613,21.199,21.455,21.199,21.237,1432,0
20180614,21.274,21.294,21.274,21.294,317,0
20180618,21.151,21.151,21.057,21.113,845,0
20180619,21.171,21.264,21.171,21.264,322,0
20180620,21.496,21.601,21.486,21.601,840,0
20180621,21.525,21.629,21.525,21.629,368,0
20180625,21.801,22.068,21.801,22.068,525,0
20180626,22.201,22.201,22.105,22.105,315,0
20180627,22.028,22.028,22.028,22.028,111,0
20180628,22.011,22.41,22.011,22.41,463,0
20180629,22.639,22.639,22.506,22.506,424,0
20180702,22.038,22.048,21.931,21.98,1475,0
20180703,22.496,22.496,22.41,22.496,676,0
20180705,22.858,23.758,22.849,23.758,3316,0
20180706,23.972,24.262,23.972,24.262,418,0
20180709,24.267,24.267,24.201,24.201,1362,0
20180710,24.297,24.297,24.153,24.153,210,0
20180711,24.258,24.258,24.249,24.258,374,0
20180712,24.448,24.487,24.43,24.43,758,0
20180713,24.192,24.192,24.058,24.058,682,0
20180716,24.135,24.135,24.135,24.135,105,0
20180717,24.201,24.201,24.201,24.201,292,0
20180718,24.21,24.524,24.182,24.524,1733,0
20180720,24.105,24.105,24.105,24.105,105,0
20180724,24.601,24.658,24.601,24.658,802,0
20180731,25.096,25.096,25.044,25.044,1850,0
20180802,24.715,24.715,24.715,24.715,210,0
20180806,24.876,24.882,24.876,24.882,1218,0
20180807,25.44,25.447,25.44,25.447,1609,0
20180810,24.029,24.068,24.018,24.068,1077,0
20180814,24.153,24.153,24.153,24.153,231,0
20180817,23.743,23.743,23.743,23.743,214,0
20180820,24.029,24.058,24.029,24.058,710,0
20180823,24.544,24.715,24.544,24.715,525,0
20180824,25.02,25.031,25.02,25.031,330,0
20180828,25.563,25.563,24.859,24.859,6306,0
20180829,24.916,24.916,24.916,24.916,210,0
20180830,24.373,24.405,24.344,24.405,753,0
20180904,23.886,23.887,23.732,23.733,2330,0
20180905,23.62,23.62,23.558,23.61,3518,0
20180913,24.629,24.829,24.624,24.829,3570,0
20180914,24.667,24.696,24.667,24.696,212,0
20180917,24.658,24.666,24.658,24.666,211,0
20180918,24.783,24.839,24.772,24.795,50819,0
20180919,24.895,24.943,24.859,24.896,35027,0
20180920,24.715,24.715,24.715,24.715,1155,0
20180921,24.715,24.743,24.715,24.743,532,0
20180924,24.487,24.506,24.44,24.44,6951,0
20180925,24.457,24.624,24.457,24.582,9474,0
20180926,24.734,24.734,24.734,24.734,105,0
20180927,24.782,24.829,24.753,24.829,2998,0
20180928,24.859,24.876,24.849,24.849,22471,0
20181001,25.09,25.106,25.077,25.077,1546,0
20181003,24.726,24.726,24.286,24.286,1033,0
20181004,24.22,24.22,23.868,23.905,1196,0
20181008,23.896,23.896,23.896,23.896,105,0
20181010,23.696,23.743,23.639,23.695,2551,0
20181011,23.639,23.639,23.639,23.639,679,0
20181016,24.229,24.249,24.153,24.153,1027,0
20181018,23.23,23.23,23.23,23.23,378,0
20181019,23.091,23.091,23.087,23.087,830,0
20181025,22.4,22.4,22.4,22.4,297,0
20181026,22.24,22.24,22.24,22.24,128,0
20181029,21.563,21.563,21.12,21.12,669,0
20181031,20.4,20.4,20.4,20.4,630,0
20181108,21.181,21.191,21.153,21.153,1364,0
20181109,20.811,20.811,20.811,20.811,317,0
20181113,19.782,19.782,19.696,19.696,1958,0
20181115,19.609,19.678,19.609,19.678,821,0
20181119,19.975,19.975,19.975,19.975,294,0
20181123,19.306,19.382,19.306,19.382,762,0
20181126,18.824,18.824,18.824,18.824,218,0
20181127,18.763,18.763,18.506,18.619,10886,0
20181128,18.821,18.821,18.821,18.821,106,0
20181129,19.787,19.791,19.787,19.791,332,0
20181130,19.658,19.658,19.622,19.622,629,0
20181203,19.705,19.762,19.705,19.762,4812,0
20181204,19.467,19.505,19.285,19.299,73489,0
20181206,19.048,19.649,19.048,19.649,4885,0
20181207,19.944,19.944,19.858,19.858,644,0
20181210,19.649,19.649,19.405,19.425,1387,0
20181211,19.525,19.573,19.335,19.335,622,0
20181212,19.819,19.819,19.649,19.649,260,0
20181213,19.639,19.668,19.543,19.543,691,0
20181214,19.458,19.497,19.458,19.497,105,0
20181217,19.544,19.594,19.23,19.241,3675,0
20181218,19.306,19.523,19.287,19.523,1033,0
20181219,19.619,19.696,19.619,19.626,4036,0
20181220,19.969,20.033,19.87,20.033,1030,0
20181221,19.872,19.973,19.868,19.868,740,0
20181224,20.028,20.028,19.885,19.885,103,0
20181226,19.862,20.023,19.697,20.023,438,0
20181227,19.96,20.165,19.96,20.165,109,0
20181228,20.221,20.231,20.036,20.144,1418,0
20181231,20.134,20.271,20.134,20.271,1261,0
20190102,20.279,20.711,20.279,20.711,109,0
20190103,20.415,20.522,20.415,20.522,11534,0
20190104,20.764,20.9,20.764,20.9,743,0
20190107,20.968,21.18,20.968,21.18,122,0
20190108,21.549,21.549,21.536,21.536,474,0
20190109,21.728,21.728,21.728,21.728,59,0
20190110,21.716,21.851,21.716,21.851,108,0
20190111,21.725,21.762,21.725,21.762,115,0
20190114,21.725,21.856,21.725,21.856,220,0
20190115,21.881,22.112,21.881,22.063,90118,0
20190116,22.143,22.249,22.143,22.249,346,0
20190117,22.162,22.184,22.162,22.184,103,0
20190118,22.22,22.298,22.211,22.211,590,0
20190122,22.026,22.085,21.822,21.929,14482,0
20190123,22.045,22.143,21.89,22.065,6608,0
20190124,22.075,22.075,21.929,22.01,206,0
20190125,22.152,22.152,22.086,22.086,107,0
20190128,22.143,22.143,22.016,22.016,124,0
20190129,22.103,22.14,22.103,22.103,1953,0
20190130,21.919,21.933,21.919,21.933,226,0
20190131,22.094,22.146,22.094,22.146,148,0
20190201,22.21,22.21,22.025,22.025,161,0
20190204,22.143,22.143,22.085,22.133,1291,0
20190205,22.405,22.405,22.395,22.395,278,0
20190206,22.137,22.137,22.137,22.137,14,0
20190207,22.038,22.038,22.038,22.038,14,0
20190208,21.806,21.806,21.806,21.806,3,0
20190211,21.611,21.611,21.611,21.611,71,0
20190212,21.648,21.648,21.512,21.585,1988,0
20190213,20.97,20.97,20.97,20.97,33,0
20190214,21.337,21.337,21.337,21.337,36,0
20190215,21.333,21.497,21.314,21.497,1091,0
20190219,21.628,21.628,21.602,21.602,325,0
20190220,21.596,21.596,21.596,21.596,207,0
20190221,21.676,21.716,21.676,21.716,115,0
20190222,22.074,22.074,21.952,21.952,903,0
20190225,22.171,22.171,22.004,22.004,1681,0
20190226,21.89,21.937,21.89,21.92,767,0
20190227,21.735,21.735,21.735,21.735,118,0
20190228,21.382,21.382,21.382,21.382,21,0
20190301,21.278,21.285,21.278,21.285,1631,0
20190304,21.172,21.193,21.172,21.193,554,0
20190305,21.172,21.231,21.085,21.085,2545,0
20190306,20.891,20.891,20.891,20.891,35,0
20190307,20.544,20.544,20.522,20.522,579,0
20190308,20.633,20.633,20.483,20.633,1330,0
20190311,20.872,20.9,20.872,20.88,588,0
20190312,20.911,20.911,20.911,20.911,73,0
20190313,20.973,20.973,20.973,20.973,5,0
20190314,20.842,20.894,20.842,20.894,1112,0
20190315,21.222,21.248,21.222,21.248,313,0
20190318,21.634,21.634,21.634,21.634,13,0
20190319,21.566,21.566,21.566,21.566,4,0
20190320,21.628,22.125,21.628,22.125,701,0
20190321,22.1,22.112,22.1,22.112,592,0
20190322,21.457,21.457,21.332,21.332,230,0
20190325,21.632,21.632,21.632,21.632,10,0
20190326,21.646,21.646,21.646,21.646,81,0
20190327,21.463,21.463,21.431,21.431,279,0
20190328,21.389,21.389,21.389,21.389,4,0
20190329,21.57,21.57,21.318,21.318,9627,0
20190401,21.744,21.921,21.744,21.921,118,0
20190402,21.6,21.706,21.59,21.706,1282,0
20190403,21.716,21.716,21.716,21.716,2,0
