Date,Open,High,Low,Close,Volume,OpenInt
20160606,20.261,20.317,20.207,20.207,7761,0
20160607,20.294,20.294,20.294,20.294,126,0
20160609,19.952,19.952,19.952,19.952,126,0
20160610,19.619,19.619,19.605,19.605,1230,0
20160613,19.493,19.493,19.493,19.493,1640,0
20160614,19.041,19.042,19.026,19.026,1892,0
20160615,19.343,19.367,19.287,19.287,18631,0
20160616,19.002,19.088,19.002,19.088,771,0
20160617,19.397,19.397,19.397,19.397,23978,0
20160621,21.459,21.459,19.676,19.69,5174,0
20160622,19.857,19.857,19.801,19.801,146368,0
20160623,20.12,20.12,20.079,20.079,95039,0
20160624,18.788,18.997,18.788,18.896,1527,0
20160627,18.938,19.018,18.782,18.782,1415,0
20160628,19.581,19.581,19.064,19.247,6070,0
20160629,19.556,19.556,19.556,19.556,4516,0
20160630,19.722,19.746,19.536,19.737,25115,0
20160706,19.897,19.897,19.597,19.714,2544,0
20160713,20.366,20.381,20.366,20.381,252,0
20160718,20.366,20.366,20.366,20.366,12769,0
20160719,20.366,20.366,20.357,20.357,9843,0
20160720,20.547,20.547,20.531,20.531,12871,0
20160721,20.366,20.366,20.366,20.366,2523,0
20160725,20.712,20.745,20.698,20.698,6973,0
20160803,20.214,20.214,20.214,20.214,252,0
20160805,20.453,20.453,20.453,20.453,126,0
20160808,20.403,20.435,20.403,20.435,378,0
20160809,20.571,20.578,20.563,20.578,84470,0
20160811,20.729,20.729,20.729,20.729,3658,0
20160812,20.721,20.737,20.721,20.737,1514,0
20160816,20.569,20.569,20.569,20.569,126,0
20160819,20.366,20.366,20.366,20.366,3871,0
20160822,20.403,20.403,20.388,20.388,5411,0
20160823,20.547,20.547,20.547,20.547,7726,0
20160824,20.468,20.534,20.468,20.534,2323,0
20160825,20.453,20.453,20.444,20.444,252,0
20160826,20.476,20.483,20.453,20.453,805,0
20160829,20.405,20.437,20.405,20.428,46649,0
20160830,20.46,20.46,20.46,20.46,2651,0
20160831,20.332,20.373,20.332,20.373,6814,0
20160901,20.428,20.428,20.428,20.428,2523,0
20160902,20.578,20.649,20.578,20.649,9120,0
20160907,20.618,20.618,20.618,20.618,126,0
20160908,20.579,20.579,20.579,20.579,449,0
20160909,20.246,20.246,20.246,20.246,3785,0
20160913,20.157,20.157,20.04,20.048,47096,0
20160914,20.055,20.055,20.048,20.048,4542,0
20160915,20.12,20.164,20.12,20.157,10348,0
20160921,20.324,20.325,20.317,20.325,8203,0
20160922,20.682,20.682,20.5,20.5,81103,0
20160923,20.5,20.5,20.416,20.42,23635,0
20160927,20.295,20.491,20.295,20.491,7554,0
20160928,20.5,20.5,20.5,20.5,126,0
20160929,20.578,20.578,20.578,20.578,126,0
20161003,20.515,20.515,20.515,20.515,2523,0
20161004,20.597,20.597,20.597,20.597,269,0
20161011,20.382,20.382,20.373,20.373,473,0
20161014,20.373,20.373,20.373,20.373,1957,0
20161018,20.349,20.373,20.349,20.373,995,0
20161020,20.468,20.468,20.468,20.468,126,0
20161025,20.453,20.539,20.388,20.412,11321,0
20161027,20.444,20.444,20.444,20.444,221,0
20161028,20.37,20.37,20.269,20.269,252,0
20161031,20.349,20.349,20.339,20.339,864,0
20161102,20.024,20.366,19.999,20.007,53269,0
20161103,19.984,19.993,19.905,19.905,17641,0
20161104,19.714,19.737,19.683,19.683,24806,0
20161107,19.928,19.952,19.928,19.943,10584,0
20161108,19.968,20.007,19.968,19.968,8316,0
20161109,20.024,20.142,20.015,20.142,4197,0
20161110,19.842,19.899,19.842,19.899,2598,0
20161114,19.605,19.605,19.605,19.605,452,0
20161117,20.031,20.048,20.031,20.048,413,0
20161118,19.936,19.952,19.928,19.943,4557,0
20161121,19.987,19.987,19.979,19.98,5769,0
20161122,19.977,19.977,19.977,19.977,307,0
20161123,20.102,20.102,20.048,20.053,78205,0
20161128,20.157,20.157,20.103,20.103,31395,0
20161129,20.231,20.231,20.214,20.214,11053,0
20161130,20.246,20.255,20.238,20.238,10766,0
20161201,20.024,20.055,19.993,20.007,16384,0
