Date,Open,High,Low,Close,Volume,OpenInt
20180807,54.92,54.92,54.92,54.92,1000,0
20180808,54.41,54.41,54.41,54.41,900,0
20180810,52.99,52.99,52.99,52.99,814,0
20180815,52.08,52.09,52.08,52.09,1002,0
20180816,52.43,52.43,52.41,52.41,701,0
20180817,49.95,49.95,49.95,49.95,120,0
20180821,51.14,51.14,51.14,51.14,1020,0
20180904,54.22,54.22,54.22,54.22,101,0
20180917,49.0673,49.0673,48.98,49.0516,301,0
20180918,48.79,48.79,48.79,48.79,1002,0
20180928,51.11,51.11,50.49,50.56,2150,0
20181002,51.9301,51.9638,51.9301,51.9638,252,0
20181011,40.05,40.05,39.97,39.97,201,0
20181012,42.53,42.54,42.03,42.03,881,0
20181019,42.27,42.27,41.24,41.59,1000,0
20181023,40.29,40.4,40.22,40.22,350,0
20181026,39.17,39.8,39.17,39.8,1103,0
20181029,40.61,40.61,36.94,38.13,4408,0
20181102,43.65,43.65,42.94,42.94,939,0
20181107,44.672,44.7034,44.672,44.7034,297,0
20181108,43.5,43.5,43.5,43.5,129,0
20181112,41.03,41.03,38.98,38.98,2695,0
20181115,40.57,40.57,40.57,40.57,601,0
20181128,36.37,37.8,36.37,37.8,200,0
20181129,38.22,38.22,37.09,37.09,2222,0
20181130,37.53,38.35,37.53,37.95,1300,0
20181203,40.97,40.97,40.55,40.91,2401,0
20181204,40.42,40.42,38.44,38.57,902,0
20181206,36.74,37.91,35.78,37.91,1100,0
20181207,36.85,36.85,36.85,36.85,103,0
20181210,36.13,37.1287,36.13,37.1287,1452,0
20181211,38.31,38.31,37.1868,37.1868,1453,0
20181212,39.43,39.43,38.4828,38.4828,274,0
20181213,38.7,38.7,38.6583,38.6583,101,0
20181214,37.1678,37.1678,37.1678,37.1678,48,0
20181217,36.16,36.16,33.96,34.14,302,0
20181218,34.97,34.97,34.34,34.8272,302,0
20181219,32.8956,32.8956,32.8956,32.8956,102,0
20181220,32.47,32.47,30.1155,30.3113,1154,0
20181221,28.1293,28.1293,28.1293,28.1293,3,0
20181224,27.14,27.14,26.9374,26.9374,968,0
20181226,30.6055,30.6055,30.6055,30.6055,8,0
20181227,30.0334,30.0334,30.0334,30.0334,1,0
20181228,30.61,31.532,30.55,30.6061,2550,0
20181231,31.23,31.23,30.5357,30.5357,1201,0
20190102,29.97,31.0584,29.97,31.0584,653,0
20190103,29.54,29.54,28.69,28.7892,1289,0
20190104,32.0933,32.0933,32.0933,32.0933,10,0
20190107,33.67,34.0338,33.67,34.0338,701,0
20190108,34.1001,34.7149,33.31,34.7149,4595,0
20190109,35.58,35.67,35.5685,35.5685,3350,0
20190110,34.699,36.21,34.6519,36.1356,2544,0
20190111,36.07,36.3167,36.07,36.3167,149,0
20190114,35.2314,35.7001,34.92,35.49,1200,0
20190115,37.3283,37.58,36.94,37.3283,6870,0
20190116,37.77,37.77,37.4948,37.4948,441,0
20190117,37.63,38.06,37.63,37.929,850,0
20190118,37.91,38.31,37.16,37.304,5413,0
20190122,35.7326,35.7326,34.4078,34.88,1618,0
20190123,35.17,35.18,34.2892,34.2892,988,0
20190124,34.6081,35.3053,34.6081,35.3053,751,0
20190125,36.984,36.984,36.984,36.984,3,0
20190128,35.21,35.4293,35.21,35.4293,104,0
20190129,33.96,33.96,33.9219,33.9219,129,0
20190130,35.37,36.7258,35.37,36.7258,5000,0
20190131,37.98,39.01,37.98,38.8543,2610,0
20190201,38.63,39.08,38.19,38.232,4400,0
20190204,38.52,39.65,38.52,39.5294,3007,0
20190205,39.92,40.7567,39.92,40.7567,1570,0
20190206,40.65,40.65,40.15,40.2872,1700,0
20190207,37.7223,37.7223,37.7223,37.7223,39,0
20190208,36.67,37.43,36.67,37.43,1003,0
20190211,37.4491,37.4491,37.4491,37.4491,75,0
20190212,38.14,38.6047,38.14,38.6047,853,0
20190213,38.6915,38.6915,38.6915,38.6915,3,0
20190214,38.55,38.7905,38.38,38.7905,449,0
20190215,38.96,39.16,38.4253,38.4253,249,0
20190219,39.06,39.28,39.0571,39.0571,1575,0
20190220,39.35,39.35,38.8979,38.8979,375,0
20190221,38.62,38.62,38.0574,38.0574,288,0
20190222,38.61,39.0043,38.61,39.0043,725,0
