Date,Open,High,Low,Close,Volume,OpenInt
20191119,30.6492,30.71,30.57,30.5973,56496,0
20191120,30.72,30.72,30.4328,30.59,91728,0
20191121,30.538,30.57,30.49,30.5243,58663,0
20191122,30.609,30.61,30.51,30.57,12434,0
20191125,30.72,30.74,30.6891,30.74,20405,0
20191126,30.81,30.81,30.71,30.81,64620,0
20191127,30.819,30.88,30.7757,30.86,29227,0
20191129,30.86,30.86,30.78,30.78,25166,0
20191202,30.7048,30.7048,30.5816,30.6025,30897,0
20191203,30.46,30.54,30.36,30.49,63333,0
20191204,30.61,30.6751,30.55,30.645,8163,0
20191205,30.63,30.7,30.5322,30.66,87320,0
20191206,30.7883,30.9,30.7883,30.805,98485,0
20191209,30.8,30.81,30.79,30.79,3203,0
20191210,30.785,30.82,30.7011,30.7011,10533,0
20191211,30.7213,30.85,30.7213,30.8,5494,0
20191212,31.0176,31.05,30.8201,30.9831,6421,0
20191213,30.9857,31.0488,30.92,30.9813,23908,0
20191216,31.0385,32.5333,31.0385,32.5333,5715,0
20191217,31.14,31.14,31.1205,31.1375,8603,0
20191218,31.21,31.22,31.1,31.1576,26269,0
20191219,31.179,31.27,31.1401,31.21,48366,0
20191220,31.35,31.37,31.2761,31.3189,24202,0
20191223,31.4,31.4,31.26,31.31,14560,0
20191224,31.31,31.35,31.3,31.305,6216,0
20191226,31.3047,31.43,31.3028,31.43,8926,0
20191227,31.3089,31.47,31.3089,31.3802,41226,0
20191230,31.2721,31.35,31.2721,31.2943,27463,0
20191231,31.28,31.3358,31.2201,31.3358,2140,0
20200102,31.51,31.52,31.4148,31.5136,7676,0
20200103,31.4175,31.479,31.3908,31.4007,3300,0
20200106,31.3,31.49,31.3,31.45,17853,0
20200107,31.52,31.52,31.4201,31.44,11537,0
20200108,31.54,31.58,31.436,31.5021,12291,0
20200109,31.65,31.67,31.5697,31.622,56640,0
20200110,31.6,31.69,31.5872,31.63,15921,0
20200113,31.67,31.74,31.5851,31.65,141184,0
20200114,31.6373,31.79,31.62,31.6889,9022,0
20200115,31.78,31.81,31.71,31.7637,18420,0
20200116,31.8148,31.9,31.805,31.8861,28318,0
20200117,31.9,31.97,31.9,31.9359,32498,0
20200121,31.98,31.98,31.8585,31.8898,48821,0
20200122,31.95,31.96,31.9165,31.9189,7975,0
20200123,31.85,31.99,31.825,31.99,3766,0
