Date,Open,High,Low,Close,Volume,OpenInt
20050225,34.016,34.882,34.016,34.882,302944,0
20050228,34.702,35.001,34.23,34.774,339419,0
20050301,34.74,35.067,34.573,34.799,308801,0
20050302,34.674,34.702,34.358,34.383,261559,0
20050303,34.43,34.573,34.281,34.474,208461,0
20050304,34.683,35.108,34.589,35.058,230946,0
20050307,35.058,35.579,34.952,35.116,182745,0
20050308,35.116,35.152,34.667,34.674,232619,0
20050309,34.615,34.615,33.772,33.772,281055,0
20050310,33.862,34.198,33.638,33.922,293134,0
20050311,33.922,33.947,33.369,33.412,177964,0
20050314,33.378,34.172,33.378,34.172,163730,0
20050315,34.239,34.482,33.736,33.764,244937,0
20050316,33.772,33.838,33.403,33.448,176048,0
20050317,33.479,33.782,33.192,33.313,412496,0
20050318,33.52,33.52,32.977,33.087,311549,0
20050321,33.095,33.136,32.759,33.035,210612,0
20050322,32.993,33.32,32.307,32.307,231183,0
20050323,32.142,32.692,31.881,32.275,257374,0
20050324,32.283,32.86,32.283,32.442,236207,0
20050328,32.607,32.86,32.426,32.525,217907,0
20050329,31.941,32.074,31.572,31.833,328176,0
20050330,31.63,32.098,31.63,32.098,316217,0
20050331,32.098,32.224,31.624,31.63,270771,0
20050401,31.799,32.191,31.457,31.52,342412,0
20050404,31.323,31.513,31.19,31.482,444905,0
20050405,31.52,31.591,31.279,31.438,337506,0
20050406,31.607,31.865,31.52,31.68,214918,0
20050407,31.805,31.833,31.52,31.68,263712,0
20050408,31.689,31.823,31.397,31.397,225683,0
20050411,31.404,31.53,31.198,31.347,287276,0
20050412,31.272,31.814,31.198,31.773,281533,0
20050413,31.647,31.982,31.647,31.814,175810,0
20050414,31.814,31.873,31.352,31.397,159305,0
20050415,31.438,31.663,31.19,31.228,207264,0
20050418,31.397,31.572,31.119,31.457,211689,0
20050419,31.624,31.849,31.466,31.843,145073,0
20050420,31.843,31.843,31.288,31.52,263595,0
20050421,31.52,31.757,31.22,31.546,211330,0
20050422,31.546,31.554,31.111,31.52,219464,0
20050425,31.607,31.972,31.438,31.972,163374,0
20050426,32.025,32.108,31.858,32.025,187051,0
20050427,32.025,32.401,31.823,32.275,396708,0
20050428,32.108,32.116,31.599,31.858,254147,0
20050429,31.865,31.941,31.482,31.941,254744,0
20050502,31.79,31.833,31.056,31.315,417399,0
20050503,31.438,31.497,31.164,31.438,226996,0
20050504,31.421,31.982,31.361,31.982,320759,0
20050505,32.017,32.316,31.941,32.249,255340,0
20050506,32.259,32.259,31.68,31.739,178683,0
20050509,31.739,32.467,31.739,32.467,237764,0
