Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.704,11.911,11.621,11.911,141411,0
20050228,11.911,12.04,11.892,12.021,388106,0
20050301,12.011,12.199,12.001,12.074,255561,0
20050302,11.955,12.191,11.883,11.927,299446,0
20050303,11.911,12.182,11.911,12.119,179758,0
20050304,12.146,12.382,12.146,12.364,192391,0
20050307,12.374,12.4,12.074,12.119,271075,0
20050308,12.208,12.345,12.208,12.233,201477,0
20050309,12.233,12.469,12.215,12.374,184636,0
20050310,12.364,12.443,12.281,12.364,376585,0
20050311,12.364,12.451,12.262,12.382,181085,0
20050314,12.364,12.497,12.364,12.425,197709,0
20050315,12.469,12.624,12.242,12.262,261989,0
20050316,12.224,12.297,12.04,12.092,203031,0
20050317,12.119,12.262,11.992,12.021,245365,0
20050318,12.155,12.271,12.092,12.215,502922,0
20050321,12.288,12.288,12.092,12.215,135647,0
20050322,12.215,12.364,12.021,12.049,242486,0
20050323,12.469,13.083,12.408,12.74,1353831,0
20050324,12.796,12.848,12.67,12.715,424680,0
20050328,12.74,12.995,12.74,12.975,379689,0
20050329,12.914,13.173,12.867,12.885,691987,0
20050330,12.895,13.111,12.895,13.054,639233,0
20050331,13.02,13.12,12.948,13.083,430218,0
20050401,13.054,13.147,12.876,12.924,460807,0
20050404,12.948,13.038,12.83,13.013,337127,0
20050405,12.995,13.147,12.995,13.02,238716,0
20050406,13.074,13.129,12.975,12.975,445070,0
20050407,12.975,13.054,12.83,13.013,514673,0
20050408,13.038,13.054,12.975,12.995,474995,0
20050411,13.038,13.074,12.895,12.895,305213,0
20050412,12.895,12.933,12.614,12.905,567645,0
20050413,12.957,13.02,12.632,12.723,697531,0
20050414,12.747,12.804,12.408,12.451,622832,0
20050415,12.451,12.451,12.146,12.262,491618,0
20050418,12.345,12.578,12.281,12.523,642338,0
20050419,12.587,12.924,12.569,12.885,783750,0
20050420,12.867,12.867,12.651,12.68,753163,0
20050421,12.776,13.074,12.776,13.054,508905,0
20050422,13.02,13.038,12.723,12.895,361288,0
20050425,12.924,13.12,12.857,13.013,362174,0
20050426,13.309,13.814,13.284,13.643,1479065,0
20050427,13.643,13.86,13.545,13.582,716811,0
20050428,13.582,13.804,13.582,13.643,955309,0
20050429,13.688,13.715,13.489,13.678,864874,0
20050502,13.761,13.987,13.669,13.86,558333,0
20050503,13.824,14.176,13.824,14.015,784418,0
20050504,14.015,14.509,13.978,14.434,840934,0
20050505,14.444,14.601,14.408,14.453,742965,0
20050506,14.499,14.565,14.303,14.374,455710,0
20050509,14.384,14.417,14.339,14.398,393209,0
20050510,14.303,14.339,14.031,14.166,458147,0
20050511,14.176,14.221,14.006,14.157,306983,0
20050512,13.987,14.321,13.909,13.987,429113,0
20050513,14.031,14.046,13.508,13.715,401850,0
20050516,13.661,13.889,13.599,13.889,557225,0
20050517,13.824,13.909,13.715,13.909,403401,0
20050518,13.978,14.425,13.978,14.39,346879,0
20050519,14.39,14.565,14.128,14.303,394978,0
20050520,14.303,14.303,14.093,14.119,209900,0
20050523,14.109,14.313,14.101,14.147,315405,0
20050524,14.056,14.276,13.923,14.137,167122,0
20050525,14.093,14.119,13.88,14.039,269303,0
20050526,14.056,14.329,14.046,14.329,164688,0
20050527,14.313,14.398,14.249,14.349,180645,0
20050531,14.329,14.69,14.329,14.619,402960,0
20050601,14.575,14.795,14.519,14.788,463691,0
20050602,14.788,15.195,14.647,15.069,557890,0
20050603,15.049,15.157,14.952,15.085,540825,0
20050606,14.889,14.907,14.69,14.795,299670,0
20050607,14.805,15.131,14.805,14.962,297235,0
20050608,14.962,14.962,14.663,14.724,181309,0
20050609,14.716,14.788,14.547,14.673,250243,0
20050610,14.657,14.752,14.619,14.637,179537,0
20050613,14.499,14.724,14.472,14.706,298116,0
20050614,14.663,14.87,14.663,14.805,313854,0
20050615,14.824,14.952,14.601,14.952,324715,0
20050616,14.952,15.176,14.843,15.095,328484,0
20050617,15.148,15.166,14.889,14.889,403625,0
20050620,14.833,14.907,14.682,14.682,256006,0
20050621,14.601,14.61,14.313,14.349,623276,0
20050622,15.017,15.7,14.779,15.205,2921778,0
20050623,15.213,15.24,14.582,14.779,628819,0
20050624,14.779,14.889,14.663,14.87,977032,0
20050627,14.682,14.889,14.619,14.795,626155,0
20050628,14.795,15.323,14.795,15.277,1295096,0
20050629,15.305,15.474,15.268,15.419,1112680,0
20050630,15.5,15.548,15.359,15.368,773111,0
20050701,15.359,15.457,15.213,15.377,385229,0
20050705,15.323,15.457,15.323,15.419,664062,0
20050706,15.402,15.719,15.386,15.683,658301,0
20050707,15.52,15.738,15.5,15.69,482755,0
20050708,15.719,16.199,15.7,16.135,578727,0
20050711,16.199,16.285,15.969,16.127,435099,0
20050712,15.969,16.295,15.936,16.181,598232,0
20050713,16.162,16.222,15.961,15.969,342229,0
20050714,15.79,16.034,15.79,15.889,521319,0
20050715,15.836,15.846,15.611,15.71,309866,0
20050718,15.69,15.855,15.63,15.754,359294,0
20050719,15.872,15.998,15.746,15.827,430444,0
20050720,15.728,16.017,15.728,15.969,312526,0
20050721,15.979,15.979,15.548,15.564,388552,0
20050722,15.583,16.017,15.583,16.017,310530,0
20050725,15.998,15.998,15.611,15.611,284817,0
20050726,15.592,15.69,15.438,15.583,295234,0
20050727,15.611,15.772,15.377,15.7,478985,0
20050728,15.69,15.936,15.69,15.827,228297,0
20050729,15.754,15.953,15.583,15.583,253123,0
20050801,15.592,15.916,15.583,15.808,295234,0
20050802,15.836,16.061,15.754,16.034,478763,0
20050803,15.926,16.017,15.728,15.836,295459,0
20050804,15.657,15.728,15.402,15.429,366829,0
