Date,Open,High,Low,Close,Volume,OpenInt
20190613,26,41.68,25.55,39.9,22046020,0
20190614,41.64,44.25,31.49,31.49,10275750,0
20190617,32.81,34.88,31.5405,34.38,3789132,0
20190618,35.26,35.92,31.04,31.15,3274039,0
20190619,31.8,31.8,28.25,28.67,1902031,0
20190620,29.3,29.4,27.82,28.03,1378079,0
20190621,27.59,29,27.574,27.75,1005385,0
20190624,28,29.32,27.07,29.23,857621,0
20190625,29.57,30.4599,28.05,29.02,974726,0
20190626,29.95,29.95,28.94,29,339751,0
20190627,29.06,30.95,28.27,28.79,826656,0
20190628,28.91,29.875,28.77,29.7,447232,0
20190701,29.79,30.3299,26.8,27.5,884179,0
20190702,27.35,27.7,27.07,27.43,213990,0
20190703,27.71,27.89,27.01,27.27,246984,0
20190705,27.37,27.4623,27.1,27.25,186396,0
20190708,27.14,27.3,25.61,26.1,589676,0
20190709,26.21,26.75,26,26.28,284634,0
20190710,26.21,26.314,24.46,24.56,676256,0
20190711,24.42,24.92,23.08,23.15,415239,0
20190712,23.18,23.81,22.14,23.48,583363,0
20190715,23.6,24.49,22.96,23.56,401630,0
20190716,23.69,24.13,23.3726,23.78,207094,0
20190717,23.69,24.25,23.69,23.97,170380,0
20190718,23.79,24.41,23.7,24.34,243944,0
20190719,24.51,25.17,24.51,24.88,195712,0
20190722,24.83,25.19,24.36,25.1,180442,0
20190723,25.25,25.4,24.52,24.84,122859,0
20190724,24.84,25.86,24.62,25.59,151139,0
20190725,25.93,26.38,25.6,25.77,169056,0
20190726,25.81,25.96,25.1,25.2,81878,0
20190729,25.5,25.5,24.5611,25.25,82746,0
20190730,25.35,25.35,24.5,24.86,110761,0
20190731,25.85,25.85,24.9,25.4,99583,0
20190801,25.66,26.24,25.1,25.88,194548,0
20190802,25.58,25.86,24.82,25.34,268061,0
20190805,24.94,24.94,23,23.25,271832,0
20190806,23.7,24.57,23.6,24.57,149791,0
20190807,24.5,27.06,24.2,26.85,341153,0
20190808,27.96,27.99,24.06,24.66,800695,0
20190809,24.75,25.182,22.2053,22.46,362132,0
20190812,23.5936,23.6,21.81,22.38,262001,0
20190813,22.5,22.6587,21,21.77,321870,0
20190814,21.93,21.93,21.1,21.41,245004,0
20190815,21.17,21.63,21,21.36,108332,0
20190816,21.2,22.1,21.2,21.68,69643,0
20190819,21.7,22.685,21.7,22.62,55488,0
20190820,22.57,23.63,22.1957,23.27,96409,0
20190821,23.58,24.42,23.3,24.28,156835,0
20190822,24.28,24.67,23.605,23.61,58341,0
20190823,23.61,23.8,22.8,23.39,72460,0
20190826,23.3,23.3,22.15,22.23,73753,0
20190827,22.4,22.57,21.305,21.5,85235,0
20190828,21.55,23.3977,21.4001,23.17,244128,0
