Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.4475,3.4638,3.4352,3.4638,313764,0
20050228,3.4638,3.4638,3.4352,3.4638,251717,0
20050301,3.4598,3.48,3.4557,3.4679,259283,0
20050302,3.4557,3.4719,3.4145,3.4431,451476,0
20050303,3.4475,3.4557,3.4352,3.4557,286516,0
20050304,3.4598,3.4923,3.4514,3.4679,333190,0
20050307,3.4638,3.4923,3.4598,3.4882,349330,0
20050308,3.5006,3.5006,3.4638,3.4882,335957,0
20050309,3.4882,3.5006,3.4719,3.4719,308463,0
20050310,3.4679,3.4923,3.4557,3.4923,296362,0
20050311,3.5006,3.5006,3.4392,3.4679,419696,0
20050314,3.4065,3.4065,3.3654,3.39,322339,0
20050315,3.3982,3.4022,3.3777,3.4022,313513,0
20050316,3.39,3.39,3.3531,3.3613,360172,0
20050317,3.3736,3.3777,3.3531,3.3654,286021,0
20050318,3.3736,3.3777,3.3531,3.3613,242893,0
20050321,3.3818,3.39,3.345,3.349,433065,0
20050322,3.3573,3.3654,3.3531,3.3531,298375,0
20050323,3.3531,3.39,3.3368,3.3736,463832,0
20050324,3.4392,3.4392,3.3736,3.4065,585661,0
20050328,3.3982,3.4598,3.39,3.4065,665110,0
20050329,3.4065,3.4065,3.3654,3.3858,331417,0
20050330,3.3777,3.39,3.3695,3.3858,330150,0
20050331,3.3818,3.39,3.3695,3.39,285010,0
20050401,3.3818,3.39,3.3573,3.3613,320570,0
20050404,3.3573,3.3613,3.3162,3.3368,402796,0
20050405,3.3285,3.3613,3.3202,3.3573,291564,0
20050406,3.3695,3.3818,3.345,3.349,287279,0
20050407,3.3531,3.3573,3.3326,3.3409,249189,0
20050408,3.3326,3.3573,3.3326,3.3409,292071,0
20050411,3.3368,3.3409,3.3162,3.3326,254239,0
20050412,3.3326,3.3573,3.312,3.3573,273151,0
20050413,3.3573,3.3695,3.3326,3.3573,320827,0
20050414,3.3531,3.3573,3.312,3.3202,250456,0
20050415,3.345,3.345,3.2467,3.2467,364456,0
20050418,3.2467,3.2837,3.2467,3.2632,282745,0
20050419,3.2632,3.312,3.2632,3.2999,324606,0
20050420,3.304,3.3202,3.2958,3.2999,272659,0
20050421,3.304,3.345,3.2958,3.3326,251209,0
20050422,3.3368,3.349,3.3202,3.345,259784,0
20050425,3.349,3.3531,3.312,3.345,411626,0
20050426,3.3244,3.3409,3.312,3.3244,291317,0
20050427,3.312,3.3244,3.2875,3.304,258020,0
20050428,3.2919,3.304,3.2711,3.2794,225232,0
20050429,3.2837,3.312,3.2588,3.2958,251972,0
20050502,3.2958,3.312,3.2752,3.2875,320069,0
20050503,3.2837,3.2958,3.2632,3.2958,287784,0
20050504,3.2958,3.312,3.2794,3.2999,341509,0
20050505,3.312,3.312,3.267,3.2752,304430,0
20050506,3.312,3.312,3.267,3.2752,344285,0
20050509,3.2711,3.2875,3.267,3.2752,220944,0
20050510,3.267,3.2794,3.2588,3.2632,291826,0
20050511,3.267,3.267,3.2386,3.2467,389177,0
20050512,3.2426,3.2632,3.2221,3.2221,267103,0
20050513,3.2181,3.2221,3.1687,3.21,541012,0
20050516,3.2345,3.2794,3.2221,3.2794,364456,0
20050517,3.312,3.312,3.2632,3.304,319060,0
20050518,3.2999,3.3409,3.2999,3.3368,379843,0
20050519,3.3244,3.3695,3.3244,3.3695,296107,0
20050520,3.3858,3.39,3.3531,3.3573,299884,0
20050523,3.3695,3.4065,3.3573,3.3982,242634,0
20050524,3.39,3.39,3.3695,3.3695,232551,0
20050525,3.3777,3.3858,3.3613,3.3654,314774,0
20050526,3.3818,3.4065,3.3613,3.3858,242893,0
20050527,3.3695,3.3982,3.3695,3.3736,184372,0
20050531,3.3858,3.3982,3.3654,3.3941,208844,0
20050601,3.39,3.4514,3.39,3.4065,373538,0
20050602,3.3982,3.4145,3.3941,3.4065,282235,0
20050603,3.4105,3.4188,3.4022,3.4188,308463,0
20050606,3.427,3.427,3.4065,3.4145,288547,0
20050607,3.4105,3.4475,3.4105,3.4392,257265,0
20050608,3.4352,3.4514,3.4311,3.4352,227251,0
20050609,3.427,3.4638,3.427,3.4557,445419,0
20050610,3.4638,3.4638,3.4392,3.4557,329400,0
20050613,3.4557,3.4598,3.4352,3.4514,376819,0
20050614,3.3818,3.3858,3.3573,3.3695,404064,0
