Date,Open,High,Low,Close,Volume,OpenInt
20160404,25.25,25.2501,25.11,25.15,149426,0
20160405,25.2,25.21,25.15,25.19,72796,0
20160406,25.2,25.23,25.17,25.17,106445,0
20160407,25.17,25.19,25.11,25.17,43574,0
20160408,25.2,25.23,25.17,25.19,66455,0
20160411,25.2,25.236,25.18,25.2204,28138,0
20160412,25.2,25.23,25.16,25.2001,27804,0
20160413,25.23,25.67,25.21,25.45,79325,0
20160414,25.364,25.4,25.328,25.38,39196,0
20160415,25.4,25.44,25.354,25.39,31103,0
20160418,25.394,25.396,25.19,25.25,48506,0
20160419,25.26,25.35,25.26,25.3485,23175,0
20160420,25.36,25.47,25.29,25.4383,82273,0
20160421,25.45,25.45,25.335,25.4,27522,0
20160422,25.4,25.44,25.34,25.42,16941,0
20160425,25.35,25.432,25.28,25.36,70987,0
20160426,25.3899,25.43,25.324,25.37,24346,0
20160427,25.34,25.44,25.34,25.4199,23040,0
20160428,25.354,25.42,25.35,25.4,14585,0
20160429,25.39,25.4,25.25,25.31,34950,0
20160502,25.35,25.4,25.35,25.38,7397,0
20160503,25.39,25.4099,25.2999,25.35,57940,0
20160504,25.3956,25.41,25.315,25.4,58340,0
20160505,25.41,25.41,25.29,25.32,57024,0
20160506,25.3163,25.47,25.305,25.47,33147,0
20160509,25.47,25.579,25.4,25.49,91672,0
20160510,25.58,25.58,25.46,25.54,33814,0
20160511,25.5455,25.56,25.53,25.55,25538,0
20160512,25.5436,25.5699,25.47,25.5,20841,0
20160513,25.5,25.5,25.415,25.49,18528,0
20160516,25.4801,25.54,25.45,25.4873,21217,0
20160517,25.5011,25.5089,25.42,25.43,38566,0
20160518,25.49,25.49,25.255,25.26,49170,0
20160519,25.32,25.35,25.25,25.32,63145,0
20160520,25.32,25.39,25.2916,25.39,15572,0
20160523,25.36,25.48,25.33,25.44,33167,0
20160524,25.48,25.73,25.4,25.73,35196,0
20160525,25.68,25.81,25.57,25.57,34403,0
20160526,25.6699,25.78,25.62,25.6699,17285,0
20160527,25.74,25.74,25.6256,25.71,12539,0
20160531,25.7001,25.78,25.65,25.73,29546,0
20160601,25.695,25.74,25.66,25.6999,11165,0
20160602,25.6,25.71,25.6,25.7,11570,0
20160603,25.71,25.7299,25.6101,25.71,16000,0
20160606,25.7008,25.72,25.61,25.71,14143,0
20160607,25.77,25.77,25.63,25.66,10554,0
20160608,25.69,25.69,25.65,25.65,22542,0
20160609,25.65,25.69,25.51,25.5854,40625,0
20160610,25.69,25.69,25.6,25.63,7504,0
20160613,25.69,25.69,25.6,25.63,7430,0
20160614,25.6699,25.74,25.5916,25.66,16744,0
20160615,25.6425,25.8436,25.61,25.67,33607,0
20160616,25.47,25.51,25.385,25.49,16795,0
20160617,25.58,25.58,25.41,25.43,19295,0
20160620,25.51,25.51,25.38,25.4,18410,0
20160621,25.49,25.49,25.4,25.4,15451,0
20160622,25.45,25.46,25.41,25.43,32564,0
20160623,25.49,25.5,25.42,25.435,27679,0
20160624,25.34,25.41,25.26,25.4,20491,0
20160627,25.58,25.58,25.37,25.38,29811,0
20160628,25.42,25.49,25.34,25.49,31567,0
20160629,25.43,25.5499,25.43,25.46,20304,0
20160630,25.53,25.53,25.46,25.5,42223,0
20160701,25.5,25.56,25.4232,25.5,21548,0
20160705,25.54,25.75,25.49,25.68,60053,0
20160706,25.65,25.764,25.6499,25.65,7617,0
20160707,25.65,25.7,25.5,25.56,32929,0
20160708,25.54,25.65,25.49,25.53,35955,0
20160711,25.6,25.7,25.55,25.64,29628,0
20160712,25.5601,25.9,25.55,25.71,30951,0
20160713,25.65,25.81,25.61,25.81,24750,0
20160714,25.88,25.88,25.6982,25.8544,20070,0
20160715,25.72,25.83,25.72,25.8199,4440,0
20160718,25.83,25.88,25.74,25.75,12524,0
20160719,25.79,25.8,25.72,25.7201,7996,0
20160720,25.84,25.84,25.7341,25.7341,3435,0
20160721,25.789,25.89,25.72,25.89,5178,0
20160722,25.9132,25.9132,25.79,25.9099,6740,0
20160725,25.85,25.93,25.85,25.91,6929,0
20160726,25.9,25.9,25.72,25.9,33645,0
20160727,25.76,25.9799,25.751,25.9799,10524,0
20160728,25.9601,25.98,25.953,25.98,6915,0
20160729,25.85,25.97,25.85,25.97,23979,0
20160801,25.863,25.96,25.85,25.895,13176,0
20160802,25.96,25.96,25.67,25.6999,30755,0
20160803,25.71,25.78,25.7,25.73,28131,0
20160804,25.75,25.85,25.74,25.8,11681,0
20160805,25.8,25.8457,25.8,25.8,2139,0
20160808,25.76,25.9,25.75,25.8201,9955,0
20160809,25.82,25.88,25.7901,25.85,16370,0
20160810,25.83,25.8901,25.8,25.82,22234,0
20160811,25.81,25.88,25.81,25.86,17987,0
20160812,25.85,25.87,25.846,25.87,9426,0
20160815,25.93,25.93,25.89,25.89,3520,0
20160816,25.86,25.8999,25.86,25.8916,5927,0
20160817,25.865,25.92,25.86,25.8856,25550,0
20160818,25.9,25.96,25.9,25.94,11553,0
20160819,25.94,26,25.9,25.99,24771,0
20160822,26,26,25.9551,26,3920,0
20160823,26.01,26.04,25.937,25.99,25000,0
20160824,26.01,26.0499,25.958,25.96,7598,0
20160825,25.93,26,25.93,25.9895,7700,0
20160826,25.95,26.04,25.94,26.04,13400,0
20160829,26.04,26.04,25.89,26.02,24095,0
20160830,26.05,26.05,25.9501,26.05,10107,0
20160831,26.08,26.14,26.0101,26.1114,14100,0
20160901,26.1,26.15,26.02,26.132,6770,0
20160902,26.15,26.2,26.1301,26.1301,8460,0
