Date,Open,High,Low,Close,Volume,OpenInt
20091123,10.058,10.058,10.058,10.058,0,0
20091124,10.058,10.084,10.058,10.073,315408,0
20091125,10.058,10.077,10.058,10.058,27163,0
20091127,10.058,10.062,10.058,10.058,76790,0
20091130,10.058,10.068,10.058,10.058,136806,0
20091201,10.058,10.073,10.058,10.068,62055,0
20091202,10.068,10.068,10.058,10.058,26131,0
20091203,10.058,10.068,10.058,10.058,27969,0
20091204,10.073,10.073,10.058,10.058,25056,0
20091207,10.062,10.062,10.058,10.058,20387,0
20091208,10.058,10.062,10.058,10.058,58837,0
20091209,10.062,10.068,10.058,10.068,15839,0
20091210,10.058,10.062,10.058,10.058,57414,0
20091211,10.068,10.068,10.058,10.058,118070,0
20091214,10.068,10.068,10.058,10.058,125887,0
20091215,10.058,10.068,10.052,10.058,56611,0
20091216,10.058,10.068,10.058,10.058,114960,0
20091217,10.058,10.101,10.058,10.089,36486,0
20091218,10.058,10.062,10.058,10.062,25244,0
20091221,10.111,10.111,10.058,10.058,24158,0
20091222,10.058,10.062,10.058,10.058,29861,0
20091223,10.058,10.068,10.058,10.058,39426,0
20091224,10.058,10.062,10.058,10.058,22268,0
20091228,10.058,10.068,10.058,10.068,251317,0
20091229,10.058,10.062,10.058,10.058,117977,0
20091230,10.058,10.062,10.058,10.058,56694,0
20091231,10.058,10.058,10.058,10.058,45525,0
20100104,10.058,10.062,10.058,10.058,55229,0
20100105,10.058,10.062,10.058,10.058,14056,0
20100106,10.058,10.068,10.058,10.058,44428,0
20100107,10.058,10.062,9.699,9.699,393797,0
20100108,9.691,9.978,9.663,9.973,62849,0
20100111,9.968,9.983,9.912,9.95,72545,0
20100112,9.938,9.973,9.903,9.912,75123,0
20100113,9.924,10.107,9.924,9.961,51171,0
20100114,9.961,9.989,9.961,9.983,24719,0
20100115,10.003,10.013,9.852,9.852,38763,0
20100119,9.95,9.961,9.899,9.912,53546,0
20100120,10.028,10.028,9.759,9.84,65584,0
20100121,9.894,9.909,9.759,9.834,71073,0
20100122,9.909,9.909,9.607,9.621,106666,0
20100125,9.678,9.699,9.4702,9.607,63598,0
20100126,9.649,9.668,9.4603,9.53,77183,0
20100127,9.3582,9.3947,9.1124,9.3896,309759,0
20100128,9.4154,9.506,9.2215,9.4332,97183,0
20100129,9.3142,9.4332,9.238,9.3474,83388,0
20100201,9.369,9.4493,9.369,9.4451,21084,0
20100202,9.4214,9.4402,9.1792,9.2051,134119,0
20100203,9.3641,9.4402,9.238,9.3004,105877,0
20100204,9.2936,9.3896,9.0181,9.1282,256873,0
20100205,9.156,9.2936,8.87,9.1057,415272,0
20100208,9.1446,9.2051,8.9309,9.1282,95395,0
20100209,9.1993,9.279,9.1057,9.1446,121256,0
20100210,9.1124,9.156,9.0126,9.078,65194,0
20100211,9.078,9.1512,9.0061,9.1446,65238,0
20100212,9.1723,9.1723,9.0061,9.0943,72614,0
20100216,9.0733,9.3033,9.0733,9.156,274388,0
20100217,9.0857,9.279,9.078,9.2051,300380,0
20100218,9.2215,9.3385,9.1792,9.2671,196657,0
20100219,9.274,9.3739,9.2051,9.2215,364025,0
20100222,9.243,9.3444,9.1358,9.243,90791,0
20100223,9.246,9.3641,9.1878,9.3385,75069,0
20100224,9.3582,9.4332,9.243,9.4263,71258,0
20100225,9.4263,9.4263,9.3769,9.4105,53386,0
