Date,Open,High,Low,Close,Volume,OpenInt
20100721,36,36,36,36,0,0
20100722,43.15,44.93,41.13,43.99,4941204,0
20100723,43.79,44.2,41.88,44.2,618981,0
20100726,44.16,44.56,43,44.05,165718,0
20100727,44.8,44.89,43,43,210450,0
20100728,42.8,43.58,42.17,43.01,99554,0
20100729,43.3,43.9,42.82,42.95,79177,0
20100730,42,43.53,41.33,43.5,110920,0
20100802,44.28,44.28,43.35,43.52,45610,0
20100803,43.4,43.52,42.67,43,21980,0
20100804,42.9,43.63,42.8,43.31,20339,0
20100805,43.7,43.7,43.14,43.32,38801,0
20100806,43.31,44,43.24,43.65,46871,0
20100809,43.81,46.67,43.75,46.3,130670,0
20100810,46.17,47.98,46.01,47.06,98888,0
20100811,46.84,47.3,45.81,46.93,45527,0
20100812,46.25,47,46.15,46.56,58692,0
20100813,46.3,46.47,44.82,45.01,46088,0
20100816,45.01,45.01,44.15,44.5,122531,0
20100817,44.25,45.3,44.25,44.8,78883,0
20100818,44.95,45.75,44.48,44.6,43918,0
20100819,44.31,46.25,44.31,45.01,44432,0
20100820,44.4,47.6,44.05,46,136491,0
20100823,46.3,46.4,45,45.25,33677,0
20100824,45.02,45.51,44.5,44.82,35359,0
20100825,44.56,45.22,44.56,45.08,26498,0
20100826,45,45.5,44.93,45.37,32135,0
20100827,45.48,46.48,44.6,46.46,13700,0
20100830,46.62,46.62,45.5,45.58,33156,0
20100831,45.3,45.39,45,45.26,33242,0
20100901,45.47,47.41,45.26,47,121438,0
20100902,47.4,49.35,47.29,49,37174,0
20100903,49.51,50.22,49.5,49.85,68712,0
20100907,50.45,51.47,49.51,50.22,70273,0
20100908,50.89,52.05,49.6,50.49,93690,0
20100909,50.26,51.78,49.7,51.61,76450,0
20100910,51.7,52.99,51.7,51.91,76101,0
20100913,52.17,53.22,52.17,52.65,105056,0
20100914,52.95,54.24,52.45,53.68,77823,0
20100915,53.72,54.22,52.51,53,53549,0
20100916,53.1,53.35,51.6,52.69,88366,0
20100917,52.63,53.72,52.34,52.71,77113,0
20100920,52.61,52.62,51.29,52.07,35732,0
20100921,52.3,53.5,51.33,51.68,38037,0
20100922,51.25,51.5,49.62,49.74,66143,0
20100923,49.3,51.6,49.3,51.49,119172,0
20100924,51.92,53.97,51.51,52,60268,0
20100927,52.27,52.83,51.85,52.24,97711,0
20100928,52.47,52.47,50.54,51.14,76976,0
20100929,50.74,53.33,50.51,51.63,116083,0
20100930,51.45,51.59,48.47,48.48,405689,0
20101001,49.03,50,48.3,48.85,100533,0
20101004,48.63,48.63,45.44,46.1,246371,0
20101005,46.59,47,44.5,45.08,507669,0
20101006,46.9,46.93,44.86,46.15,293953,0
20101007,46.1,48.5,46.1,48.22,339542,0
20101008,48.02,48.85,47.41,48.47,161503,0
20101011,48.76,48.85,47.8,48.34,80576,0
20101012,48.25,48.77,47.46,47.7,133599,0
20101013,47.8,48.16,47.36,48.16,142599,0
20101014,48.46,49.1,47.7,48.08,101632,0
20101015,48.5,49.85,48.29,49.01,109299,0
20101018,49.4,51.5,49.4,50.94,115406,0
20101019,50.53,51,47.95,48.32,262348,0
20101020,48.33,49.72,48.32,48.64,54891,0
20101021,48.77,49.25,48.56,49.22,29325,0
20101022,49.68,49.97,48.82,49.82,50844,0
20101025,50,51,49.9,50.6,59041,0
20101026,50.27,51.19,49.48,49.87,83419,0
20101027,49.53,50.1,49.12,50.01,40041,0
20101028,50.1,50.1,49.16,49.17,31852,0
20101029,48.68,50.88,47.01,50.8,44946,0
20101101,51,52.65,49.7,52.3,38249,0
20101102,53.48,55.35,51.92,54.43,110483,0
20101103,54.45,55.5,54.45,55.5,104210,0
20101104,54.05,54.6,51.8,53.12,224627,0
20101105,53.12,53.42,52.22,52.98,121027,0
20101108,52.66,53.99,52.35,53.96,64118,0
20101109,50.52,55.19,49.46,54.35,213328,0
20101110,54.46,55,53.23,54.58,40262,0
20101111,54.02,54.93,53.76,54.36,75693,0
20101112,53,55.02,53,54.22,52113,0
20101115,54.4,54.4,53.8,54,51712,0
20101116,53.74,53.74,52.25,52.71,50407,0
