Date,Open,High,Low,Close,Volume,OpenInt
20100823,40.736,40.85,40.454,40.526,3594,0
20100824,39.934,40.25,39.837,40.25,15769,0
20100825,39.746,40.287,39.737,40.287,3057,0
20100826,40.325,40.588,40.174,40.557,8681,0
20100827,40.588,41.414,40.566,41.37,10506,0
20100830,41.295,41.295,40.736,40.736,1728,0
20100831,40.619,40.663,40.206,40.384,4150,0
20100901,40.813,41.527,40.813,41.527,5862,0
20100902,41.197,41.717,40.85,41.596,9708,0
20100903,41.864,42.1,41.582,41.882,8782,0
20100907,42.093,42.202,41.737,42.167,6151,0
20100908,41.874,41.874,41.189,41.751,4537,0
20100909,41.82,41.979,41.602,41.602,3458,0
20100910,41.864,42.017,41.791,41.791,663,0
20100913,42.167,42.616,42.167,42.468,5227,0
20100914,41.94,42.694,41.94,42.656,1728,0
20100915,42.768,42.768,42.322,42.415,1929,0
20100916,41.947,42.799,41.947,42.724,1491,0
20100917,42.804,43.519,42.241,43.519,7985,0
20100920,43.066,43.303,42.844,43.092,832,0
20100921,43.023,43.023,42.724,42.738,3194,0
20100922,42.625,42.625,42.262,42.262,1332,0
20100923,42.174,42.174,41.67,41.891,3549,0
20100924,42.339,42.701,42.152,42.603,3057,0
20100928,42.918,42.918,42.776,42.804,2308,0
20100929,42.918,43.295,42.918,43.032,997,0
20100930,43.023,43.519,42.859,43.143,4761,0
20101001,43.558,43.586,43.032,43.032,2531,0
20101004,42.918,42.918,42.918,42.918,532,0
20101005,43.37,43.91,43.37,43.91,5393,0
20101006,43.67,43.82,43.654,43.82,663,0
20101007,43.97,44.02,43.519,44.02,945,0
20101008,44.084,44.084,43.632,43.76,3194,0
20101011,43.994,43.994,43.994,43.994,201,0
20101012,43.541,44.337,43.323,43.497,6509,0
20101013,43.541,43.97,43.541,43.97,1453,0
20101014,43.593,43.593,43.143,43.527,5055,0
20101015,43.527,43.593,43.323,43.482,3858,0
20101018,43.323,43.323,43.295,43.295,400,0
20101019,43.188,43.37,42.918,42.922,1995,0
20101020,43.22,43.593,43.22,43.593,6869,0
20101021,43.15,43.895,43.15,43.664,2759,0
20101022,43.61,43.887,43.61,43.887,532,0
20101025,43.895,44.309,43.859,43.859,532,0
20101026,43.602,43.602,43.234,43.234,2793,0
20101027,42.804,42.844,42.468,42.844,2128,0
20101028,43.143,43.573,43.121,43.33,3115,0
20101029,43.295,43.593,43.295,43.593,2128,0
20101101,43.593,43.593,42.979,43.234,932,0
20101102,44.159,44.159,43.714,43.723,7469,0
20101103,43.714,43.91,43.406,43.729,10462,0
20101104,44.181,44.345,44.181,44.345,1867,0
20101105,44.345,44.645,44.331,44.645,2886,0
20101108,44.632,44.632,44.27,44.533,1867,0
20101109,44.451,44.451,44.451,44.451,270,0
20101110,44.084,44.504,43.954,44.504,799,0
20101111,44.345,44.797,44.345,44.797,400,0
20101112,44.721,44.721,44.497,44.721,3523,0
20101115,44.721,45.097,44.721,44.865,3371,0
20101116,44.721,44.721,43.76,43.76,3594,0
20101117,43.828,43.895,43.828,43.895,910,0
20101118,44.345,44.55,44.345,44.345,932,0
20101119,44.345,44.345,43.962,44.159,7204,0
20101122,43.97,43.97,43.593,43.593,7985,0
20101123,43.385,43.593,43.385,43.593,799,0
20101124,43.67,43.781,43.46,43.46,5936,0
20101126,43.887,44.309,43.88,43.88,663,0
20101129,43.362,43.746,42.991,42.991,9217,0
20101130,42.999,43.309,42.844,42.948,10190,0
20101201,43.399,43.593,42.656,43.22,14099,0
20101202,43.64,44.457,43.64,44.405,10312,0
20101203,44.504,45.097,44.504,44.933,1282,0
20101206,44.694,44.694,44.345,44.533,21023,0
20101207,44.67,44.976,44.541,44.541,2929,0
20101208,44.218,44.82,44.218,44.558,543,0
20101209,43.97,44.345,43.97,44.27,4787,0
20101210,44.294,44.422,44.27,44.422,2396,0
20101213,44.541,44.963,44.422,44.797,33974,0
20101214,44.661,44.947,44.661,44.873,20060,0
20101215,45.248,45.4,44.925,45.4,4542,0
20101216,44.483,45.384,44.483,45.384,2057,0
20101217,45.872,47.239,45.51,47.239,24835,0
20101220,46.941,46.962,46.225,46.348,6939,0
20101221,46.443,46.678,46.263,46.375,5544,0
20101222,46.824,47.355,46.603,46.866,5976,0
20101223,46.892,47.051,46.503,46.603,8331,0
20101227,46.407,46.603,46.037,46.3,10463,0
20101228,46.434,46.434,45.931,46.062,8403,0
20101229,46.075,46.413,45.971,46.413,1998,0
20101230,46.488,46.488,46.288,46.3,3256,0
20101231,46.603,46.603,45.849,46.083,6918,0
20110103,46.366,46.375,46.001,46.001,3958,0
20110104,46.254,46.288,46.021,46.186,3317,0
20110105,46.225,46.525,46.129,46.525,4006,0
20110106,46.339,46.577,46.172,46.172,2386,0
20110107,46.246,46.246,45.849,46.22,16118,0
20110110,45.849,46.225,45.595,45.661,10964,0
20110111,45.661,45.811,45.661,45.811,13391,0
20110112,45.811,46.225,45.806,45.849,12450,0
20110113,45.849,45.849,45.834,45.849,2597,0
20110114,45.603,45.849,45.603,45.797,5422,0
20110118,45.849,45.878,45.774,45.878,16648,0
20110119,46.037,46.225,45.817,45.849,3816,0
20110120,45.811,46.225,45.656,46.098,2615,0
20110121,46.225,46.225,45.849,45.849,3594,0
20110124,45.849,46.225,45.849,46.225,21281,0
20110125,46.151,47.088,46.008,46.292,14902,0
20110126,46.542,46.603,46.151,46.225,15853,0
20110127,46.178,46.55,46.178,46.413,14774,0
20110128,46.246,46.263,45.661,45.661,23151,0
20110131,45.69,45.849,45.436,45.436,20148,0
20110201,45.661,46.791,45.661,46.791,29990,0
20110202,46.503,46.976,46.503,46.632,52153,0
20110203,46.413,46.881,46.339,46.791,21168,0
20110204,46.791,46.791,46.413,46.593,16519,0
20110207,46.714,46.899,46.678,46.874,11077,0
20110208,46.824,46.976,46.692,46.866,18751,0
20110209,46.832,46.948,46.824,46.948,6532,0
20110210,46.976,46.976,46.916,46.916,3227,0
20110211,46.976,47.088,46.976,47.046,4145,0
20110214,46.791,46.976,46.743,46.899,11070,0
20110215,46.916,46.916,46.632,46.799,8068,0
20110216,46.866,47.088,46.866,47.051,5992,0
20110218,46.976,46.976,46.899,46.962,4490,0
20110222,46.791,46.791,45.758,45.758,15492,0
20110223,45.849,46.307,45.849,45.963,6426,0
20110224,45.826,46.037,45.826,45.983,11343,0
20110225,46.091,46.407,46.091,46.4,10649,0
20110228,46.461,46.908,46.461,46.678,8954,0
20110301,46.678,46.678,46.091,46.225,4056,0
20110302,45.849,46.791,45.834,46.791,32549,0
20110303,45.849,46.443,45.331,46.075,45718,0
20110304,46.001,46.053,45.736,45.774,10003,0
20110307,45.774,45.963,45.286,45.4,12538,0
20110308,45.922,46.119,45.4,46.083,21809,0
20110309,45.955,45.955,45.698,45.888,13211,0
20110310,45.436,45.436,44.775,45.136,11041,0
20110311,44.847,45.301,44.847,45.097,4056,0
20110314,44.744,45.022,44.744,45.022,9067,0
20110315,43.927,44.76,43.828,44.76,5752,0
20110316,44.609,45.059,44.511,45.059,5505,0
20110317,45.022,45.022,44.466,44.645,7893,0
20110318,45.029,45.384,45.029,45.323,11909,0
20110321,45.36,46.519,45.36,45.922,36120,0
20110322,46.028,46.075,45.922,46.001,19188,0
20110323,46.037,46.151,46.001,46.119,28755,0
20110324,46.083,46.151,45.963,46.037,10002,0
20110325,46.037,46.186,46.001,46.062,31021,0
20110328,46.037,46.339,46.037,46.186,27307,0
20110329,46.339,46.339,46.11,46.263,18554,0
20110330,46.288,46.339,46.225,46.288,16764,0
20110331,46.288,46.375,46.225,46.3,14184,0
20110401,46.315,46.638,46.315,46.593,17233,0
20110404,46.603,46.678,46.55,46.616,21578,0
20110405,46.603,46.678,46.593,46.66,36936,0
20110406,46.66,46.684,46.503,46.638,23871,0
20110407,46.645,46.645,46.413,46.413,13171,0
20110408,46.603,46.678,45.911,45.911,12204,0
20110411,45.911,46.3,45.443,45.615,15367,0
20110412,45.286,45.34,44.661,44.994,10646,0
20110413,45.097,45.097,44.797,44.865,4831,0
20110414,44.925,45.142,44.797,44.835,5188,0
20110415,45.097,45.097,44.907,45.001,22322,0
20110418,44.947,44.947,44.257,44.353,12641,0
20110419,44.353,44.368,44.143,44.143,19039,0
20110420,44.55,44.55,44.122,44.345,12432,0
20110421,44.405,44.422,44.27,44.377,13004,0
20110425,44.331,44.377,44.045,44.197,14939,0
20110426,44.197,44.257,43.647,43.676,18313,0
20110427,43.933,43.97,43.566,43.962,22095,0
20110428,44.002,44.045,43.962,43.994,12264,0
20110429,44.069,44.084,43.752,43.752,16357,0
20110502,43.7,44.084,43.7,43.835,10110,0
20110503,43.946,44.037,43.774,44.037,14235,0
20110504,44.197,44.197,43.781,43.979,4687,0
20110505,43.781,43.781,43.474,43.593,10171,0
