Date,Open,High,Low,Close,Volume,OpenInt
20050225,10.94,11.204,10.911,11.204,894953,0
20050228,11.204,11.284,11.057,11.218,1126196,0
20050301,11.209,11.296,11.099,11.128,1203047,0
20050302,11.17,11.331,11.039,11.264,487279,0
20050303,11.294,11.357,11.25,11.307,435597,0
20050304,11.319,11.523,11.319,11.509,572054,0
20050307,11.537,11.599,11.402,11.512,570000,0
20050308,11.564,11.564,11.39,11.434,826718,0
20050309,11.405,11.463,11.291,11.378,669581,0
20050310,11.36,11.402,11.161,11.347,936661,0
20050311,11.375,11.546,11.375,11.52,848084,0
20050314,11.558,11.593,11.507,11.523,995244,0
20050315,11.567,11.793,11.567,11.729,911501,0
20050316,11.721,11.721,11.504,11.537,1094160,0
20050317,11.534,11.604,11.512,11.512,507956,0
20050318,11.541,11.579,11.434,11.482,1288156,0
20050321,11.454,11.509,11.384,11.497,528281,0
20050322,11.469,11.778,11.466,11.615,802943,0
20050323,11.624,11.655,11.549,11.579,1352609,0
20050324,11.582,11.642,11.509,11.509,1175820,0
20050328,11.534,11.575,11.46,11.512,1249568,0
20050329,11.512,11.627,11.476,11.573,1494241,0
20050330,11.718,11.882,11.655,11.805,1330212,0
20050331,11.805,11.927,11.664,11.712,1597963,0
20050401,11.709,11.811,11.59,11.68,1615200,0
20050404,11.68,11.689,11.523,11.606,1413603,0
20050405,11.621,11.691,11.52,11.603,1366047,0
20050406,11.606,11.673,11.543,11.587,883925,0
20050407,11.59,11.59,10.82,11.027,3855190,0
20050408,11.172,11.202,10.977,11.089,2206210,0
20050411,11.054,11.105,10.992,11.033,1232335,0
20050412,11.03,11.193,10.882,11.152,1222689,0
20050413,11.08,11.128,10.931,10.966,836722,0
20050414,10.925,10.957,10.533,10.636,2716244,0
20050415,10.563,10.59,10.357,10.376,1575907,0
20050418,10.33,10.414,10.245,10.286,1657923,0
20050419,10.36,10.636,10.33,10.602,2025635,0
20050420,10.602,10.662,10.49,10.548,1603829,0
20050421,10.563,10.873,10.548,10.775,1960155,0
20050422,10.708,10.787,10.431,10.527,2015994,0
20050425,10.527,10.56,10.418,10.471,2218954,0
20050426,10.471,10.471,10.062,10.173,4049896,0
20050427,10.161,10.222,9.959,10.02,1940506,0
20050428,9.962,10.023,9.789,9.827,2060102,0
20050429,9.875,9.875,9.648,9.799,2350956,0
20050502,9.756,9.914,9.715,9.809,2910942,0
20050503,9.812,9.982,9.809,9.919,2028048,0
20050504,9.852,9.982,9.848,9.946,2167614,0
20050505,9.949,10.064,9.914,9.984,2463636,0
20050506,10.044,10.151,10.011,10.099,1552487,0
20050509,10.129,10.134,10.029,10.079,1080009,0
20050510,10.02,10.123,9.968,10.099,1467361,0
20050511,10.142,10.206,10.014,10.156,1243363,0
20050512,10.14,10.2,10.02,10.023,1672405,0
20050513,10.047,10.151,10.033,10.076,1663787,0
20050516,10.099,10.156,10.088,10.148,872209,0
20050517,10.134,10.159,10.105,10.154,1053492,0
20050518,10.156,10.185,10.116,10.154,2074573,0
20050519,10.156,10.17,10.113,10.156,1370177,0
20050520,10.129,10.156,10.062,10.142,2043217,0
20050523,10.113,10.211,10.113,10.179,1827478,0
20050524,10.208,10.208,10.102,10.17,1062104,0
20050525,10.142,10.165,9.996,10.119,802611,0
20050526,10.156,10.191,10.123,10.148,741259,0
20050527,10.156,10.156,10.091,10.137,439046,0
20050531,10.113,10.156,10.044,10.126,977323,0
20050601,10.097,10.161,10.038,10.11,1195464,0
20050602,10.091,10.156,10.059,10.156,1074171,0
20050603,10.129,10.148,10.079,10.082,999720,0
20050606,10.067,10.073,9.968,10.044,1078297,0
20050607,10.085,10.134,9.982,10.017,2026332,0
