Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.9348,4.0123,3.9348,4.0123,34935,0
20050228,3.9888,4.0082,3.9697,3.9774,46572,0
20050301,3.9579,4.0355,3.9579,4.0042,47086,0
20050302,3.9734,4.0393,3.9734,3.9888,62094,0
20050303,4.0161,4.0161,3.9697,3.9851,18371,0
20050304,4.0082,4.0199,3.9888,4.0004,225609,0
20050307,3.9654,4.0123,3.9654,4.0082,43467,0
20050308,3.9851,4.0042,3.9812,3.9927,42431,0
20050309,3.9888,3.9888,3.9541,3.9617,39845,0
20050310,3.9501,3.9774,3.9463,3.9617,65716,0
20050311,3.927,3.9774,3.9233,3.9617,45275,0
20050314,3.8884,3.9156,3.8806,3.8806,83567,0
20050315,3.8767,3.8921,3.869,3.8767,112281,0
20050316,3.8999,3.9654,3.8381,3.8381,48639,0
20050317,3.8419,3.9541,3.8419,3.873,103748,0
20050318,3.8999,3.9039,3.8537,3.8537,10868,0
20050321,3.8921,3.9156,3.8537,3.8537,39584,0
20050322,3.8381,3.8461,3.819,3.819,11122,0
20050323,3.8419,3.8419,3.7997,3.7997,36480,0
20050324,3.8341,3.8381,3.7723,3.8034,38287,0
20050328,3.7531,3.788,3.7297,3.761,150317,0
20050329,3.761,3.8226,3.7067,3.7067,73733,0
20050330,3.7143,3.8113,3.7143,3.7955,55114,0
20050331,3.7647,3.7841,3.7494,3.7647,81752,0
20050401,3.7802,3.8113,3.761,3.7802,30532,0
20050404,3.7723,3.8072,3.761,3.788,33637,0
20050405,3.7761,3.7802,3.7685,3.7685,27679,0
20050406,3.8072,3.8226,3.7802,3.7802,26651,0
20050407,3.7997,3.7997,3.7494,3.7802,27163,0
20050408,3.788,3.8113,3.7841,3.7841,31307,0
20050411,3.788,3.7915,3.7568,3.7723,51752,0
20050412,3.7454,3.7723,3.7297,3.7723,71148,0
20050413,3.7802,3.7802,3.761,3.7685,34153,0
20050414,3.7415,3.7531,3.7338,3.7415,34153,0
20050415,3.7143,3.7143,3.6526,3.6526,45275,0
20050418,3.6681,3.6914,3.6098,3.6451,58470,0
20050419,3.6451,3.6953,3.6331,3.6372,64164,0
20050420,3.6718,3.6718,3.5947,3.5983,50717,0
20050421,3.614,3.6953,3.614,3.6681,22511,0
20050422,3.6758,3.6758,3.6254,3.6254,47605,0
20050425,3.6372,3.6758,3.6372,3.6758,37002,0
20050426,3.6603,3.6641,3.6451,3.6451,11901,0
20050427,3.614,3.7415,3.6063,3.6372,45275,0
20050428,3.6953,3.6953,3.6063,3.6063,28458,0
20050429,3.6023,3.6372,3.5869,3.5947,61831,0
20050502,3.6563,3.6563,3.5907,3.6179,104781,0
20050503,3.6179,3.6489,3.6179,3.6254,23280,0
20050504,3.6489,3.7222,3.6372,3.6797,67525,0
20050505,3.6874,3.7222,3.6681,3.6797,107890,0
20050506,3.6914,3.6914,3.6758,3.6758,35701,0
20050509,3.6718,3.699,3.6718,3.6874,22252,0
20050510,3.6681,3.7531,3.6563,3.6563,68562,0
20050511,3.6526,3.6681,3.6216,3.6489,62352,0
20050512,3.6293,3.6681,3.6179,3.6413,22511,0
20050513,3.6489,3.6681,3.614,3.6179,27163,0
20050516,3.6413,3.6413,3.5947,3.6063,49930,0
20050517,3.5753,3.6023,3.5678,3.5753,164026,0
20050518,3.6489,3.6563,3.6023,3.6254,34408,0
20050519,3.6603,3.6641,3.6489,3.6563,150056,0
20050520,3.6603,3.6874,3.6603,3.6797,80461,0
20050523,3.6836,3.6953,3.6681,3.6758,33893,0
20050524,3.6797,3.6953,3.6681,3.6836,90293,0
20050525,3.6603,3.6681,3.6603,3.6641,8019,0
20050526,3.6641,3.6797,3.6563,3.6718,61831,0
20050527,3.6836,3.6874,3.6758,3.6758,17849,0
20050531,3.6797,3.6953,3.6797,3.6953,28458,0
20050601,3.6953,3.7222,3.6758,3.6953,31307,0
20050602,3.7067,3.7494,3.7067,3.7338,27946,0
20050603,3.7568,3.7568,3.7222,3.7222,55371,0
20050606,3.7067,3.7494,3.6914,3.7067,32603,0
20050607,3.7415,3.761,3.7183,3.7183,34935,0
20050608,3.7494,3.7531,3.7258,3.7494,47866,0
20050609,3.7568,3.8072,3.7494,3.8072,59503,0
20050610,3.7802,3.8034,3.7531,3.7568,26911,0
20050613,3.7723,3.7802,3.7377,3.7568,12936,0
