Date,Open,High,Low,Close,Volume,OpenInt
20170929,25.05,25.1,24.86,25.09,71561,0
20171002,25.08,25.13,25,25.01,79607,0
20171003,25,25,24.92,24.96,47449,0
20171004,25,25.03,24.961,24.99,34716,0
20171005,24.96,25,24.95,24.97,28564,0
20171006,24.97,24.99,24.838,24.89,53284,0
20171009,24.91,25,24.91,24.99,6760,0
20171010,24.9899,25.01,24.9464,25,25609,0
20171011,24.97,25.05,24.96,25,19286,0
20171012,25.03,25.05,24.97,25.05,16735,0
20171013,25.08,25.08,25,25.05,10036,0
20171016,25.05,25.09,25.02,25.0211,21667,0
20171017,25.04,25.08,25,25.03,21163,0
20171018,25,25.15,25,25.1,78086,0
20171019,25.23,25.23,25.05,25.08,39822,0
20171020,25.0457,25.12,25.0161,25.07,25617,0
20171023,25.099,25.1,25,25.05,10959,0
20171024,25.12,25.12,24.87,24.99,13794,0
20171025,25,25,24.52,24.82,28086,0
20171026,24.89,24.91,24.8,24.8,56763,0
20171027,24.89,25,24.82,24.86,20706,0
20171030,24.78,24.96,24.78,24.95,38304,0
20171031,24.8999,25,24.85,24.93,15105,0
20171101,25,25.3,24.9562,25.05,44659,0
20171102,25.03,25.16,24.99,25.05,39189,0
20171103,25.1,25.1,24.9,24.94,6918,0
20171106,25.1,25.1,24.949,24.9999,3311,0
20171107,25,25.07,24.9454,24.9454,4900,0
20171108,24.92,25,24.92,25,3955,0
20171109,24.951,25,24.75,24.8,15667,0
20171110,24.9727,24.9727,24.784,24.784,2360,0
20171113,24.851,24.9178,24.85,24.86,13569,0
20171114,24.95,24.95,24.64,24.68,4864,0
20171115,24.6,24.9107,24.4601,24.4601,14235,0
20171116,24.54,24.918,24.54,24.62,18797,0
20171117,24.59,24.8152,24.5,24.6724,21155,0
20171120,24.667,24.9899,24.4653,24.74,37316,0
20171121,24.76,24.94,24.7,24.86,17030,0
20171122,24.95,24.99,24.89,24.95,6912,0
20171124,24.9648,25,24.9648,24.9911,2240,0
20171127,25,25.05,24.9875,25,12520,0
20171128,25.05,25.05,24.99,25,10458,0
20171129,25,25.04,24.95,24.95,2300,0
20171130,24.95,25.03,24.86,24.9999,5037,0
20171201,25.0164,25.0164,24.99,25,990,0
20171204,25.03,25.03,24.9256,25,18679,0
20171205,24.9447,25.25,24.9447,25,23601,0
20171206,25.3,25.3,24.9792,25,14325,0
20171207,25,25.3,25,25.01,15824,0
20171208,25.248,25.248,25.15,25.1886,1909,0
20171211,25.16,25.16,25,25.15,7100,0
20171212,25.15,25.29,25.1,25.1,8079,0
20171213,25.15,25.15,25.0875,25.15,8160,0
20171214,25.0963,25.3,25.0584,25.19,5277,0
20171215,25,25.0901,24.971,25.07,15750,0
20171218,24.985,25.03,24.97,25,5317,0
20171219,24.9501,25.05,24.9501,25,6831,0
20171220,25,25.1754,24.95,25.05,5500,0
20171221,25,25.05,24.8,24.9589,7184,0
20171222,24.8,24.9999,24.62,24.99,14830,0
20171226,25,25.047,24.734,24.7899,24511,0
20171227,24.79,25.1506,24.66,24.89,23330,0
20171228,24.99,25.25,24.958,25.16,9873,0
20171229,24.9,25.1299,24.9,25.1,3950,0
20180102,25.1117,25.25,25.05,25.09,21390,0
20180103,25.1654,25.25,24.9,24.9,12370,0
20180104,25.09,25.09,25.089,25.089,480,0
20180105,24.91,25.1,24.9,25.1,11014,0
20180108,25,25.1,24.89,24.89,7574,0
20180109,24.9,25.0887,24.9,25.0887,2750,0
20180110,25,25.025,24.45,24.56,88053,0
20180111,24.62,24.6794,24.15,24.6,145439,0
20180112,24.521,24.5999,24.43,24.57,39353,0
20180116,24.55,24.8182,24.55,24.68,88213,0
20180117,24.7145,24.7999,24.6,24.6,9993,0
20180118,24.6,24.68,24.401,24.42,14481,0
20180119,24.38,24.55,24.36,24.55,12496,0
20180122,24.545,24.59,24.43,24.5,9695,0
20180123,24.5448,24.59,24.5,24.59,10800,0
20180124,24.575,24.6,24.45,24.5735,40256,0
20180125,24.6,24.6,24.2816,24.35,16747,0
20180126,24.23,24.5199,24.23,24.4,23833,0
20180129,24.43,24.43,24.12,24.35,76695,0
20180130,23.65,24.2813,23.61,24,5200,0
20180131,24.2924,24.432,23.9,24.35,7184,0
20180201,24.34,24.34,23.9592,23.9592,2715,0
20180202,24.19,24.19,23.62,23.7,4903,0
20180205,23.8,23.8,23.28,23.65,6004,0
20180206,23.26,23.7851,23.25,23.41,12385,0
20180207,23.73,23.73,23.6046,23.63,925,0
20180208,23.64,23.64,23.25,23.25,4455,0
20180209,23.367,23.367,22.97,23.2,20637,0
20180212,23.2,23.36,23.1224,23.22,9566,0
20180213,23.36,23.39,23.21,23.3372,3455,0
20180214,23.21,23.4,23.197,23.3975,4841,0
20180215,23.12,23.44,23.05,23.38,8285,0
20180216,23.26,23.5867,23.26,23.575,2760,0
20180220,23.5,23.5,23.49,23.49,800,0
20180221,23.48,23.5999,23.25,23.4,14433,0
20180222,23.55,23.59,23.5,23.5332,1025,0
20180226,23.4,23.6,23.4,23.4,9452,0
20180227,23.42,23.55,23.4,23.55,7277,0
20180228,23.599,23.7299,23.532,23.6472,28343,0
20180301,23.72,23.9234,23.72,23.7775,11224,0
20180302,23.8912,23.99,23.1663,23.88,51802,0
20180305,23.7996,23.9899,23.709,23.8515,4597,0
20180306,23.9514,24.1094,23.896,24,15020,0
20180307,24.26,24.26,24.0633,24.13,3344,0
20180309,24.1053,24.1309,24.1053,24.1309,1100,0
20180312,23.81,24.12,23.71,24.12,6500,0
20180313,24.025,24.05,23.917,24.05,9565,0
20180314,24.35,24.35,23.911,23.975,6049,0
20180316,24.0909,24.25,23.97,24.25,2400,0
20180319,23.8107,24.0629,23.631,24.011,5011,0
20180320,23.9999,24,23.879,24,3854,0
20180321,24.161,24.161,23.883,24,4400,0
20180322,24.1114,24.1599,24.1,24.1,3360,0
20180323,24.1124,24.15,23.981,24.01,1100,0
20180326,24.19,24.19,23.8,23.9943,2900,0
20180327,23.9999,23.9999,23.9999,23.9999,1070,0
20180328,23.82,23.975,23.63,23.7,15697,0
20180329,24.1427,24.1427,23.96,23.98,2341,0
20180402,23.785,24,23.66,23.7985,6025,0
20180403,23.9784,24,23.865,23.9625,1531,0
20180404,23.75,23.95,23.75,23.75,4182,0
20180405,23.99,23.99,23.99,23.99,188,0
20180406,23.98,23.98,23.9018,23.9018,200,0
20180409,23.77,23.77,23.7175,23.75,7100,0
20180410,23.7,23.95,23.6985,23.7084,6819,0
20180411,23.71,23.71,23.71,23.71,124,0
20180412,23.8,23.8,23.6601,23.73,2759,0
20180413,23.63,23.7,23.56,23.7,4050,0
20180416,23.551,23.749,23.551,23.7029,3826,0
20180417,23.65,23.77,23.65,23.74,819,0
20180418,23.74,23.74,23.57,23.74,2802,0
20180419,23.73,23.83,23.55,23.55,3866,0
20180420,23.5612,23.5612,23.5612,23.5612,200,0
20180423,23.81,23.8422,23.7529,23.7999,4442,0
20180424,23.5496,23.5781,23.5496,23.5781,3800,0
20180425,23.54,23.81,23.47,23.7,4774,0
20180426,23.699,23.7,23.4068,23.4068,1250,0
20180430,23.5499,23.55,23.545,23.545,795,0
20180501,23.55,23.55,23.55,23.55,100,0
20180502,23.6,23.6277,23.5125,23.5125,3054,0
20180503,23.5531,23.5531,23.5531,23.5531,1172,0
20180504,23.5,23.5,23.37,23.37,1780,0
20180507,23.38,23.6616,23.33,23.6616,5520,0
20180508,23.54,23.6378,23.54,23.6378,200,0
20180509,23.52,23.6432,23.52,23.6432,402,0
20180510,23.445,23.445,23.445,23.445,1000,0
20180511,23.5132,23.5132,23.434,23.434,531,0
20180514,23.5592,23.5592,23.4,23.45,8377,0
20180515,23.45,23.5832,23.45,23.4518,2020,0
20180516,23.59,23.59,23.36,23.5,2140,0
20180517,23.589,23.589,23.54,23.5599,713,0
20180518,23.49,23.6,23.446,23.6,1015,0
20180521,23.58,23.708,23.465,23.59,2755,0
20180522,23.7148,23.75,23.7148,23.75,313,0
20180523,23.7837,23.82,23.6107,23.6107,2882,0
20180525,23.72,23.72,23.72,23.72,100,0
20180529,23.72,23.72,23.62,23.66,3106,0
20180530,23.61,23.61,23.34,23.4,5391,0
20180531,23.42,23.65,23.42,23.45,3618,0
20180604,23.52,23.61,23.4501,23.5,5409,0
20180605,23.65,23.65,23.47,23.65,6572,0
20180606,23.65,23.74,23.5501,23.73,10051,0
20180608,23.74,23.939,23.6761,23.939,4759,0
20180611,23.8899,23.93,23.85,23.93,8913,0
20180612,23.94,23.94,23.8951,23.94,7343,0
20180613,23.94,24,23.8325,24,5529,0
20180614,23.99,24,23.851,24,11020,0
20180615,24,24.1,23.85,24.1,4600,0
20180618,23.94,24.09,23.88,24.05,9840,0
20180619,24.0027,24.07,23.9397,24.05,1910,0
20180620,24.0209,24.0209,24.0209,24.0209,1050,0
20180621,24.0052,24.05,23.999,24.0052,2315,0
20180625,24.01,24.01,23.92,23.9389,909,0
20180626,23.925,24.1,23.8518,24.07,10662,0
20180627,24.03,24.07,23.5683,23.58,7270,0
20180628,23.7,24.0499,23.7,23.96,3580,0
20180629,23.9907,24.08,23.7466,23.95,10295,0
20180702,24,24.05,23.9718,23.9718,2744,0
20180705,23.9114,23.9114,23.9114,23.9114,109,0
