Date,Open,High,Low,Close,Volume,OpenInt
20050225,4.514,4.528,4.4601,4.4641,269439,0
20050228,4.4238,4.514,4.4238,4.5051,321563,0
20050301,4.4962,4.5598,4.4962,4.5509,652846,0
20050302,4.6143,4.7042,4.5323,4.6452,2462968,0
20050303,4.6412,4.6452,4.5685,4.6227,468210,0
20050304,4.6816,5.0445,4.659,4.9219,1129005,0
20050307,4.9622,5.008,4.9033,4.9622,588355,0
20050308,5.0126,5.0626,4.9484,4.9667,460263,0
20050309,4.9715,5.0036,4.9534,4.9534,798610,0
20050310,4.9484,4.9484,4.8091,4.8449,482351,0
20050311,4.8317,4.8767,4.8091,4.8675,545954,0
20050314,4.8675,4.8675,4.8497,4.8544,357786,0
20050315,4.8675,4.8854,4.8403,4.8449,189932,0
20050316,4.8449,4.8449,4.7773,4.7951,141338,0
20050317,4.7997,4.8091,4.7679,4.786,385173,0
20050318,4.786,4.8497,4.7773,4.8229,542420,0
20050321,4.8229,4.8544,4.8229,4.8449,219972,0
20050322,4.8544,4.8808,4.8229,4.8449,332167,0
20050323,4.8182,4.8229,4.7679,4.7951,172264,0
20050324,4.7951,4.8627,4.7951,4.8182,819812,0
20050328,4.8767,4.9219,4.754,4.7634,678462,0
20050329,4.786,4.8091,4.7679,4.7679,466450,0
20050330,4.7815,4.8091,4.7493,4.7493,558320,0
20050331,4.7679,4.8091,4.7679,4.8091,813630,0
20050401,4.8403,4.8449,4.731,4.7493,357786,0
20050404,4.7493,4.7493,4.6412,4.7042,548603,0
20050405,4.7084,4.8403,4.7084,4.8358,1292438,0
20050406,5.1118,5.1848,5.0126,5.1209,5447150,0
20050407,5.1392,5.2525,5.09,5.2389,2265085,0
20050408,5.2389,5.2977,5.23,5.2751,1485911,0
20050411,5.2977,5.2977,5.1023,5.1433,1547744,0
20050412,5.1392,5.1979,5.1392,5.1848,674927,0
20050413,5.2483,5.2525,5.1574,5.1933,900200,0
20050414,5.1933,5.1933,4.9715,4.9986,1956768,0
20050415,4.9264,4.9715,4.9171,4.9304,664330,0
20050418,4.9264,4.9484,4.8854,4.9393,569805,0
20050419,4.9393,5.0665,4.9393,5.0491,469093,0
20050420,5.0626,5.0757,5.0445,5.0626,837480,0
20050421,5.0801,5.0801,4.9805,4.9853,253545,0
20050422,4.9853,5.0491,4.9622,5.035,409908,0
20050425,5.035,5.0665,4.9534,4.9534,380758,0
20050426,4.9534,4.9534,4.8718,4.8947,412559,0
20050427,4.8854,4.8854,4.7951,4.8317,712032,0
20050428,4.8229,4.8229,4.786,4.786,946137,0
20050429,4.8043,4.8182,4.731,4.7815,787127,0
20050502,4.7815,4.8271,4.7773,4.8135,522982,0
20050503,4.8135,4.8994,4.8135,4.8994,805679,0
20050504,4.9081,5.0399,4.9081,5.008,631647,0
20050505,4.9805,5.2751,4.9805,5.1529,1824259,0
20050506,5.2069,5.2115,5.0944,5.1023,1401097,0
20050509,5.0757,5.1209,5.053,5.1209,553901,0
20050510,5.1118,5.2706,5.1118,5.2706,1299510,0
20050511,5.2706,5.2706,5.2161,5.2437,1826909,0
20050512,5.2437,5.2793,5.1933,5.2389,1340146,0
20050513,5.1886,5.1933,5.1023,5.1529,967342,0
20050516,5.1574,5.1614,5.1118,5.1118,295063,0
20050517,5.1209,5.1483,5.107,5.1433,409021,0
20050518,5.1392,5.1886,5.1209,5.1664,541535,0
20050519,5.1848,5.2343,5.1754,5.23,275630,0
20050520,5.2437,5.2437,5.1614,5.2205,313609,0
20050523,5.2205,5.4018,5.1979,5.3203,583938,0
20050524,5.3065,5.3065,5.23,5.2936,407252,0
20050525,5.3065,5.325,5.2525,5.2936,334814,0
20050526,5.2936,5.3065,5.2572,5.2751,295946,0
20050527,5.2887,5.5509,5.2887,5.4605,1193498,0
20050531,5.4832,5.7772,5.4653,5.741,1902886,0
20050601,5.741,5.7909,5.6282,5.6784,460700,0
20050602,5.6282,5.8319,5.6282,5.7867,1009747,0
20050603,5.8181,5.8728,5.7227,5.7362,407695,0
20050606,5.7317,5.7867,5.6737,5.718,591450,0
20050607,5.7138,5.7138,5.6602,5.6784,693482,0
20050608,5.7002,5.7274,5.384,5.5237,1107808,0
20050609,5.5191,5.6418,5.4564,5.6418,198330,0
20050610,5.6329,5.7138,5.4873,5.5237,170497,0
20050613,5.5284,5.5651,5.5147,5.5651,376340,0
20050614,5.5693,5.6191,5.5602,5.6057,141793,0
20050615,5.6374,5.7138,5.6374,5.6648,241170,0
20050616,5.683,5.7867,5.6697,5.7595,325093,0
20050617,5.7595,5.7909,5.75,5.7867,394004,0
20050620,5.782,5.782,5.6874,5.75,170497,0
20050621,5.7458,5.7458,5.6874,5.7002,202305,0
20050622,5.7046,5.7046,5.5693,5.6418,267229,0
20050623,5.6602,5.7909,5.6464,5.7274,357342,0
20050624,5.718,5.7867,5.6874,5.75,147087,0
20050627,5.75,5.8133,5.6874,5.782,247799,0
20050628,5.782,5.8636,5.7549,5.8547,232342,0
20050629,5.8824,5.8824,5.7458,5.8547,416531,0
20050630,5.8866,6.0083,5.8824,5.9673,365740,0
20050701,5.9407,6.0991,5.936,6.0672,221297,0
20050705,6.0672,6.1672,6.0672,6.1533,951439,0
20050706,6.2762,6.4658,6.2762,6.3073,595419,0
20050707,6.3073,6.4071,6.2347,6.4071,271209,0
20050708,6.4071,6.5201,6.3934,6.4343,233220,0
20050711,6.4707,6.5201,6.4205,6.4252,272534,0
20050712,6.4658,6.6107,6.4658,6.6107,321120,0
20050713,6.8189,6.9507,6.6383,6.7285,1514180,0
20050714,6.6839,6.7059,6.5742,6.6289,1039782,0
20050715,6.5603,6.5789,6.4748,6.4982,492946,0
20050718,6.4982,6.5603,6.4252,6.5111,489416,0
20050719,6.533,6.6879,6.5111,6.6607,480134,0
20050720,6.6335,6.6975,6.6289,6.6928,323333,0
20050721,6.7326,6.7375,6.6149,6.6607,314945,0
20050722,6.6516,6.6975,6.5876,6.6928,208487,0
20050725,6.7059,6.7059,6.5876,6.647,361757,0
20050726,6.647,6.6559,6.6015,6.6424,200538,0
20050727,6.4842,6.5603,6.3703,6.4525,1150657,0
20050728,6.3841,6.4982,6.3841,6.444,692598,0
20050729,6.4343,6.6424,6.4252,6.6424,342322,0
20050801,6.6197,6.8965,6.6107,6.8918,511057,0
20050802,6.8054,6.887,6.6928,6.8326,595419,0
20050803,6.6745,7.2305,6.647,7.1722,1417442,0
20050804,7.2086,7.4164,7.1635,7.4164,1117964,0
20050805,7.2899,7.3121,7.2578,7.3033,697898,0
20050808,7.3258,7.4799,7.3258,7.4349,678462,0
20050809,7.5615,7.6292,7.3489,7.3672,414764,0
20050810,7.3852,7.4578,7.3305,7.4214,518566,0
20050811,7.4164,7.5384,7.4164,7.516,829971,0
20050812,7.516,7.6934,7.516,7.6752,593215,0
20050815,7.6799,7.7785,7.6073,7.6661,605139,0
20050816,7.6524,7.6524,7.5345,7.6025,575111,0
20050817,7.5568,7.6565,7.4932,7.5345,275630,0
20050818,7.5345,7.5384,7.4033,7.4131,401072,0
20050819,7.4033,7.516,7.4033,7.5022,230128,0
20050822,7.5479,7.584,7.3672,7.4301,342774,0
20050823,7.4349,7.4751,7.3986,7.4301,647984,0
20050824,7.4349,7.4799,7.4349,7.4708,465114,0
20050825,7.4751,7.4932,7.4214,7.4485,189051,0
20050826,7.4485,7.4891,7.3986,7.4349,339231,0
