Date,Open,High,Low,Close,Volume,OpenInt
20100824,6.3294,6.3294,6.3294,6.3294,1473,0
20100825,6.3518,6.3518,6.3518,6.3518,400,0
20100827,6.4789,6.5011,6.4789,6.5011,1473,0
20100831,6.5983,6.5983,6.576,6.576,2964,0
20100901,6.5386,6.6059,6.5386,6.6059,7628,0
20100908,6.6059,6.7927,6.6059,6.7255,4529,0
20100909,6.7927,6.7927,6.7927,6.7927,668,0
20100910,6.7927,6.7927,6.7851,6.7851,4818,0
20100913,6.7927,6.7927,6.7927,6.7927,1738,0
20100914,6.8151,6.9347,6.8151,6.8747,1606,0
20100915,6.9421,6.9421,6.9421,6.9421,803,0
20100916,6.8747,6.9122,6.8001,6.8151,3882,0
20100920,6.7628,6.8078,6.7329,6.8078,936,0
20100921,6.8078,6.8078,6.7628,6.7628,9099,0
20100923,6.8449,6.8449,6.7255,6.7255,2677,0
20100927,6.7404,6.8001,6.7329,6.8001,3547,0
20100928,6.7927,6.8001,6.5462,6.7851,8764,0
20100929,6.6732,6.7404,6.6507,6.703,2677,0
20100930,6.7554,6.7927,6.7554,6.7927,535,0
20101001,6.7777,6.7851,6.7479,6.7851,2140,0
20101004,6.7927,6.8001,6.7851,6.7851,2677,0
20101005,6.8001,6.8001,6.7702,6.7851,2809,0
20101006,6.8001,6.8001,6.8001,6.8001,3342,0
20101008,6.7927,6.8001,6.7927,6.8001,1339,0
20101011,6.7554,6.8001,6.7479,6.7628,31046,0
20101012,6.7851,6.7851,6.7329,6.7329,3342,0
20101013,6.7851,6.8001,6.7255,6.7255,5031,0
20101014,6.7851,6.8001,6.7479,6.7479,4424,0
20101015,6.8001,6.8001,6.8001,6.8001,936,0
20101018,6.9347,6.9421,6.9271,6.9347,1339,0
20101019,6.8001,6.8747,6.7927,6.8001,3077,0
20101020,6.9195,6.9195,6.7554,6.7554,1882,0
20101022,6.7702,6.7702,6.7702,6.7702,400,0
20101025,6.7927,6.9347,6.7927,6.9347,13782,0
20101026,6.8747,6.9421,6.6732,6.9421,7895,0
20101028,6.9195,6.9195,6.9195,6.9195,269,0
20101101,6.8151,6.8151,6.8151,6.8151,668,0
20101102,6.8151,6.8151,6.8001,6.8001,2408,0
20101103,6.8747,6.8747,6.8747,6.8747,133,0
20101104,6.8001,6.8001,6.8001,6.8001,1473,0
20101105,6.8376,6.9122,6.8376,6.8747,3813,0
20101108,6.8078,6.8078,6.8001,6.8001,668,0
20101110,6.7702,6.8078,6.7702,6.7702,1202,0
20101111,6.8674,6.8972,6.8674,6.8674,1738,0
20101112,6.8747,6.8747,6.8747,6.8747,702,0
20101115,6.9047,6.9047,6.9047,6.9047,1339,0
20101116,6.9047,6.9047,6.9047,6.9047,668,0
20101117,6.7777,6.8674,6.7702,6.83,5622,0
20101118,6.8001,6.8376,6.7702,6.83,3882,0
20101119,6.8674,6.8674,6.8674,6.8674,1070,0
20101122,6.8674,6.8747,6.8674,6.8747,269,0
20101123,6.9047,6.9047,6.7777,6.7777,3934,0
20101124,6.8376,6.8376,6.8376,6.8376,1339,0
20101129,6.7777,6.83,6.7777,6.8151,3342,0
20101130,6.8226,6.8747,6.8226,6.8747,7760,0
20101201,6.9047,6.9421,6.9047,6.9122,5191,0
20101203,6.8449,6.9047,6.8376,6.9047,6661,0
20101206,6.9122,6.9122,6.8376,6.8376,5031,0
20101207,6.8376,6.8376,6.7927,6.7927,3077,0
20101209,6.8001,6.8747,6.8001,6.8747,2522,0
20101210,6.6134,6.6134,6.5536,6.5835,5218,0
20101213,6.576,6.576,6.5462,6.5462,3212,0
20101214,6.576,6.576,6.576,6.576,20781,0
20101215,6.6805,6.7255,6.6805,6.7255,7517,0
20101216,6.7179,6.7179,6.7105,6.7105,2677,0
20101220,6.7105,6.7105,6.576,6.576,1738,0
20101223,6.576,6.5835,6.576,6.576,16948,0
20101227,6.576,6.576,6.576,6.576,333,0
