Date,Open,High,Low,Close,Volume,OpenInt
20050225,29.298,29.298,27.988,28.148,91145,0
20050228,28.246,29.02,28.148,28.882,207500,0
20050301,28.862,29.12,28.664,29.1,245815,0
20050302,29.1,29.834,28.902,29.636,292500,0
20050303,30.37,31.006,30.132,31.006,798850,0
20050304,31.006,31.006,30.31,30.608,182695,0
20050307,31.104,31.204,29.536,29.974,483260,0
20050308,29.874,30.014,28.208,29.02,505040,0
20050309,28.942,29.814,28.346,29.814,436480,0
20050310,29.716,29.716,28.644,29.318,384050,0
20050311,29.716,29.774,28.902,29.08,460980,0
20050314,28.544,29.874,28.544,29.516,345535,0
20050315,29.716,29.914,29.22,29.22,372955,0
20050316,29.338,29.338,27.552,28.028,514415,0
20050317,28.028,28.028,27.394,28.028,478825,0
20050318,28.128,28.882,27.97,28.604,106270,0
20050321,28.624,28.624,27.394,27.572,164450,0
20050322,27.672,27.75,26.92,27.236,303590,0
20050323,26.264,26.264,25.192,25.53,387475,0
20050324,25.768,27.354,25.768,26.026,189855,0
20050328,26.026,26.026,25.054,25.412,167475,0
20050329,25.768,25.966,25.43,25.43,112725,0
20050330,25.768,26.622,25.768,26.204,96695,0
20050331,26.166,26.304,24.102,24.816,229985,0
20050401,25.768,25.768,24.598,24.796,239060,0
20050404,24.796,24.796,24.458,24.538,344725,0
20050405,24.4,25.014,24.042,24.102,332625,0
20050406,24.102,24.876,24.102,24.458,265980,0
20050407,24.38,25.212,24.38,25.134,101735,0
20050408,26.562,27.492,26.304,26.424,409860,0
20050411,26.166,26.662,25.708,25.808,111210,0
20050412,25.57,27.692,25.57,27.692,272635,0
20050413,27.79,28.942,27.79,28.942,481045,0
20050414,28.782,28.842,27.492,27.632,323655,0
20050415,27.632,27.632,27.098,27.158,65335,0
20050418,27.274,27.95,26.662,27.73,202055,0
20050419,28.148,28.346,26.682,26.74,118675,0
20050420,26.82,26.9,25.848,25.848,87115,0
20050421,25.768,27.098,25.768,26.998,74610,0
20050422,27.254,27.254,26.662,26.82,108690,0
20050425,26.76,26.958,26.7,26.958,123110,0
20050426,26.84,27.236,25.828,26.166,143575,0
20050427,26.166,28.704,25.966,27.532,514015,0
20050428,28.148,28.882,27.988,28.486,2969440,0
20050429,28.544,28.544,27.178,28.008,798040,0
20050502,28.028,28.902,28.028,28.782,284735,0
20050503,28.782,29.696,28.782,29.596,483060,0
20050504,29.716,30.272,29.616,30.112,320425,0
20050505,30.112,30.272,29.656,29.756,217585,0
20050506,29.874,31.104,29.556,31.026,202965,0
20050509,31.026,31.6,30.866,31.482,179675,0
20050510,31.74,31.74,30.37,30.886,222625,0
20050511,31.104,31.7,31.104,31.502,199840,0
20050512,31.6,32.294,31.6,31.838,183805,0
20050513,32.274,32.274,31.144,31.204,87720,0
20050516,31.382,31.422,30.152,31.064,193990,0
20050517,31.064,31.204,30.31,30.786,129560,0
20050518,30.886,31.998,30.688,31.006,287860,0
20050519,31.104,31.402,30.51,30.608,157995,0
20050520,30.846,30.846,29.616,29.874,214460,0
20050523,30.252,30.252,29.556,29.636,156180,0
20050524,29.656,30.072,29.616,29.974,87015,0
20050525,29.974,29.974,29.318,29.418,94070,0
20050526,29.516,29.994,29.516,29.914,66140,0
20050527,30.37,31.342,30.112,30.53,127445,0
20050531,30.37,32.828,30.37,32.69,785840,0
20050601,32.73,34.06,31.244,31.462,772430,0
20050602,31.542,31.542,29.14,30.608,799655,0
20050603,30.748,30.748,29.438,29.934,353295,0
20050606,29.616,30.112,29.12,29.954,258015,0
20050607,28.644,29.318,27.652,28.246,660310,0
20050608,28.386,28.862,28.188,28.246,193990,0
20050609,28.386,28.504,27.75,28.246,97800,0
20050610,28.346,28.862,28.148,28.564,179070,0
20050613,28.564,28.644,28.286,28.446,111110,0
20050614,28.446,28.942,27.988,28.902,514515,0
20050615,29.12,29.14,28.762,29.04,244910,0
20050616,29.24,30.608,29.24,30.232,360455,0
20050617,30.35,30.53,29.974,29.974,192980,0
20050620,29.894,29.934,29.498,29.874,128250,0
20050621,29.874,30.37,29.358,29.616,104555,0
20050622,29.676,30.212,29.636,29.974,169590,0
20050623,29.974,30.47,29.12,29.478,225245,0
20050624,29.318,29.378,28.802,29.02,79655,0
20050627,28.842,28.942,27.89,28.762,385965,0
20050628,28.862,29.696,28.802,29.12,487700,0
20050629,29.16,29.716,29.16,29.378,124520,0
20050630,29.478,30.052,29.258,29.676,105970,0
20050701,29.756,30.052,29.478,29.516,43660,0
20050705,29.536,29.716,28.742,28.762,109600,0
20050706,28.742,29.22,28.724,28.782,247730,0
20050707,28.724,28.724,27.572,27.77,538615,0
20050708,28.148,28.584,27.988,28.228,258315,0
20050711,28.246,28.564,28.048,28.228,154065,0
20050712,28.148,29.378,28.148,28.742,195905,0
20050713,28.762,29.556,28.742,29.556,105365,0
20050714,29.556,30.014,29.516,29.914,215065,0
20050715,29.814,29.814,29.02,29.08,324460,0
20050718,29.02,29.2,28.644,29.18,258315,0
20050719,29.278,29.478,28.922,29.478,173925,0
20050720,29.02,29.994,29.02,29.934,124115,0
20050721,29.974,30.052,29.616,29.696,159910,0
20050722,29.794,29.814,28.664,28.942,84895,0
20050725,29.1,29.1,27.81,28.286,102540,0
20050726,28.306,28.306,27.712,27.95,107785,0
20050727,27.85,28.962,27.672,28.644,154265,0
20050728,29.1,30.648,29.08,29.398,234320,0
20050729,29.616,29.914,29.318,29.318,98005,0
20050801,29.12,30.45,28.862,30.112,122305,0
20050802,30.51,32.196,30.37,31.542,344525,0
20050803,33.086,33.326,32.274,32.868,345835,0
20050804,32.61,33.206,32.512,33.086,198325,0
20050805,33.564,34.258,33.404,34.02,166465,0
20050808,34.158,34.198,33.564,33.762,132485,0
20050809,34.06,34.06,33.146,33.682,126740,0
20050810,34.258,34.456,33.564,33.842,297135,0
20050811,33.96,35.052,33.762,34.178,491830,0
20050812,33.762,34.02,33.186,34.02,329500,0
20050815,34.258,34.338,33.802,34.258,80360,0
20050816,34.158,35.268,34.158,34.456,248640,0
20050817,34.456,36.062,34.376,35.546,250350,0
20050818,35.546,35.546,34.536,34.556,193790,0
20050819,34.318,34.814,33.584,34.1,172415,0
20050822,34.318,35.268,34.318,34.774,61200,0
20050823,34.576,35.13,33.126,33.524,93365,0
20050824,33.086,33.086,31.858,32.196,314375,0
20050825,32.254,33.166,32.234,33.086,91450,0
20050826,33.086,33.384,32.392,32.572,119780,0
20050829,32.59,32.71,32.096,32.392,82275,0
20050830,32.63,33.126,32.412,32.59,163340,0
20050831,32.65,33.444,32.59,33.286,219700,0
20050901,33.424,33.424,31.74,31.74,226255,0
20050902,31.74,32.472,31.74,32.294,242085,0
20050906,32.432,32.492,31.502,31.502,518855,0
20050907,31.542,31.542,29.934,30.112,518450,0
20050908,30.152,30.51,29.874,30.43,654765,0
20050909,30.568,30.648,29.874,30.648,565635,0
20050912,30.708,30.728,30.252,30.588,284935,0
20050913,30.608,30.608,30.052,30.172,214155,0
20050914,30.172,31.164,30.112,30.47,397255,0
20050915,30.628,31.302,30.628,31.284,433955,0
20050916,31.66,33.186,31.482,32.888,562410,0
20050919,34.258,34.416,31.958,32.096,648415,0
20050920,32.136,32.65,31.74,31.858,198930,0
20050921,31.74,32.492,31.124,31.302,532565,0
20050922,31.322,31.402,29.974,30.37,493950,0
20050923,30.51,32.096,30.51,31.858,176950,0
20050926,32.432,32.73,31.858,32.274,262450,0
20050927,32.214,32.214,31.284,31.62,88730,0
20050928,31.858,32.69,31.322,32.352,226660,0
20050929,32.828,32.888,31.838,31.878,178260,0
20050930,31.818,32.332,31.76,32.038,201955,0
20051003,31.998,32.63,31.6,31.62,173825,0
20051004,31.998,32.492,30.608,31.342,286550,0
20051005,30.926,30.946,27.89,30.826,479530,0
20051006,30.668,31.6,30.192,30.608,390500,0
20051007,30.608,31.918,30.608,31.502,195705,0
20051010,31.362,31.68,31.006,31.362,137830,0
20051011,31.442,32.868,31.442,32.868,309135,0
20051012,32.868,32.888,32.176,32.888,266180,0
20051013,32.076,32.948,31.938,32.888,179170,0
20051014,33.126,34.754,33.126,34.258,733615,0
20051017,34.158,34.794,33.822,34.08,429115,0
20051018,34.06,34.576,34.06,34.08,232000,0
20051019,34.06,34.08,31.938,33.622,416415,0
20051020,33.524,34.238,33.126,33.424,214760,0
20051021,33.822,34.952,33.742,34.158,369225,0
20051024,34.278,34.952,34.178,34.774,209920,0
20051025,34.714,35.052,33.584,33.842,225650,0
20051026,33.92,34.754,33.384,33.782,174530,0
20051027,33.622,33.622,32.492,32.492,82780,0
