Date,Open,High,Low,Close,Volume,OpenInt
20071206,13.795,13.795,13.795,13.795,0,0
20071207,14.08,15.127,14.061,14.413,2674760,0
20071210,14.508,15.174,14.252,15.098,236184,0
20071211,16.269,16.868,16.173,16.563,1263855,0
20071212,17.696,17.838,16.896,17.201,481025,0
20071213,17.591,17.6,17.363,17.505,231875,0
20071214,17.6,18.076,17.125,17.6,215372,0
20071217,17.629,17.838,17.125,17.458,215793,0
20071218,17.829,18.542,17.496,18.219,306504,0
20071219,18.552,18.552,18.124,18.19,204546,0
20071220,18.523,18.533,18.048,18.105,180370,0
20071221,18.105,18.504,18.076,18.171,186448,0
20071224,18.4,19.893,18.371,19.789,149153,0
20071226,20.169,20.169,18.989,19.161,240021,0
20071227,19.503,19.646,19.028,19.265,170533,0
20071228,19.427,19.484,19.218,19.341,174540,0
20071231,19.351,19.36,19.028,19.227,135345,0
20080102,19.256,19.399,18.98,19.028,190601,0
20080103,18.656,19.075,18.314,18.542,159552,0
20080104,18.124,18.238,17.125,17.924,203900,0
20080107,17.296,17.876,17.296,17.648,116126,0
20080108,17.696,18.723,17.696,18.057,180047,0
20080109,17.914,17.924,17.467,17.791,102746,0
20080110,17.42,17.829,17.42,17.705,61858,0
20080111,18.114,18.114,17.439,17.648,43306,0
20080114,17.696,17.791,17.6,17.6,59598,0
20080115,17.505,18.285,17.153,18.057,371172,0
20080116,17.61,19.018,17.61,18.79,578920,0
20080117,19.246,19.246,17.971,18.266,78097,0
20080118,19.018,19.018,17.125,18.228,163743,0
20080122,16.63,18.304,16.63,17.753,184733,0
20080123,17.924,18.171,17.172,18.076,72856,0
20080124,18.637,18.647,18.067,18.637,37420,0
20080125,18.457,18.98,18.076,18.542,63172,0
20080128,18.076,18.533,17.943,18.409,48351,0
20080129,18.409,18.409,17.981,18.266,48141,0
20080130,18.067,18.323,17.791,18.181,46249,0
20080131,18.086,18.181,17.857,18.086,38471,0
20080201,18.266,18.628,17.981,18.343,51399,0
20080204,17.857,18.39,17.857,18.276,43999,0
20080205,18.038,18.247,17.981,18.171,31113,0
20080206,18.247,18.656,18.086,18.171,44357,0
20080207,17.753,18.114,17.658,18.076,106267,0
20080208,18.076,18.266,17.81,18.057,130127,0
20080211,19.142,19.142,18.552,18.761,332067,0
20080212,18.656,19.123,18.656,19.075,209381,0
20080213,19.884,19.884,18.989,19.028,165340,0
20080214,19.028,19.437,18.752,19.418,70214,0
20080215,19.579,19.674,19.503,19.646,31428,0
20080219,19.646,19.846,19.513,19.789,65326,0
20080220,19.836,19.836,19.57,19.646,40783,0
20080221,19.551,19.722,19.475,19.503,31638,0
20080222,19.513,19.732,19.456,19.503,54763,0
20080225,19.969,19.969,19.408,19.665,39417,0
20080226,19.57,19.589,18.809,19.123,49431,0
20080227,19.047,19.684,19.047,19.589,21968,0
20080228,19.408,19.674,19.313,19.636,26593,0
20080229,19.598,19.598,19.123,19.218,26593,0
20080303,19.218,20.445,19.218,20.255,223135,0
20080304,21.092,21.168,19.836,20.15,621889,0
20080305,20.15,20.15,19.047,19.874,67797,0
20080306,19.789,19.931,19.636,19.636,21758,0
20080307,19.693,19.741,19.104,19.313,31922,0
20080310,19.028,19.142,18.885,19.075,126554,0
20080311,18.79,18.79,17.191,17.838,495041,0
20080312,17.743,17.791,16.012,17.696,433970,0
20080313,17.6,18.314,17.125,18.266,180958,0
20080314,18.181,18.209,17.572,17.648,64643,0
20080317,17.125,17.458,16.183,17.03,106477,0
20080318,17.049,17.363,16.725,17.125,127605,0
20080319,17.077,17.838,17.077,17.515,97569,0
20080320,17.458,17.458,16.516,16.982,354960,0
20080324,16.982,18.162,16.934,17.962,364319,0
20080325,17.829,18.609,17.6,17.914,248693,0
20080326,17.819,18.533,17.677,18.476,34580,0
20080327,18.476,18.571,17.905,18.048,37630,0
20080328,17.981,17.981,16.763,17.277,162607,0
20080331,17.572,17.572,16.23,16.792,1388411,0
20080401,17.125,17.125,16.402,16.573,354033,0
20080402,16.64,16.992,16.601,16.792,286273,0
20080403,16.792,16.811,16.411,16.421,201063,0
20080404,16.478,16.934,16.478,16.887,142741,0
20080407,16.858,16.982,16.497,16.554,66745,0
20080408,16.649,17.895,16.563,17.248,243127,0
20080409,17.172,17.458,17.049,17.201,103219,0
20080410,17.22,17.543,17.182,17.334,101012,0
20080411,17.315,18.124,17.03,17.087,214111,0
20080414,17.163,17.581,16.582,17.401,170886,0
20080415,17.325,17.743,16.592,17.106,169053,0
20080416,17.239,17.867,17.201,17.306,125422,0
20080417,17.191,17.515,16.982,17.363,95945,0
20080418,17.648,17.743,17.458,17.505,69300,0
20080421,17.334,17.914,17.334,17.724,123193,0
20080422,17.505,18.4,17.296,18.276,177593,0
20080423,18.314,18.314,17.6,17.715,73998,0
20080424,17.743,17.981,17.191,17.981,61395,0
20080425,18.019,18.266,17.876,18.257,83890,0
20080428,18.076,18.076,17.791,17.895,147756,0
20080429,17.895,17.933,17.21,17.667,96894,0
20080430,17.743,17.886,17.315,17.353,159254,0
20080501,17.286,17.534,17.153,17.363,151943,0
20080502,17.496,17.505,17.134,17.391,76919,0
20080505,17.439,17.439,17.011,17.011,302208,0
20080506,16.982,17.049,15.84,16.449,384258,0
20080507,16.544,16.563,16.173,16.478,308960,0
20080508,16.449,16.934,16.259,16.934,201442,0
20080509,16.792,17.258,16.697,17.191,129488,0
20080512,17.325,17.325,16.468,16.992,80399,0
20080513,16.887,16.934,16.582,16.83,81980,0
20080514,16.668,17.696,16.668,17.658,186917,0
20080515,17.553,17.658,17.524,17.658,53086,0
20080516,17.743,17.743,17.125,17.6,70765,0
20080519,17.325,17.534,17.125,17.144,112173,0
20080520,16.963,17.505,16.887,17.496,71981,0
20080521,17.505,17.971,17.296,17.296,61050,0
20080522,17.439,17.724,17.153,17.696,111891,0
20080523,17.696,18.076,17.515,17.648,147920,0
20080527,17.648,18.076,17.648,18.057,77780,0
20080528,18.048,18.076,17.857,18.029,22794,0
20080529,18.029,18.314,17.886,18.276,204952,0
20080530,18.314,18.542,18,18,285664,0
20080602,17.981,18.067,17.001,17.734,180586,0
20080603,17.819,18.076,17.6,17.943,354374,0
20080604,17.781,18.656,17.753,18.485,144296,0
20080605,18.457,18.97,18.457,18.837,150136,0
20080606,18.647,18.875,18.266,18.618,91119,0
20080609,18.542,18.78,18.2,18.533,123482,0
20080610,18.247,18.875,18.2,18.809,56552,0
20080611,18.675,18.675,17.848,17.848,57336,0
20080612,17.981,18.171,17.8,17.895,52859,0
20080613,17.933,18.266,17.715,18.209,62637,0
20080616,18.067,18.114,17.734,17.991,80242,0
20080617,17.981,17.981,17.6,17.772,46972,0
20080618,17.61,17.658,17.191,17.229,80342,0
20080619,16.906,17.22,15.878,16.421,503035,0
20080620,16.345,17.02,16.04,16.801,157867,0
20080623,16.839,16.839,16.05,16.354,80339,0
20080624,16.335,16.335,15.859,16.078,93877,0
20080625,16.021,16.307,15.964,16.173,87008,0
20080626,15.888,16.202,15.859,16.069,111955,0
20080627,16.088,16.468,15.545,16.468,615959,0
20080630,16.525,17.163,15.555,15.555,206885,0
20080701,15.422,16.202,15.422,15.945,130868,0
20080702,15.897,16.582,15.897,16.154,104691,0
20080703,16.078,16.383,15.878,16.031,30597,0
20080707,16.031,16.116,15.488,15.755,125135,0
20080708,15.66,15.955,15.393,15.869,127433,0
20080709,15.717,15.85,15.507,15.641,83576,0
20080710,15.593,15.955,15.517,15.869,78564,0
20080711,15.555,15.888,15.355,15.783,152382,0
20080714,15.936,15.936,15.46,15.631,149740,0
20080715,15.403,15.85,15.032,15.403,108197,0
20080716,15.431,15.831,15.174,15.688,104690,0
20080717,15.964,15.964,15.06,15.802,46906,0
20080718,15.793,15.793,15.203,15.507,45776,0
20080721,15.507,16.059,15.507,15.936,51143,0
20080722,15.917,16.877,15.85,16.64,133780,0
20080723,16.64,17.201,16.554,16.621,139341,0
20080724,16.63,16.63,15.298,15.441,297934,0
20080725,15.603,15.688,14.68,14.889,258967,0
20080728,14.775,15.212,14.527,15.108,218965,0
20080729,15.26,16.164,15.203,15.983,78688,0
20080730,16.154,16.402,15.26,15.688,56909,0
20080731,15.46,15.774,14.927,15.098,65610,0
20080801,15.098,15.355,14.746,15.117,89629,0
20080804,15.079,15.146,14.661,15.136,116599,0
20080805,15.155,16.154,14.746,16.116,209628,0
20080806,15.974,16.135,15.193,16.002,97237,0
20080807,15.955,16.107,15.545,15.764,83447,0
20080808,15.717,16.497,15.631,16.05,131168,0
