Date,Open,High,Low,Close,Volume,OpenInt
20171101,47.645,47.645,47.635,47.635,12589,0
20171102,47.641,47.641,47.641,47.641,100,0
20171103,47.617,47.617,47.579,47.589,11543,0
20171106,47.627,47.627,47.627,47.627,154,0
20171107,47.627,47.627,47.627,47.627,0,0
20171108,47.627,47.627,47.627,47.627,421,0
20171109,47.561,47.561,47.522,47.522,945,0
20171110,47.503,47.503,47.503,47.503,271,0
20171113,47.371,47.371,47.371,47.371,3878,0
20171114,47.463,47.463,47.434,47.434,421,0
20171115,47.444,47.478,47.444,47.444,626,0
20171116,47.417,47.417,47.417,47.417,157,0
20171117,47.417,47.417,47.417,47.417,930,0
20171120,47.417,47.417,47.417,47.417,0,0
20171121,47.483,47.483,47.483,47.483,206,0
20171122,47.483,47.541,47.483,47.541,626,0
20171124,47.541,47.541,47.541,47.541,0,0
20171127,47.541,47.541,47.541,47.541,0,0
20171128,47.561,47.561,47.561,47.561,2465,0
20171129,47.473,47.473,47.448,47.473,2104,0
20171130,47.473,47.473,47.473,47.473,2214,0
20171201,47.408,47.463,47.408,47.426,18989,0
20171204,47.426,47.426,47.426,47.426,0,0
20171205,47.503,47.532,47.493,47.532,1000,0
20171206,47.532,47.532,47.532,47.532,0,0
20171207,47.513,47.522,47.463,47.493,20790,0
20171208,47.398,47.398,47.398,47.398,206,0
20171211,47.483,47.483,47.444,47.444,1929,0
20171212,47.444,47.444,47.444,47.444,0,0
20171213,47.444,47.444,47.444,47.444,0,0
20171214,47.444,47.444,47.444,47.444,1256,0
20171215,47.444,47.444,47.444,47.444,1261,0
20171220,47.327,47.327,47.327,47.327,265,0
20171221,47.327,47.327,47.327,47.327,267,0
20171226,47.327,47.327,47.327,47.327,208,0
20171227,47.448,47.507,47.448,47.507,2205,0
20171228,47.583,47.583,47.521,47.583,1568,0
20171229,47.555,47.555,47.555,47.555,100,0
20180102,47.467,47.467,47.467,47.467,276,0
20180103,47.42,47.42,47.42,47.42,101,0
20180104,47.42,47.42,47.42,47.42,105,0
20180105,47.42,47.42,47.42,47.42,114,0
20180108,47.42,47.42,47.42,47.42,121,0
20180109,47.438,47.438,47.384,47.384,790,0
20180110,47.374,47.374,47.374,47.374,156,0
20180112,47.42,47.42,47.42,47.42,1264,0
20180116,47.402,47.402,47.402,47.402,202,0
20180117,47.356,47.356,47.356,47.356,324,0
20180118,47.293,47.317,47.259,47.259,6539,0
20180119,47.239,47.239,47.219,47.219,521,0
20180122,47.2,47.2,47.2,47.2,265,0
20180124,47.2,47.2,47.2,47.2,1256,0
20180125,47.065,47.065,47.065,47.065,96,0
20180126,47.229,47.229,47.229,47.229,265,0
20180129,47.142,47.142,47.142,47.142,2093,0
20180130,47.112,47.112,47.112,47.112,277,0
20180131,47.152,47.152,47.088,47.088,738,0
20180201,47.152,47.152,47.092,47.092,451,0
20180202,47.056,47.056,46.971,46.971,417,0
20180205,47.046,47.046,47.046,47.046,257,0
20180206,47.122,47.122,47.122,47.122,209,0
20180207,47.092,47.092,47.018,47.018,975,0
20180208,46.936,46.936,46.936,46.936,367,0
20180209,46.936,46.936,46.936,46.936,40,0
20180214,46.936,46.936,46.936,46.936,80,0
20180215,46.936,46.936,46.936,46.936,1,0
20180216,46.742,46.742,46.742,46.742,1,0
20180221,46.742,46.742,46.742,46.742,79,0
20180223,46.818,46.818,46.818,46.818,1362,0
20180226,46.818,46.818,46.818,46.818,5,0
20180227,46.713,46.713,46.713,46.713,100,0
20180228,46.713,46.713,46.713,46.713,1,0
20180301,46.713,46.713,46.713,46.713,1,0
20180302,46.713,46.713,46.713,46.713,1,0
20180305,46.713,46.713,46.713,46.713,1,0
20180306,46.713,46.713,46.713,46.713,1,0
20180307,46.713,46.713,46.713,46.713,6,0
20180308,46.713,46.713,46.713,46.713,3,0
20180309,46.634,46.634,46.634,46.634,114,0
20180312,46.634,46.634,46.634,46.634,1,0
20180313,46.634,46.634,46.634,46.634,1,0
20180314,46.703,46.703,46.703,46.703,23,0
20180315,46.685,46.685,46.655,46.655,276,0
20180316,46.645,46.645,46.645,46.645,4054,0
20180319,46.645,46.645,46.645,46.645,19,0
20180320,46.645,46.645,46.645,46.645,1,0
20180321,46.549,46.549,46.549,46.549,1,0
20180322,46.626,46.626,46.626,46.626,1366,0
20180323,46.626,46.626,46.626,46.626,77,0
20180326,46.626,46.626,46.626,46.626,1,0
20180327,46.626,46.626,46.626,46.626,1,0
20180328,46.626,46.626,46.626,46.626,1,0
20180329,46.791,46.791,46.791,46.791,55,0
20180402,46.791,46.791,46.791,46.791,1,0
20180403,46.783,46.783,46.773,46.773,11334,0
20180404,46.635,46.635,46.626,46.626,8602,0
20180405,46.645,46.645,46.645,46.645,3854,0
20180406,46.645,46.645,46.645,46.645,1,0
20180409,46.81,46.81,46.81,46.81,123,0
20180411,46.783,46.783,46.783,46.783,9175,0
20180412,46.763,46.763,46.763,46.763,5629,0
20180413,46.763,46.763,46.763,46.763,1,0
20180416,46.856,46.856,46.856,46.856,4368,0
20180417,46.856,46.856,46.856,46.856,1,0
20180418,46.711,46.711,46.711,46.711,4173,0
20180419,46.711,46.711,46.711,46.711,1,0
20180420,46.593,46.593,46.593,46.593,3614,0
20180423,46.593,46.593,46.593,46.593,44,0
20180424,46.593,46.593,46.593,46.593,3,0
20180425,46.478,46.478,46.478,46.478,5307,0
20180426,46.525,46.573,46.525,46.573,4148,0
20180427,46.369,46.442,46.369,46.442,218,0
20180430,46.545,46.583,46.545,46.583,4789,0
20180501,46.535,46.535,46.535,46.535,3853,0
20180502,46.535,46.535,46.535,46.535,9,0
20180503,46.535,46.535,46.535,46.535,1,0
20180504,46.535,46.535,46.535,46.535,1,0
20180507,46.535,46.535,46.535,46.535,5,0
20180508,46.535,46.535,46.535,46.535,9,0
20180509,46.535,46.535,46.535,46.535,1,0
20180510,46.535,46.535,46.535,46.535,1,0
20180511,46.535,46.535,46.535,46.535,1,0
20180514,46.535,46.535,46.535,46.535,1,0
20180515,46.504,46.504,46.504,46.504,6,0
20180516,46.401,46.429,46.264,46.264,11111,0
20180517,46.458,46.458,46.458,46.458,9,0
20180518,46.458,46.458,46.458,46.458,1,0
20180521,46.458,46.458,46.458,46.458,1,0
20180522,46.458,46.458,46.458,46.458,1,0
20180523,46.532,46.532,46.532,46.532,83,0
20180524,46.514,46.514,46.514,46.514,9762,0
20180525,46.514,46.514,46.514,46.514,1,0
20180529,46.514,46.514,46.514,46.514,1,0
20180530,46.514,46.514,46.514,46.514,1,0
20180531,46.514,46.514,46.514,46.514,11,0
20180601,46.514,46.514,46.514,46.514,1,0
20180604,46.514,46.514,46.514,46.514,15,0
20180605,46.658,46.658,46.658,46.658,7279,0
20180606,46.658,46.658,46.658,46.658,1,0
20180607,46.59,46.59,46.59,46.59,20,0
20180608,46.599,46.599,46.224,46.532,25338,0
20180611,46.532,46.532,46.532,46.532,1,0
20180612,46.467,46.532,46.467,46.532,14640,0
20180613,46.532,46.588,46.429,46.429,11508,0
20180614,46.429,46.429,46.429,46.429,1,0
20180615,46.331,46.331,46.331,46.331,1,0
20180618,46.467,46.484,46.467,46.484,10700,0
20180619,46.58,46.58,46.58,46.58,9,0
20180620,46.58,46.58,46.58,46.58,1,0
20180621,46.458,46.458,46.458,46.458,14,0
20180622,46.458,46.458,46.458,46.458,3,0
20180625,46.57,46.57,46.514,46.514,36660,0
20180626,46.458,46.458,46.458,46.458,1,0
20180627,46.638,46.638,46.638,46.638,26482,0
20180628,46.638,46.638,46.638,46.638,1,0
20180629,46.609,46.609,46.609,46.609,28348,0
20180702,46.609,46.609,46.609,46.609,1,0
20180703,46.609,46.609,46.609,46.609,1,0
20180705,46.609,46.609,46.609,46.609,15,0
20180706,46.708,46.708,46.708,46.708,133,0
20180709,46.629,46.638,46.629,46.638,4750,0
20180710,46.638,46.638,46.638,46.638,35,0
20180711,46.638,46.638,46.638,46.638,1,0
20180712,46.638,46.638,46.638,46.638,1,0
20180713,46.638,46.638,46.638,46.638,1,0
20180716,46.558,46.558,46.558,46.558,6,0
20180717,46.558,46.558,46.558,46.558,1,0
20180718,46.718,46.718,46.718,46.718,8,0
20180719,46.718,46.718,46.718,46.718,1,0
20180720,46.638,46.638,46.638,46.638,1,0
20180723,46.638,46.638,46.638,46.638,1,0
20180724,46.638,46.638,46.638,46.638,3,0
20180725,46.638,46.638,46.638,46.638,1,0
20180726,46.638,46.638,46.638,46.638,1,0
20180727,46.638,46.638,46.638,46.638,1,0
20180730,46.638,46.638,46.638,46.638,1,0
20180731,46.629,46.629,46.629,46.629,25,0
20180801,46.629,46.629,46.629,46.629,1,0
20180802,46.629,46.629,46.629,46.629,1,0
20180803,46.629,46.629,46.629,46.629,1,0
20180806,46.629,46.629,46.629,46.629,1,0
20180807,46.629,46.629,46.629,46.629,1,0
20180808,46.629,46.629,46.629,46.629,22,0
20180809,46.629,46.629,46.629,46.629,1,0
20180810,46.629,46.629,46.629,46.629,26,0
20180813,46.629,46.629,46.629,46.629,1,0
20180814,46.629,46.629,46.629,46.629,1,0
20180815,46.853,46.853,46.853,46.853,7,0
20180816,46.853,46.853,46.853,46.853,1,0
20180817,46.882,46.882,46.882,46.882,11,0
20180820,46.882,46.882,46.882,46.882,1,0
20180821,46.882,46.882,46.882,46.882,1,0
20180822,46.882,46.882,46.882,46.882,221,0
20180823,46.813,46.813,46.813,46.813,1,0
20180824,46.813,46.813,46.813,46.813,2,0
20180827,46.813,46.813,46.813,46.813,2,0
20180828,46.813,46.813,46.813,46.813,1,0
20180829,46.813,46.813,46.813,46.813,1,0
20180830,46.813,46.813,46.813,46.813,1,0
20180906,46.813,46.813,46.813,46.813,1,0
20180907,46.813,46.813,46.813,46.813,1,0
20180910,46.813,46.813,46.813,46.813,1,0
20180911,46.813,46.813,46.813,46.813,34,0
20180912,46.813,46.813,46.813,46.813,71,0
20180913,46.813,46.813,46.813,46.813,6,0
20180914,46.813,46.813,46.813,46.813,3,0
20180917,46.813,46.813,46.813,46.813,7,0
20180918,46.813,46.813,46.813,46.813,4,0
20180919,46.698,46.698,46.698,46.698,20,0
20180920,46.698,46.698,46.698,46.698,3,0
20180921,46.57,46.57,46.57,46.57,52,0
20180924,46.57,46.57,46.57,46.57,3,0
20180925,46.541,46.541,46.541,46.541,3,0
20180926,46.541,46.541,46.541,46.541,22,0
20180927,46.541,46.541,46.541,46.541,23,0
20180928,46.541,46.541,46.541,46.541,1,0
20181001,46.776,46.776,46.737,46.754,4063,0
20181002,46.732,46.771,46.718,46.756,1509,0
20181003,46.737,46.747,46.706,46.737,12324,0
20181004,46.521,46.521,46.521,46.521,3286,0
20181005,46.531,46.531,46.531,46.531,358,0
20181008,46.531,46.531,46.531,46.531,1,0
20181009,46.531,46.531,46.531,46.531,1,0
20181010,46.559,46.57,46.559,46.56,3488,0
20181011,46.599,46.599,46.599,46.599,595,0
20181012,46.658,46.658,46.658,46.658,244,0
20181015,46.653,46.653,46.653,46.653,40,0
20181016,46.638,46.638,46.638,46.638,382,0
20181017,46.658,46.658,46.658,46.658,12,0
20181018,46.658,46.658,46.658,46.658,20,0
20181019,46.658,46.658,46.658,46.658,1,0
20181022,46.589,46.589,46.589,46.589,172,0
20181023,46.589,46.589,46.589,46.589,11,0
20181024,46.589,46.589,46.589,46.589,1,0
20181025,46.658,46.658,46.658,46.658,8,0
20181026,46.708,46.708,46.708,46.708,196,0
20181029,46.668,46.668,46.668,46.668,116,0
20181030,46.677,46.677,46.625,46.625,246,0
20181031,46.599,46.599,46.599,46.599,24,0
20181101,46.589,46.589,46.589,46.589,200,0
20181102,46.47,46.56,46.47,46.521,542,0
20181105,46.521,46.521,46.521,46.521,1,0
20181106,46.551,46.551,46.551,46.551,35,0
20181107,46.551,46.551,46.551,46.551,1,0
20181108,46.551,46.551,46.551,46.551,1,0
20181109,46.551,46.551,46.551,46.551,1,0
20181112,46.551,46.551,46.551,46.551,2,0
20181113,46.551,46.551,46.551,46.551,1,0
20181114,46.589,46.589,46.589,46.589,19,0
20181115,46.592,46.592,46.592,46.592,1,0
20181116,46.648,46.648,46.648,46.648,8,0
20181119,46.609,46.609,46.609,46.609,21,0
20181120,46.609,46.609,46.609,46.609,2,0
20181121,46.457,46.457,46.457,46.457,2,0
20181123,46.457,46.457,46.457,46.457,1,0
20181126,46.457,46.457,46.457,46.457,22,0
20181127,46.606,46.606,46.57,46.57,771,0
20181128,46.57,46.57,46.57,46.57,1,0
20181129,46.57,46.57,46.57,46.57,1,0
20181130,46.609,46.609,46.609,46.609,55,0
20181203,46.609,46.609,46.609,46.609,1,0
20181204,46.609,46.609,46.609,46.609,45,0
20181206,46.609,46.609,46.609,46.609,1,0
20181207,46.673,46.673,46.673,46.673,1,0
20181210,46.688,46.688,46.688,46.688,43,0
20181211,46.633,46.633,46.633,46.633,28,0
20181212,46.619,46.619,46.619,46.619,28,0
20181213,46.638,46.638,46.638,46.638,28,0
20181214,46.678,46.678,46.678,46.678,25,0
20181217,46.776,46.776,46.776,46.776,125788,0
20181218,46.791,46.791,46.791,46.791,28,0
20181219,46.865,46.865,46.865,46.865,28,0
20181220,46.791,46.791,46.791,46.791,1,0
20181221,46.884,46.884,46.884,46.884,1,0
20181224,46.861,46.861,46.861,46.861,1,0
20181226,46.798,46.798,46.798,46.798,19,0
20181227,46.889,46.889,46.889,46.889,1,0
20181228,46.815,47.122,46.815,47.105,7055,0
20181231,46.935,46.935,46.935,46.935,109,0
20190102,47.008,47.008,47.008,47.008,1,0
20190103,47.209,47.209,47.209,47.209,1,0
20190104,47.175,47.175,47.105,47.105,580,0
20190107,47.105,47.105,47.078,47.078,1992,0
20190108,47.003,47.003,47.003,47.003,192,0
20190109,47.023,47.023,47.023,47.023,5,0
20190110,47.042,47.042,47.042,47.042,96,0
20190111,47.155,47.244,47.155,47.209,6253,0
20190114,47.244,47.244,47.224,47.224,332,0
20190115,47.224,47.224,47.195,47.224,1329,0
20190116,47.259,47.259,47.259,47.259,56,0
20190117,47.19,47.19,47.19,47.19,12,0
20190118,47.216,47.216,47.216,47.216,2,0
20190122,47.268,47.268,47.268,47.268,1,0
20190123,47.289,47.332,47.289,47.332,537,0
20190124,47.394,47.394,47.394,47.394,2,0
20190125,47.432,47.432,47.432,47.432,1,0
20190128,47.427,47.427,47.427,47.427,10,0
20190129,47.525,47.525,47.486,47.486,505,0
20190130,47.623,47.623,47.623,47.623,1,0
20190131,47.761,47.761,47.761,47.761,23,0
20190201,47.675,47.746,47.663,47.746,5514,0
20190204,47.62,47.69,47.62,47.69,254,0
20190205,47.809,47.809,47.753,47.753,500,0
20190206,47.809,47.809,47.809,47.809,14,0
20190207,47.775,47.775,47.775,47.775,11,0
20190208,47.832,47.832,47.832,47.832,1,0
20190211,47.8,47.8,47.8,47.8,33,0
20190212,47.79,47.79,47.762,47.762,193,0
20190213,47.684,47.721,47.671,47.721,796,0
20190214,47.794,47.794,47.794,47.794,2,0
20190215,47.787,47.787,47.787,47.787,28,0
20190219,47.827,47.827,47.827,47.827,51,0
20190220,47.877,47.877,47.827,47.827,176,0
20190221,47.804,47.804,47.804,47.804,5,0
20190222,47.856,47.856,47.856,47.856,1,0
20190225,47.855,47.855,47.855,47.855,71,0
20190226,47.809,47.93,47.809,47.93,494,0
