Date,Open,High,Low,Close,Volume,OpenInt
20060816,4.5099,4.5099,4.1877,4.1877,64724,0
20060817,4.0802,4.0802,3.8114,3.8654,2091217,0
20060818,3.8654,3.9733,3.8654,3.9193,514541,0
20060821,3.9515,4.0762,3.9515,4.0762,15834,0
20060822,4.0802,4.177,4.0802,4.0912,524327,0
20060823,4.0931,4.1128,4.0802,4.1021,160648,0
20060824,4.1021,4.134,4.0802,4.134,2041865,0
20060825,4.134,4.134,4.132,4.134,1101264,0
20060828,4.0931,4.1296,4.0931,4.0955,1170171,0
20060829,4.0973,4.0973,4.0955,4.0973,1314522,0
20060830,4.1233,4.1448,4.1039,4.1039,3940774,0
20060831,4.1148,4.252,4.1148,4.252,3138473,0
20060901,4.252,4.252,4.2306,4.2306,1186003,0
20060905,4.2048,4.2715,4.177,4.252,57131776,0
20060906,4.252,4.5827,4.1984,4.5335,35606256,0
20060907,4.5356,4.905,4.4133,4.7463,25074226,0
20060908,4.7052,4.879,4.6411,4.7374,18181235,0
20060911,4.6191,4.7182,4.6174,4.6689,24157362,0
20060912,4.658,4.7352,4.6064,4.7095,10656359,0
20060913,4.7269,4.9825,4.7269,4.8424,14294010,0
20060914,4.7783,4.832,4.6539,4.6837,6420357,0
20060915,4.6623,4.69,4.5529,4.5677,9387472,0
20060918,4.6174,4.6713,4.5677,4.6515,4192702,0
20060919,4.6279,4.832,4.5592,4.5956,4410616,0
20060920,4.5917,4.7803,4.5873,4.7674,2953136,0
20060921,4.6601,4.7246,4.6539,4.6713,3221818,0
20060922,4.6752,4.772,4.6515,4.7546,1686578,0
20060925,4.7073,4.8344,4.6924,4.7826,3729844,0
20060926,4.8104,4.832,4.789,4.8042,1967370,0
20060927,4.6947,4.8728,4.6815,4.8535,5299536,0
20060928,4.7997,4.9246,4.7868,4.8212,3491892,0
20060929,4.8424,4.8622,4.7695,4.8344,3693986,0
20061002,4.8063,4.8557,4.789,4.8299,2554077,0
20061003,4.8494,4.8813,4.7936,4.8344,3120305,0
20061004,4.8104,4.9588,4.7783,4.8748,3490967,0
20061005,4.8535,4.9973,4.8535,4.9717,5265550,0
20061006,4.9434,4.9696,4.8877,4.9223,1861660,0
20061009,4.8967,4.9673,4.8641,4.9346,1156674,0
20061010,4.8384,4.9073,4.8086,4.8705,4577328,0
20061011,4.8748,4.8877,4.7997,4.8641,4377564,0
20061012,5.0122,5.0446,4.9138,4.939,7095547,0
20061013,4.9566,5.0317,4.9566,5.0143,4698856,0
20061016,5.0122,5.0122,4.939,4.939,2209969,0
20061017,4.939,4.9499,4.8944,4.8967,2378067,0
20061018,4.9158,4.9499,4.8813,4.9368,3304709,0
20061019,4.939,4.9608,4.8854,4.939,1598109,0
20061020,4.9411,5.0209,4.9411,4.9914,840970,0
