Date,Open,High,Low,Close,Volume,OpenInt
20180928,22.509,22.639,22.414,22.499,29119,0
20181001,22.555,22.592,22.414,22.414,30116,0
20181002,22.546,22.546,22.247,22.368,30512,0
20181003,22.461,22.788,22.454,22.461,61959,0
20181004,22.461,22.461,22.247,22.358,14856,0
20181005,22.414,22.414,22.368,22.368,9039,0
20181008,22.368,22.414,22.346,22.414,8994,0
20181009,22.414,22.555,22.368,22.368,3812,0
20181010,22.322,22.365,22.248,22.275,11323,0
20181011,22.303,22.303,22.135,22.247,3341,0
20181012,22.472,22.472,22.331,22.406,14210,0
20181015,22.462,22.462,22.349,22.369,9453,0
20181016,22.379,22.462,22.283,22.331,9579,0
20181017,22.171,22.369,22.171,22.303,4265,0
20181018,22.283,22.323,22.191,22.237,13990,0
20181019,22.237,22.237,22.181,22.19,4801,0
20181022,22.27,22.275,22.2,22.247,5312,0
20181023,22.115,22.115,22.049,22.049,11109,0
20181024,21.88,22.086,21.108,22.049,18597,0
20181025,21.937,21.937,21.72,21.776,91222,0
20181026,21.767,21.862,21.767,21.832,41689,0
20181029,21.814,21.908,21.814,21.832,62822,0
20181030,21.823,21.862,21.74,21.862,11178,0
20181031,21.889,22.069,21.857,22.069,19442,0
20181101,22.003,22.02,22.003,22.02,2510,0
20181102,22.02,22.02,21.908,21.981,3903,0
20181105,21.908,21.946,21.88,21.913,11222,0
20181106,21.908,21.918,21.88,21.908,11712,0
20181107,21.993,22.049,21.978,22.013,18628,0
20181108,22.04,22.049,21.832,21.908,12950,0
20181109,21.908,21.908,21.823,21.908,10382,0
20181112,22.096,22.096,21.862,21.862,6182,0
20181113,21.767,21.955,21.763,21.815,8002,0
20181114,21.88,21.908,21.74,21.823,13339,0
20181115,21.814,21.887,21.74,21.74,18306,0
20181116,21.74,21.955,21.74,21.854,5754,0
20181119,21.898,21.898,21.74,21.814,5955,0
20181120,21.74,21.786,21.466,21.466,9908,0
20181121,21.67,21.767,21.484,21.522,9715,0
20181123,21.504,21.72,21.504,21.71,5009,0
20181126,21.72,21.72,21.532,21.696,10027,0
20181127,21.74,21.852,21.74,21.852,3403,0
20181128,21.796,22.191,21.674,22.191,14752,0
20181129,22.237,22.331,22.182,22.281,9587,0
20181130,22.331,22.331,22.154,22.283,8538,0
20181203,22.266,22.266,22.012,22.219,3723,0
20181204,22.331,22.331,22.005,22.191,4105,0
20181206,22.078,22.078,21.785,21.785,3685,0
20181207,22.331,22.331,21.776,22.218,8576,0
20181210,21.814,22.181,21.786,22.181,8720,0
20181211,22.209,22.209,21.955,22.191,6521,0
20181212,22.096,22.331,22.096,22.331,14596,0
20181213,22.279,22.283,22.078,22.096,3474,0
20181214,22.303,22.379,21.56,21.645,23505,0
20181217,21.776,22.003,21.418,21.946,12388,0
20181218,22.13,22.209,21.326,21.862,23200,0
20181219,21.939,21.939,20.743,21.016,31141,0
20181220,21.418,21.418,20.217,20.451,13746,0
20181221,20.309,20.526,19.933,20.526,19038,0
20181224,19.868,21.25,19.868,21.204,3908,0
20181226,20.411,21.296,20.411,21.204,1478,0
20181227,21.204,21.279,20.707,20.707,10554,0
20181228,20.744,21.674,20.744,21.579,17607,0
20181231,22.143,22.143,21.344,21.955,6181,0
20190102,21.908,22.086,21.852,22.086,6774,0
20190103,22.086,22.209,22.03,22.209,4031,0
20190104,22.209,22.567,22.209,22.547,2659,0
20190107,22.547,22.547,22.547,22.547,1064,0
20190108,22.379,22.567,22.33,22.547,5484,0
20190109,22.379,22.585,22.379,22.379,8587,0
20190110,22.443,22.66,22.379,22.66,3435,0
20190111,22.66,22.895,22.623,22.895,8774,0
20190114,22.886,23.173,22.743,22.934,5954,0
20190115,23.029,23.029,22.934,22.934,7092,0
20190116,22.934,22.934,22.743,22.933,1639,0
20190117,22.924,22.934,22.819,22.934,3935,0
20190118,22.982,22.982,22.934,22.944,3706,0
20190122,22.895,23.125,22.085,23.011,18003,0
20190123,22.934,22.934,22.456,22.504,8228,0
20190124,22.838,22.924,22.79,22.838,8623,0
20190125,22.838,22.924,22.79,22.924,9704,0
20190128,22.762,23.411,22.642,23.411,14349,0
20190129,23.201,23.421,23.173,23.411,25466,0
20190130,23.197,23.364,23.197,23.364,9686,0
20190131,23.364,23.364,22.965,23.22,10912,0
20190201,23.22,23.316,23.22,23.316,1676,0
20190204,23.316,23.421,23.22,23.421,8057,0
20190205,23.421,23.612,22.952,23.572,15936,0
20190206,23.316,23.545,23.297,23.411,7809,0
20190207,23.411,23.459,23.125,23.316,10443,0
20190208,23.364,23.459,23.316,23.355,13576,0
20190211,23.364,23.531,23.249,23.316,9764,0
20190212,23.458,23.458,23.144,23.144,9130,0
20190213,23.144,23.459,22.944,23.411,14558,0
20190214,23.321,23.498,23.183,23.459,6043,0
20190215,23.44,23.507,23.44,23.506,3494,0
20190219,23.555,23.612,23.431,23.612,10418,0
20190220,23.459,23.603,23.316,23.44,17482,0
20190221,23.612,23.612,23.144,23.612,4193,0
20190222,23.469,23.698,23.469,23.698,13816,0
20190225,23.889,24.272,23.459,23.603,21003,0
20190226,23.737,23.737,23.555,23.612,8641,0
20190227,23.402,23.65,23.402,23.65,4280,0
20190228,23.689,23.689,23.563,23.603,6663,0
20190301,23.65,23.689,23.65,23.689,2058,0
20190304,23.65,23.794,23.65,23.794,5326,0
20190305,23.784,23.784,23.565,23.784,6525,0
20190306,23.784,23.871,23.737,23.746,5211,0
20190307,23.794,23.794,23.698,23.698,13731,0
20190308,23.851,23.851,23.698,23.698,733,0
20190311,23.698,23.871,23.66,23.871,5428,0
20190312,23.794,23.794,23.373,23.65,14782,0
20190313,23.478,23.889,23.411,23.756,26097,0
20190314,23.65,24.949,23.516,23.632,25472,0
20190315,23.565,23.715,23.411,23.411,7845,0
20190318,23.516,23.66,23.516,23.65,1656,0
20190319,23.64,23.794,23.44,23.46,10247,0
20190320,23.478,23.794,23.478,23.65,4678,0
20190321,23.632,23.774,23.632,23.746,1471,0
20190322,23.746,23.746,23.603,23.746,3304,0
20190325,23.746,23.938,23.746,23.938,4694,0
20190326,23.889,23.889,23.679,23.698,23316,0
20190327,23.542,23.698,23.542,23.698,4557,0
20190328,23.65,23.985,23.488,23.71,14921,0
20190329,23.707,23.774,23.698,23.764,1433,0
20190401,23.784,23.784,23.727,23.746,2457,0
20190402,23.746,23.985,23.746,23.804,11539,0
20190403,23.908,25.06,23.908,24.367,14272,0
20190404,24.214,24.367,24.186,24.281,14770,0
20190405,24.367,24.367,23.889,23.938,4757,0
20190408,23.938,24.011,23.746,23.889,6340,0
20190409,23.908,24.272,23.717,23.938,17697,0
20190410,23.975,24.09,23.938,24.09,8562,0
20190411,24.025,24.253,24.025,24.223,5493,0
20190412,24.263,24.408,23.923,24.236,15284,0
20190415,24.128,24.263,24.029,24.069,33144,0
20190416,24.165,24.214,24.069,24.147,43590,0
20190417,24.02,24.417,24.002,24.35,14351,0
20190418,24.34,24.359,24.069,24.359,6406,0
20190422,24.417,24.417,24.263,24.263,3623,0
20190423,24.689,24.689,24.146,24.263,7574,0
20190424,24.505,24.505,24.253,24.263,2870,0
20190425,24.34,24.34,24.312,24.312,1804,0
20190426,24.485,24.485,24.01,24.01,1134,0
20190429,24.264,24.359,24.069,24.097,11541,0
20190430,24.078,24.359,23.884,24.02,22161,0
20190501,24.185,24.359,23.991,24.301,13806,0
20190502,24.243,24.263,24.142,24.253,6002,0
20190503,24.263,24.427,24.165,24.413,5408,0
20190506,24.321,24.747,24.283,24.679,4114,0
20190507,24.679,24.747,24.408,24.553,4926,0
20190508,24.531,25.009,24.531,25.009,5660,0
20190509,24.865,25.009,24.408,25.009,11800,0
20190510,24.797,24.797,24.719,24.719,771,0
20190513,24.535,25.767,24.457,24.593,2170,0
20190514,24.689,24.689,24.379,24.505,10436,0
20190515,24.629,25.117,24.629,25.117,3837,0
20190516,24.553,25.223,24.553,25.223,2272,0
20190517,24.505,24.747,24.505,24.747,5101,0
20190520,24.515,24.991,24.515,24.515,1638,0
20190521,25.087,25.087,24.408,24.427,7137,0
20190522,24.505,24.505,24.321,24.484,5461,0
20190523,24.553,24.553,24.505,24.505,4999,0
20190524,24.553,24.603,24.553,24.603,799,0
20190528,24.981,24.981,24.505,24.612,2323,0
20190529,24.903,24.903,24.631,24.631,2370,0
20190530,24.712,24.933,24.554,24.903,4775,0
20190531,24.603,24.603,24.34,24.505,3683,0
20190603,24.505,24.941,24.282,24.505,1037,0
20190604,24.506,24.506,24.437,24.505,1380,0
20190605,24.515,24.631,24.311,24.506,15382,0
20190606,24.631,24.631,24.369,24.505,4083,0
20190607,24.553,24.651,24.537,24.573,10547,0
20190610,24.621,24.835,24.553,24.835,11092,0
20190611,24.603,24.981,24.553,24.981,4297,0
20190612,24.593,25.059,24.593,24.806,6365,0
20190613,24.747,24.747,24.661,24.661,3915,0
20190614,24.671,24.699,24.671,24.689,1820,0
20190617,24.699,24.699,24.693,24.699,3308,0
20190618,24.699,24.699,24.629,24.699,2385,0
20190619,24.699,25.039,24.689,25.039,1548,0
20190620,25.039,25.049,24.855,24.873,7736,0
20190621,24.855,25.009,24.855,25.009,1159,0
20190624,24.651,25.009,24.651,24.797,2449,0
20190625,25.029,25.039,24.933,24.941,2578,0
20190626,24.941,24.941,24.913,24.941,4327,0
20190627,24.747,24.941,24.747,24.941,623,0
20190628,24.941,24.941,24.941,24.941,104,0
20190701,24.777,24.902,24.747,24.865,2374,0
20190702,24.991,25.097,24.991,25.012,7695,0
20190703,25.009,25.039,24.865,25.019,7019,0
20190705,25.175,25.223,24.991,24.991,2758,0
20190708,24.991,24.991,24.991,24.991,2277,0
20190709,25.192,25.66,25.192,25.443,6634,0
20190710,25.525,25.651,25.233,25.651,8983,0
20190711,25.398,25.643,25.398,25.427,3005,0
20190712,25.319,25.319,25.288,25.319,742,0
20190715,25.299,25.405,25.269,25.309,6039,0
20190716,25.457,25.762,25.457,25.575,2298,0
20190717,25.535,25.683,25.535,25.683,914,0
20190718,25.683,26.058,25.683,25.821,4468,0
20190719,25.989,25.996,25.762,25.861,5642,0
20190722,25.792,25.989,25.538,25.969,1504,0
20190723,25.585,25.9,25.555,25.851,1015,0
20190724,25.747,25.899,25.614,25.851,1827,0
20190725,25.9,25.9,25.644,25.669,3776,0
20190726,25.595,25.595,25.555,25.555,291,0
20190730,25.614,25.614,25.319,25.319,2649,0
20190731,25.368,25.782,24.866,25.023,5542,0
20190801,25.023,25.548,25.023,25.22,4386,0
20190802,25.388,25.388,24.797,25.072,8471,0
20190805,24.944,25.595,24.806,25.595,4263,0
20190806,25.043,25.319,25.023,25.023,1061,0
20190807,24.925,25.151,24.806,24.875,11612,0
20190808,24.974,25.161,24.875,25.013,10283,0
20190809,25.082,25.152,25.072,25.122,2778,0
20190812,25.122,25.122,25.122,25.122,244,0
20190813,25.26,25.398,25.24,25.319,8006,0
20190814,25.329,25.476,25.319,25.417,9064,0
20190815,25.733,26.038,25.526,25.89,4009,0
20190816,26.048,26.048,25.513,25.841,1269,0
20190819,25.626,25.9,25.626,25.664,4689,0
20190820,25.742,25.931,25.358,25.931,1015,0
20190822,25.91,26.058,25.595,25.811,10787,0
20190823,25.811,25.811,25.549,25.654,4634,0
20190826,25.614,25.713,25.614,25.68,1827,0
20190827,25.783,25.811,25.092,25.811,13196,0
20190828,25.811,26.058,25.747,26.058,16961,0
20190829,26.048,26.156,25.506,25.979,13604,0
20190830,26.058,26.353,26.058,26.294,1979,0
20190903,25.825,26.107,25.789,25.863,4236,0
20190904,26.018,26.333,26.018,26.058,5256,0
20190905,26.304,26.353,25.88,26.029,6278,0
20190906,26.107,26.407,25.959,26.324,8162,0
20190909,26.659,26.659,26.659,26.659,711,0
20190910,26.008,26.599,26.008,26.138,5405,0
20190911,26.659,26.659,26.058,26.062,5811,0
20190912,26.432,26.432,26.392,26.392,3698,0
20190913,26.255,26.255,25.762,26.018,1101,0
20190916,25.91,26.51,25.861,26.008,6192,0
20190917,26.363,26.363,26.343,26.343,660,0
20190918,26.353,26.353,26.012,26.012,1218,0
20190919,26.353,26.353,26.107,26.107,523,0
20190920,26.058,26.058,25.806,25.861,7395,0
20190923,25.634,26.353,25.634,26.353,9548,0
20190925,25.861,26.008,25.811,25.861,3400,0
20190926,25.939,26.008,25.836,25.989,6496,0
20190927,25.762,25.89,25.762,25.841,2772,0
20190930,25.939,26.254,25.939,26.254,914,0
20191001,25.831,25.91,25.831,25.91,5407,0
20191002,25.861,25.91,25.861,25.861,4204,0
20191003,25.91,25.91,25.782,25.91,2364,0
20191004,25.792,25.91,25.792,25.91,4654,0
20191007,25.691,26.058,25.691,25.91,7917,0
20191008,25.882,26.048,25.861,26.048,8622,0
20191009,25.883,25.999,25.831,25.861,2318,0
20191010,25.88,26.008,25.877,25.9,3851,0
20191011,26.24,26.24,26.19,26.24,545,0
20191014,25.98,26.24,25.96,26.24,1941,0
20191015,26.22,26.22,26.1846,26.1846,800,0
20191016,26,26,25.78,25.95,2393,0
20191017,26.1527,26.1527,26.1527,26.1527,800,0
20191018,26.1,26.1,25.952,25.952,1747,0
20191021,26.14,26.2,26.14,26.15,5251,0
20191022,26.15,26.15,26.05,26.15,2101,0
20191023,26.24,26.24,26.0492,26.0492,1339,0
20191024,26.1,26.15,26,26.15,1144,0
20191025,26.19,26.19,26.1,26.1252,3126,0
20191028,26.1632,26.19,26.1632,26.1807,2280,0
20191029,26.18,26.18,26.18,26.18,511,0
20191030,26.1649,26.24,26.14,26.14,6704,0
20191031,26.2,26.35,26.2,26.35,4768,0
20191101,26.2,26.39,26.2,26.37,1200,0
20191104,26.8,26.8,26.21,26.21,5995,0
20191105,26.39,26.393,26.25,26.25,4880,0
20191106,26.1,27.22,26.03,26.3,3045,0
20191107,26.2,26.58,25.96,26,2343,0
20191108,26.02,26.18,25.9,26.18,1020,0
20191111,26.18,26.18,25.84,25.87,2395,0
20191113,26.4058,26.4058,26.335,26.335,847,0
20191114,26.23,26.3,26.03,26.03,1040,0
20191115,25.9,25.99,25.9,25.99,1068,0
20191119,26.19,26.19,26.19,26.19,775,0
20191120,26.07,26.07,25.7,25.75,15519,0
20191121,25.75,26.1,25.75,26,4441,0
20191122,25.89,26.09,25.75,26.0385,7510,0
20191125,25.78,26.09,25.761,26,4025,0
20191126,25.86,26.3143,25.86,26.3143,5407,0
20191127,26.4479,26.6,26.3,26.6,2916,0
20191129,26.58,26.7,26.55,26.7,1517,0
20191203,26.4,26.4,25.97,26.088,5170,0
20191204,25.98,26.44,25.98,26.42,4576,0
20191205,26.25,26.25,26.1,26.1,855,0
20191206,25.94,25.94,25.94,25.94,2000,0
20191209,26.28,27,26.21,26.35,4248,0
20191210,26.3501,26.7,26.35,26.35,4949,0
20191211,26.3631,26.3631,26.3585,26.36,2537,0
20191212,26.36,26.5,26.35,26.36,4585,0
20191213,26.4837,26.4837,26.2042,26.3,2910,0
20191216,26.05,26.2,26.01,26.01,1895,0
20191217,26.2,26.4,26.2,26.3,1972,0
20191218,26.35,26.35,26.04,26.2,4249,0
20191219,26.7938,26.7938,26.2,26.2,4080,0
20191220,26.26,26.26,26.25,26.25,505,0
20191223,26.749,26.749,26.5869,26.5869,1200,0
20191224,26.605,26.66,26.5,26.6423,854,0
20191226,26.45,26.45,26.252,26.45,2934,0
20191227,26.25,26.3,26.2,26.3,6269,0
20191230,26.0948,26.55,26.08,26.3,8357,0
20191231,26.5,26.67,26.3,26.35,9311,0
20200102,26.5,26.55,26.4,26.4,3360,0
20200103,26.75,26.75,26.73,26.73,1400,0
20200106,26.67,26.7,26.32,26.42,6939,0
20200107,26.58,26.58,26.4,26.5666,2871,0
20200108,26.73,26.75,26.73,26.75,743,0
20200109,26.52,26.75,26.5,26.5,2650,0
20200110,26.79,26.79,26.74,26.74,1200,0
20200113,26.75,26.75,26.56,26.56,2106,0
20200114,26.5,26.65,26.41,26.62,3649,0
20200115,26.79,26.8,26.47,26.47,2982,0
20200116,26.6297,26.77,26.46,26.77,4618,0
20200117,26.48,26.64,26.47,26.5,5575,0
20200122,26.55,26.8,26.55,26.78,3181,0
20200123,26.5525,26.5525,26.5525,26.5525,600,0
