Date,Open,High,Low,Close,Volume,OpenInt
20050225,10.253,10.448,10.147,10.417,41505,0
20050228,10.525,10.579,10.444,10.511,84861,0
20050301,10.47,10.525,10.308,10.308,40025,0
20050302,10.308,10.698,10.308,10.587,138963,0
20050303,10.652,10.755,10.559,10.714,107091,0
20050304,10.738,10.795,10.731,10.795,125994,0
20050307,10.834,10.913,10.714,10.761,105617,0
20050308,10.785,10.834,10.659,10.755,32238,0
20050309,10.725,10.725,10.526,10.564,54840,0
20050310,10.564,10.635,10.308,10.312,52617,0
20050311,10.253,10.308,10.147,10.308,78559,0
20050314,10.268,10.444,10.268,10.444,45581,0
20050315,10.484,10.553,10.444,10.497,24458,0
20050316,10.538,10.579,10.241,10.308,58553,0
20050317,10.221,10.386,10.221,10.379,34093,0
20050318,10.389,10.525,10.335,10.376,108943,0
20050321,10.386,10.454,10.185,10.246,57813,0
20050322,10.274,10.335,10.203,10.261,26314,0
20050323,10.288,10.288,9.822,10.082,239389,0
20050324,10.139,10.386,10.139,10.386,137852,0
20050328,10.523,10.635,10.251,10.251,161939,0
20050329,10.294,10.399,10.177,10.226,167863,0
20050330,10.226,10.243,9.923,10.081,116357,0
20050331,10.12,10.335,10.117,10.12,106354,0
20050401,10.147,10.363,10.061,10.363,124883,0
20050404,10.417,10.902,10.417,10.554,146371,0
20050405,10.553,10.738,10.553,10.622,37057,0
20050406,10.596,10.93,10.525,10.93,44837,0
20050407,11.066,11.413,11.022,11.388,191581,0
20050408,11.319,11.333,10.82,10.823,91530,0
20050411,10.893,11.145,10.861,10.985,76341,0
20050412,10.99,11.06,10.93,11.019,33343,0
20050413,11.019,11.225,10.93,10.93,43357,0
20050414,10.902,10.955,10.849,10.952,47430,0
20050415,10.901,11.173,10.901,11.035,82261,0
20050418,10.995,10.995,10.61,10.769,63738,0
20050419,10.795,10.849,10.684,10.783,50398,0
20050420,10.811,11.066,10.808,11.066,50398,0
20050421,11.037,11.469,11.037,11.428,118953,0
20050422,11.431,11.469,11.28,11.469,57070,0
20050425,11.604,11.982,11.604,11.966,165649,0
20050426,11.822,12.003,11.766,11.927,64482,0
20050427,11.873,12.135,11.792,12.062,186022,0
20050428,12.006,12.265,11.899,12.09,188991,0
20050429,12.05,12.183,11.873,12.174,82261,0
20050502,12.183,12.684,12.183,12.51,180095,0
20050503,12.484,12.484,12.183,12.225,106730,0
20050504,12.227,12.227,11.9,12.062,47068,0
20050505,11.807,11.807,11.524,11.588,70405,0
20050506,11.443,11.469,11.09,11.118,160831,0
20050509,11.132,11.373,11.132,11.267,96715,0
20050510,11.307,11.307,10.985,11.037,174907,0
20050511,10.902,11.225,10.738,11.173,102644,0
20050512,11.173,11.305,11.169,11.169,22234,0
20050513,11.173,11.182,10.965,11.09,126734,0
20050516,11.173,11.223,11.049,11.193,97095,0
20050517,11.197,11.234,11.066,11.12,38169,0
20050518,10.987,11.066,10.955,10.995,59294,0
20050519,10.99,11.009,10.955,11.009,5559,0
20050520,10.985,11.185,10.944,11.173,48921,0
20050523,11.212,11.738,11.202,11.604,128218,0
20050524,11.537,11.738,11.469,11.686,92267,0
20050525,11.631,11.658,11.497,11.497,71151,0
20050526,11.443,11.486,11.212,11.24,33723,0
20050527,11.145,11.333,11.145,11.159,44466,0
20050531,11.173,11.182,10.93,10.982,74480,0
20050601,11.026,11.118,11.026,11.076,52617,0
20050602,11.1,11.274,11.037,11.081,61148,0
20050603,11.1,11.225,11.066,11.104,48921,0
20050606,11.064,11.09,10.997,11.009,38910,0
20050607,11.037,11.037,10.93,10.93,75592,0
20050608,10.933,11.037,10.93,10.944,87457,0
20050609,10.97,11.185,10.97,11.157,29644,0
20050610,11.307,11.698,11.307,11.577,224563,0
20050613,11.644,11.766,11.548,11.712,90418,0
20050614,11.778,11.778,11.45,11.548,90046,0
20050615,11.738,11.906,11.73,11.748,60771,0
20050616,11.766,11.766,11.524,11.644,62622,0
20050617,11.618,11.848,11.604,11.778,38169,0
20050620,11.888,11.933,11.766,11.82,49285,0
20050621,11.848,11.914,11.848,11.848,46693,0
20050622,11.873,11.994,11.848,11.994,59294,0
20050623,11.956,12,11.873,11.966,15197,0
20050624,11.958,11.958,11.738,11.941,38910,0
20050627,11.941,12.036,11.863,12.028,31503,0
20050628,12.028,12.143,12.028,12.085,46324,0
20050629,12.077,12.085,12.036,12.043,54102,0
20050630,12.097,12.097,11.873,11.941,66332,0
20050701,11.927,11.927,11.81,11.888,81528,0
20050705,11.888,11.888,11.85,11.85,42618,0
20050706,11.85,11.87,11.799,11.822,18162,0
20050707,11.795,11.812,11.766,11.778,26314,0
20050708,11.766,11.766,11.405,11.631,171204,0
20050711,11.664,11.695,11.506,11.651,83384,0
20050712,11.611,11.792,11.55,11.738,80412,0
20050713,11.766,11.86,11.766,11.792,29276,0
20050714,11.767,11.767,11.497,11.568,121177,0
20050715,11.524,11.571,11.413,11.565,37803,0
20050718,11.537,11.733,11.497,11.631,27791,0
20050719,11.792,11.925,11.598,11.87,99316,0
20050720,11.941,11.941,11.816,11.829,38536,0
20050721,11.829,11.963,11.829,11.873,37431,0
20050722,11.873,11.873,11.738,11.738,22972,0
20050725,11.671,11.671,11.604,11.65,28537,0
20050726,11.698,11.738,11.577,11.618,16305,0
20050727,11.638,11.725,11.604,11.725,51877,0
20050728,11.712,11.82,11.712,11.81,46324,0
20050729,11.863,11.982,11.848,11.982,51137,0
20050801,11.914,12.062,11.885,11.982,107464,0
20050802,12.006,12.171,11.979,12.171,101166,0
20050803,12.13,12.196,12.062,12.109,78933,0
20050804,11.906,12.003,11.848,11.848,57813,0
20050805,11.888,11.888,11.675,11.75,71151,0
20050808,11.723,11.723,11.469,11.631,70405,0
20050809,11.588,11.588,11.362,11.454,140814,0
20050810,11.483,11.588,11.362,11.362,29644,0
20050811,11.362,11.415,10.709,11.132,223083,0
20050812,11.106,11.14,10.97,11.14,30016,0
20050815,11.18,11.212,10.89,10.944,58183,0
20050816,10.985,11.049,10.811,10.849,142666,0
20050817,10.801,10.801,10.625,10.742,171204,0
20050818,10.728,11.132,10.553,11.068,171565,0
20050819,11.212,11.333,11.202,11.267,63367,0
20050822,11.173,11.249,11.107,11.249,67442,0
20050823,11.343,11.379,11.293,11.293,31122,0
20050824,11.28,11.333,11.153,11.28,50767,0
20050825,11.212,11.293,11.132,11.27,55580,0
20050826,11.27,11.333,11.185,11.33,41871,0
20050829,11.369,11.397,11.225,11.267,21867,0
20050830,11.173,11.428,11.173,11.333,63738,0
20050831,11.307,11.33,11.173,11.319,20753,0
20050901,11.267,11.33,11.173,11.267,40396,0
20050902,11.267,11.778,11.267,11.762,73747,0
