Date,Open,High,Low,Close,Volume,OpenInt
20151016,20.724,20.749,20.724,20.749,1712,0
20151112,19.689,19.689,19.689,19.689,1712,0
20151116,19.654,19.682,19.646,19.674,14158,0
20151119,19.674,19.674,19.674,19.674,114,0
20151120,20.048,20.048,20.048,20.048,686,0
20151124,19.979,20.065,19.916,20.048,7993,0
20151125,20.048,20.065,19.997,19.997,2625,0
20151202,19.524,19.524,19.366,19.366,3424,0
20151203,19.043,19.06,19.024,19.06,1523,0
20151207,19.06,19.06,19.06,19.06,114,0
20151210,19.06,19.06,19.06,19.06,114,0
20151211,18.491,18.629,18.403,18.453,9248,0
20151214,18.149,18.149,18.149,18.149,11302,0
20151215,18.509,18.509,18.509,18.509,571,0
20151217,18.902,18.902,18.902,18.902,114,0
20151218,18.752,18.752,18.752,18.752,913,0
20151223,19.014,19.014,19.014,19.014,913,0
20151224,19.122,19.122,19.122,19.122,2797,0
20151231,18.673,18.726,18.673,18.715,1172,0
20160104,18.469,18.469,18.469,18.469,302,0
20160115,17.36,17.36,17.36,17.36,1465,0
20160125,17.591,17.671,17.591,17.636,5867,0
20160126,17.617,17.739,17.617,17.733,1352,0
20160128,18.122,18.122,18.122,18.122,169,0
20160201,18.113,18.122,18.096,18.113,15458,0
20160204,18.319,18.319,18.319,18.319,2753,0
20160205,18.273,18.283,18.193,18.264,22728,0
20160208,17.901,17.901,17.901,17.901,846,0
20160210,17.636,17.636,17.554,17.554,1017,0
20160211,17.208,17.254,17.156,17.156,3911,0
20160217,18.459,18.469,18.459,18.469,5074,0
20160218,18.497,18.505,18.497,18.505,405613,0
20160225,18.371,18.371,18.371,18.371,339,0
20160301,18.627,18.627,18.627,18.627,274,0
20160302,18.478,18.62,18.478,18.62,2819,0
20160303,18.851,18.851,18.832,18.832,3270,0
20160304,19.001,19.001,19.001,19.001,2198,0
20160307,19.178,19.223,19.178,19.223,1249,0
20160309,19.284,19.294,19.276,19.276,3432,0
20160311,19.475,19.475,19.475,19.475,216,0
20160318,19.455,19.455,19.455,19.455,113,0
20160401,19.267,19.267,19.267,19.267,1571,0
20160405,19.117,19.117,19.117,19.117,113,0
20160406,19.089,19.089,19.018,19.018,225,0
20160407,19.027,19.027,19.027,19.027,113,0
20160412,19.428,19.497,19.428,19.497,225,0
20160422,20.005,20.005,19.968,19.968,339,0
20160425,19.862,19.862,19.862,19.862,113,0
20160426,19.967,19.967,19.967,19.967,150,0
20160427,19.95,20.013,19.95,20.013,451,0
20160428,20.385,20.385,19.862,19.923,339,0
20160502,19.923,19.95,19.915,19.915,564,0
20160503,19.622,19.622,19.622,19.622,113,0
20160505,19.711,19.711,19.543,19.543,320,0
20160513,19.793,19.793,19.793,19.793,113,0
20160518,19.906,19.906,19.906,19.906,113,0
20160519,19.685,19.685,19.649,19.649,225,0
20160524,20.121,20.121,20.047,20.047,451,0
20160525,20.217,20.225,20.217,20.225,271,0
20160526,20.201,20.201,20.201,20.201,113,0
20160531,20.208,20.208,20.208,20.208,113,0
20160614,20.153,20.153,20.153,20.153,1240,0
20160617,20.013,20.013,20.013,20.013,496,0
20160630,20.217,20.217,20.209,20.209,2221,0
20160701,20.225,20.385,20.171,20.384,3931,0
20160705,20.447,20.447,20.225,20.225,377,0
20160706,20.394,20.394,20.117,20.117,1511,0
20160707,20.342,20.342,20.342,20.342,895,0
