Date,Open,High,Low,Close,Volume,OpenInt
20150723,22.449,22.449,22.329,22.329,703,0
20150727,22.329,22.329,22.329,22.329,117,0
20150728,22.329,22.329,22.329,22.329,117,0
20150729,22.509,22.518,22.501,22.509,5741,0
20150730,22.518,22.518,22.518,22.518,467,0
20150731,22.476,22.476,22.476,22.476,117,0
20150805,22.816,22.816,22.789,22.789,236,0
20150806,22.852,22.86,22.783,22.783,12041,0
20150807,22.765,22.765,22.578,22.621,10309,0
20150810,22.765,22.789,22.765,22.789,1875,0
20150812,21.972,21.972,21.972,21.972,1173,0
20150813,22.399,22.399,22.356,22.391,3161,0
20150814,22.433,22.485,22.433,22.449,6327,0
20150817,22.493,22.501,22.476,22.476,936,0
20150819,22.476,22.476,22.476,22.476,117,0
20150824,21.998,21.998,20.392,20.614,6347,0
20150825,20.82,20.82,20.82,20.82,820,0
20150826,20.783,20.838,20.783,20.783,5860,0
20150827,21.136,21.144,21.083,21.144,4921,0
20150828,20.956,20.956,20.956,20.956,2928,0
20150831,21.057,21.057,21.057,21.057,350,0
20150901,21.057,21.057,21.057,21.057,117,0
20150903,20.991,21.04,20.991,21.04,3046,0
20150904,20.768,20.783,20.674,20.674,1525,0
20150908,21.101,21.101,21.083,21.083,4685,0
20150909,21.529,21.529,21.152,21.152,8904,0
20150910,21.144,21.144,21.109,21.109,2343,0
20150911,21.067,21.067,21.067,21.067,3514,0
20150914,20.905,20.905,20.845,20.845,3046,0
20150917,21.22,21.22,21.178,21.178,1054,0
20150918,21.04,21.04,21,21.033,2577,0
20150922,20.385,20.529,20.332,20.392,15113,0
20150925,20.435,20.435,20.435,20.435,467,0
20150928,20.323,20.323,19.923,19.923,4052,0
20150930,20.385,20.385,20.385,20.385,117,0
20151002,20.367,20.538,20.367,20.538,585,0
20151005,20.962,20.962,20.962,20.962,1147,0
20151007,20.929,20.991,20.862,20.991,1054,0
20151013,20.913,20.913,20.76,20.76,1407,0
20151015,20.879,20.879,20.879,20.879,1054,0
20151022,21.331,21.331,21.331,21.331,936,0
20151023,21.552,21.552,21.552,21.552,1173,0
20151029,21.571,21.571,21.571,21.571,1290,0
20151102,21.656,21.666,21.656,21.666,2013,0
20151106,21.666,21.666,21.666,21.666,117,0
20151110,21.426,21.485,21.417,21.485,703,0
20151112,21.297,21.307,21.245,21.245,104499,0
20151116,21.254,21.254,21.245,21.254,6912,0
20151117,21.46,21.537,21.46,21.537,3983,0
20151119,21.801,21.801,21.801,21.801,703,0
20151123,21.614,21.614,21.614,21.614,585,0
20151124,21.348,21.426,21.321,21.382,9606,0
20151127,21.861,21.945,21.844,21.844,10075,0
20151201,21.844,21.869,21.818,21.869,1054,0
20151202,21.587,21.587,21.587,21.587,574,0
20151203,21.255,21.255,20.889,20.915,5174,0
20151204,21.074,21.282,21.074,21.255,60087,0
20151208,20.855,20.855,20.855,20.855,1724,0
20151209,20.855,20.855,20.855,20.855,115,0
20151214,20.134,20.134,20.134,20.134,6387,0
20151218,20.586,20.586,20.586,20.586,5745,0
20160104,20.794,20.794,20.794,20.794,344,0
20160108,19.924,19.924,19.897,19.906,12062,0
20160113,20.386,20.386,20.386,20.386,2298,0
20160114,20.071,20.071,20.071,20.071,574,0
20160119,20.071,20.071,20.071,20.071,1724,0
20160121,19.438,19.438,19.272,19.272,7813,0
20160122,19.967,19.967,19.906,19.906,11144,0
20160125,19.888,19.932,19.888,19.932,6453,0
20160127,20.028,20.202,20.028,20.202,12610,0
20160128,19.785,19.868,19.785,19.868,2094,0
20160129,20.063,20.08,20.063,20.08,1954,0
20160202,19.897,19.924,19.802,19.802,9109,0
20160203,19.854,19.854,19.854,19.854,804,0
20160204,19.515,19.521,19.515,19.521,3167,0
20160216,19.131,19.137,19.131,19.137,1313,0
20160229,19.272,19.393,19.272,19.393,2078,0
20160301,19.699,19.714,19.699,19.714,1575,0
20160307,19.854,19.854,19.854,19.854,2318,0
20160308,19.846,19.846,19.829,19.829,6893,0
20160315,19.766,19.77,19.766,19.77,1020,0
20160316,19.654,19.654,19.618,19.618,289,0
20160412,19.637,19.64,19.637,19.637,4149,0
20160413,20.028,20.033,20.028,20.033,2667,0
20160502,20.212,20.212,20.142,20.142,259,0
20160503,19.942,19.942,19.942,19.942,233,0
20160531,20.804,20.804,20.777,20.777,42686,0
20160602,20.672,20.672,20.672,20.672,144,0
20160603,20.603,20.603,20.603,20.603,1608,0
20160608,20.628,20.628,20.577,20.595,7081,0
20160613,19.54,19.54,19.54,19.54,917,0
20160617,19.576,19.594,19.576,19.594,1840,0
20160629,20.046,20.071,20.046,20.071,804,0
20160706,19.751,19.836,19.751,19.836,1830,0
20160708,20.233,20.233,20.233,20.233,112,0
20160713,20.574,20.574,20.538,20.538,1272,0
20160720,20.744,20.744,20.744,20.744,72101,0
20160726,20.726,20.797,20.726,20.792,73309,0
20160727,20.868,20.868,20.868,20.868,112,0
20160801,20.556,20.556,20.501,20.501,3740,0
20160802,20.274,20.274,20.274,20.274,112,0
20160823,20.922,20.922,20.886,20.904,45085,0
20160824,20.851,20.86,20.851,20.86,222,0
20160829,20.851,20.851,20.851,20.851,4531,0
20160831,20.904,20.904,20.904,20.904,112,0
20160901,20.839,20.839,20.839,20.839,1539,0
20160902,21.067,21.172,21.067,21.172,933,0
20160906,21.156,21.157,21.155,21.156,952,0
20160909,21.019,21.019,21.019,21.019,194,0
20160916,20.825,20.825,20.744,20.744,222,0
20160919,20.927,20.927,20.927,20.927,1384,0
20160922,21.226,21.258,21.226,21.258,648,0
20160926,20.922,20.93,20.895,20.922,18226,0
20161003,20.921,20.931,20.904,20.923,9000,0
20161010,20.965,20.965,20.965,20.965,112,0
20161018,20.797,20.797,20.797,20.797,1118,0
20161019,20.86,20.86,20.86,20.86,1118,0
20161020,20.797,20.797,20.779,20.779,1164,0
20161025,20.48,20.48,20.48,20.48,112,0
20161027,20.475,20.475,20.475,20.475,1118,0
20161031,20.314,20.314,20.303,20.303,6366,0
20161101,20.137,20.137,20.137,20.137,1118,0
20161102,19.936,19.936,19.936,19.936,112,0
20161103,19.885,19.893,19.885,19.893,1574,0
20161104,19.706,19.706,19.706,19.706,1118,0
20161107,20.081,20.081,20.081,20.081,447,0
20161108,20.081,20.127,20.081,20.127,2573,0
20161109,20.404,20.43,20.395,20.422,3355,0
20161110,20.43,20.484,20.422,20.466,3692,0
20161111,20.322,20.34,20.322,20.34,1006,0
20161115,20.43,20.484,20.43,20.484,2349,0
20161117,20.61,20.61,20.61,20.61,2237,0
20161121,20.368,20.368,20.368,20.368,1734,0
20161123,20.232,20.232,20.144,20.144,1453,0
20161128,20.349,20.359,20.298,20.327,6376,0
20161129,20.404,20.43,20.4,20.406,5309,0
20161201,20.217,20.233,20.217,20.226,336,0
20161202,20.217,20.217,20.217,20.217,1106,0
20161205,20.416,20.433,20.416,20.433,2102,0
20161207,20.677,20.677,20.677,20.677,882,0
20161209,20.984,20.994,20.974,20.974,443,0
20161213,21.137,21.137,21.137,21.137,111,0
20161215,21.11,21.209,21.11,21.147,1673,0
20161216,21.218,21.228,21.218,21.228,554,0
20161219,21.273,21.273,21.273,21.273,146,0
20161220,21.273,21.273,21.273,21.273,775,0
