Date,Open,High,Low,Close,Volume,OpenInt
20050225,5.0844,5.0925,5.0592,5.0804,284149,0
20050228,5.0925,5.1018,5.0722,5.089,314094,0
20050301,5.089,5.1018,5.0804,5.089,193152,0
20050302,5.0973,5.1018,5.0844,5.0925,224990,0
20050303,5.089,5.1018,5.076,5.076,355185,0
20050304,5.03,5.0638,5.03,5.0464,366830,0
20050307,5.0592,5.0676,5.051,5.0551,282016,0
20050308,5.0551,5.0638,5.051,5.0592,224757,0
20050309,5.051,5.051,5.0127,5.0173,406021,0
20050310,5.03,5.0343,4.9875,5.0173,370150,0
20050311,5.0173,5.0215,4.9497,4.9752,533369,0
20050314,4.9752,4.9752,4.9078,4.9329,376339,0
20050315,4.9116,4.929,4.8235,4.8617,652645,0
20050316,4.8362,4.8573,4.6719,4.6846,851025,0
20050317,4.6678,4.7765,4.6554,4.7431,684955,0
20050318,4.7558,4.7691,4.6974,4.7098,443333,0
20050321,4.693,4.7141,4.6298,4.651,457343,0
20050322,4.588,4.6172,4.5206,4.5461,797573,0
20050323,4.4192,4.4783,4.2973,4.4066,1335930,0
20050324,4.4491,4.6008,4.3646,4.5582,787825,0
20050328,4.5161,4.5754,4.4192,4.4702,703241,0
20050329,4.5121,4.5121,4.3978,4.4066,532427,0
20050330,4.4192,4.5289,4.4192,4.5161,535984,0
20050331,4.4654,4.5582,4.4654,4.5582,328338,0
20050401,4.5628,4.6262,4.5582,4.6262,377760,0
20050404,4.6298,4.6802,4.6262,4.6638,281063,0
20050405,4.6554,4.689,4.6383,4.6846,310521,0
20050406,4.6762,4.7141,4.6719,4.7015,268943,0
20050407,4.693,4.7646,4.693,4.7355,420051,0
20050408,4.6592,4.7015,4.6592,4.6802,308612,0
20050411,4.6383,4.6846,4.5461,4.5461,346639,0
20050412,4.5461,4.5754,4.5081,4.5499,294125,0
20050413,4.5461,4.6298,4.5461,4.6172,331663,0
20050414,4.6048,4.6298,4.5374,4.5707,239242,0
20050415,4.5461,4.6172,4.5461,4.588,211680,0
20050418,4.5543,4.6262,4.5543,4.5668,314559,0
20050419,4.5374,4.6262,4.5374,4.6048,273929,0
20050420,4.6008,4.6424,4.5959,4.6086,184603,0
20050421,4.6086,4.6464,4.588,4.5959,226661,0
20050422,4.588,4.6464,4.5668,4.6048,333087,0
20050425,4.6424,4.6554,4.6008,4.651,324787,0
20050426,4.651,4.7312,4.6298,4.7141,409824,0
20050427,4.7141,4.7265,4.6638,4.6678,194108,0
