Date,Open,High,Low,Close,Volume,OpenInt
20050225,47.828,47.853,47.625,47.743,836632,0
20050228,46.648,46.827,46.331,46.542,1643854,0
20050301,46.09,46.284,45.947,46.267,1880459,0
20050302,45.67,45.99,45.503,45.771,2653774,0
20050303,45.891,46.033,45.771,45.983,1157188,0
20050304,46.084,46.206,45.934,46.056,1613895,0
20050307,45.744,45.863,45.658,45.724,1151988,0
20050308,46.152,46.248,45.947,45.99,641467,0
20050309,45.863,45.891,45.724,45.724,782999,0
20050310,45.709,45.792,45.518,45.629,613664,0
20050311,45.586,45.831,45.547,45.617,647386,0
20050314,45.634,45.788,45.499,45.788,689364,0
20050315,45.683,45.798,45.629,45.645,747483,0
20050316,44.991,45.012,44.7,44.852,1259259,0
20050317,44.859,45.064,44.768,44.923,879504,0
20050318,44.859,44.864,44.626,44.805,586936,0
20050321,44.823,44.89,44.608,44.815,723446,0
20050322,44.738,44.859,44.251,44.256,990727,0
20050323,44.065,44.37,44.046,44.163,1019248,0
20050324,44.111,44.317,43.986,43.986,490067,0
20050328,44.122,44.309,44.122,44.172,538323,0
20050329,43.98,44.152,43.631,43.668,1144632,0
20050330,43.95,44.309,43.918,44.262,1051000,0
20050331,44.41,44.474,44.163,44.262,702633,0
20050401,44.222,44.245,43.772,43.826,1172979,0
20050404,43.676,43.914,43.557,43.802,870176,0
20050405,43.736,43.926,43.655,43.864,596982,0
20050406,43.918,44.172,43.918,44.098,614557,0
20050407,44.023,44.208,43.986,44.065,671961,0
20050408,44.245,44.392,44.191,44.288,775822,0
20050411,44.317,44.437,44.231,44.363,572945,0
20050412,44.208,44.626,44.085,44.518,753400,0
20050413,44.453,44.712,44.417,44.445,682903,0
20050414,44.453,44.498,44.184,44.231,670172,0
20050415,44.303,44.442,43.84,43.95,884168,0
20050418,43.918,44.091,43.871,43.956,673042,0
20050419,44.296,44.422,44.245,44.296,630346,0
20050420,44.098,44.262,43.759,43.847,1115752,0
20050421,44.172,44.256,43.881,44.196,1141763,0
20050422,44.281,44.363,43.986,44.152,845604,0
20050425,44.317,44.572,44.277,44.548,753050,0
20050426,44.601,44.658,44.486,44.504,573307,0
20050427,44.437,44.645,44.405,44.541,1070909,0
20050428,44.35,44.479,44.231,44.281,848654,0
20050429,44.626,44.719,44.379,44.626,868564,0
20050502,44.651,44.73,44.492,44.582,774035,0
20050503,44.859,44.917,44.7,44.815,977626,0
20050504,45.186,45.381,45.161,45.334,1181227,0
20050505,45.475,45.566,45.21,45.369,616716,0
20050506,45.428,45.486,45.234,45.302,490611,0
20050509,45.137,45.389,45.057,45.307,461008,0
20050510,44.984,45.057,44.864,44.883,744970,0
20050511,45.191,45.255,44.911,45.101,513929,0
20050512,44.904,44.976,44.59,44.626,1092251,0
20050513,44.43,44.594,44.262,44.375,984449,0
20050516,44.277,44.619,44.262,44.59,987499,0
20050517,44.512,44.73,44.486,44.663,798789,0
20050518,44.288,44.552,44.262,44.479,1051000,0
20050519,44.379,44.437,44.262,44.363,629093,0
20050520,44.311,44.445,44.111,44.405,781025,0
20050523,44.269,44.535,44.269,44.445,549800,0
20050524,44.41,44.417,44.191,44.356,384771,0
20050525,44.256,44.309,44.178,44.281,442893,0
20050526,44.256,44.35,44.122,44.317,398584,0
20050527,44.184,44.311,44.065,44.269,363607,0
20050531,44.344,44.37,44.184,44.239,406835,0
20050601,44.239,44.651,44.203,44.474,663172,0
20050602,44.344,44.594,44.288,44.492,393384,0
20050603,44.311,44.363,44.046,44.152,862999,0
20050606,44.245,44.474,44.14,44.474,458320,0
20050607,44.46,44.712,44.41,44.498,665147,0
20050608,44.675,44.681,44.296,44.41,586038,0
20050609,44.559,44.619,44.375,44.576,436260,0
20050610,44.75,44.768,44.486,44.582,429437,0
20050613,44.541,44.681,44.46,44.608,534014,0
20050614,44.572,44.75,44.572,44.651,395892,0
20050615,44.675,44.738,44.526,44.738,392488,0
20050616,44.576,44.658,44.498,44.619,581734,0
20050617,44.805,44.87,44.7,44.768,907135,0
20050620,44.685,44.859,44.566,44.778,635191,0
20050621,44.79,44.923,44.675,44.757,422981,0
20050622,45.228,45.307,45.131,45.191,621012,0
20050623,45.424,45.547,45.198,45.205,1110373,0
20050624,45.314,45.363,45.191,45.221,498142,0
20050627,45.18,45.191,45.012,45.191,539757,0
20050628,45.131,45.296,45.131,45.279,602903,0
20050629,45.154,45.32,45.033,45.205,812773,0
20050630,44.744,44.799,44.33,44.405,1113784,0
20050701,44.384,44.442,44.262,44.43,544067,0
20050705,44.392,44.613,44.375,44.59,402175,0
20050706,44.566,44.651,44.43,44.498,497067,0
20050707,43.463,44.043,43.463,44.043,2479413,0
20050708,44.178,44.479,44.111,44.35,883989,0
20050711,44.492,44.768,44.492,44.601,913773,0
20050712,44.576,44.693,44.384,44.582,711251,0
20050713,44.73,44.897,44.512,44.883,1148584,0
20050714,45.228,45.314,44.964,45.024,1192708,0
20050715,44.89,45.012,44.79,44.89,583884,0
20050718,44.7,44.864,44.658,44.681,760756,0
20050719,44.738,44.89,44.582,44.815,980139,0
20050720,44.768,45.154,44.601,45.057,910901,0
20050721,45.369,45.696,45.137,45.493,924177,0
20050722,45.345,45.479,45.272,45.451,1025531,0
20050725,45.456,45.664,45.419,45.553,512314,0
20050726,45.469,45.611,45.424,45.542,402530,0
20050727,45.334,45.622,45.228,45.59,499039,0
20050728,45.205,45.486,45.191,45.424,1196475,0
20050729,45.234,45.345,45.131,45.146,918790,0
20050801,46.023,46.1,45.91,46.077,1138355,0
20050802,46.077,46.213,45.983,46.162,583704,0
20050803,45.942,46.157,45.905,46.01,784612,0
20050804,45.885,46.046,45.641,45.658,779950,0
20050805,45.899,45.965,45.634,45.771,569712,0
20050808,46.162,46.213,45.905,45.947,656714,0
20050809,45.691,45.929,45.651,45.867,520208,0
20050810,46.219,46.391,45.972,46.09,640749,0
20050811,46.377,46.542,46.192,46.398,572226,0
20050812,46.34,46.41,46.18,46.284,284681,0
20050815,46.23,46.438,46.174,46.391,330240,0
20050816,46.162,46.236,46.064,46.106,501194,0
20050817,45.788,46.015,45.788,45.824,462267,0
20050818,45.168,45.444,45.161,45.32,764346,0
20050819,45.307,45.436,45.234,45.419,314995,0
20050822,45.634,45.709,45.334,45.408,396975,0
20050823,45.191,45.213,45.045,45.064,512133,0
20050824,44.93,44.964,44.7,44.712,680395,0
20050825,44.841,44.938,44.75,44.841,410602,0
20050826,44.864,44.878,44.712,44.724,396975,0
20050829,44.594,45.125,44.594,44.778,288265,0
20050830,44.634,44.651,44.317,44.559,497965,0
20050831,44.719,45.092,44.719,45.069,970816,0
20050901,45.186,45.408,45.146,45.279,1028397,0
20050902,45.32,45.572,45.32,45.463,464417,0
20050906,45.499,45.683,45.486,45.622,645952,0
20050907,45.916,45.934,45.751,45.875,839507,0
20050908,45.683,45.683,45.444,45.51,352481,0
20050909,45.503,45.806,45.451,45.691,454375,0
20050912,45.499,45.634,45.419,45.486,466211,0
20050913,45.296,45.696,45.255,45.542,705685,0
20050914,45.611,45.651,45.408,45.463,469978,0
