Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.342,11.69,11.274,11.641,2661075,0
20050228,11.657,11.682,11.403,11.425,2307739,0
20050301,11.463,11.868,11.463,11.833,2415671,0
20050302,11.833,11.965,11.698,11.876,1464698,0
20050303,11.973,12.104,11.884,12.069,2568877,0
20050304,12.069,12.275,12.063,12.217,1781180,0
20050307,12.217,12.354,12.104,12.188,1488433,0
20050308,12.188,12.332,12.188,12.323,1889389,0
20050309,12.258,12.258,11.93,12.04,1909959,0
20050310,12.04,12.112,11.914,12.104,1210596,0
20050311,12.104,12.122,12.04,12.092,1472704,0
20050314,12.086,12.258,12.078,12.232,1456832,0
20050315,12.232,12.307,11.973,12.04,1240965,0
20050316,12.04,12.069,11.855,11.914,1138962,0
20050317,11.923,12.004,11.876,11.93,1119502,0
20050318,11.891,12.02,11.723,11.815,1717694,0
20050321,11.815,11.923,11.729,11.795,1584224,0
20050322,11.795,11.868,11.698,11.735,1557035,0
20050323,11.735,11.855,11.677,11.759,1561452,0
20050324,11.75,11.93,11.723,11.778,796115,0
20050328,11.778,11.788,11.616,11.616,1449790,0
20050329,11.641,11.735,11.527,11.596,1423978,0
20050330,11.671,12.013,11.616,11.973,1823000,0
20050331,11.973,12.069,11.795,11.842,1952470,0
20050401,12.292,12.292,11.682,11.729,1941430,0
20050404,11.664,11.75,11.573,11.723,1125574,0
20050405,11.723,11.891,11.657,11.735,1254487,0
20050406,11.735,11.897,11.69,11.716,1093691,0
20050407,11.716,11.884,11.716,11.855,1005494,0
20050408,11.815,11.952,11.778,11.824,1107214,0
20050411,11.862,11.914,11.815,11.914,567550,0
20050412,11.914,12.098,11.833,12.086,2662734,0
20050413,12.013,12.136,11.958,12.013,1454620,0
20050414,11.997,12.092,11.795,11.824,2131069,0
20050415,11.833,11.93,11.69,11.716,1549579,0
20050418,11.716,11.765,11.474,11.634,2677086,0
20050419,11.634,11.795,11.616,11.788,1968615,0
20050420,11.788,11.808,11.624,11.735,834898,0
20050421,11.788,11.938,11.677,11.771,872032,0
20050422,11.778,11.973,11.771,11.833,1916169,0
20050425,11.855,11.997,11.855,11.868,2471017,0
20050426,11.868,12.024,11.833,11.973,2025068,0
20050427,11.906,12.048,11.868,12.048,3551320,0
20050428,12.048,12.048,11.723,11.848,1773591,0
20050429,11.876,12.048,11.759,12.024,2085661,0
20050502,11.989,12.048,11.567,11.708,4088091,0
20050503,11.708,11.778,11.624,11.723,2460394,0
20050504,11.698,11.842,11.641,11.842,996799,0
20050505,11.842,12.048,11.802,12.048,1792773,0
20050506,12.048,12.048,11.914,11.958,1282921,0
20050509,11.989,12.263,11.914,12.263,2687022,0
20050510,12.258,12.263,12.086,12.188,1268425,0
20050511,12.188,12.188,11.965,12.112,1242617,0
20050512,12.112,12.161,11.906,11.938,1615421,0
20050513,11.938,12.013,11.677,11.682,2290758,0
20050516,11.682,11.824,11.682,11.795,2178271,0
20050517,11.795,11.795,11.723,11.795,1316597,0
20050518,11.795,12.069,11.788,12.056,1713965,0
20050519,12.02,12.307,12.004,12.258,2332582,0
20050520,12.263,12.269,12.188,12.225,821373,0
20050523,12.217,12.404,12.13,12.388,2365159,0
20050524,12.404,12.442,12.122,12.13,5567973,0
20050525,12.188,12.188,11.914,11.938,2096012,0
20050526,11.795,12.063,11.795,11.891,1648132,0
20050527,11.938,11.989,11.897,11.958,1113980,0
20050531,11.958,12.04,11.923,11.973,2056675,0
20050601,11.906,12.112,11.906,12.069,3434971,0
20050602,12.063,12.188,11.989,12.174,1924865,0
20050603,12.316,12.36,12.098,12.098,2285925,0
20050606,12.151,12.258,12.104,12.174,2101667,0
20050607,12.232,12.263,12.136,12.188,1513831,0
20050608,12.299,12.339,12.217,12.258,2722081,0
20050609,12.258,12.263,12.18,12.225,1418047,0
20050610,12.225,12.292,12.174,12.232,816955,0
20050613,12.188,12.492,12.161,12.449,1876138,0
20050614,12.449,12.5,12.404,12.456,2041772,0
20050615,12.456,12.5,12.427,12.469,2096289,0
20050616,12.515,12.611,12.379,12.469,3836478,0
20050617,12.566,12.693,12.551,12.558,2356188,0
20050620,12.566,12.745,12.531,12.597,1738118,0
20050621,12.693,12.745,12.515,12.542,4811195,0
20050622,12.656,12.721,12.642,12.671,2838714,0
20050623,12.706,12.715,12.537,12.59,3691141,0
20050624,12.542,12.685,12.531,12.537,3251541,0
20050627,12.531,12.574,12.442,12.477,1373051,0
20050628,12.515,12.523,12.442,12.449,1873384,0
20050629,12.515,12.671,12.477,12.492,1313838,0
20050630,12.515,12.59,12.469,12.515,1677942,0
20050701,12.582,12.721,12.531,12.706,2445762,0
20050705,12.715,12.892,12.642,12.883,2687988,0
20050706,12.95,12.966,12.811,12.829,2495449,0
20050707,12.693,12.836,12.604,12.803,1937837,0
20050708,12.803,12.925,12.767,12.811,3104818,0
20050711,12.874,12.966,12.856,12.938,2447279,0
20050712,12.938,13.109,12.892,13.019,1817206,0
20050713,12.983,13.011,12.868,12.957,3880230,0
20050714,13.011,13.049,12.649,12.663,2276132,0
20050715,12.656,12.715,12.566,12.706,1888151,0
20050718,12.706,12.892,12.702,12.761,4539426,0
20050719,12.845,12.901,12.803,12.856,2513803,0
20050720,12.85,13.169,12.85,13.161,2972042,0
20050721,13.21,13.21,12.957,13.095,3736959,0
20050722,13.153,13.243,13.086,13.234,1412109,0
20050725,13.226,13.324,13.184,13.278,1679183,0
20050726,13.278,13.352,13.234,13.331,1524322,0
20050727,13.39,13.39,13.219,13.257,7820636,0
20050728,13.257,13.398,13.184,13.39,4502711,0
20050729,13.383,13.39,13.234,13.331,1123921,0
20050801,13.406,13.517,13.315,13.48,2191525,0
20050802,13.51,13.643,13.442,13.62,2086625,0
20050803,13.62,13.627,13.486,13.606,1336886,0
20050804,13.606,13.606,13.398,13.435,1336886,0
20050805,13.367,13.398,13.049,13.054,2737677,0
20050808,13.034,13.034,12.731,12.737,2541273,0
20050809,12.775,12.983,12.685,12.91,1630737,0
20050810,13.034,13.071,12.803,12.836,2683711,0
20050811,12.803,12.957,12.753,12.957,1510660,0
20050812,12.957,12.966,12.721,12.883,1549443,0
20050815,12.901,13.071,12.803,12.966,1208939,0
20050816,12.966,13.153,12.93,13.086,1446339,0
20050817,13.109,13.145,12.966,12.997,1438061,0
20050818,12.997,12.997,12.795,12.836,1379951,0
20050819,12.868,12.883,12.642,12.656,1214187,0
20050822,12.656,12.782,12.582,12.656,1779933,0
20050823,12.693,12.721,12.597,12.604,1508311,0
20050824,12.542,12.836,12.515,12.685,1505550,0
20050825,12.685,12.761,12.611,12.649,1494508,0
20050826,12.649,12.685,12.36,12.365,2402559,0
20050829,12.371,12.531,12.188,12.442,1388784,0
20050830,12.449,12.542,12.354,12.461,2638714,0
20050831,12.469,12.542,12.427,12.509,2613734,0
20050901,12.515,12.531,12.165,12.232,3970637,0
20050902,12.284,12.332,11.973,12.151,2068130,0
20050906,12.13,12.469,12.122,12.427,3257887,0
20050907,12.461,12.702,12.299,12.642,2912832,0
20050908,12.642,12.767,12.582,12.59,2322781,0
20050909,12.619,12.721,12.461,12.619,2233762,0
20050912,12.685,12.693,12.542,12.551,1189205,0
20050913,12.523,12.604,12.371,12.397,1172230,0
20050914,12.365,12.442,12.21,12.232,1856953,0
20050915,12.21,12.332,12.136,12.18,1824799,0
20050916,12.188,12.232,12.069,12.078,2428510,0
20050919,12.078,12.143,11.958,11.981,2361288,0
20050920,12.151,12.151,11.876,11.884,3063274,0
20050921,11.824,11.824,11.535,11.708,4724790,0
20050922,11.723,11.788,11.581,11.723,4204861,0
20050923,11.682,11.848,11.551,11.608,3876506,0
20050926,11.952,12.024,11.795,12.02,4719680,0
20050927,11.997,12.024,11.744,11.93,2302634,0
20050928,11.952,12.013,11.765,11.778,1772626,0
20050929,11.735,11.848,11.581,11.795,3426135,0
20050930,11.795,12.188,11.795,12.086,3598944,0
20051003,12.122,12.217,12.056,12.188,2712147,0
20051004,12.188,12.316,12.063,12.069,2736297,0
20051005,12.104,12.122,11.808,11.891,1740882,0
20051006,11.906,12.339,11.897,12.339,4249305,0
20051007,12.354,12.354,12.092,12.174,2611938,0
20051010,12.13,12.174,12.069,12.122,1322811,0
20051011,12.069,12.332,12.069,12.217,4721339,0
20051012,12.013,12.122,11.708,11.862,3854973,0
20051013,11.788,11.93,11.664,11.778,2257359,0
20051014,11.884,12.086,11.842,12.013,2682466,0
20051017,12.048,12.165,11.958,12.151,1676563,0
20051018,12.151,12.194,11.824,11.833,2952443,0
20051019,11.842,11.997,11.65,11.973,3149541,0
20051020,11.848,12.04,11.735,11.802,3868912,0
20051021,11.938,12.013,11.75,11.981,2215678,0
20051024,11.981,12.217,11.981,12.188,1961440,0
20051025,12.122,12.151,11.997,12.112,3231108,0
20051026,12.086,12.104,11.795,11.808,2371507,0
20051027,11.833,11.876,11.463,11.573,1861926,0
20051028,11.573,12.02,11.573,11.997,3203917,0
20051031,11.997,12.122,11.981,12.004,1477397,0
20051101,11.906,11.93,11.616,11.75,2149425,0
20051102,11.824,11.938,11.677,11.923,2468674,0
20051103,12.048,12.078,11.868,11.891,1630737,0
20051104,11.891,11.958,11.729,11.795,1375533,0
20051107,11.795,11.906,11.723,11.802,2019271,0
20051108,11.802,11.923,11.759,11.855,1380917,0
20051109,11.897,12.122,11.884,11.923,1555930,0
20051110,11.914,12.365,11.808,12.332,1820380,0
20051111,12.388,12.477,12.292,12.469,1323087,0
20051114,12.086,12.092,11.795,11.906,6833086,0
20051115,11.973,12.143,11.906,11.973,3944273,0
20051116,12.048,12.136,11.897,11.989,2029899,0
20051117,11.989,12.284,11.989,12.263,2516984,0
20051118,12.316,12.483,12.275,12.483,3198261,0
20051121,12.5,12.5,12.299,12.461,2343351,0
20051122,12.442,12.619,12.354,12.611,2711457,0
20051123,12.597,12.95,12.566,12.946,3399223,0
20051125,12.946,12.946,12.836,12.892,459752,0
20051128,12.938,12.946,12.811,12.868,2972873,0
20051129,12.868,12.901,12.761,12.856,2316164,0
20051130,12.868,12.938,12.731,12.795,2359217,0
20051201,12.883,13.102,12.85,12.99,3561949,0
20051202,12.997,13.257,12.975,13.161,2905240,0
20051205,13.161,13.539,13.034,13.054,3274589,0
20051206,13.137,13.21,13.095,13.153,3326621,0
20051207,13.153,13.219,13.019,13.027,2518775,0
20051208,13.102,13.343,13.102,13.21,2645618,0
20051209,13.19,13.352,13.184,13.234,2056399,0
20051212,13.226,13.302,13.184,13.219,1984214,0
20051213,13.243,13.343,13.117,13.331,3054446,0
20051214,13.302,13.464,13.219,13.375,5340784,0
20051215,13.331,13.48,13.19,13.234,1966546,0
20051216,13.203,13.39,13.063,13.19,2209745,0
20051219,13.243,13.302,13.054,13.086,1755648,0
20051220,13.049,13.19,13.042,13.145,1160911,0
20051221,13.19,13.302,13.153,13.272,1211006,0
20051222,13.272,13.375,13.19,13.367,3139740,0
20051223,13.367,13.517,13.302,13.426,1337028,0
20051227,13.455,13.568,13.406,13.502,3113520,0
20051228,13.442,13.472,13.272,13.413,1629629,0
20051229,13.413,13.517,13.343,13.502,3311852,0
20051230,13.502,13.755,13.502,13.545,1904578,0
20060103,13.62,13.759,13.419,13.708,1914374,0
20060104,13.657,13.666,13.531,13.545,2104983,0
20060105,13.606,13.65,13.51,13.577,2454456,0
20060106,13.584,13.766,13.545,13.759,4011077,0
20060109,13.759,13.813,13.666,13.807,2955339,0
20060110,13.807,13.947,13.676,13.942,1790706,0
20060111,13.942,14.109,13.903,14.011,3852624,0
20060112,14.153,14.163,14.006,14.147,3451118,0
20060113,14.102,14.118,13.982,14.035,2952998,0
20060117,14.042,14.118,13.886,14.065,2089663,0
20060118,14.065,14.065,13.903,14.011,1869378,0
20060119,14.057,14.169,13.942,14.163,1952056,0
20060120,14.163,14.176,14.006,14.065,1842050,0
20060123,14.074,14.169,14.019,14.08,1699332,0
20060124,14.057,14.184,14.035,14.086,2600069,0
20060125,14.086,14.086,13.807,13.992,3612882,0
20060126,13.992,14.176,13.992,14.118,2966932,0
20060127,14.118,14.296,14.086,14.265,2348731,0
20060130,14.229,14.345,14.118,14.265,1764479,0
20060131,14.2,14.35,14.163,14.265,3612602,0
20060201,14.273,14.592,14.147,14.482,5327952,0
20060202,14.482,14.511,14.296,14.368,2670740,0
20060203,14.229,14.415,14.163,14.305,3402533,0
20060206,14.305,14.466,14.273,14.409,1950398,0
20060207,14.35,14.511,13.584,14.229,16678930,0
20060208,14.288,14.288,14.153,14.288,2388205,0
20060209,14.296,14.35,14.244,14.296,1803962,0
20060210,14.288,14.359,14.132,14.296,3312956,0
20060213,14.296,14.296,14.126,14.176,3068519,0
20060214,14.163,14.236,14.011,14.086,2046186,0
20060215,14.094,14.281,14.028,14.222,2765972,0
20060216,14.229,14.458,14.229,14.458,3898451,0
20060217,14.427,14.427,14.265,14.296,2013752,0
20060221,14.296,14.332,14.251,14.296,2354529,0
20060222,14.288,14.34,14.208,14.288,3445733,0
20060223,14.332,14.332,14.139,14.251,3094744,0
20060224,14.153,14.216,13.903,14.035,2141979,0
20060227,14.08,14.094,13.927,13.951,1389198,0
20060228,13.886,14.006,13.766,13.895,3151332,0
20060301,13.895,13.982,13.822,13.96,3258028,0
20060302,13.942,14.229,13.895,14.118,2595793,0
20060303,13.999,14.086,13.878,14.08,1720728,0
20060306,14.109,14.288,14.019,14.236,1533155,0
20060307,14.296,14.34,14.094,14.222,1414044,0
20060308,14.208,14.345,13.992,14.34,3504396,0
20060309,14.368,14.523,14.288,14.368,1799953,0
20060310,14.368,14.505,14.319,14.449,1532189,0
20060313,14.449,14.548,14.359,14.427,1309279,0
20060314,14.376,14.733,14.359,14.733,5391440,0
20060315,14.793,14.994,14.688,14.903,2484407,0
20060316,14.896,15.193,14.858,15.067,3664087,0
20060317,15.17,15.238,14.97,15.193,2548588,0
20060320,15.193,15.298,15.052,15.118,2920421,0
20060321,15.118,15.162,14.875,14.903,2539203,0
20060322,14.762,15.052,14.755,14.829,3884231,0
20060323,14.843,15.067,14.793,15.016,1833908,0
20060324,15.016,15.176,14.97,15.081,2293662,0
20060327,15.075,15.075,14.733,14.882,3471822,0
20060328,14.92,15.223,14.815,15.216,2617740,0
20060329,15.176,15.444,15.176,15.281,3163066,0
20060330,15.298,15.364,15.087,15.202,3129249,0
20060331,15.162,15.371,15.037,15.298,3279139,0
20060403,15.298,15.298,14.994,15.008,2769011,0
20060404,15.059,15.075,14.768,14.852,2540306,0
20060405,14.852,14.97,14.808,14.942,3898175,0
20060406,14.942,15.095,14.836,14.875,5622626,0
20060407,14.875,14.875,14.482,14.681,12163794,0
20060410,14.681,14.843,14.409,14.785,19946757,0
