Date,Open,High,Low,Close,Volume,OpenInt
20061115,51.797,51.797,51.797,51.797,0,0
20061116,51.797,54.49,51.451,54.283,10461441,0
20061117,54.283,54.905,52.66,54.076,1347130,0
20061120,54.041,56.01,53.696,55.595,1284955,0
20061121,55.595,55.975,53.868,53.903,666558,0
20061122,54.317,54.732,53.178,53.212,519009,0
20061124,52.833,52.833,52.142,52.626,160898,0
20061127,51.969,52.142,50.243,50.934,974219,0
20061128,51.451,51.831,50.588,51.797,522949,0
20061129,51.797,52.418,51.451,52.384,314672,0
20061130,52.35,55.595,52.315,55.25,772836,0
20061201,54.732,55.078,53.178,54.939,229588,0
20061204,54.387,54.49,53.351,54.076,462769,0
20061205,54.041,54.525,53.765,53.938,171988,0
20061206,53.523,53.765,52.833,53.73,555180,0
20061207,53.696,54.214,53.662,53.868,250786,0
20061208,54.352,55.078,53.868,55.008,261124,0
20061211,55.008,55.94,54.767,55.699,623206,0
20061212,55.423,55.768,54.939,55.768,62843,0
20061213,55.595,55.906,54.352,55.457,155716,0
20061214,54.421,56.769,54.421,56.286,293561,0
20061215,55.94,58.012,55.734,57.978,1738719,0
20061218,57.633,58.668,56.942,58.082,460944,0
20061219,57.011,57.667,56.32,56.389,439025,0
20061220,56.389,58.876,56.286,58.185,623089,0
20061221,58.358,60.326,58.185,59.773,285363,0
20061222,59.773,59.877,57.322,58.876,320810,0
20061226,59.394,59.532,58.289,58.289,145551,0
20061227,58.53,59.048,58.15,58.703,188930,0
20061228,59.221,59.428,58.289,58.703,97738,0
20061229,59.048,60.361,58.979,60.05,146967,0
20070103,60.05,61.051,58.703,59.67,588568,0
20070104,60.257,60.637,58.703,59.567,195214,0
20070105,59.911,60.223,59.048,60.223,104458,0
20070108,59.394,60.361,58.082,59.808,200080,0
20070109,59.152,59.256,57.874,58.738,223681,0
20070110,58.047,59.048,57.253,58.979,1004453,0
20070111,58.876,59.532,57.633,57.633,1080588,0
20070112,56.769,59.394,56.631,59.083,166227,0
20070116,60.153,60.429,58.53,59.6,94667,0
20070117,59.911,60.395,58.91,59.946,85606,0
20070118,60.361,60.878,59.6,60.015,167035,0
20070119,60.119,60.257,59.117,59.808,99011,0
20070122,60.81,63.883,59.462,62.812,539569,0
20070123,61.258,65.747,61.258,64.815,311661,0
20070124,64.573,66.99,64.228,66.749,743532,0
20070125,68.717,68.889,65.609,65.92,1098746,0
20070126,65.609,66.472,64.677,65.229,91192,0
20070129,65.402,66.99,64.297,65.333,168139,0
20070130,64.918,65.609,63.745,64.815,731543,0
20070131,64.124,64.918,63.019,64.297,205814,0
20070201,64.573,66.99,64.573,65.437,130460,0
20070202,65.54,65.955,65.264,65.264,91452,0
20070205,65.609,67.163,64.608,67.095,188668,0
20070206,66.404,68.751,66.404,68.061,611881,0
20070207,67.371,69.235,67.371,68.924,147228,0
20070208,68.994,70.755,68.337,70.375,174017,0
20070209,70.375,72.343,70.099,71.479,210766,0
20070212,71.479,71.583,70.064,70.099,347078,0
20070213,70.789,71.169,70.029,70.305,105400,0
20070214,70.444,73.621,70.029,73.275,205518,0
20070215,72.757,75.278,71.652,74.656,164229,0
20070216,73.966,76.141,73.793,75.623,170077,0
20070220,75.796,76.935,74.483,76.832,109757,0
20070221,75.969,75.969,74.588,75.071,80592,0
20070222,75.105,76.141,74.898,74.933,38890,0
20070223,75.796,75.796,73.897,74.45,82707,0
20070226,74.45,75.105,72.412,73.759,182079,0
20070227,73.759,73.966,70.823,73.413,144305,0
20070228,73.413,74.104,71.722,73.413,233993,0
20070301,70.444,72.516,70.237,70.72,278474,0
20070302,74.242,75.9,72.861,72.895,172683,0
20070305,72.17,74.588,71.963,72.516,198255,0
20070306,72.861,73.621,72.516,73.31,108628,0
20070307,72.827,73.483,71.79,72.205,121660,0
20070308,73.172,73.448,71.549,72.516,413943,0
20070309,72.516,72.965,71.445,72.17,403808,0
20070312,72.722,73.379,72.343,72.93,310037,0
20070313,73.551,77.177,73.516,73.586,261156,0
20070314,73.621,76.728,73.206,76.349,200457,0
20070315,75.969,76.141,74.898,75.589,296311,0
20070316,75.589,76.141,75.14,76.072,165328,0
20070319,75.934,77.557,74.242,75.209,228520,0
20070320,74.864,76.245,74.864,75.14,139613,0
20070321,75.45,77.868,74.415,77.592,188555,0
20070322,77.246,79.077,75.693,78.938,120760,0
20070323,78.559,78.869,77.488,78.662,68690,0
20070326,79.111,79.422,78.04,78.662,173786,0
20070327,78.662,82.702,78.144,80.63,236886,0
20070328,82.288,82.288,79.801,80.838,134952,0
20070329,81.528,81.528,80.147,80.354,148387,0
20070330,80.077,82.633,80.044,81.839,125539,0
20070402,82.322,82.357,80.665,80.872,196865,0
20070403,80.872,83.669,80.354,83.393,103732,0
20070404,83.738,84.809,81.908,81.908,253132,0
20070405,81.908,83.013,81.459,82.805,88007,0
20070409,82.875,83.566,81.873,83.462,93394,0
20070410,83.669,84.844,82.978,83.531,127220,0
20070411,83.186,83.531,81.977,82.322,116795,0
20070412,82.357,82.529,81.011,81.943,48969,0
20070413,81.839,82.046,81.597,81.977,59916,0
20070416,82.011,82.149,81.355,81.839,183456,0
20070417,81.425,81.977,79.836,80.768,190002,0
20070418,80.527,81.355,78.904,79.629,187395,0
20070419,86.121,86.121,76.659,78.386,186062,0
20070420,79.077,80.906,78.8,80.182,128927,0
20070423,79.594,81.459,79.594,81.011,350522,0
20070424,81.044,81.044,79.629,79.698,106774,0
20070425,80.044,80.32,78.593,80.32,127190,0
20070426,81.149,82.011,69.062,76.417,1071987,0
20070427,76.107,76.107,72.619,72.861,407141,0
20070430,72.654,72.654,68.441,68.717,634153,0
20070501,68.372,70.409,67.405,70.202,482203,0
20070502,70.271,74.45,70.237,74.173,522831,0
20070503,73.413,75.45,72.895,74.898,264873,0
20070504,74.726,76.279,74.38,75.278,364193,0
20070507,74.967,75.382,72.205,73.827,141581,0
20070508,73.897,74.277,72.516,74.207,194229,0
20070509,73.897,74.069,72.55,73.862,450084,0
20070510,73.551,73.551,71.065,71.376,149256,0
20070511,71.031,72.446,69.926,70.823,158261,0
20070514,71.134,72.584,71.134,71.652,74077,0
20070515,71.272,74,71.238,72.965,154556,0
20070516,73.172,75.278,73.172,75.278,162492,0
20070517,75.278,76.107,74.898,75.865,149139,0
20070518,75.45,75.555,72.722,73.379,242594,0
20070521,70.789,73.483,69.58,72.446,342182,0
20070522,72.066,73.103,71.549,72.412,131243,0
20070523,70.893,72.516,70.789,71.652,201209,0
20070524,71.203,71.652,70.271,71.445,274243,0
20070525,71.617,73.827,71.617,73.413,371373,0
20070529,72.827,75.796,72.827,75.45,219310,0
20070530,75.45,76.417,74.035,75.796,291128,0
20070531,75.969,76.383,72.343,73.137,805650,0
20070601,73.551,77.937,73.137,77.661,278648,0
20070604,77.177,79.594,76.555,79.594,285946,0
20070605,79.594,82.426,79.077,82.391,514405,0
20070606,82.426,82.426,79.594,80.561,255043,0
20070607,80.596,80.941,78.559,78.731,361933,0
20070608,78.593,79.801,78.006,79.491,253280,0
20070611,78.938,78.973,76.659,77.972,414929,0
20070612,76.314,80.285,76.314,77.522,1032402,0
20070613,77.177,85.016,76.832,84.153,5399088,0
20070614,83.634,85.776,82.184,83.98,1153044,0
20070615,84.118,84.533,82.944,83.393,425732,0
20070618,83.324,86.912,83.22,86.432,664530,0
20070619,85.395,87.538,83.566,86.773,707243,0
20070620,86.808,89.953,84.671,88.12,783982,0
20070621,88.12,89.571,85.638,88.467,382450,0
20070622,87.885,89.336,85.603,88.189,2910816,0
20070625,87.19,89.266,85.671,86.362,778022,0
20070626,87.433,88.059,86.504,87.85,431871,0
20070627,87.85,90.474,87.225,89.162,717599,0
20070628,89.571,92.646,89.232,92.472,738897,0
20070629,93.167,93.202,91.195,91.751,705818,0
20070702,91.751,92.029,90.439,91.091,533026,0
20070703,91.334,92.611,90.578,91.821,186006,0
20070705,92.099,92.333,90.917,91.96,340214,0
20070706,92.437,93.237,91.021,92.264,282788,0
20070709,92.133,93.923,91.126,92.099,220236,0
20070710,91.265,91.821,89.371,90.683,248615,0
20070711,90.161,90.439,88.259,88.398,298687,0
20070712,88.293,88.849,87.677,88.259,265121,0
20070713,87.746,88.259,86.773,87.329,453347,0
20070716,86.843,88.919,86.678,87.92,251803,0
20070717,88.059,88.328,86.643,87.294,497550,0
20070718,86.573,87.225,84.739,86.362,416632,0
20070719,87.051,88.224,86.086,86.121,294668,0
20070720,86.362,86.843,82.91,84.429,425267,0
20070723,84.36,86.877,83.116,84.153,168139,0
20070724,83.531,85.706,80.872,83.945,500157,0
20070725,83.772,84.118,82.149,82.219,311396,0
20070726,80.803,81.149,78.04,80.077,471447,0
20070727,80.077,80.112,78.006,79.007,236078,0
20070730,75.969,78.8,75.555,76.383,1183799,0
20070731,76.038,78.178,75.934,77.316,1452196,0
20070801,77.868,78.489,74.76,75.45,748075,0
20070802,79.871,81.873,69.788,75.589,891021,0
20070803,75.45,77.005,71.825,74.242,407167,0
20070806,74.277,77.522,72.861,76.625,318633,0
20070807,74.726,76.625,72.861,75.969,313542,0
20070808,76.038,82.875,75.174,81.494,706895,0
20070809,79.422,79.871,76.107,77.316,395816,0
20070810,77.316,79.594,72.101,76.625,445801,0
20070813,77.661,81.805,74.415,79.767,202222,0
20070814,80.665,81.149,78.11,78.938,304998,0
20070815,78.386,78.559,75.312,75.761,300133,0
20070816,75.382,77.177,64.643,74,685732,0
20070817,76.555,77.073,68.579,73.206,631951,0
20070820,73.793,75.969,73.241,74.898,161102,0
20070821,74.553,77.177,74.139,75.244,105500,0
20070822,76.245,77.557,75.727,76.866,210884,0
20070823,76.59,77.695,72.412,77.005,209463,0
20070824,77.35,78.178,75.761,77.211,321305,0
20070827,77.177,78.006,75.969,77.488,156728,0
20070828,77.143,77.177,75.209,76.452,178391,0
20070829,76.59,76.935,74.622,75.969,192522,0
20070830,74.967,76.107,74.967,75.969,168139,0
20070831,76.141,77.661,75.347,76.349,190206,0
20070904,76.97,78.559,76.383,77.557,219398,0
20070905,77.972,77.972,75.589,75.969,258952,0
20070906,75.969,76.072,73.931,75.658,142797,0
20070907,74.933,75.831,73.793,74.588,198720,0
20070910,74.622,74.622,71.825,72.619,184498,0
20070911,72.827,73.759,72.239,72.654,120066,0
20070912,72.136,73.724,69.477,70.202,359297,0
20070913,70.547,70.755,68.441,69.235,284785,0
20070914,69.062,69.235,68.13,68.717,655117,0
20070917,68.303,69.304,67.612,68.303,226087,0
20070918,68.856,71.134,68.856,70.409,506556,0
20070919,70.893,73.966,70.893,73.689,454602,0
20070920,73.275,75.934,73.103,74.277,311197,0
20070921,74.656,74.933,73.413,74.277,352868,0
20070924,73.966,75.244,73.448,74.139,137528,0
20070925,73.516,73.586,70.961,71.79,208246,0
20070926,72.101,72.689,70.375,71.514,201439,0
20070927,71.86,75.693,71.722,75.105,267150,0
20070928,75.105,78.731,74.829,78.455,242880,0
20071001,77.902,81.355,77.902,80.63,281224,0
20071002,80.458,83.013,80.32,82.564,235757,0
20071003,82.254,83.151,80.906,81.943,210823,0
20071004,81.839,82.529,80.285,82.322,179112,0
20071005,82.288,86.573,82.219,86.224,280703,0
20071008,85.914,86.912,84.636,85.741,225565,0
20071009,86.052,86.912,84.877,86.259,239814,0
20071010,85.844,86.362,82.288,83.116,223420,0
20071011,83.116,85.258,81.908,84.498,249483,0
20071012,85.05,87.19,82.944,84.429,302279,0
20071015,84.877,84.982,81.39,81.943,264513,0
20071016,81.044,81.044,77.73,78.04,325849,0
20071017,78.386,80.285,78.178,80.182,299499,0
20071018,80.596,82.426,79.111,80.665,355821,0
20071019,80.492,80.665,73.897,75.969,440876,0
20071022,75.209,78.766,74.035,77.868,139322,0
20071023,78.351,78.8,76.038,77.626,139669,0
20071024,77.073,77.764,75.382,76.245,245052,0
20071025,75.969,76.314,73.759,74.967,131534,0
20071026,75.623,81.459,73.379,80.665,318873,0
20071029,84.636,84.671,76.97,79.353,442847,0
20071030,78.8,79.422,73.379,73.897,412205,0
20071031,74.588,75.555,73.413,74.864,156150,0
20071101,74.242,75.831,73.655,74.691,279890,0
20071102,74.76,74.76,71.79,72.516,216643,0
20071105,72.412,72.412,67.198,68.165,454871,0
20071106,68.233,69.511,68.095,68.372,280169,0
20071107,67.543,67.543,62.709,63.227,580636,0
20071108,63.538,71.272,63.054,68.648,603919,0
20071109,67.405,67.405,61.811,63.71,549416,0
20071112,64.367,65.161,63.468,64.435,229475,0
20071113,65.885,65.885,63.952,64.677,184877,0
20071114,65.989,65.989,61.362,62.19,294603,0
20071115,62.295,64.711,62.052,62.571,265295,0
20071116,63.089,63.089,59.911,60.672,189190,0
20071119,60.706,60.706,57.667,59.773,422018,0
20071120,59.911,62.225,59.117,61.466,464828,0
20071121,61.189,61.293,59.843,60.429,515069,0
20071123,61.534,61.534,58.945,60.74,135325,0
20071126,60.326,61.362,58.392,59.394,683538,0
20071127,59.186,60.257,54.317,59.567,822921,0
20071128,59.394,67.025,59.394,64.953,786076,0
20071129,65.264,65.506,63.227,64.573,395685,0
20071130,64.918,67.612,63.676,65.955,597851,0
20071203,66.161,66.887,62.778,63.71,406845,0
20071204,63.4,63.641,61.155,62.19,371086,0
20071205,62.605,63.641,61.258,62.052,384031,0
20071206,61.569,61.914,60.223,61.155,288522,0
20071207,62.018,63.227,60.257,60.464,288404,0
20071210,60.602,60.81,58.012,58.703,331557,0
20071211,59.221,60.81,56.01,56.839,977290,0
20071212,55.284,56.113,53.627,54.835,583398,0
20071213,54.905,55.906,54.352,55.63,420680,0
20071214,54.939,55.043,52.798,53.592,259331,0
20071217,52.971,53.109,51.901,52.591,355639,0
20071218,52.833,53.247,51.14,51.624,371434,0
20071219,51.831,52.695,51.555,52.315,355014,0
