Date,Open,High,Low,Close,Volume,OpenInt
20190510,24.027,24.037,24.027,24.037,415,0
20190513,23.901,23.901,23.808,23.808,208,0
20190514,23.931,23.95,23.898,23.898,15572,0
20190515,23.926,23.926,23.926,23.926,208,0
20190516,23.993,23.993,23.993,23.993,208,0
20190517,23.978,23.978,23.978,23.978,208,0
20190520,23.979,23.979,23.949,23.949,208,0
20190521,24.015,24.015,24.015,24.015,208,0
20190522,24.004,24.004,24.004,24.004,208,0
20190523,23.95,23.95,23.918,23.918,208,0
20190524,23.885,23.885,23.885,23.885,102,0
20190528,23.858,23.858,23.858,23.858,208,0
20190529,23.791,23.791,23.791,23.791,208,0
20190530,23.825,23.83,23.825,23.83,102,0
20190531,23.771,23.771,23.652,23.652,1038,0
20190603,23.696,23.696,23.696,23.696,208,0
20190604,23.916,23.916,23.916,23.916,208,0
20190605,23.965,23.965,23.965,23.965,208,0
20190606,23.96,24.019,23.96,24.019,1049,0
20190607,24.073,24.073,24.073,24.073,208,0
20190610,24.139,24.139,24.118,24.118,167,0
20190611,24.16,24.16,24.16,24.16,208,0
20190612,24.116,24.116,24.116,24.116,208,0
20190613,24.169,24.169,24.169,24.169,208,0
20190614,24.153,24.153,24.153,24.153,167,0
20190617,24.112,24.112,24.112,24.112,208,0
20190618,24.272,24.277,24.267,24.267,1869,0
20190619,24.369,24.369,24.369,24.369,208,0
20190620,24.557,24.557,24.523,24.523,104630,0
20190621,24.489,24.489,24.489,24.489,3009,0
20190624,24.435,24.435,24.435,24.435,1,0
20190625,24.353,24.353,24.353,24.353,208,0
20190626,24.353,24.353,24.345,24.345,828,0
20190627,24.403,24.403,24.403,24.403,208,0
20190628,24.406,24.406,24.406,24.406,1,0
20190701,24.428,24.428,24.428,24.428,719,0
20190702,24.452,24.487,24.452,24.48,2346,0
20190703,24.49,24.543,24.49,24.543,101,0
20190705,24.442,24.442,24.442,24.442,719,0
20190708,24.433,24.433,24.392,24.392,1749,0
20190709,24.383,24.383,24.376,24.376,1328,0
20190710,24.413,24.427,24.413,24.427,308,0
20190711,24.378,24.378,24.378,24.378,1337,0
20190712,24.428,24.428,24.428,24.428,1,0
20190715,24.433,24.443,24.433,24.443,402,0
20190716,24.403,24.413,24.382,24.382,1122,0
20190717,24.357,24.357,24.357,24.357,1,0
20190718,24.315,24.354,24.315,24.354,2060,0
20190719,24.335,24.345,24.315,24.326,5980,0
20190722,24.363,24.373,24.363,24.373,6884,0
20190723,24.428,24.437,24.428,24.433,8483,0
20190724,24.423,24.462,24.423,24.442,3706,0
20190725,24.418,24.452,24.418,24.429,5161,0
20190726,24.49,24.5,24.475,24.49,86053,0
20190729,24.452,24.472,24.452,24.452,22852,0
20190730,24.471,24.471,24.471,24.471,12044,0
20190731,24.539,24.548,24.448,24.448,3413,0
20190801,24.447,24.447,24.447,24.447,201,0
20190802,24.433,24.433,24.373,24.423,53356,0
20190805,24.164,24.164,24.148,24.148,2050,0
20190806,24.266,24.294,24.208,24.294,1125,0
20190807,24.178,24.29,24.178,24.29,510,0
20190808,24.368,24.368,24.368,24.368,5,0
20190809,24.383,24.383,24.354,24.354,210,0
20190812,24.294,24.294,24.294,24.294,1,0
20190813,24.363,24.41,24.363,24.41,110,0
