Date,Open,High,Low,Close,Volume,OpenInt
20190415,24.788,24.798,24.774,24.774,17204,0
20190416,24.779,24.779,24.764,24.764,7090,0
20190417,24.788,24.788,24.754,24.754,4594,0
20190418,24.779,24.779,24.769,24.769,28801,0
20190422,24.807,24.807,24.779,24.779,1467,0
20190423,24.783,24.783,24.783,24.783,1,0
20190424,24.848,24.868,24.848,24.848,4537,0
20190425,24.878,24.878,24.828,24.853,2655,0
20190426,24.872,24.883,24.872,24.883,703,0
20190429,24.903,24.903,24.903,24.903,1316,0
20190430,24.917,24.917,24.908,24.908,2019,0
20190501,24.9,24.947,24.898,24.898,9833,0
20190502,24.917,24.927,24.917,24.927,100,0
20190503,24.967,24.977,24.947,24.967,9476,0
20190506,25.017,25.017,25.002,25.002,507,0
20190507,25.027,25.027,25.007,25.007,5471,0
20190508,24.997,25.017,24.997,24.997,9287,0
20190509,25.067,25.077,25.032,25.032,4044,0
20190510,25.051,25.051,25.051,25.051,908,0
20190513,25.103,25.156,25.103,25.121,6948,0
20190514,25.121,25.121,25.121,25.121,38,0
20190515,25.161,25.161,25.161,25.161,100,0
20190516,25.171,25.171,25.171,25.171,38,0
20190517,25.176,25.176,25.176,25.176,38,0
20190520,25.205,25.206,25.171,25.171,7667,0
20190521,25.161,25.177,25.161,25.176,1766,0
20190522,25.186,25.186,25.152,25.186,5289,0
20190523,25.226,25.226,25.216,25.216,3573,0
20190524,25.236,25.236,25.211,25.211,537,0
20190528,25.232,25.233,25.232,25.233,3357,0
20190529,25.294,25.294,25.251,25.251,9788,0
20190530,25.236,25.265,25.236,25.265,6157,0
20190531,25.339,25.339,25.339,25.339,20,0
20190603,25.364,25.364,25.364,25.364,8,0
20190604,25.334,25.354,25.334,25.354,16267,0
20190605,25.334,25.334,25.321,25.321,43235,0
20190606,25.373,25.373,25.314,25.314,391,0
20190607,25.364,25.364,25.364,25.364,20,0
20190610,25.374,25.374,25.334,25.334,101,0
20190611,25.354,25.374,25.344,25.354,40621,0
20190612,25.364,25.364,25.354,25.354,727,0
20190613,25.314,25.349,25.314,25.349,2411,0
20190614,25.334,25.388,25.334,25.359,2580,0
20190617,25.354,25.354,25.354,25.354,43,0
20190618,25.344,25.403,25.344,25.374,2999,0
20190619,25.374,25.442,25.374,25.398,3278,0
20190620,25.403,25.442,25.403,25.403,2842,0
20190621,25.383,25.403,25.379,25.379,13745,0
20190624,25.442,25.442,25.418,25.418,1401,0
20190625,25.444,25.451,25.413,25.413,7898,0
20190626,25.413,25.432,25.403,25.413,17038,0
20190627,25.428,25.428,25.428,25.428,63,0
20190628,25.423,25.423,25.423,25.423,17,0
20190701,25.423,25.423,25.423,25.423,3113,0
20190702,25.471,25.501,25.466,25.476,1977,0
20190703,25.511,25.511,25.471,25.471,10086,0
20190705,25.471,25.471,25.432,25.432,4769,0
20190708,25.471,25.471,25.437,25.437,644,0
20190709,25.491,25.531,25.473,25.501,20309,0
20190710,25.561,25.561,25.516,25.516,5920,0
20190711,25.551,25.551,25.511,25.521,505,0
20190712,25.551,25.571,25.534,25.534,8233,0
20190715,25.556,25.556,25.556,25.556,100,0
20190716,25.571,25.576,25.551,25.571,9530,0
20190717,25.651,25.651,25.586,25.601,18312,0
20190718,25.6,25.641,25.6,25.621,6787,0
20190719,25.606,25.631,25.606,25.606,5445,0
20190722,25.596,25.596,25.596,25.596,51,0
20190723,25.631,25.631,25.611,25.621,12322,0
20190724,25.641,25.641,25.616,25.616,475,0
20190725,25.641,25.66,25.626,25.626,3872,0
20190726,25.635,25.66,25.635,25.646,2478,0
20190729,25.651,25.68,25.651,25.67,15001,0
